Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02 04:00:00+00:00,12.57,13.18,9.459,10.25,10.25,332084.0
2023-11-03 04:00:00+00:00,10.96,12.95,10.94,12.76,12.76,152816.0
2023-11-06 05:00:00+00:00,11.65,12.76,11.63,12.29,12.29,46669.0
2023-11-07 05:00:00+00:00,10.89,11.86,10.85,11.56,11.56,136743.0
2023-11-08 05:00:00+00:00,11.25,12.84,11.24,12.56,12.56,79391.0
2023-11-09 05:00:00+00:00,11.81,13.48,11.74,12.44,12.44,44773.0
2023-11-10 05:00:00+00:00,12.08,14.84,11.99,14.82,14.82,46218.0
2023-11-13 05:00:00+00:00,15.26,16.31,15.07,15.34,15.34,45356.0
2023-11-14 05:00:00+00:00,15.18,15.83,15.07,15.32,15.32,35576.0
2023-11-15 05:00:00+00:00,15.51,15.57,15.36,15.47,15.47,23551.0
2023-11-16 05:00:00+00:00,15.96,16.17,15.32,15.37,15.37,13282.0
2023-11-17 05:00:00+00:00,15.21,15.52,14.98,15.51,15.51,14551.0
2023-11-20 05:00:00+00:00,16.1,17.26,15.95,16.3,16.3,11531.0
2023-11-21 05:00:00+00:00,16.26,16.26,15.63,15.63,15.63,10444.0
2023-11-22 05:00:00+00:00,15.57,15.57,15.41,15.41,15.41,3662.0
2023-11-24 05:00:00+00:00,15.15,15.61,15.15,15.61,15.61,1187.0
2023-11-27 05:00:00+00:00,15.28,15.43,15.26,15.34,15.34,8000.0
2023-11-28 05:00:00+00:00,15.16,15.6,15.16,15.6,15.6,8400.0
2023-11-29 05:00:00+00:00,15.87,16.78,15.84,16.49,16.49,12179.0
2023-11-30 05:00:00+00:00,15.99,16.37,15.97,16.24,16.24,6464.0
2023-12-01 05:00:00+00:00,16.12,18.68,16.12,18.33,18.33,18603.0
2023-12-04 05:00:00+00:00,18.17,18.85,18.11,18.58,18.58,20019.0
2023-12-05 05:00:00+00:00,18.77,18.85,18.39,18.66,18.66,29405.0
2023-12-06 05:00:00+00:00,18.64,19.56,18.26,19.28,19.28,15075.0
2023-12-07 05:00:00+00:00,18.94,19.09,18.24,18.67,18.67,10079.0
2023-12-08 05:00:00+00:00,18.32,19.19,18.25,19.19,19.19,10610.0
2023-12-11 05:00:00+00:00,19.44,19.5,19.08,19.42,19.42,8965.0
2023-12-12 05:00:00+00:00,19.25,20.25,19.25,20.08,20.08,4118.0
2023-12-13 05:00:00+00:00,19.27,19.55,18.06,18.98,18.98,7169.0
