Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30 04:00:00+00:00,1.979,1.992,1.979,1.992,1.992,645.0
2020-07-31 04:00:00+00:00,1.954,1.954,1.883,1.892,1.892,5300.0
2020-08-03 04:00:00+00:00,2.092,2.092,2.092,2.092,2.092,100.0
2020-08-04 04:00:00+00:00,2.098,2.098,2.098,2.098,2.098,100.0
2020-08-06 04:00:00+00:00,2.135,2.21,2.135,2.192,2.192,400.0
2020-08-10 04:00:00+00:00,2.273,2.273,2.273,2.273,2.273,100.0
2020-08-14 04:00:00+00:00,2.153,2.153,2.147,2.147,2.147,1000.0
2020-08-18 04:00:00+00:00,2.082,2.082,2.082,2.082,2.082,495.0
2020-08-20 04:00:00+00:00,2.037,2.037,2.037,2.037,2.037,100.0
2020-08-24 04:00:00+00:00,2.082,2.082,2.082,2.082,2.082,100.0
2020-09-11 04:00:00+00:00,1.973,1.985,1.973,1.985,1.985,200.0
2020-10-14 04:00:00+00:00,2.018,2.018,2.018,2.018,2.018,200.0
2020-11-02 05:00:00+00:00,2.018,2.018,1.985,1.985,1.985,200.0
2020-11-03 05:00:00+00:00,1.889,1.889,1.889,1.889,1.889,100.0
2020-11-11 05:00:00+00:00,1.966,1.992,1.966,1.992,1.992,285.0
2020-11-23 05:00:00+00:00,1.931,1.931,1.931,1.931,1.931,100.0
2020-11-24 05:00:00+00:00,1.941,1.999,1.941,1.999,1.999,500.0
2020-12-08 05:00:00+00:00,1.86,1.86,1.86,1.86,1.86,100.0
2020-12-15 05:00:00+00:00,1.921,1.921,1.911,1.915,1.915,400.0
2020-12-16 05:00:00+00:00,1.915,1.915,1.915,1.915,1.915,200.0
2020-12-29 05:00:00+00:00,1.85,1.85,1.85,1.85,1.85,100.0
2020-12-31 05:00:00+00:00,1.876,1.915,1.876,1.915,1.915,579.0
2021-01-04 05:00:00+00:00,1.921,1.921,1.921,1.921,1.921,100.0
2021-01-05 05:00:00+00:00,1.954,1.954,1.954,1.954,1.954,100.0
2021-01-07 05:00:00+00:00,2.122,2.135,2.122,2.135,2.135,200.0
