Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,1.675,1.8,1.57,1.76,1.76,13337.0
2020-07-28 04:00:00+00:00,1.69,1.69,1.69,1.69,1.69,202.0
2020-07-29 04:00:00+00:00,1.67,1.68,1.67,1.68,1.68,2000.0
2020-07-30 04:00:00+00:00,1.8,1.8,1.8,1.8,1.8,1000.0
2020-08-10 04:00:00+00:00,1.7,1.7,1.7,1.7,1.7,500.0
2020-09-21 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,240.0
2020-09-23 04:00:00+00:00,1.38,1.38,1.38,1.38,1.38,100.0
2020-10-01 04:00:00+00:00,1.88,1.88,1.88,1.88,1.88,300.0
2020-10-05 04:00:00+00:00,2.245,2.26,2.245,2.26,2.26,855.0
2020-10-09 04:00:00+00:00,2.84,2.99,2.63,2.98,2.98,4400.0
2020-10-13 04:00:00+00:00,3.13,3.29,3.02,3.25,3.25,2400.0
2020-10-15 04:00:00+00:00,3.3,3.3,3.18,3.18,3.18,480.0
2020-10-16 04:00:00+00:00,3.76,4.19,3.76,4.19,4.19,300.0
2020-10-19 04:00:00+00:00,4.37,5.8,4.37,5.8,5.8,7356.0
2020-10-20 04:00:00+00:00,6.16,7.38,5.9,7.34,7.34,14055.0
2020-10-21 04:00:00+00:00,7.12,7.12,5.97,6.01,6.01,3928.0
2020-10-22 04:00:00+00:00,5.84,6.6,5.755,6.6,6.6,3271.0
2020-10-23 04:00:00+00:00,6.51,7.86,6.33,6.89,6.89,2858.0
2020-10-26 04:00:00+00:00,6.52,7.36,6.36,6.77,6.77,4806.0
2020-10-27 04:00:00+00:00,6.74,7.14,6.74,6.99,6.99,710.0
2020-10-28 04:00:00+00:00,7.0,7.88,6.33,6.33,6.33,3029.0
2020-10-29 04:00:00+00:00,6.345,6.49,6.18,6.49,6.49,2837.0
2020-10-30 04:00:00+00:00,6.64,6.64,6.64,6.64,6.64,200.0
2020-11-02 05:00:00+00:00,6.34,6.34,6.17,6.17,6.17,600.0
2020-11-03 05:00:00+00:00,6.22,6.22,6.22,6.22,6.22,225.0
2020-11-04 05:00:00+00:00,6.47,6.47,6.04,6.08,6.08,810.0
2020-11-05 05:00:00+00:00,5.66,5.66,5.66,5.66,5.66,134.0
2020-11-09 05:00:00+00:00,5.55,5.79,5.47,5.615,5.615,2353.0
2020-11-10 05:00:00+00:00,5.48,5.48,4.87,4.87,4.87,500.0
2020-11-11 05:00:00+00:00,4.68,4.68,4.68,4.68,4.68,200.0
2020-11-12 05:00:00+00:00,4.86,4.86,4.86,4.86,4.86,152.0
2020-11-13 05:00:00+00:00,5.32,5.32,5.02,5.02,5.02,500.0
2020-11-16 05:00:00+00:00,5.28,5.4,5.28,5.29,5.29,401.0
2020-11-18 05:00:00+00:00,5.9,6.55,5.9,6.55,6.55,1050.0
2020-11-19 05:00:00+00:00,5.925,6.41,5.925,6.3,6.3,900.0
2020-11-20 05:00:00+00:00,6.77,7.59,6.77,7.46,7.46,1011.0
2020-11-23 05:00:00+00:00,6.9,7.19,6.85,7.19,7.19,660.0
2020-11-24 05:00:00+00:00,6.82,8.33,6.82,8.27,8.27,900.0
2020-11-25 05:00:00+00:00,9.24,9.48,7.24,8.27,8.27,1422.0
2020-11-27 05:00:00+00:00,8.325,8.58,8.325,8.44,8.44,368.0
2020-11-30 05:00:00+00:00,9.26,9.4,8.35,9.375,9.375,2747.0
2020-12-01 05:00:00+00:00,9.14,9.14,9.07,9.07,9.07,526.0
2020-12-02 05:00:00+00:00,8.78,11.23,8.78,11.19,11.19,1651.0
2020-12-03 05:00:00+00:00,11.2,12.19,11.19,11.74,11.74,1583.0
2020-12-04 05:00:00+00:00,13.1,14.18,12.88,13.88,13.88,2226.0
2020-12-08 05:00:00+00:00,11.9,12.22,11.58,11.58,11.58,407.0
2020-12-09 05:00:00+00:00,12.08,13.49,12.02,13.49,13.49,623.0
2020-12-10 05:00:00+00:00,12.605,12.605,12.605,12.605,12.605,131.0
2020-12-11 05:00:00+00:00,12.78,12.78,11.455,11.455,11.455,300.0
2020-12-14 05:00:00+00:00,12.49,12.72,12.49,12.72,12.72,821.0
2020-12-15 05:00:00+00:00,12.35,12.35,12.35,12.35,12.35,100.0
2020-12-17 05:00:00+00:00,12.28,12.79,12.28,12.38,12.38,477.0
2020-12-18 05:00:00+00:00,12.44,12.44,12.39,12.39,12.39,241.0
2020-12-22 05:00:00+00:00,11.82,12.52,11.82,12.52,12.52,200.0
2020-12-24 05:00:00+00:00,12.96,13.23,10.86,11.18,11.18,937.0
2021-01-05 05:00:00+00:00,11.84,11.84,11.84,11.84,11.84,118.0
2021-01-06 05:00:00+00:00,12.16,12.16,12.15,12.15,12.15,690.0
2021-01-07 05:00:00+00:00,12.14,13.26,12.14,13.26,13.26,397.0
2021-01-08 05:00:00+00:00,12.97,13.2,12.97,13.1,13.1,358.0
2021-01-11 05:00:00+00:00,13.4,14.92,12.14,12.14,12.14,1092.0
2021-01-12 05:00:00+00:00,12.995,13.075,12.995,13.075,13.075,200.0
2021-01-14 05:00:00+00:00,12.98,13.07,12.9,12.9,12.9,792.0
2021-01-19 05:00:00+00:00,11.89,11.89,11.89,11.89,11.89,100.0
2021-01-20 05:00:00+00:00,11.26,11.26,11.26,11.26,11.26,100.0
2021-01-25 05:00:00+00:00,12.0,12.0,11.78,11.78,11.78,300.0
2021-01-26 05:00:00+00:00,11.49,11.49,11.49,11.49,11.49,330.0
2021-02-01 05:00:00+00:00,10.97,10.97,10.97,10.97,10.97,200.0
2021-02-03 05:00:00+00:00,11.19,11.495,11.19,11.495,11.495,300.0
2021-02-05 05:00:00+00:00,13.19,13.19,13.08,13.08,13.08,233.0
2021-02-08 05:00:00+00:00,13.8,13.8,13.03,13.03,13.03,300.0
2021-02-09 05:00:00+00:00,12.56,13.49,12.56,13.49,13.49,300.0
2021-02-10 05:00:00+00:00,13.25,13.25,13.25,13.25,13.25,100.0
2021-02-11 05:00:00+00:00,12.72,12.72,11.52,11.52,11.52,614.0
2021-02-12 05:00:00+00:00,13.13,13.21,13.13,13.21,13.21,200.0
2021-02-16 05:00:00+00:00,13.22,13.22,13.22,13.22,13.22,100.0
2021-02-19 05:00:00+00:00,12.22,12.22,12.22,12.22,12.22,100.0
2021-02-22 05:00:00+00:00,11.81,11.81,11.81,11.81,11.81,100.0
2021-02-23 05:00:00+00:00,11.47,11.47,11.47,11.47,11.47,160.0
2021-02-26 05:00:00+00:00,11.79,11.79,11.79,11.79,11.79,100.0
2021-03-01 05:00:00+00:00,11.91,11.91,11.91,11.91,11.91,100.0
2021-03-02 05:00:00+00:00,11.75,11.75,11.75,11.75,11.75,200.0
2021-03-03 05:00:00+00:00,11.57,11.57,11.455,11.455,11.455,400.0
2021-03-04 05:00:00+00:00,11.28,11.28,11.28,11.28,11.28,100.0
2021-03-05 05:00:00+00:00,11.87,11.9,11.86,11.86,11.86,300.0
2021-03-10 05:00:00+00:00,12.16,12.16,12.16,12.16,12.16,100.0
2021-03-11 05:00:00+00:00,11.94,11.94,11.94,11.94,11.94,139.0
2021-03-15 04:00:00+00:00,13.85,13.85,13.34,13.34,13.34,508.0
2021-03-16 04:00:00+00:00,12.57,12.57,12.57,12.57,12.57,100.0
2021-03-24 04:00:00+00:00,12.5,12.5,12.43,12.43,12.43,300.0
2021-03-26 04:00:00+00:00,12.3,12.3,12.3,12.3,12.3,100.0
2021-03-29 04:00:00+00:00,11.975,11.975,11.975,11.975,11.975,531.0
2021-04-06 04:00:00+00:00,12.45,15.78,12.13,15.01,15.01,6100.0
2021-04-08 04:00:00+00:00,14.92,14.92,12.78,13.63,13.63,5737.0
2021-04-09 04:00:00+00:00,15.01,16.54,14.6,16.27,16.27,734.0
2021-04-12 04:00:00+00:00,17.22,17.99,16.13,16.13,16.13,1445.0
