Date,Open,High,Low,Close,Adj Close,Volume
2024-07-24 04:00:00+00:00,0.65,1.5,0.65,1.5,1.5,1420.0
2024-07-25 04:00:00+00:00,1.665,2.0,1.665,2.0,2.0,697.0
2024-07-26 04:00:00+00:00,2.17,2.17,1.23,1.89,1.89,682.0
2024-07-29 04:00:00+00:00,2.34,2.38,1.55,1.55,1.55,1596.0
2024-07-30 04:00:00+00:00,1.51,1.51,1.51,1.51,1.51,100.0
2024-07-31 04:00:00+00:00,1.44,1.44,1.39,1.39,1.39,500.0
2024-08-01 04:00:00+00:00,1.39,1.39,1.39,1.39,1.39,0.0
2024-08-02 04:00:00+00:00,1.39,1.39,1.39,1.39,1.39,0.0
2024-08-05 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,100.0
2024-08-06 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-07 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-08 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-09 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-12 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-13 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-14 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-15 04:00:00+00:00,1.13,1.13,1.13,1.13,1.13,0.0
2024-08-16 04:00:00+00:00,1.69,1.69,1.69,1.69,1.69,200.0
2024-08-19 04:00:00+00:00,1.7,1.75,1.7,1.75,1.75,400.0
2024-08-20 04:00:00+00:00,1.75,1.75,1.75,1.75,1.75,0.0
2024-08-21 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,100.0
2024-08-22 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-08-23 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-08-26 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-08-27 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-08-28 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-08-29 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-08-30 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-09-03 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-09-04 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-09-05 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-09-06 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-09-09 04:00:00+00:00,1.6,1.6,1.6,1.6,1.6,0.0
2024-09-10 04:00:00+00:00,1.55,1.72,1.5,1.5,1.5,1403.0
2024-09-11 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-12 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-13 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-16 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-17 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-18 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-19 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-20 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-23 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-24 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-25 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-26 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-27 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-09-30 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-10-01 04:00:00+00:00,1.5,1.5,1.5,1.5,1.5,0.0
2024-10-02 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,100.0
2024-10-03 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-04 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-07 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-08 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-09 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-10 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-11 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-14 04:00:00+00:00,1.49,1.49,1.49,1.49,1.49,0.0
2024-10-15 04:00:00+00:00,1.71,1.71,1.2,1.21,1.21,600.0
2024-10-16 04:00:00+00:00,1.3,1.3,1.3,1.3,1.3,259.0
2024-10-17 04:00:00+00:00,1.55,1.55,1.55,1.55,1.55,100.0
2024-10-18 04:00:00+00:00,1.55,1.55,1.55,1.55,1.55,0.0
2024-10-21 04:00:00+00:00,1.55,1.55,1.55,1.55,1.55,0.0
2024-10-22 04:00:00+00:00,1.8,1.8,1.8,1.8,1.8,300.0
2024-10-23 04:00:00+00:00,2.1,2.1,2.1,2.1,2.1,100.0
2024-10-24 04:00:00+00:00,2.5,2.69,2.5,2.69,2.69,400.0
2024-10-25 04:00:00+00:00,4.2,4.94,3.4,3.4,3.4,400.0
2024-10-28 04:00:00+00:00,3.4,3.4,3.4,3.4,3.4,0.0
2024-10-29 04:00:00+00:00,3.4,3.4,3.4,3.4,3.4,0.0
2024-10-30 04:00:00+00:00,2.71,2.71,2.45,2.45,2.45,1000.0
2024-10-31 04:00:00+00:00,2.45,2.45,2.45,2.45,2.45,0.0
2024-11-01 04:00:00+00:00,2.25,2.25,2.25,2.25,2.25,100.0
2024-11-04 05:00:00+00:00,2.25,2.25,2.25,2.25,2.25,0.0
2024-11-05 05:00:00+00:00,2.25,2.25,2.25,2.25,2.25,0.0
2024-11-06 05:00:00+00:00,2.25,2.25,2.25,2.25,2.25,0.0
2024-11-07 05:00:00+00:00,2.25,2.25,2.25,2.25,2.25,0.0
2024-11-08 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,100.0
2024-11-11 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-12 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-13 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-14 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-15 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-18 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-19 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-20 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-21 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-22 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-25 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
2024-11-26 05:00:00+00:00,2.15,2.15,2.15,2.15,2.15,0.0
