Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,11.22,11.22,11.22,11.22,11.22,100.0
2020-07-30 04:00:00+00:00,11.22,11.22,11.22,11.22,11.22,100.0
2020-08-04 04:00:00+00:00,11.31,11.31,11.3,11.3,11.3,200.0
2020-08-05 04:00:00+00:00,11.25,11.37,11.25,11.37,11.37,600.0
2020-08-06 04:00:00+00:00,11.39,11.39,11.39,11.39,11.39,100.0
2020-08-10 04:00:00+00:00,11.53,11.55,11.5,11.5,11.5,574.0
2020-08-14 04:00:00+00:00,11.32,11.32,11.32,11.32,11.32,121.0
2020-08-17 04:00:00+00:00,11.3,11.3,11.3,11.3,11.3,300.0
2020-08-19 04:00:00+00:00,11.26,11.3,11.26,11.28,11.28,300.0
2020-08-21 04:00:00+00:00,11.24,11.25,11.23,11.25,11.25,600.0
2020-08-26 04:00:00+00:00,11.35,11.39,11.35,11.36,11.36,900.0
2020-09-02 04:00:00+00:00,11.28,11.31,11.28,11.28,11.28,500.0
2020-09-03 04:00:00+00:00,11.57,11.57,11.57,11.57,11.57,100.0
2020-09-11 04:00:00+00:00,11.48,11.48,11.48,11.48,11.48,445.0
2020-09-21 04:00:00+00:00,11.22,11.22,11.22,11.22,11.22,659.0
2020-09-25 04:00:00+00:00,11.14,11.14,11.13,11.13,11.13,200.0
2020-09-28 04:00:00+00:00,11.06,11.06,11.05,11.05,11.05,200.0
2020-10-05 04:00:00+00:00,11.0,11.0,11.0,11.0,11.0,100.0
2020-10-06 04:00:00+00:00,11.05,11.05,11.05,11.05,11.05,100.0
2020-10-08 04:00:00+00:00,11.07,11.07,11.07,11.07,11.07,200.0
2020-10-16 04:00:00+00:00,11.11,11.11,11.11,11.11,11.11,188.0
2020-11-12 05:00:00+00:00,11.23,11.23,11.23,11.23,11.23,445.0
2020-11-17 05:00:00+00:00,11.25,11.25,11.14,11.14,11.14,1000.0
2020-11-18 05:00:00+00:00,11.04,11.04,11.04,11.04,11.04,100.0
2020-11-25 05:00:00+00:00,11.1,11.12,11.1,11.12,11.12,200.0
2020-12-03 05:00:00+00:00,11.16,11.21,11.16,11.21,11.21,200.0
2020-12-04 05:00:00+00:00,11.24,11.24,11.21,11.21,11.21,300.0
2020-12-07 05:00:00+00:00,11.2,11.2,11.15,11.15,11.15,300.0
2020-12-11 05:00:00+00:00,11.51,11.52,11.51,11.52,11.52,900.0
2020-12-14 05:00:00+00:00,11.62,11.62,11.62,11.62,11.62,100.0
2020-12-16 05:00:00+00:00,11.57,11.57,11.57,11.57,11.57,200.0
2020-12-17 05:00:00+00:00,11.71,11.71,11.71,11.71,11.71,300.0
2020-12-23 05:00:00+00:00,12.29,12.29,12.29,12.29,12.29,200.0
2020-12-24 05:00:00+00:00,11.98,11.98,11.98,11.98,11.98,100.0
2020-12-29 05:00:00+00:00,11.98,11.98,11.92,11.92,11.92,359.0
2020-12-30 05:00:00+00:00,11.94,11.94,11.94,11.94,11.94,300.0
2020-12-31 05:00:00+00:00,12.22,12.22,12.22,12.22,12.22,100.0
2021-01-04 05:00:00+00:00,12.3,12.3,11.97,11.97,11.97,502.0
2021-01-05 05:00:00+00:00,12.06,12.06,12.02,12.02,12.02,300.0
2021-01-06 05:00:00+00:00,12.15,12.15,12.15,12.15,12.15,100.0
2021-01-15 05:00:00+00:00,12.1,12.1,12.1,12.1,12.1,200.0
2021-01-20 05:00:00+00:00,12.2,12.2,12.18,12.18,12.18,200.0
2021-01-28 05:00:00+00:00,11.94,12.01,11.94,12.01,12.01,200.0
2021-02-01 05:00:00+00:00,11.95,11.95,11.95,11.95,11.95,100.0
2021-02-02 05:00:00+00:00,12.01,12.01,12.01,12.01,12.01,100.0
2021-02-12 05:00:00+00:00,11.9,11.9,11.9,11.9,11.9,100.0
2021-02-16 05:00:00+00:00,12.0,12.0,11.9,11.9,11.9,200.0
2021-02-22 05:00:00+00:00,11.74,11.74,11.74,11.74,11.74,100.0
2021-02-23 05:00:00+00:00,11.77,11.77,11.77,11.77,11.77,104.0
2021-02-24 05:00:00+00:00,11.79,11.79,11.79,11.79,11.79,100.0
2021-02-25 05:00:00+00:00,11.85,11.85,11.85,11.85,11.85,100.0
2021-03-15 04:00:00+00:00,12.21,12.21,12.21,12.21,12.21,100.0
2021-03-19 04:00:00+00:00,12.12,12.13,12.12,12.12,12.12,400.0
2021-04-15 04:00:00+00:00,12.32,12.32,12.32,12.32,12.32,200.0
