Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,26.61,26.61,26.19,26.31,26.31,15952.0
2020-07-28 04:00:00+00:00,26.55,26.8,26.43,26.64,26.64,15523.0
2020-07-29 04:00:00+00:00,26.58,26.9,26.53,26.82,26.82,11516.0
2020-07-30 04:00:00+00:00,26.47,26.87,26.35,26.81,26.81,12745.0
2020-07-31 04:00:00+00:00,26.64,26.72,26.16,26.72,26.72,14572.0
2020-08-03 04:00:00+00:00,26.3,26.37,26.03,26.32,26.32,16696.0
2020-08-04 04:00:00+00:00,26.47,26.94,26.38,26.8,26.8,74819.0
2020-08-05 04:00:00+00:00,26.85,26.89,26.22,26.22,26.22,42575.0
2020-08-06 04:00:00+00:00,26.65,27.4,26.34,26.77,26.77,41986.0
2020-08-07 04:00:00+00:00,26.57,27.16,26.44,27.04,27.04,61287.0
2020-08-10 04:00:00+00:00,27.27,27.57,27.27,27.46,27.46,9229.0
2020-08-11 04:00:00+00:00,27.63,27.66,26.62,26.68,26.68,26887.0
2020-08-12 04:00:00+00:00,26.94,27.25,26.73,27.11,27.11,29865.0
2020-08-13 04:00:00+00:00,26.81,27.08,26.6,26.83,26.83,19188.0
2020-08-14 04:00:00+00:00,26.46,26.8,26.43,26.52,26.52,30936.0
2020-08-17 04:00:00+00:00,26.34,26.73,26.33,26.36,26.36,27146.0
2020-08-18 04:00:00+00:00,26.35,26.44,26.1,26.36,26.36,17425.0
2020-08-19 04:00:00+00:00,26.33,26.55,26.05,26.07,26.07,37343.0
2020-08-20 04:00:00+00:00,26.31,26.51,26.12,26.18,26.18,58145.0
2020-08-21 04:00:00+00:00,26.01,26.1,25.81,25.99,25.99,8808.0
2020-08-24 04:00:00+00:00,26.01,26.42,25.91,26.4,26.4,7366.0
2020-08-25 04:00:00+00:00,26.36,26.42,26.07,26.17,26.17,44998.0
2020-08-26 04:00:00+00:00,25.86,25.86,25.27,25.42,25.42,24421.0
2020-08-27 04:00:00+00:00,25.56,25.81,25.53,25.63,25.63,24072.0
2020-08-28 04:00:00+00:00,25.66,25.85,25.49,25.84,25.84,57786.0
2020-08-31 04:00:00+00:00,25.89,26.03,25.68,25.93,25.93,40810.0
