Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,35.02,35.915,35.02,35.85,35.85,12610.0
2020-07-28 04:00:00+00:00,35.79,35.79,35.09,35.11,35.11,8529.0
2020-07-29 04:00:00+00:00,35.11,36.225,35.08,36.02,36.02,15054.0
2020-07-30 04:00:00+00:00,35.785,37.7,35.785,37.64,37.64,12509.0
2020-07-31 04:00:00+00:00,36.895,37.83,36.855,37.82,37.82,10908.0
2020-08-03 04:00:00+00:00,38.395,39.445,38.33,39.34,39.34,9345.0
2020-08-04 04:00:00+00:00,39.045,39.045,38.565,38.68,38.68,13874.0
2020-08-05 04:00:00+00:00,35.77,38.78,35.6,38.65,38.65,41606.0
2020-08-06 04:00:00+00:00,38.0,38.0,36.43,36.43,36.43,4491.0
2020-08-07 04:00:00+00:00,36.68,36.94,34.575,35.09,35.09,11372.0
2020-08-10 04:00:00+00:00,35.11,35.11,33.9,33.915,33.915,21340.0
2020-08-11 04:00:00+00:00,34.495,34.62,33.95,34.02,34.02,8424.0
2020-08-12 04:00:00+00:00,34.715,35.33,34.49,35.15,35.15,18904.0
2020-08-13 04:00:00+00:00,34.635,35.015,34.62,34.69,34.69,13530.0
2020-08-14 04:00:00+00:00,35.01,35.12,34.67,34.99,34.99,3470.0
2020-08-17 04:00:00+00:00,35.125,36.56,35.125,36.31,36.31,18148.0
2020-08-18 04:00:00+00:00,36.205,36.215,34.7,34.81,34.81,16471.0
2020-08-19 04:00:00+00:00,35.0,35.29,33.93,33.98,33.98,13336.0
2020-08-20 04:00:00+00:00,32.8,32.835,32.17,32.68,32.68,5735.0
2020-08-21 04:00:00+00:00,32.39,32.67,32.29,32.53,32.53,4912.0
2020-08-24 04:00:00+00:00,32.655,32.675,32.23,32.37,32.37,1867.0
2020-08-25 04:00:00+00:00,32.12,32.53,32.06,32.5,32.5,2648.0
2020-08-26 04:00:00+00:00,32.385,32.575,32.21,32.27,32.27,5909.0
2020-08-27 04:00:00+00:00,32.165,32.165,31.28,31.79,31.79,10129.0
2020-08-28 04:00:00+00:00,31.79,32.025,31.79,31.97,31.97,906.0
2020-08-31 04:00:00+00:00,31.625,31.73,31.315,31.32,31.32,3714.0
2020-09-01 04:00:00+00:00,31.425,32.09,31.425,32.07,32.07,3984.0
2020-09-02 04:00:00+00:00,32.88,33.17,32.49,33.155,33.155,4947.0
2020-09-03 04:00:00+00:00,32.065,32.125,31.525,32.08,32.08,6469.0
2020-09-04 04:00:00+00:00,32.125,32.48,30.76,31.04,31.04,7972.0
2020-09-08 04:00:00+00:00,29.84,29.84,28.915,29.255,29.255,18996.0
2020-09-09 04:00:00+00:00,29.63,29.97,28.82,29.515,29.515,43696.0
2020-09-10 04:00:00+00:00,29.705,29.77,28.655,28.77,28.77,14787.0
2020-09-11 04:00:00+00:00,28.89,29.03,28.15,28.34,28.34,7764.0
2020-09-14 04:00:00+00:00,29.125,29.23,28.66,29.01,29.01,11169.0
2020-09-15 04:00:00+00:00,29.03,29.105,28.67,28.86,28.86,11673.0
2020-09-16 04:00:00+00:00,29.02,29.51,29.02,29.17,29.17,4097.0
2020-09-17 04:00:00+00:00,28.71,29.645,28.66,29.52,29.52,13102.0
2020-09-18 04:00:00+00:00,29.89,30.0,29.075,29.53,29.53,11977.0
2020-09-21 04:00:00+00:00,29.17,29.17,28.56,29.01,29.01,11207.0
2020-09-22 04:00:00+00:00,29.215,29.215,28.375,28.89,28.89,17659.0
2020-09-23 04:00:00+00:00,28.815,28.96,28.305,28.44,28.44,10599.0
2020-09-24 04:00:00+00:00,28.77,29.05,28.47,28.715,28.715,27215.0
2020-09-25 04:00:00+00:00,28.44,28.93,28.42,28.73,28.73,16066.0
2020-09-28 04:00:00+00:00,29.53,29.795,29.35,29.76,29.76,12068.0
2020-09-29 04:00:00+00:00,29.85,30.33,29.755,29.94,29.94,7318.0
2020-09-30 04:00:00+00:00,29.97,30.46,29.615,29.79,29.79,22128.0
2020-10-01 04:00:00+00:00,30.13,30.905,29.99,30.84,30.84,8795.0
2020-10-02 04:00:00+00:00,30.35,30.61,30.23,30.31,30.31,8275.0
2020-10-05 04:00:00+00:00,30.5,30.94,30.5,30.94,30.94,11524.0
2020-10-06 04:00:00+00:00,31.345,31.81,31.005,31.045,31.045,4016.0
