Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,3.96,3.97,3.95,3.95,3.95,1188.0
2020-07-29 04:00:00+00:00,3.77,3.77,3.77,3.77,3.77,100.0
2020-07-30 04:00:00+00:00,3.86,3.86,3.86,3.86,3.86,200.0
2020-07-31 04:00:00+00:00,3.62,3.62,3.62,3.62,3.62,500.0
2020-08-03 04:00:00+00:00,3.87,3.875,3.87,3.875,3.875,1100.0
2020-08-04 04:00:00+00:00,3.985,3.985,3.985,3.985,3.985,100.0
2020-08-07 04:00:00+00:00,3.9,3.9,3.9,3.9,3.9,200.0
2020-08-10 04:00:00+00:00,3.84,4.015,3.84,4.015,4.015,900.0
2020-08-11 04:00:00+00:00,3.86,3.865,3.86,3.865,3.865,500.0
2020-08-18 04:00:00+00:00,3.79,3.81,3.79,3.81,3.81,870.0
2020-08-19 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,100.0
2020-08-20 04:00:00+00:00,3.77,3.77,3.77,3.77,3.77,100.0
2020-08-21 04:00:00+00:00,3.63,3.64,3.61,3.62,3.62,500.0
2020-08-24 04:00:00+00:00,3.43,3.74,3.43,3.74,3.74,1541.0
2020-08-25 04:00:00+00:00,3.67,3.675,3.67,3.675,3.675,300.0
2020-08-26 04:00:00+00:00,3.51,3.51,3.5,3.51,3.51,2100.0
2020-08-27 04:00:00+00:00,3.51,3.51,3.505,3.505,3.505,983.0
2020-08-28 04:00:00+00:00,3.5,3.53,3.49,3.52,3.52,1370.0
2020-08-31 04:00:00+00:00,3.47,3.47,3.45,3.45,3.45,295.0
2020-09-01 04:00:00+00:00,3.375,3.38,3.375,3.38,3.38,300.0
2020-09-02 04:00:00+00:00,3.465,3.48,3.465,3.47,3.47,900.0
2020-09-03 04:00:00+00:00,3.21,3.21,3.11,3.11,3.11,1600.0
2020-09-04 04:00:00+00:00,3.09,3.09,3.09,3.09,3.09,128.0
2020-09-08 04:00:00+00:00,3.25,3.25,3.21,3.21,3.21,500.0
2020-09-09 04:00:00+00:00,2.95,2.95,2.935,2.935,2.935,300.0
2020-09-11 04:00:00+00:00,3.185,3.185,3.185,3.185,3.185,172.0
2020-09-14 04:00:00+00:00,3.08,3.13,3.08,3.085,3.085,400.0
2020-09-15 04:00:00+00:00,2.955,2.955,2.955,2.955,2.955,500.0
2020-09-16 04:00:00+00:00,2.78,2.78,2.78,2.78,2.78,300.0
2020-09-17 04:00:00+00:00,2.77,2.77,2.67,2.67,2.67,400.0
2020-09-18 04:00:00+00:00,2.83,2.885,2.83,2.855,2.855,476.0
2020-09-22 04:00:00+00:00,2.805,3.09,2.805,3.045,3.045,5715.0
2020-09-23 04:00:00+00:00,2.8,2.815,2.77,2.815,2.815,500.0
2020-09-24 04:00:00+00:00,2.85,2.85,2.795,2.795,2.795,400.0
2020-09-25 04:00:00+00:00,2.77,2.855,2.77,2.835,2.835,638.0
2020-09-28 04:00:00+00:00,2.7,2.7,2.7,2.7,2.7,154.0
2020-10-01 04:00:00+00:00,2.63,2.63,2.4,2.56,2.56,5246.0
2020-10-02 04:00:00+00:00,2.53,2.59,2.53,2.59,2.59,500.0
2020-10-06 04:00:00+00:00,2.65,2.65,2.55,2.55,2.55,700.0
2020-10-07 04:00:00+00:00,2.63,2.63,2.59,2.59,2.59,930.0
2020-10-08 04:00:00+00:00,2.73,2.73,2.72,2.72,2.72,501.0
2020-10-09 04:00:00+00:00,2.77,2.79,2.71,2.76,2.76,800.0
2020-10-12 04:00:00+00:00,2.72,2.72,2.72,2.72,2.72,1020.0
2020-10-13 04:00:00+00:00,2.74,2.74,2.61,2.61,2.61,1429.0
2020-10-14 04:00:00+00:00,2.71,2.71,2.54,2.54,2.54,3120.0
2020-10-15 04:00:00+00:00,2.54,2.55,2.5,2.52,2.52,1444.0
2020-10-16 04:00:00+00:00,2.81,2.81,2.64,2.68,2.68,5355.0
