Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,29.9,29.9,26.3,28.1,28.1,1382.0
2020-07-28 04:00:00+00:00,27.6,28.1,26.8,27.1,27.1,601.0
2020-07-29 04:00:00+00:00,27.9,29.1,27.1,28.7,28.7,380.0
2020-07-30 04:00:00+00:00,27.7,27.7,27.5,27.7,27.7,104.0
2020-07-31 04:00:00+00:00,27.7,27.7,27.0,27.2,27.2,92.0
2020-08-03 04:00:00+00:00,27.7,27.9,27.4,27.9,27.9,431.0
2020-08-04 04:00:00+00:00,27.3,27.8,25.2,26.3,26.3,507.0
2020-08-05 04:00:00+00:00,27.1,27.1,26.7,26.7,26.7,45.0
2020-08-06 04:00:00+00:00,25.3,26.3,25.2,25.8,25.8,412.0
2020-08-07 04:00:00+00:00,25.8,26.2,25.3,25.8,25.8,582.0
2020-08-10 04:00:00+00:00,26.6,27.3,25.7,27.3,27.3,583.0
2020-08-11 04:00:00+00:00,27.8,27.8,26.2,26.4,26.4,319.0
2020-08-12 04:00:00+00:00,27.1,27.4,26.9,27.0,27.0,315.0
2020-08-13 04:00:00+00:00,26.6,27.1,26.0,26.5,26.5,860.0
2020-08-14 04:00:00+00:00,27.8,29.6,27.6,27.9,27.9,652.0
2020-08-17 04:00:00+00:00,28.8,28.8,27.6,28.1,28.1,1157.0
2020-08-18 04:00:00+00:00,28.2,28.2,27.0,28.1,28.1,1857.0
2020-08-19 04:00:00+00:00,27.8,31.6,27.4,30.3,30.3,2154.0
2020-08-20 04:00:00+00:00,30.8,30.8,29.3,29.7,29.7,250.0
2020-08-21 04:00:00+00:00,28.8,29.4,27.4,27.7,27.7,1037.0
2020-08-24 04:00:00+00:00,27.4,27.8,23.6,26.9,26.9,500.0
2020-08-25 04:00:00+00:00,25.2,26.0,25.1,25.6,25.6,454.0
2020-08-26 04:00:00+00:00,17.4,18.0,16.08,16.48,16.48,671.0
2020-08-27 04:00:00+00:00,14.5,14.5,13.08,14.12,14.12,1414.0
2020-08-28 04:00:00+00:00,14.3,14.3,13.54,13.59,13.59,90.0
2020-08-31 04:00:00+00:00,13.49,13.49,12.99,12.99,12.99,87.0
2020-09-01 04:00:00+00:00,11.97,12.0,11.8,11.8,11.8,30.0
2020-09-02 04:00:00+00:00,12.12,12.12,11.79,11.83,11.83,40.0
2020-09-03 04:00:00+00:00,13.78,13.78,13.78,13.78,13.78,5.0
2020-09-04 04:00:00+00:00,13.34,13.34,13.0,13.0,13.0,61.0
2020-09-08 04:00:00+00:00,13.16,13.16,12.85,12.85,12.85,15.0
2020-09-09 04:00:00+00:00,13.04,13.04,12.95,12.95,12.95,21.0
2020-09-10 04:00:00+00:00,12.68,12.68,12.68,12.68,12.68,5.0
2020-09-11 04:00:00+00:00,12.48,12.62,12.2,12.2,12.2,700.0
2020-09-14 04:00:00+00:00,12.3,12.7,12.3,12.47,12.47,30.0
2020-09-15 04:00:00+00:00,12.89,13.18,12.89,12.96,12.96,737.0
