Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29 04:00:00+00:00,9.918,9.918,9.857,9.857,9.857,1102.0
2020-07-30 04:00:00+00:00,9.835,9.835,9.758,9.758,9.758,300.0
2020-08-03 04:00:00+00:00,9.815,9.815,9.815,9.815,9.815,100.0
2020-08-04 04:00:00+00:00,9.988,9.988,9.988,9.988,9.988,100.0
2020-08-05 04:00:00+00:00,10.1,10.28,10.1,10.28,10.28,610.0
2020-08-10 04:00:00+00:00,10.4,10.45,10.37,10.45,10.45,500.0
2020-08-11 04:00:00+00:00,10.44,10.44,10.44,10.44,10.44,100.0
2020-08-12 04:00:00+00:00,10.49,10.49,10.49,10.49,10.49,100.0
2020-08-13 04:00:00+00:00,10.42,10.42,10.4,10.4,10.4,200.0
2020-08-14 04:00:00+00:00,10.48,10.49,10.3,10.3,10.3,700.0
2020-08-17 04:00:00+00:00,10.18,10.2,10.01,10.2,10.2,1286.0
2020-08-18 04:00:00+00:00,10.16,10.22,10.13,10.17,10.17,1270.0
2020-08-20 04:00:00+00:00,10.2,10.23,10.15,10.23,10.23,2600.0
2020-08-21 04:00:00+00:00,10.17,10.17,10.09,10.09,10.09,318.0
2020-08-24 04:00:00+00:00,10.05,10.07,10.05,10.07,10.07,530.0
2020-08-25 04:00:00+00:00,10.08,10.1,10.08,10.1,10.1,200.0
2020-08-26 04:00:00+00:00,10.06,10.11,10.05,10.11,10.11,497.0
2020-08-27 04:00:00+00:00,10.1,10.13,10.1,10.13,10.13,1314.0
2020-08-28 04:00:00+00:00,10.17,10.17,10.06,10.17,10.17,1006.0
2020-08-31 04:00:00+00:00,10.15,10.15,10.15,10.15,10.15,300.0
2020-09-01 04:00:00+00:00,10.17,10.17,10.17,10.17,10.17,221.0
2020-09-02 04:00:00+00:00,10.28,10.36,10.22,10.22,10.22,1700.0
2020-09-08 04:00:00+00:00,10.27,10.27,10.27,10.27,10.27,100.0
2020-09-09 04:00:00+00:00,10.3,10.3,10.26,10.26,10.26,5745.0
2020-09-10 04:00:00+00:00,10.31,10.32,10.3,10.3,10.3,410.0
2020-09-11 04:00:00+00:00,10.3,10.37,10.24,10.3,10.3,1000.0
2020-09-14 04:00:00+00:00,10.38,10.43,10.38,10.43,10.43,800.0
2020-09-15 04:00:00+00:00,10.39,10.39,10.39,10.39,10.39,100.0
2020-09-16 04:00:00+00:00,10.39,10.39,10.36,10.36,10.36,200.0
