Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,4.22,4.48,3.75,3.99,3.99,11214.0
2020-07-28 04:00:00+00:00,3.78,3.78,3.58,3.68,3.68,1067.0
2020-07-29 04:00:00+00:00,3.65,3.65,3.55,3.55,3.55,600.0
2020-07-30 04:00:00+00:00,3.64,3.87,3.64,3.82,3.82,2430.0
2020-08-03 04:00:00+00:00,3.64,4.38,3.63,4.27,4.27,1774.0
2020-08-04 04:00:00+00:00,4.4,4.78,4.16,4.63,4.63,2387.0
2020-08-05 04:00:00+00:00,4.69,4.9,4.33,4.35,4.35,2696.0
2020-08-06 04:00:00+00:00,4.03,4.19,3.855,3.855,3.855,15804.0
2020-08-07 04:00:00+00:00,3.895,4.07,3.89,3.915,3.915,4563.0
2020-08-10 04:00:00+00:00,3.885,4.04,3.79,3.92,3.92,9980.0
2020-08-11 04:00:00+00:00,3.035,3.105,2.905,2.99,2.99,137629.0
2020-08-12 04:00:00+00:00,2.975,2.98,2.9,2.93,2.93,62927.0
2020-08-13 04:00:00+00:00,2.985,2.985,2.795,2.9,2.9,74216.0
2020-08-14 04:00:00+00:00,2.85,2.94,2.725,2.805,2.805,60910.0
2020-08-17 04:00:00+00:00,2.775,2.94,2.73,2.81,2.81,16097.0
2020-08-18 04:00:00+00:00,2.86,2.98,2.86,2.945,2.945,14113.0
2020-08-19 04:00:00+00:00,2.99,3.0,2.915,2.93,2.93,6500.0
2020-08-20 04:00:00+00:00,2.895,2.925,2.89,2.905,2.905,1182.0
2020-08-21 04:00:00+00:00,3.0,3.25,2.905,2.905,2.905,24995.0
2020-08-24 04:00:00+00:00,2.74,2.75,2.7,2.74,2.74,3082.0
2020-08-25 04:00:00+00:00,2.685,2.71,2.66,2.66,2.66,1096.0
2020-08-26 04:00:00+00:00,2.745,2.755,2.72,2.75,2.75,2308.0
2020-08-27 04:00:00+00:00,2.72,2.72,2.345,2.38,2.38,4953.0
2020-08-28 04:00:00+00:00,2.39,2.46,2.38,2.46,2.46,1948.0
2020-08-31 04:00:00+00:00,2.41,2.41,2.41,2.41,2.41,100.0
2020-09-01 04:00:00+00:00,2.36,2.36,2.325,2.34,2.34,651.0
2020-09-02 04:00:00+00:00,2.24,2.24,2.105,2.2,2.2,4436.0
2020-09-03 04:00:00+00:00,2.215,2.215,2.05,2.085,2.085,7608.0
2020-09-04 04:00:00+00:00,2.09,2.325,1.88,2.3,2.3,16673.0
2020-09-08 04:00:00+00:00,2.22,2.28,2.195,2.2,2.2,1832.0
2020-09-09 04:00:00+00:00,2.21,2.21,2.205,2.205,2.205,1085.0
2020-09-10 04:00:00+00:00,2.165,2.215,2.155,2.18,2.18,2201.0
2020-09-11 04:00:00+00:00,2.205,2.22,2.11,2.135,2.135,2929.0
2020-09-14 04:00:00+00:00,2.25,2.29,2.25,2.29,2.29,2900.0
2020-09-15 04:00:00+00:00,2.37,2.52,2.37,2.48,2.48,2737.0
2020-09-16 04:00:00+00:00,2.635,2.635,2.58,2.58,2.58,2685.0
2020-09-17 04:00:00+00:00,2.48,2.605,2.48,2.52,2.52,6819.0
2020-09-18 04:00:00+00:00,2.5,2.825,2.5,2.825,2.825,11395.0
2020-09-21 04:00:00+00:00,2.77,2.77,2.62,2.72,2.72,1700.0
2020-09-22 04:00:00+00:00,2.655,2.655,2.655,2.655,2.655,250.0
2020-09-23 04:00:00+00:00,2.65,2.65,2.37,2.37,2.37,2264.0
2020-09-24 04:00:00+00:00,2.2,2.285,2.2,2.285,2.285,1954.0
2020-09-25 04:00:00+00:00,2.37,2.48,2.34,2.34,2.34,5150.0
2020-09-28 04:00:00+00:00,2.34,2.395,2.31,2.36,2.36,6493.0
2020-09-29 04:00:00+00:00,2.36,2.41,2.32,2.32,2.32,7600.0
2020-09-30 04:00:00+00:00,2.39,2.4,2.31,2.31,2.31,30218.0
2020-10-01 04:00:00+00:00,2.36,2.36,2.17,2.215,2.215,6980.0
2020-10-02 04:00:00+00:00,2.19,2.21,2.135,2.17,2.17,7526.0
2020-10-05 04:00:00+00:00,2.2,2.3,2.15,2.26,2.26,7500.0
2020-10-06 04:00:00+00:00,2.25,2.47,2.25,2.38,2.38,2110.0
2020-10-07 04:00:00+00:00,2.44,2.44,2.44,2.44,2.44,202.0
2020-10-08 04:00:00+00:00,2.4,2.4,2.32,2.32,2.32,450.0
2020-10-09 04:00:00+00:00,2.32,2.325,2.285,2.32,2.32,3700.0
2020-10-12 04:00:00+00:00,2.23,2.29,2.23,2.275,2.275,2750.0
2020-10-13 04:00:00+00:00,2.28,2.48,2.28,2.48,2.48,3900.0
2020-10-14 04:00:00+00:00,2.38,2.4,2.33,2.33,2.33,2495.0
2020-10-15 04:00:00+00:00,2.28,2.37,2.27,2.37,2.37,5145.0
2020-10-16 04:00:00+00:00,2.3,2.37,2.3,2.37,2.37,1580.0
2020-10-19 04:00:00+00:00,2.37,2.38,2.24,2.24,2.24,3600.0
2020-10-20 04:00:00+00:00,2.18,2.2,2.14,2.17,2.17,4470.0
2020-10-21 04:00:00+00:00,2.17,2.17,1.98,2.04,2.04,5800.0
2020-10-22 04:00:00+00:00,2.055,2.29,1.94,2.27,2.27,8033.0
2020-10-23 04:00:00+00:00,2.18,2.24,2.15,2.24,2.24,814.0
2020-10-26 04:00:00+00:00,2.21,2.21,2.03,2.05,2.05,2171.0
2020-10-27 04:00:00+00:00,2.07,2.07,2.04,2.04,2.04,400.0
2020-10-28 04:00:00+00:00,2.03,2.03,1.88,1.9,1.9,12113.0
2020-10-29 04:00:00+00:00,1.93,2.24,1.91,2.12,2.12,10876.0
2020-10-30 04:00:00+00:00,2.09,2.13,1.94,2.02,2.02,10195.0
2020-11-02 05:00:00+00:00,2.13,2.13,1.98,2.05,2.05,3885.0
2020-11-03 05:00:00+00:00,2.02,2.02,1.95,1.95,1.95,4000.0
2020-11-04 05:00:00+00:00,2.08,2.505,2.07,2.49,2.49,36567.0
2020-11-05 05:00:00+00:00,2.4,2.42,2.26,2.3,2.3,3568.0
2020-11-06 05:00:00+00:00,2.2,2.35,2.2,2.35,2.35,1998.0
2020-11-09 05:00:00+00:00,2.1,2.1,1.975,2.05,2.05,4600.0
2020-11-10 05:00:00+00:00,2.02,2.22,1.94,2.11,2.11,5713.0
2020-11-11 05:00:00+00:00,2.16,2.22,2.13,2.215,2.215,6412.0
2020-11-12 05:00:00+00:00,2.18,2.18,2.07,2.07,2.07,4121.0
2020-11-13 05:00:00+00:00,2.045,2.09,1.99,2.09,2.09,15253.0
2020-11-16 05:00:00+00:00,2.05,2.09,2.04,2.09,2.09,1600.0
2020-11-17 05:00:00+00:00,2.06,2.15,2.05,2.14,2.14,3194.0
2020-11-18 05:00:00+00:00,2.13,2.13,2.04,2.05,2.05,2740.0
2020-11-19 05:00:00+00:00,2.02,2.04,1.97,2.02,2.02,1360.0
2020-11-20 05:00:00+00:00,2.02,2.05,2.0,2.0,2.0,2000.0
2020-11-23 05:00:00+00:00,2.03,2.03,1.94,1.97,1.97,6479.0
2020-11-24 05:00:00+00:00,1.95,2.005,1.94,1.97,1.97,3007.0
2020-11-25 05:00:00+00:00,1.93,1.975,1.915,1.965,1.965,6329.0
2020-11-27 05:00:00+00:00,2.05,2.14,2.05,2.14,2.14,3000.0
2020-11-30 05:00:00+00:00,2.14,2.17,2.095,2.15,2.15,1723.0
2020-12-01 05:00:00+00:00,2.25,2.25,2.13,2.15,2.15,5908.0
2020-12-02 05:00:00+00:00,2.13,2.155,2.1,2.15,2.15,19764.0
2020-12-03 05:00:00+00:00,2.17,2.17,2.105,2.105,2.105,935.0
2020-12-04 05:00:00+00:00,2.28,2.72,2.22,2.65,2.65,51897.0
2020-12-07 05:00:00+00:00,2.57,2.59,2.31,2.385,2.385,7353.0
2020-12-08 05:00:00+00:00,2.41,2.41,2.39,2.4,2.4,731.0
2020-12-09 05:00:00+00:00,2.38,2.38,2.08,2.14,2.14,7302.0
2020-12-10 05:00:00+00:00,2.14,2.205,2.135,2.16,2.16,1762.0
2020-12-11 05:00:00+00:00,2.125,2.16,2.1,2.15,2.15,2180.0
2020-12-14 05:00:00+00:00,2.18,2.18,2.12,2.13,2.13,4454.0
2020-12-15 05:00:00+00:00,2.1,2.13,2.07,2.13,2.13,4911.0
2020-12-16 05:00:00+00:00,2.13,2.13,2.085,2.085,2.085,1209.0
2020-12-17 05:00:00+00:00,2.09,2.125,2.065,2.07,2.07,3999.0
2020-12-18 05:00:00+00:00,2.11,2.13,2.06,2.07,2.07,7145.0
2020-12-21 05:00:00+00:00,2.12,2.31,2.11,2.22,2.22,2853.0
2020-12-22 05:00:00+00:00,2.25,2.28,2.145,2.28,2.28,3178.0
2020-12-23 05:00:00+00:00,2.3,2.44,2.3,2.405,2.405,5910.0
2020-12-24 05:00:00+00:00,2.4,2.4,2.33,2.33,2.33,11053.0
2020-12-28 05:00:00+00:00,2.31,2.31,2.21,2.21,2.21,1244.0
2020-12-29 05:00:00+00:00,2.12,2.2,2.07,2.185,2.185,5736.0
2020-12-30 05:00:00+00:00,2.21,2.25,2.18,2.22,2.22,3677.0
2020-12-31 05:00:00+00:00,2.26,2.26,2.15,2.15,2.15,1530.0
2021-01-04 05:00:00+00:00,2.16,2.34,2.15,2.305,2.305,3089.0
2021-01-05 05:00:00+00:00,2.32,2.42,2.3,2.41,2.41,4293.0
2021-01-06 05:00:00+00:00,2.39,2.48,2.355,2.37,2.37,5883.0
2021-01-07 05:00:00+00:00,2.44,2.56,2.43,2.56,2.56,1900.0
2021-01-08 05:00:00+00:00,2.51,2.57,2.36,2.39,2.39,5681.0
2021-01-11 05:00:00+00:00,2.415,2.48,2.4,2.47,2.47,2400.0
2021-01-12 05:00:00+00:00,2.51,2.53,2.475,2.525,2.525,3015.0
2021-01-13 05:00:00+00:00,2.485,2.59,2.485,2.58,2.58,5101.0
2021-01-14 05:00:00+00:00,2.74,2.81,2.7,2.78,2.78,1821.0
2021-01-15 05:00:00+00:00,2.82,2.82,2.67,2.67,2.67,4078.0
2021-01-19 05:00:00+00:00,2.67,2.73,2.65,2.7,2.7,5365.0
2021-01-20 05:00:00+00:00,2.74,2.9,2.74,2.82,2.82,8141.0
2021-01-21 05:00:00+00:00,2.8,2.815,2.77,2.77,2.77,858.0
2021-01-22 05:00:00+00:00,2.725,2.85,2.725,2.85,2.85,1350.0
2021-01-25 05:00:00+00:00,2.945,2.965,2.72,2.96,2.96,5407.0
2021-01-26 05:00:00+00:00,3.06,3.06,2.9,2.99,2.99,2830.0
2021-01-27 05:00:00+00:00,2.795,2.89,2.63,2.71,2.71,2977.0
2021-01-28 05:00:00+00:00,2.68,2.76,2.57,2.57,2.57,4239.0
2021-01-29 05:00:00+00:00,2.67,3.09,2.615,2.99,2.99,9083.0
2021-02-01 05:00:00+00:00,3.21,3.6,3.21,3.57,3.57,31960.0
2021-02-02 05:00:00+00:00,3.73,3.91,3.5,3.85,3.85,8669.0
2021-02-03 05:00:00+00:00,4.05,4.05,3.3,3.545,3.545,22276.0
2021-02-04 05:00:00+00:00,3.56,4.11,3.53,4.11,4.11,7566.0
2021-02-05 05:00:00+00:00,4.015,4.19,3.8,4.12,4.12,7176.0
2021-02-08 05:00:00+00:00,4.16,4.45,3.99,4.4,4.4,14641.0
2021-02-09 05:00:00+00:00,4.32,6.88,4.21,6.88,6.88,68566.0
2021-02-10 05:00:00+00:00,6.29,7.24,5.39,5.56,5.56,75307.0
2021-02-11 05:00:00+00:00,6.26,6.26,5.41,5.56,5.56,10958.0
2021-02-12 05:00:00+00:00,5.63,6.0,5.51,5.56,5.56,7631.0
2021-02-16 05:00:00+00:00,5.6,5.62,4.92,5.085,5.085,19751.0
2021-02-17 05:00:00+00:00,4.87,5.21,4.87,5.16,5.16,5307.0
2021-02-18 05:00:00+00:00,5.16,5.32,4.7,5.0,5.0,3396.0
2021-02-19 05:00:00+00:00,4.94,5.23,4.69,5.05,5.05,11545.0
2021-02-22 05:00:00+00:00,5.26,6.18,5.02,5.465,5.465,44292.0
2021-02-23 05:00:00+00:00,4.75,4.83,4.28,4.66,4.66,3376.0
2021-02-24 05:00:00+00:00,4.8,5.13,4.8,4.855,4.855,5063.0
2021-02-25 05:00:00+00:00,4.82,4.88,4.44,4.55,4.55,1530.0
2021-02-26 05:00:00+00:00,4.43,4.46,4.06,4.18,4.18,3989.0
2021-03-01 05:00:00+00:00,4.26,4.32,4.205,4.32,4.32,1970.0
2021-03-02 05:00:00+00:00,4.29,4.35,4.16,4.2,4.2,1535.0
2021-03-03 05:00:00+00:00,4.02,4.16,3.91,4.0,4.0,5259.0
2021-03-04 05:00:00+00:00,3.7,3.8,3.3,3.355,3.355,13875.0
2021-03-05 05:00:00+00:00,3.46,3.67,3.27,3.45,3.45,5954.0
2021-03-08 05:00:00+00:00,3.57,3.81,3.53,3.69,3.69,6185.0
2021-03-09 05:00:00+00:00,3.81,3.95,3.81,3.905,3.905,11320.0
2021-03-10 05:00:00+00:00,3.99,3.99,3.71,3.77,3.77,4632.0
2021-03-11 05:00:00+00:00,4.62,7.03,4.55,5.24,5.24,465782.0
2021-03-12 05:00:00+00:00,4.79,5.68,4.75,5.62,5.62,69951.0
2021-03-15 04:00:00+00:00,5.28,5.71,5.28,5.43,5.43,6782.0
2021-03-16 04:00:00+00:00,5.365,5.5,4.85,5.02,5.02,9626.0
2021-03-17 04:00:00+00:00,5.05,5.42,5.04,5.22,5.22,1938.0
2021-03-18 04:00:00+00:00,5.22,5.325,4.84,4.89,4.89,17617.0
2021-03-19 04:00:00+00:00,5.04,5.37,5.04,5.37,5.37,4173.0
2021-03-22 04:00:00+00:00,5.34,5.35,5.19,5.32,5.32,5581.0
2021-03-23 04:00:00+00:00,5.14,5.18,4.92,4.93,4.93,4667.0
2021-03-24 04:00:00+00:00,4.83,4.88,4.42,4.42,4.42,4161.0
2021-03-25 04:00:00+00:00,4.2,4.45,4.03,4.45,4.45,4942.0
2021-03-26 04:00:00+00:00,4.36,4.46,4.03,4.18,4.18,12620.0
2021-03-29 04:00:00+00:00,4.3,4.46,4.1,4.23,4.23,13278.0
2021-03-30 04:00:00+00:00,4.1,4.43,4.09,4.26,4.26,3221.0
2021-03-31 04:00:00+00:00,4.35,4.51,4.35,4.51,4.51,3245.0
2021-04-01 04:00:00+00:00,4.68,4.72,4.68,4.7,4.7,2120.0
2021-04-05 04:00:00+00:00,4.84,4.84,4.56,4.69,4.69,5193.0
2021-04-06 04:00:00+00:00,4.66,5.08,4.66,4.98,4.98,6380.0
2021-04-07 04:00:00+00:00,4.97,5.67,4.89,5.65,5.65,15266.0
2021-04-08 04:00:00+00:00,5.69,6.13,5.41,5.59,5.59,17910.0
2021-04-09 04:00:00+00:00,5.54,5.68,5.3,5.425,5.425,9241.0
2021-04-12 04:00:00+00:00,5.15,5.2,5.01,5.02,5.02,6768.0
2021-04-13 04:00:00+00:00,5.09,5.3,4.99,5.28,5.28,5241.0
2021-04-14 04:00:00+00:00,5.42,5.48,5.18,5.22,5.22,5406.0
2021-04-15 04:00:00+00:00,5.17,5.25,5.05,5.13,5.13,7159.0
2021-04-16 04:00:00+00:00,5.05,5.38,5.04,5.35,5.35,3887.0
2021-04-19 04:00:00+00:00,5.375,5.375,5.07,5.22,5.22,4125.0
2021-04-20 04:00:00+00:00,5.18,5.24,4.87,4.95,4.95,6234.0
2021-04-21 04:00:00+00:00,4.89,5.28,4.87,5.28,5.28,7112.0
2021-04-22 04:00:00+00:00,5.23,5.52,5.21,5.37,5.37,4794.0
2021-04-23 04:00:00+00:00,5.46,5.645,5.46,5.645,5.645,5075.0
2021-04-26 04:00:00+00:00,5.58,5.93,5.42,5.78,5.78,6553.0
2021-04-27 04:00:00+00:00,5.67,5.85,5.49,5.57,5.57,5090.0
2021-04-28 04:00:00+00:00,5.51,6.09,5.51,5.96,5.96,7510.0
2021-04-29 04:00:00+00:00,6.01,6.01,5.56,5.72,5.72,4611.0
2021-04-30 04:00:00+00:00,5.63,5.92,5.61,5.72,5.72,6443.0
2021-05-03 04:00:00+00:00,5.84,5.94,5.77,5.785,5.785,6722.0
2021-05-04 04:00:00+00:00,5.62,6.35,5.49,6.02,6.02,11921.0
2021-05-05 04:00:00+00:00,6.13,6.14,4.79,4.97,4.97,21117.0
2021-05-06 04:00:00+00:00,5.07,5.22,4.87,4.93,4.93,6590.0
2021-05-07 04:00:00+00:00,4.98,5.11,4.79,4.82,4.82,4386.0
2021-05-10 04:00:00+00:00,4.44,4.5,4.33,4.33,4.33,2165.0
2021-05-11 04:00:00+00:00,4.13,4.71,4.12,4.67,4.67,6439.0
2021-05-12 04:00:00+00:00,4.5,4.64,4.26,4.42,4.42,5599.0
2021-05-13 04:00:00+00:00,4.88,4.91,4.3,4.48,4.48,6790.0
2021-05-14 04:00:00+00:00,4.69,4.785,4.56,4.73,4.73,7728.0
2021-05-17 04:00:00+00:00,4.66,4.93,4.65,4.88,4.88,7907.0
2021-05-18 04:00:00+00:00,4.95,5.65,4.91,5.595,5.595,21085.0
2021-05-19 04:00:00+00:00,5.31,5.8,5.27,5.7,5.7,15885.0
2021-05-20 04:00:00+00:00,6.2,7.73,5.92,7.25,7.25,305526.0
2021-05-21 04:00:00+00:00,7.11,8.5,6.9,8.21,8.21,72955.0
2021-05-24 04:00:00+00:00,8.7,9.09,8.29,8.7,8.7,38366.0
2021-05-25 04:00:00+00:00,8.4,8.81,8.1,8.69,8.69,23620.0
2021-05-26 04:00:00+00:00,8.5,10.6,8.5,10.36,10.36,32234.0
2021-05-27 04:00:00+00:00,10.37,11.76,9.87,11.505,11.505,47388.0
2021-05-28 04:00:00+00:00,11.5,12.42,11.225,12.17,12.17,29196.0
2021-06-01 04:00:00+00:00,12.0,12.16,10.31,10.815,10.815,36774.0
2021-06-02 04:00:00+00:00,11.3,11.91,10.94,11.3,11.3,15316.0
2021-06-03 04:00:00+00:00,11.17,11.65,10.93,11.3,11.3,30400.0
2021-06-04 04:00:00+00:00,11.33,13.43,11.31,12.76,12.76,48689.0
2021-06-07 04:00:00+00:00,12.96,13.14,8.24,9.44,9.44,78848.0
2021-06-08 04:00:00+00:00,11.2,11.55,10.26,11.12,11.12,38340.0
2021-06-09 04:00:00+00:00,11.985,12.7,11.69,11.84,11.84,17906.0
2021-06-10 04:00:00+00:00,11.85,12.66,10.77,12.44,12.44,21543.0
2021-06-11 04:00:00+00:00,12.24,12.42,11.8,12.05,12.05,6120.0
2021-06-14 04:00:00+00:00,12.11,13.18,11.52,12.81,12.81,22140.0
2021-06-15 04:00:00+00:00,9.43,10.04,9.18,9.19,9.19,161273.0
2021-06-16 04:00:00+00:00,9.405,10.37,8.97,9.355,9.355,41911.0
2021-06-17 04:00:00+00:00,9.46,10.08,9.27,9.97,9.97,26721.0
2021-06-18 04:00:00+00:00,10.41,12.19,10.17,11.54,11.54,65076.0
2021-06-21 04:00:00+00:00,11.68,11.7,10.87,11.25,11.25,19926.0
2021-06-22 04:00:00+00:00,11.17,11.17,10.43,10.63,10.63,18092.0
2021-06-23 04:00:00+00:00,10.76,11.28,10.7,10.95,10.95,21349.0
2021-06-24 04:00:00+00:00,10.8,10.935,10.57,10.675,10.675,18658.0
2021-06-25 04:00:00+00:00,10.71,11.03,10.55,10.97,10.97,26834.0
2021-06-28 04:00:00+00:00,11.75,12.0,11.2,11.7,11.7,18933.0
2021-06-29 04:00:00+00:00,11.62,11.71,11.35,11.685,11.685,17675.0
2021-06-30 04:00:00+00:00,11.56,12.98,11.42,12.54,12.54,24997.0
2021-07-01 04:00:00+00:00,12.69,12.69,12.06,12.41,12.41,10327.0
2021-07-02 04:00:00+00:00,11.96,12.22,11.47,11.96,11.96,11121.0
2021-07-06 04:00:00+00:00,11.82,11.82,11.11,11.35,11.35,9583.0
2021-07-07 04:00:00+00:00,10.765,10.96,10.21,10.21,10.21,12840.0
