Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,14.03,14.03,14.01,14.01,14.01,400.0
2020-07-31 04:00:00+00:00,13.87,13.87,13.87,13.87,13.87,300.0
2020-08-03 04:00:00+00:00,13.66,13.81,13.66,13.81,13.81,1500.0
2020-08-04 04:00:00+00:00,13.88,13.94,13.88,13.94,13.94,700.0
2020-08-06 04:00:00+00:00,14.05,14.05,13.92,13.92,13.92,300.0
2020-08-07 04:00:00+00:00,14.13,14.33,14.04,14.24,14.24,1174.0
2020-08-10 04:00:00+00:00,14.49,14.49,14.49,14.49,14.49,100.0
2020-08-11 04:00:00+00:00,14.4,14.4,14.4,14.4,14.4,100.0
2020-08-12 04:00:00+00:00,14.49,14.49,14.49,14.49,14.49,300.0
2020-08-13 04:00:00+00:00,14.27,14.27,14.27,14.27,14.27,100.0
2020-08-21 04:00:00+00:00,15.08,15.08,15.08,15.08,15.08,100.0
2020-08-27 04:00:00+00:00,15.36,15.36,15.34,15.34,15.34,244.0
2020-08-28 04:00:00+00:00,15.13,15.16,15.1,15.16,15.16,300.0
2020-09-01 04:00:00+00:00,14.99,14.99,14.99,14.99,14.99,180.0
2020-09-10 04:00:00+00:00,14.82,14.82,14.82,14.82,14.82,200.0
2020-09-14 04:00:00+00:00,14.94,15.03,14.94,15.03,15.03,200.0
2020-09-17 04:00:00+00:00,15.67,15.74,15.67,15.74,15.74,200.0
2020-09-18 04:00:00+00:00,15.76,15.77,15.75,15.77,15.77,800.0
2020-09-21 04:00:00+00:00,15.66,15.66,15.66,15.66,15.66,1400.0
2020-09-22 04:00:00+00:00,15.38,16.0,15.36,16.0,16.0,4044.0
2020-09-23 04:00:00+00:00,15.59,15.77,15.48,15.77,15.77,6967.0
2020-09-24 04:00:00+00:00,15.03,15.45,15.03,15.45,15.45,1296.0
2020-09-29 04:00:00+00:00,15.87,15.87,15.87,15.87,15.87,582.0
2020-10-02 04:00:00+00:00,16.05,16.11,16.04,16.04,16.04,1100.0
2020-10-07 04:00:00+00:00,16.62,16.62,16.62,16.62,16.62,188.0
2020-10-08 04:00:00+00:00,16.49,16.49,16.49,16.49,16.49,144.0
2020-10-09 04:00:00+00:00,16.06,16.06,16.06,16.06,16.06,100.0
2020-10-13 04:00:00+00:00,16.15,16.15,16.12,16.12,16.12,200.0
2020-10-14 04:00:00+00:00,16.05,16.05,16.05,16.05,16.05,400.0
2020-10-15 04:00:00+00:00,16.05,16.05,16.05,16.05,16.05,182.0
2020-10-19 04:00:00+00:00,16.04,16.04,15.93,15.93,15.93,1805.0
2020-10-21 04:00:00+00:00,15.95,15.95,15.95,15.95,15.95,432.0
2020-11-05 05:00:00+00:00,14.81,15.03,14.81,15.03,15.03,200.0
2020-11-09 05:00:00+00:00,15.69,15.69,15.69,15.69,15.69,100.0
2020-11-10 05:00:00+00:00,15.64,15.66,15.61,15.61,15.61,1100.0
2020-11-16 05:00:00+00:00,15.83,15.83,15.76,15.76,15.76,200.0
2020-12-03 05:00:00+00:00,16.52,16.61,16.52,16.61,16.61,500.0
2020-12-04 05:00:00+00:00,16.52,16.52,16.52,16.52,16.52,700.0
2020-12-10 05:00:00+00:00,16.5,16.51,16.5,16.5,16.5,1000.0
2020-12-11 05:00:00+00:00,16.74,16.74,16.59,16.65,16.65,2400.0
2020-12-14 05:00:00+00:00,16.57,16.62,16.57,16.62,16.62,3659.0
2020-12-16 05:00:00+00:00,16.52,16.52,16.52,16.52,16.52,100.0
2020-12-17 05:00:00+00:00,16.49,16.49,16.49,16.49,16.49,100.0
2020-12-21 05:00:00+00:00,16.54,16.54,16.54,16.54,16.54,200.0
2020-12-24 05:00:00+00:00,16.42,16.66,16.42,16.66,16.66,484.0
2020-12-28 05:00:00+00:00,16.52,16.52,16.52,16.52,16.52,200.0
2020-12-31 05:00:00+00:00,17.71,17.99,17.71,17.99,17.99,2345.0
2021-01-05 05:00:00+00:00,17.41,17.47,17.41,17.47,17.47,766.0
2021-01-06 05:00:00+00:00,17.41,17.41,17.26,17.26,17.26,948.0
2021-01-11 05:00:00+00:00,16.88,16.88,16.88,16.88,16.88,100.0
2021-01-12 05:00:00+00:00,16.75,16.75,16.75,16.75,16.75,380.0
2021-01-19 05:00:00+00:00,16.73,17.15,16.73,17.15,17.15,571.0
2021-01-20 05:00:00+00:00,17.23,17.23,17.23,17.23,17.23,416.0
2021-01-26 05:00:00+00:00,17.09,17.09,17.09,17.09,17.09,100.0
2021-01-27 05:00:00+00:00,17.11,17.11,17.11,17.11,17.11,100.0
2021-02-03 05:00:00+00:00,16.55,16.55,16.53,16.53,16.53,416.0
2021-02-04 05:00:00+00:00,16.7,16.72,16.67,16.72,16.72,900.0
2021-02-17 05:00:00+00:00,16.95,16.95,16.95,16.95,16.95,100.0
2021-02-18 05:00:00+00:00,16.87,16.87,16.87,16.87,16.87,576.0
2021-02-19 05:00:00+00:00,16.95,16.95,16.94,16.94,16.94,344.0
2021-02-25 05:00:00+00:00,16.83,16.83,16.81,16.81,16.81,200.0
2021-03-01 05:00:00+00:00,17.07,17.07,17.07,17.07,17.07,100.0
2021-03-02 05:00:00+00:00,17.18,17.21,17.18,17.21,17.21,300.0
2021-03-03 05:00:00+00:00,17.0,17.02,16.99,16.99,16.99,400.0
2021-03-08 05:00:00+00:00,17.45,17.45,17.45,17.45,17.45,100.0
2021-03-10 05:00:00+00:00,17.39,17.59,17.39,17.59,17.59,303.0
2021-03-16 04:00:00+00:00,17.8,17.8,17.8,17.8,17.8,100.0
2021-03-18 04:00:00+00:00,17.71,17.71,17.71,17.71,17.71,100.0
2021-03-22 04:00:00+00:00,17.68,17.81,17.59,17.6,17.6,1889.0
2021-03-24 04:00:00+00:00,17.81,17.81,17.81,17.81,17.81,180.0
2021-03-25 04:00:00+00:00,17.71,17.85,17.71,17.85,17.85,3500.0
2021-04-01 04:00:00+00:00,18.38,18.38,18.38,18.38,18.38,100.0
2021-04-06 04:00:00+00:00,18.57,18.57,18.57,18.57,18.57,100.0
2021-04-09 04:00:00+00:00,18.73,18.73,18.73,18.73,18.73,400.0
2021-04-12 04:00:00+00:00,18.64,18.95,18.59,18.95,18.95,1213.0
2021-04-26 04:00:00+00:00,18.81,18.81,18.81,18.81,18.81,100.0
2021-05-03 04:00:00+00:00,18.68,18.68,18.68,18.68,18.68,100.0
2021-05-04 04:00:00+00:00,18.66,18.66,18.66,18.66,18.66,100.0
2021-05-05 04:00:00+00:00,18.64,18.65,18.64,18.65,18.65,212.0
2021-05-10 04:00:00+00:00,18.63,18.63,18.53,18.53,18.53,235.0
2021-05-11 04:00:00+00:00,18.36,18.36,18.36,18.36,18.36,200.0
2021-05-20 04:00:00+00:00,18.3,18.3,18.3,18.3,18.3,100.0
2021-05-27 04:00:00+00:00,18.7,18.7,18.7,18.7,18.7,100.0
2021-06-07 04:00:00+00:00,18.86,18.87,18.86,18.87,18.87,200.0
2021-06-30 04:00:00+00:00,18.8,18.8,18.8,18.8,18.8,1278.0
2021-07-06 04:00:00+00:00,19.06,19.06,19.06,19.06,19.06,207.0
2021-08-02 04:00:00+00:00,18.91,18.91,18.91,18.91,18.91,100.0
2021-08-04 04:00:00+00:00,18.96,18.96,18.96,18.96,18.96,530.0
2021-08-06 04:00:00+00:00,18.96,18.98,18.96,18.98,18.98,320.0
2021-08-16 04:00:00+00:00,19.01,19.01,19.0,19.0,19.0,200.0
2021-08-23 04:00:00+00:00,19.01,19.01,18.95,18.95,18.95,264.0
2021-08-25 04:00:00+00:00,18.98,18.98,18.98,18.98,18.98,110.0
2021-08-31 04:00:00+00:00,19.01,19.01,19.01,19.01,19.01,115.0
2021-09-01 04:00:00+00:00,19.0,19.0,18.98,18.98,18.98,473.0
2021-09-07 04:00:00+00:00,19.0,19.0,19.0,19.0,19.0,172.0
2021-09-09 04:00:00+00:00,19.05,19.05,19.05,19.05,19.05,100.0
2021-09-23 04:00:00+00:00,18.81,18.81,18.81,18.81,18.81,120.0
2021-09-27 04:00:00+00:00,18.83,18.83,18.83,18.83,18.83,135.0
2021-10-04 04:00:00+00:00,18.99,18.99,18.99,18.99,18.99,170.0
2021-10-05 04:00:00+00:00,18.82,18.82,18.82,18.82,18.82,100.0
2021-10-12 04:00:00+00:00,19.09,19.09,19.09,19.09,19.09,100.0
2021-10-13 04:00:00+00:00,19.05,19.05,19.05,19.05,19.05,100.0
2021-11-01 04:00:00+00:00,19.2,19.2,19.2,19.2,19.2,100.0
2021-11-03 04:00:00+00:00,19.33,19.33,19.33,19.33,19.33,100.0
2021-11-09 05:00:00+00:00,19.14,19.14,19.14,19.14,19.14,100.0
2021-11-11 05:00:00+00:00,18.98,19.05,18.98,19.05,19.05,300.0
2021-11-12 05:00:00+00:00,18.99,18.99,18.99,18.99,18.99,100.0
2021-11-15 05:00:00+00:00,19.04,19.04,19.04,19.04,19.04,104.0
2021-11-16 05:00:00+00:00,19.07,19.07,18.94,18.94,18.94,312.0
2021-11-18 05:00:00+00:00,18.89,18.89,18.88,18.88,18.88,200.0
2021-12-02 05:00:00+00:00,18.83,18.87,18.83,18.83,18.83,800.0
2021-12-13 05:00:00+00:00,18.99,18.99,18.99,18.99,18.99,100.0
2021-12-14 05:00:00+00:00,18.85,18.85,18.85,18.85,18.85,150.0
2021-12-15 05:00:00+00:00,18.99,18.99,18.99,18.99,18.99,100.0
2021-12-30 05:00:00+00:00,19.06,19.06,19.06,19.06,19.06,300.0
2021-12-31 05:00:00+00:00,19.5,19.5,19.5,19.5,19.5,111.0
2022-01-06 05:00:00+00:00,19.23,19.23,19.23,19.23,19.23,100.0
2022-01-10 05:00:00+00:00,19.32,19.32,19.32,19.32,19.32,100.0
2022-01-14 05:00:00+00:00,19.48,19.48,19.39,19.39,19.39,305.0
2022-01-25 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,241.0
2022-01-28 05:00:00+00:00,18.44,18.44,18.44,18.44,18.44,100.0
2022-02-01 05:00:00+00:00,18.7,18.7,18.7,18.7,18.7,100.0
2022-02-02 05:00:00+00:00,18.86,18.86,18.86,18.86,18.86,100.0
2022-02-08 05:00:00+00:00,18.83,18.83,18.83,18.83,18.83,100.0
2022-02-10 05:00:00+00:00,18.61,18.61,18.61,18.61,18.61,230.0
2022-02-14 05:00:00+00:00,18.05,18.05,18.05,18.05,18.05,145.0
2022-02-16 05:00:00+00:00,18.17,18.17,18.17,18.17,18.17,430.0
2022-03-01 05:00:00+00:00,18.66,18.66,18.66,18.66,18.66,100.0
2022-03-02 05:00:00+00:00,18.98,18.98,18.98,18.98,18.98,193.0
2022-03-03 05:00:00+00:00,18.98,18.98,18.98,18.98,18.98,100.0
2022-03-07 05:00:00+00:00,18.89,18.89,18.89,18.89,18.89,100.0
2022-04-07 04:00:00+00:00,18.71,18.71,18.71,18.71,18.71,100.0
2022-04-08 04:00:00+00:00,18.43,18.46,18.43,18.46,18.46,200.0
2022-04-12 04:00:00+00:00,17.94,17.94,17.87,17.87,17.87,500.0
2022-04-13 04:00:00+00:00,17.85,17.85,17.85,17.85,17.85,300.0
2022-04-19 04:00:00+00:00,18.02,18.02,18.02,18.02,18.02,100.0
2022-04-20 04:00:00+00:00,18.15,18.15,18.15,18.15,18.15,100.0
2022-04-29 04:00:00+00:00,17.35,17.35,17.35,17.35,17.35,100.0
2022-05-04 04:00:00+00:00,17.84,17.85,17.84,17.85,17.85,1475.0
2022-05-06 04:00:00+00:00,17.47,17.47,17.33,17.33,17.33,200.0
2022-05-10 04:00:00+00:00,16.66,16.66,16.44,16.44,16.44,300.0
2022-05-12 04:00:00+00:00,15.4,15.4,15.4,15.4,15.4,100.0
2022-05-17 04:00:00+00:00,15.51,15.51,15.51,15.51,15.51,330.0
2022-05-26 04:00:00+00:00,16.14,16.14,16.14,16.14,16.14,167.0
2022-05-31 04:00:00+00:00,16.5,16.5,16.5,16.5,16.5,100.0
2022-06-02 04:00:00+00:00,17.05,17.16,17.05,17.16,17.16,200.0
2022-06-06 04:00:00+00:00,17.25,17.28,17.25,17.28,17.28,710.0
2022-06-07 04:00:00+00:00,17.33,17.33,17.28,17.28,17.28,800.0
2022-06-08 04:00:00+00:00,17.29,17.29,17.29,17.29,17.29,100.0
2022-06-10 04:00:00+00:00,17.01,17.01,17.01,17.01,17.01,231.0
2022-06-17 04:00:00+00:00,16.59,16.59,16.59,16.59,16.59,115.0
2022-06-21 04:00:00+00:00,16.84,16.84,16.84,16.84,16.84,112.0
2022-07-05 04:00:00+00:00,17.08,17.08,17.02,17.04,17.04,623.0
2022-07-12 04:00:00+00:00,17.74,17.74,17.74,17.74,17.74,189.0
2022-07-13 04:00:00+00:00,17.66,17.66,17.66,17.66,17.66,100.0
2022-07-14 04:00:00+00:00,17.66,17.66,17.66,17.66,17.66,0.0
2022-07-15 04:00:00+00:00,17.65,17.69,17.65,17.68,17.68,511.0
2022-07-18 04:00:00+00:00,17.68,17.68,17.68,17.68,17.68,0.0
2022-07-19 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,200.0
2022-07-20 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-21 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-22 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-25 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-26 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-27 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-28 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-07-29 04:00:00+00:00,17.73,17.73,17.73,17.73,17.73,0.0
2022-08-01 04:00:00+00:00,19.87,19.87,19.87,19.87,19.87,117.0
2022-08-02 04:00:00+00:00,19.87,19.87,19.87,19.87,19.87,0.0
2022-08-03 04:00:00+00:00,19.87,19.87,19.87,19.87,19.87,0.0
2022-08-04 04:00:00+00:00,19.98,20.08,19.98,20.08,20.08,400.0
2022-08-05 04:00:00+00:00,20.08,20.08,20.08,20.08,20.08,0.0
