Date,Open,High,Low,Close,Adj Close,Volume
2020-12-23 05:00:00+00:00,19.55,21.11,16.63,16.63,16.63,3600.0
2020-12-24 05:00:00+00:00,15.0,15.73,14.84,15.585,15.585,1100.0
2020-12-28 05:00:00+00:00,14.79,14.79,14.59,14.59,14.59,443.0
2020-12-30 05:00:00+00:00,15.21,15.21,15.21,15.21,15.21,100.0
2020-12-31 05:00:00+00:00,15.31,15.31,15.16,15.16,15.16,500.0
2021-01-04 05:00:00+00:00,14.87,14.87,14.87,14.87,14.87,100.0
2021-01-05 05:00:00+00:00,15.0,15.0,15.0,15.0,15.0,100.0
2021-01-08 05:00:00+00:00,14.79,14.79,14.75,14.75,14.75,285.0
2021-01-13 05:00:00+00:00,14.71,14.71,14.71,14.71,14.71,100.0
2021-01-22 05:00:00+00:00,14.49,14.49,14.49,14.49,14.49,143.0
2021-02-02 05:00:00+00:00,14.56,14.69,14.56,14.69,14.69,200.0
2021-02-08 05:00:00+00:00,13.9,13.9,13.9,13.9,13.9,100.0
2021-02-11 05:00:00+00:00,13.88,13.88,13.88,13.88,13.88,100.0
2021-03-05 05:00:00+00:00,13.26,13.26,13.26,13.26,13.26,556.0
2021-03-08 05:00:00+00:00,13.09,13.09,13.09,13.09,13.09,100.0
2021-04-26 04:00:00+00:00,13.1,13.1,13.1,13.1,13.1,100.0
2021-05-28 04:00:00+00:00,12.14,12.14,12.14,12.14,12.14,100.0
2021-06-02 04:00:00+00:00,12.245,12.245,12.245,12.245,12.245,112.0
2021-06-16 04:00:00+00:00,11.86,11.86,11.86,11.86,11.86,100.0
2021-09-28 04:00:00+00:00,9.28,9.28,9.28,9.28,9.28,100.0
2021-10-28 04:00:00+00:00,8.6,8.6,8.6,8.6,8.6,100.0
2021-11-04 04:00:00+00:00,9.6,9.6,9.6,9.6,9.6,100.0
2021-12-09 05:00:00+00:00,8.27,8.27,8.27,8.27,8.27,100.0
2021-12-15 05:00:00+00:00,8.22,8.36,8.22,8.36,8.36,200.0
2021-12-16 05:00:00+00:00,8.24,8.24,8.24,8.24,8.24,220.0
2021-12-17 05:00:00+00:00,8.17,8.17,8.17,8.17,8.17,100.0
2022-01-12 05:00:00+00:00,9.39,9.39,9.39,9.39,9.39,100.0
2022-01-28 05:00:00+00:00,8.6,8.6,8.6,8.6,8.6,115.0
2022-02-01 05:00:00+00:00,8.95,8.95,8.95,8.95,8.95,100.0
2022-02-02 05:00:00+00:00,10.03,10.03,9.97,9.97,9.97,300.0
2022-02-03 05:00:00+00:00,9.58,9.58,9.58,9.58,9.58,120.0
2022-02-08 05:00:00+00:00,8.97,8.97,8.97,8.97,8.97,144.0
2022-02-16 05:00:00+00:00,9.055,9.055,9.055,9.055,9.055,157.0
2022-02-25 05:00:00+00:00,8.5,8.5,8.5,8.5,8.5,151.0
2022-03-02 05:00:00+00:00,8.65,8.65,8.65,8.65,8.65,230.0
2022-03-28 04:00:00+00:00,8.62,8.62,7.99,7.99,7.99,202.0
2022-04-08 04:00:00+00:00,9.28,9.28,9.28,9.28,9.28,500.0
2022-04-21 04:00:00+00:00,9.02,9.02,9.02,9.02,9.02,111.0
2022-04-22 04:00:00+00:00,8.76,8.76,8.61,8.61,8.61,250.0
2022-04-28 04:00:00+00:00,7.63,7.93,7.63,7.93,7.93,305.0
2022-05-02 04:00:00+00:00,7.9,7.9,7.9,7.9,7.9,201.0
2022-05-05 04:00:00+00:00,8.01,8.02,7.89,7.925,7.925,447.0
2022-05-06 04:00:00+00:00,7.81,7.88,7.81,7.88,7.88,250.0
2022-05-09 04:00:00+00:00,7.62,7.62,7.61,7.61,7.61,250.0
2022-05-11 04:00:00+00:00,7.74,7.74,7.74,7.74,7.74,200.0
2022-05-13 04:00:00+00:00,7.5,7.57,7.5,7.57,7.57,367.0
2022-05-18 04:00:00+00:00,8.0,8.0,8.0,8.0,8.0,102.0
2022-05-26 04:00:00+00:00,8.34,8.34,8.34,8.34,8.34,100.0
2022-05-31 04:00:00+00:00,8.13,8.13,8.13,8.13,8.13,100.0
2022-06-10 04:00:00+00:00,7.79,7.79,7.68,7.68,7.68,301.0
2022-06-14 04:00:00+00:00,7.0,7.04,7.0,7.04,7.04,270.0
2022-06-16 04:00:00+00:00,6.2,6.54,6.2,6.54,6.54,448.0
