Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11 04:00:00+00:00,10.13,10.13,10.13,10.13,10.13,500.0
2020-09-15 04:00:00+00:00,10.17,10.17,10.17,10.17,10.17,100.0
2020-09-16 04:00:00+00:00,10.2,10.2,10.2,10.2,10.2,500.0
2020-09-23 04:00:00+00:00,10.28,10.66,10.16,10.16,10.16,506.0
2020-09-24 04:00:00+00:00,10.1,10.1,10.1,10.1,10.1,100.0
2020-09-29 04:00:00+00:00,10.08,10.08,10.08,10.08,10.08,100.0
2020-10-01 04:00:00+00:00,10.48,10.48,10.105,10.22,10.22,3819.0
2020-10-02 04:00:00+00:00,10.3,10.3,10.155,10.2,10.2,2910.0
2020-10-05 04:00:00+00:00,10.25,10.25,10.25,10.25,10.25,303.0
2020-10-06 04:00:00+00:00,10.085,10.085,10.085,10.085,10.085,483.0
2020-10-14 04:00:00+00:00,10.07,10.07,10.07,10.07,10.07,300.0
2020-10-20 04:00:00+00:00,10.065,10.065,10.045,10.045,10.045,2457.0
2020-10-21 04:00:00+00:00,10.05,10.05,10.05,10.05,10.05,200.0
2020-11-05 05:00:00+00:00,10.05,10.05,10.05,10.05,10.05,300.0
2020-11-12 05:00:00+00:00,10.05,10.05,10.05,10.05,10.05,800.0
2020-12-02 05:00:00+00:00,10.16,10.19,10.16,10.19,10.19,1000.0
2020-12-07 05:00:00+00:00,10.225,10.355,10.215,10.25,10.25,20873.0
2020-12-08 05:00:00+00:00,10.23,10.23,10.22,10.225,10.225,700.0
2020-12-09 05:00:00+00:00,10.235,10.235,10.19,10.19,10.19,1800.0
2020-12-10 05:00:00+00:00,10.27,11.23,10.27,10.7,10.7,113452.0
2020-12-11 05:00:00+00:00,10.92,10.92,10.585,10.675,10.675,7071.0
2020-12-14 05:00:00+00:00,10.705,10.705,10.4,10.41,10.41,3979.0
2020-12-15 05:00:00+00:00,10.42,10.42,10.37,10.37,10.37,9697.0
2020-12-16 05:00:00+00:00,10.37,10.39,10.31,10.355,10.355,37200.0
2020-12-17 05:00:00+00:00,10.35,10.355,10.35,10.355,10.355,845.0
2020-12-18 05:00:00+00:00,10.35,10.385,10.34,10.385,10.385,4132.0
2020-12-21 05:00:00+00:00,10.35,10.6,10.35,10.5,10.5,11383.0
2020-12-22 05:00:00+00:00,10.7,10.835,10.465,10.465,10.465,1656.0
2020-12-23 05:00:00+00:00,10.55,10.65,10.55,10.57,10.57,3643.0
2020-12-24 05:00:00+00:00,10.745,10.745,10.65,10.66,10.66,7956.0
2020-12-28 05:00:00+00:00,10.755,10.76,10.55,10.56,10.56,11280.0
2020-12-29 05:00:00+00:00,10.56,10.56,10.425,10.49,10.49,1099.0
2020-12-30 05:00:00+00:00,10.72,10.72,10.655,10.68,10.68,1210.0
2020-12-31 05:00:00+00:00,10.67,10.67,10.605,10.625,10.625,4053.0
2021-01-04 05:00:00+00:00,10.625,11.485,10.48,11.25,11.25,15496.0
2021-01-05 05:00:00+00:00,11.5,11.5,10.74,10.75,10.75,10854.0
2021-01-06 05:00:00+00:00,10.66,10.7,10.525,10.565,10.565,7221.0
2021-01-07 05:00:00+00:00,10.655,12.27,10.64,11.05,11.05,20903.0
2021-01-08 05:00:00+00:00,11.31,11.32,10.94,11.0,11.0,3231.0
2021-01-11 05:00:00+00:00,11.1,11.1,11.0,11.0,11.0,22262.0
2021-01-12 05:00:00+00:00,11.06,11.22,11.01,11.22,11.22,980.0
2021-01-13 05:00:00+00:00,11.35,11.77,11.35,11.67,11.67,5866.0
2021-01-14 05:00:00+00:00,11.64,11.68,11.56,11.56,11.56,1834.0
2021-01-15 05:00:00+00:00,11.32,11.51,11.32,11.51,11.51,7925.0
2021-01-19 05:00:00+00:00,11.45,11.85,11.45,11.565,11.565,3549.0
2021-01-20 05:00:00+00:00,11.36,11.39,11.36,11.39,11.39,755.0
2021-01-21 05:00:00+00:00,11.3,11.5,11.3,11.41,11.41,437.0
2021-01-22 05:00:00+00:00,11.34,11.49,11.26,11.49,11.49,700.0
2021-01-25 05:00:00+00:00,11.6,11.71,11.465,11.71,11.71,8778.0
2021-01-26 05:00:00+00:00,12.45,13.0,11.93,13.0,13.0,9957.0
2021-01-27 05:00:00+00:00,12.46,13.46,12.29,12.54,12.54,12180.0
2021-01-28 05:00:00+00:00,12.38,12.77,12.04,12.77,12.77,1135.0
2021-01-29 05:00:00+00:00,12.11,12.43,11.72,12.12,12.12,2092.0
2021-02-01 05:00:00+00:00,12.3,12.82,12.25,12.325,12.325,35883.0
2021-02-02 05:00:00+00:00,12.37,12.8,12.29,12.65,12.65,3883.0
2021-02-03 05:00:00+00:00,12.62,12.67,12.505,12.6,12.6,2134.0
2021-02-04 05:00:00+00:00,12.6,12.79,12.22,12.525,12.525,4839.0
2021-02-05 05:00:00+00:00,12.53,12.72,12.445,12.55,12.55,6374.0
2021-02-08 05:00:00+00:00,13.79,14.09,13.505,13.84,13.84,11648.0
2021-02-09 05:00:00+00:00,13.62,13.78,13.3,13.39,13.39,16002.0
2021-02-10 05:00:00+00:00,13.27,14.0,12.63,13.16,13.16,16343.0
2021-02-11 05:00:00+00:00,14.655,14.895,12.975,13.085,13.085,40097.0
2021-02-12 05:00:00+00:00,13.1,13.1,12.22,12.34,12.34,17961.0
2021-02-16 05:00:00+00:00,12.515,16.46,12.515,13.62,13.62,83153.0
