Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,30.75,30.75,29.89,30.03,30.03,2331.0
2020-07-28 04:00:00+00:00,30.06,30.07,29.79,29.79,29.79,877.0
2020-07-29 04:00:00+00:00,30.0,30.48,30.0,30.21,30.21,1518.0
2020-07-30 04:00:00+00:00,29.67,30.05,29.66,29.7,29.7,1166.0
2020-07-31 04:00:00+00:00,29.23,29.59,28.86,29.51,29.51,3125.0
2020-08-03 04:00:00+00:00,30.05,30.84,30.05,30.74,30.74,1539.0
2020-08-04 04:00:00+00:00,31.98,32.65,31.6,31.84,31.84,5383.0
2020-08-05 04:00:00+00:00,32.13,32.31,31.57,32.11,32.11,35462.0
2020-08-06 04:00:00+00:00,32.06,32.16,31.76,31.82,31.82,2467.0
2020-08-07 04:00:00+00:00,32.24,32.99,32.15,32.99,32.99,3560.0
2020-08-10 04:00:00+00:00,33.49,34.67,33.49,34.54,34.54,5243.0
2020-08-11 04:00:00+00:00,35.23,35.23,34.08,34.08,34.08,2466.0
2020-08-12 04:00:00+00:00,34.28,34.51,33.51,33.8,33.8,5611.0
2020-08-13 04:00:00+00:00,33.74,33.78,33.46,33.59,33.59,1525.0
2020-08-14 04:00:00+00:00,33.56,33.71,33.49,33.63,33.63,3309.0
2020-08-17 04:00:00+00:00,33.81,33.81,33.11,33.39,33.39,2173.0
2020-08-18 04:00:00+00:00,33.22,33.22,32.61,32.64,32.64,11013.0
2020-08-19 04:00:00+00:00,33.03,33.03,32.87,32.91,32.91,736.0
2020-08-20 04:00:00+00:00,32.27,32.37,32.05,32.32,32.32,2604.0
2020-08-21 04:00:00+00:00,32.01,32.01,31.87,31.94,31.94,1693.0
2020-08-24 04:00:00+00:00,32.54,32.73,32.48,32.67,32.67,1368.0
2020-08-25 04:00:00+00:00,31.89,32.71,31.89,32.69,32.69,1001.0
2020-08-26 04:00:00+00:00,32.58,32.58,32.25,32.36,32.36,534.0
2020-08-27 04:00:00+00:00,32.48,32.73,32.48,32.6,32.6,857.0
2020-08-28 04:00:00+00:00,32.46,32.46,32.46,32.46,32.46,360.0
2020-08-31 04:00:00+00:00,32.32,32.41,32.16,32.16,32.16,1374.0
2020-09-01 04:00:00+00:00,32.53,33.58,32.42,33.58,33.58,1236.0
2020-09-02 04:00:00+00:00,33.55,34.69,33.55,34.61,34.61,2318.0
2020-09-03 04:00:00+00:00,34.11,34.11,33.32,33.51,33.51,2124.0
2020-09-04 04:00:00+00:00,33.36,34.03,33.36,33.84,33.84,1503.0
2020-09-08 04:00:00+00:00,33.17,33.22,32.68,32.93,32.93,2253.0
2020-09-09 04:00:00+00:00,32.9,33.14,32.88,32.92,32.92,767.0
2020-09-10 04:00:00+00:00,32.99,32.99,31.72,31.72,31.72,1124.0
2020-09-11 04:00:00+00:00,31.75,31.75,31.37,31.51,31.51,500.0
2020-09-14 04:00:00+00:00,31.88,32.24,31.56,31.71,31.71,2610.0
2020-09-15 04:00:00+00:00,31.42,31.9,31.42,31.84,31.84,1876.0
2020-09-16 04:00:00+00:00,31.74,31.75,30.73,30.74,30.74,2631.0
2020-09-17 04:00:00+00:00,30.73,31.26,30.73,30.8,30.8,1129.0
2020-09-18 04:00:00+00:00,30.99,30.99,30.08,30.36,30.36,8052.0
2020-09-21 04:00:00+00:00,29.15,29.31,28.3,29.31,29.31,2225.0
2020-09-22 04:00:00+00:00,29.58,29.81,29.32,29.39,29.39,3491.0
2020-09-23 04:00:00+00:00,29.97,30.08,28.69,28.91,28.91,1479.0
2020-09-24 04:00:00+00:00,28.42,29.2,28.42,28.76,28.76,5386.0
2020-09-25 04:00:00+00:00,28.8,29.36,28.8,29.12,29.12,4709.0
2020-09-28 04:00:00+00:00,29.26,29.9,29.26,29.58,29.58,2641.0
2020-09-29 04:00:00+00:00,29.53,29.53,28.93,29.03,29.03,948.0
2020-09-30 04:00:00+00:00,29.57,29.66,28.79,28.85,28.85,6242.0
2020-10-01 04:00:00+00:00,28.75,29.18,28.66,29.18,29.18,4140.0
2020-10-02 04:00:00+00:00,28.84,29.75,28.84,29.49,29.49,5000.0
2020-10-05 04:00:00+00:00,29.59,29.65,29.08,29.32,29.32,5165.0
2020-10-06 04:00:00+00:00,29.36,30.12,29.21,29.21,29.21,3925.0
2020-10-07 04:00:00+00:00,29.45,29.93,29.45,29.83,29.83,6572.0
2020-10-08 04:00:00+00:00,29.94,30.49,29.85,30.45,30.45,2592.0
2020-10-09 04:00:00+00:00,30.48,31.29,30.3,31.08,31.08,9682.0
2020-10-12 04:00:00+00:00,31.17,31.27,30.96,31.15,31.15,2999.0
2020-10-13 04:00:00+00:00,30.83,30.83,30.38,30.48,30.48,2571.0
2020-10-14 04:00:00+00:00,30.84,30.84,29.85,29.85,29.85,1913.0
2020-10-15 04:00:00+00:00,29.58,30.02,29.48,29.81,29.81,4921.0
2020-10-16 04:00:00+00:00,29.78,30.4,29.78,30.12,30.12,2784.0
2020-10-19 04:00:00+00:00,30.15,30.48,29.58,29.74,29.74,11880.0
2020-10-20 04:00:00+00:00,30.05,30.05,29.61,29.75,29.75,6258.0
2020-10-21 04:00:00+00:00,29.74,30.48,29.6,29.95,29.95,5168.0
2020-10-22 04:00:00+00:00,30.19,30.61,30.01,30.47,30.47,5225.0
2020-10-23 04:00:00+00:00,30.44,30.61,30.09,30.48,30.48,3016.0
2020-10-26 04:00:00+00:00,29.8,30.61,29.8,30.31,30.31,4481.0
2020-10-27 04:00:00+00:00,29.61,29.84,29.14,29.18,29.18,4519.0
2020-10-28 04:00:00+00:00,28.23,29.12,28.18,28.8,28.8,6523.0
2020-10-29 04:00:00+00:00,28.65,29.49,28.65,29.4,29.4,4936.0
2020-10-30 04:00:00+00:00,29.31,29.36,28.41,28.81,28.81,4348.0
2020-11-02 05:00:00+00:00,29.41,30.28,28.69,28.73,28.73,23369.0
2020-11-03 05:00:00+00:00,29.16,30.32,29.13,30.23,30.23,20236.0
2020-11-04 05:00:00+00:00,29.54,29.78,29.2,29.47,29.47,3853.0
2020-11-05 05:00:00+00:00,30.69,31.11,30.55,30.92,30.92,4611.0
2020-11-06 05:00:00+00:00,30.66,30.72,30.18,30.28,30.28,2965.0
2020-11-09 05:00:00+00:00,33.1,33.55,32.05,32.05,32.05,5715.0
2020-11-10 05:00:00+00:00,32.43,33.69,32.43,33.21,33.21,9079.0
2020-11-11 05:00:00+00:00,32.15,32.58,31.93,32.5,32.5,4153.0
2020-11-12 05:00:00+00:00,32.44,32.44,31.07,31.29,31.29,1782.0
2020-11-13 05:00:00+00:00,31.37,31.68,31.26,31.6,31.6,4179.0
2020-11-16 05:00:00+00:00,32.41,33.27,32.41,33.18,33.18,3859.0
2020-11-17 05:00:00+00:00,32.74,33.68,32.74,33.6,33.6,5129.0
2020-11-18 05:00:00+00:00,33.23,33.23,32.54,32.61,32.61,2007.0
2020-11-19 05:00:00+00:00,32.17,32.4,31.78,32.22,32.22,7280.0
2020-11-20 05:00:00+00:00,31.72,32.26,31.72,32.0,32.0,4394.0
2020-11-23 05:00:00+00:00,32.9,33.95,32.71,33.86,33.86,2550.0
2020-11-24 05:00:00+00:00,33.95,34.81,33.64,34.81,34.81,9293.0
2020-11-25 05:00:00+00:00,34.88,34.88,33.72,33.72,33.72,4287.0
2020-11-27 05:00:00+00:00,33.59,33.59,33.17,33.4,33.4,676.0
2020-11-30 05:00:00+00:00,33.01,33.25,33.01,33.2,33.2,1749.0
2020-12-01 05:00:00+00:00,33.44,33.94,33.13,33.13,33.13,2602.0
2020-12-02 05:00:00+00:00,32.84,33.17,32.84,33.02,33.02,1013.0
2020-12-03 05:00:00+00:00,33.45,33.69,33.45,33.51,33.51,773.0
2020-12-04 05:00:00+00:00,33.96,34.61,33.88,34.54,34.54,3113.0
2020-12-07 05:00:00+00:00,34.22,34.75,34.04,34.75,34.75,5956.0
2020-12-08 05:00:00+00:00,35.13,35.83,35.0,35.83,35.83,1921.0
2020-12-09 05:00:00+00:00,35.98,36.46,35.62,36.39,36.39,5809.0
2020-12-10 05:00:00+00:00,35.3,35.78,35.21,35.59,35.59,4513.0
2020-12-11 05:00:00+00:00,35.36,36.07,35.36,35.77,35.77,9214.0
2020-12-14 05:00:00+00:00,36.56,37.14,36.29,36.39,36.39,6355.0
2020-12-15 05:00:00+00:00,36.44,36.51,35.58,36.51,36.51,4972.0
2020-12-16 05:00:00+00:00,36.27,36.27,35.17,35.73,35.73,3544.0
2020-12-17 05:00:00+00:00,35.56,36.44,35.56,36.4,36.4,3729.0
2020-12-18 05:00:00+00:00,36.68,36.68,35.63,35.83,35.83,24330.0
2020-12-21 05:00:00+00:00,35.3,35.6,34.99,35.12,35.12,21102.0
2020-12-22 05:00:00+00:00,34.7,35.06,34.64,34.86,34.86,3116.0
2020-12-23 05:00:00+00:00,35.13,35.53,34.86,35.53,35.53,3984.0
2020-12-24 05:00:00+00:00,35.56,35.67,35.51,35.67,35.67,546.0
2020-12-28 05:00:00+00:00,36.43,36.51,36.1,36.1,36.1,1552.0
2020-12-29 05:00:00+00:00,35.79,35.79,34.87,35.19,35.19,1723.0
2020-12-30 05:00:00+00:00,35.52,35.66,35.46,35.46,35.46,799.0
2020-12-31 05:00:00+00:00,36.05,36.71,35.92,36.29,36.29,6823.0
2021-01-04 05:00:00+00:00,36.44,36.44,34.23,34.8,34.8,2659.0
2021-01-05 05:00:00+00:00,35.03,35.7,35.03,35.41,35.41,3208.0
2021-01-06 05:00:00+00:00,36.33,38.17,36.33,37.84,37.84,3582.0
2021-01-07 05:00:00+00:00,37.59,37.71,37.37,37.67,37.67,1141.0
2021-01-08 05:00:00+00:00,37.38,37.38,36.68,36.91,36.91,2335.0
2021-01-11 05:00:00+00:00,36.84,37.2,36.81,37.2,37.2,2329.0
2021-01-12 05:00:00+00:00,37.67,38.69,37.67,38.56,38.56,4791.0
2021-01-13 05:00:00+00:00,38.52,38.52,37.63,37.76,37.76,3949.0
2021-01-14 05:00:00+00:00,38.39,38.89,38.28,38.39,38.39,4166.0
2021-01-15 05:00:00+00:00,37.63,37.63,36.39,36.57,36.57,3449.0
2021-01-19 05:00:00+00:00,36.65,36.7,35.77,35.87,35.87,3098.0
2021-01-20 05:00:00+00:00,35.67,35.93,35.47,35.93,35.93,3856.0
2021-01-21 05:00:00+00:00,36.28,36.88,36.28,36.59,36.59,5153.0
2021-01-22 05:00:00+00:00,36.24,37.07,36.24,37.01,37.01,2068.0
2021-01-25 05:00:00+00:00,36.22,36.34,35.67,36.2,36.2,2292.0
2021-01-26 05:00:00+00:00,36.35,36.35,36.08,36.08,36.08,2042.0
2021-01-27 05:00:00+00:00,34.89,35.6,33.63,34.34,34.34,11275.0
2021-01-28 05:00:00+00:00,35.03,35.86,35.03,35.47,35.47,2511.0
2021-01-29 05:00:00+00:00,34.53,35.33,34.29,34.98,34.98,2110.0
2021-02-01 05:00:00+00:00,34.84,35.41,34.58,35.1,35.1,2614.0
2021-02-02 05:00:00+00:00,35.73,35.94,35.29,35.94,35.94,2513.0
2021-02-03 05:00:00+00:00,37.77,38.37,37.77,38.37,38.37,2832.0
2021-02-04 05:00:00+00:00,39.03,39.66,38.91,39.66,39.66,2842.0
2021-02-05 05:00:00+00:00,39.31,39.31,38.22,38.87,38.87,2436.0
2021-02-08 05:00:00+00:00,39.49,40.25,39.49,40.23,40.23,3262.0
2021-02-09 05:00:00+00:00,39.72,39.83,39.43,39.74,39.74,3658.0
2021-02-10 05:00:00+00:00,40.09,40.25,39.6,39.6,39.6,3063.0
2021-02-11 05:00:00+00:00,39.91,39.91,38.46,39.17,39.17,2376.0
2021-02-12 05:00:00+00:00,39.18,39.18,38.95,39.15,39.15,1122.0
2021-02-16 05:00:00+00:00,39.23,39.89,38.77,39.85,39.85,2752.0
2021-02-17 05:00:00+00:00,39.5,39.72,39.33,39.49,39.49,2717.0
2021-02-18 05:00:00+00:00,39.0,39.47,38.6,39.33,39.33,1848.0
2021-02-19 05:00:00+00:00,40.47,40.74,40.35,40.35,40.35,952.0
2021-02-22 05:00:00+00:00,41.18,42.59,41.18,42.37,42.37,2833.0
2021-02-23 05:00:00+00:00,41.92,43.06,40.27,42.27,42.27,10878.0
2021-02-24 05:00:00+00:00,42.7,42.7,40.8,41.76,41.76,4328.0
2021-02-25 05:00:00+00:00,40.84,41.6,40.84,40.91,40.91,2170.0
2021-02-26 05:00:00+00:00,40.79,41.72,40.79,40.95,40.95,3280.0
2021-03-01 05:00:00+00:00,41.67,42.05,41.65,41.97,41.97,2297.0
2021-03-02 05:00:00+00:00,41.28,41.67,41.08,41.35,41.35,1877.0
2021-03-03 05:00:00+00:00,41.78,42.73,41.78,42.25,42.25,2301.0
2021-03-04 05:00:00+00:00,42.33,42.43,40.28,40.7,40.7,3048.0
2021-03-05 05:00:00+00:00,40.83,42.23,40.71,42.23,42.23,3465.0
2021-03-08 05:00:00+00:00,42.07,42.89,41.84,42.14,42.14,3448.0
2021-03-09 05:00:00+00:00,41.81,42.49,41.65,41.67,41.67,2948.0
2021-03-10 05:00:00+00:00,41.82,42.25,41.47,41.81,41.81,7908.0
2021-03-11 05:00:00+00:00,41.7,42.4,41.7,42.31,42.31,3320.0
2021-03-12 05:00:00+00:00,43.32,43.62,43.26,43.57,43.57,2725.0
2021-03-15 04:00:00+00:00,42.65,43.23,42.48,43.22,43.22,4680.0
2021-03-16 04:00:00+00:00,42.61,42.69,42.14,42.25,42.25,11780.0
2021-03-17 04:00:00+00:00,42.02,42.53,41.96,42.42,42.42,3320.0
2021-03-18 04:00:00+00:00,42.74,42.74,41.6,41.68,41.68,3529.0
2021-03-19 04:00:00+00:00,40.97,41.42,40.67,40.93,40.93,2600.0
2021-03-22 04:00:00+00:00,40.54,40.73,39.08,39.08,39.08,3222.0
2021-03-23 04:00:00+00:00,38.91,38.91,38.03,38.12,38.12,4136.0
2021-03-24 04:00:00+00:00,39.45,39.76,38.36,38.36,38.36,3554.0
2021-03-25 04:00:00+00:00,38.43,39.48,38.37,39.48,39.48,1470.0
2021-03-26 04:00:00+00:00,39.3,39.44,38.98,39.44,39.44,3569.0
2021-03-29 04:00:00+00:00,39.72,39.72,38.95,38.95,38.95,5760.0
2021-03-30 04:00:00+00:00,38.86,39.59,38.86,39.43,39.43,2570.0
2021-03-31 04:00:00+00:00,39.25,39.78,39.11,39.63,39.63,3350.0
2021-04-01 04:00:00+00:00,39.31,40.37,39.31,40.37,40.37,6740.0
2021-04-05 04:00:00+00:00,40.74,40.74,39.9,40.6,40.6,1664.0
2021-04-06 04:00:00+00:00,40.17,40.75,40.17,40.45,40.45,2113.0
2021-04-07 04:00:00+00:00,39.8,39.8,38.9,39.16,39.16,5779.0
2021-04-08 04:00:00+00:00,39.46,39.52,38.72,39.39,39.39,3201.0
2021-04-09 04:00:00+00:00,39.51,39.73,39.46,39.73,39.73,2447.0
2021-04-12 04:00:00+00:00,39.47,40.15,39.46,40.11,40.11,2307.0
2021-04-13 04:00:00+00:00,40.32,40.35,39.91,39.91,39.91,789.0
2021-04-14 04:00:00+00:00,39.68,39.74,39.55,39.74,39.74,1744.0
2021-04-15 04:00:00+00:00,39.63,40.02,39.63,40.01,40.01,1658.0
2021-04-16 04:00:00+00:00,39.96,40.35,39.74,40.35,40.35,1039.0
2021-04-20 04:00:00+00:00,39.19,39.28,38.42,38.44,38.44,4599.0
2021-04-21 04:00:00+00:00,39.31,39.41,39.14,39.41,39.41,1490.0
2021-04-22 04:00:00+00:00,39.88,40.0,39.54,39.72,39.72,2250.0
2021-04-23 04:00:00+00:00,40.1,40.32,39.82,40.3,40.3,2642.0
2021-04-26 04:00:00+00:00,39.96,39.99,39.34,39.34,39.34,2328.0
2021-04-27 04:00:00+00:00,39.01,39.24,38.84,39.05,39.05,2800.0
2021-04-28 04:00:00+00:00,38.59,38.98,38.59,38.97,38.97,2555.0
2021-04-29 04:00:00+00:00,39.3,39.3,38.26,38.44,38.44,3632.0
2021-04-30 04:00:00+00:00,37.64,38.34,36.99,38.24,38.24,6155.0
2021-05-03 04:00:00+00:00,38.13,38.6,37.97,38.48,38.48,4391.0
2021-05-04 04:00:00+00:00,38.14,38.76,38.14,38.22,38.22,3075.0
2021-05-05 04:00:00+00:00,38.53,38.53,37.8,37.94,37.94,2967.0
2021-05-06 04:00:00+00:00,38.86,38.86,37.26,37.45,37.45,5585.0
2021-05-07 04:00:00+00:00,37.86,38.08,37.43,38.0,38.0,5375.0
2021-05-10 04:00:00+00:00,38.38,38.5,37.91,37.91,37.91,7198.0
2021-05-11 04:00:00+00:00,37.53,37.57,36.86,37.44,37.44,2434.0
2021-05-12 04:00:00+00:00,36.97,37.18,35.63,35.8,35.8,4543.0
2021-05-13 04:00:00+00:00,36.1,36.56,36.1,36.38,36.38,4117.0
2021-05-14 04:00:00+00:00,36.79,36.79,36.45,36.64,36.64,1428.0
2021-05-17 04:00:00+00:00,36.28,36.73,36.28,36.62,36.62,2248.0
2021-05-18 04:00:00+00:00,36.59,36.67,36.05,36.05,36.05,4050.0
2021-05-19 04:00:00+00:00,34.87,35.64,34.86,35.62,35.62,3507.0
2021-05-20 04:00:00+00:00,35.44,35.85,35.36,35.62,35.62,1422.0
2021-05-21 04:00:00+00:00,36.1,36.22,35.67,35.76,35.76,1149.0
2021-05-24 04:00:00+00:00,35.68,35.94,35.53,35.94,35.94,6142.0
2021-05-25 04:00:00+00:00,35.76,35.76,35.39,35.45,35.45,2027.0
2021-05-26 04:00:00+00:00,35.71,35.99,35.61,35.88,35.88,2981.0
2021-05-27 04:00:00+00:00,36.24,36.65,35.88,36.56,36.56,3962.0
2021-05-28 04:00:00+00:00,36.64,37.46,36.64,37.43,37.43,3831.0
2021-06-01 04:00:00+00:00,37.47,38.48,37.47,38.3,38.3,6807.0
2021-06-02 04:00:00+00:00,38.2,38.31,37.36,37.53,37.53,3293.0
2021-06-03 04:00:00+00:00,37.39,37.91,37.38,37.81,37.81,5745.0
2021-06-04 04:00:00+00:00,37.86,37.86,37.69,37.78,37.78,1125.0
2021-06-07 04:00:00+00:00,37.87,38.34,37.87,38.31,38.31,1931.0
2021-06-08 04:00:00+00:00,38.43,39.06,38.43,39.01,39.01,600.0
2021-06-09 04:00:00+00:00,38.92,38.92,38.14,38.37,38.37,4490.0
2021-06-10 04:00:00+00:00,38.05,38.05,36.94,37.0,37.0,2147.0
2021-06-11 04:00:00+00:00,37.03,37.16,36.9,36.94,36.94,5160.0
2021-06-14 04:00:00+00:00,36.91,36.91,36.26,36.26,36.26,2651.0
2021-06-15 04:00:00+00:00,36.37,36.52,36.03,36.38,36.38,5956.0
2021-06-16 04:00:00+00:00,36.07,36.18,35.87,35.91,35.91,10607.0
2021-06-17 04:00:00+00:00,35.9,35.9,34.89,34.89,34.89,18300.0
2021-06-18 04:00:00+00:00,34.14,34.22,33.71,33.71,33.71,24261.0
2021-06-21 04:00:00+00:00,34.31,34.94,34.3,34.81,34.81,5623.0
2021-06-22 04:00:00+00:00,34.39,34.51,34.32,34.32,34.32,3038.0
2021-06-23 04:00:00+00:00,34.94,35.14,34.94,34.98,34.98,2806.0
2021-06-24 04:00:00+00:00,35.32,35.75,35.26,35.7,35.7,2469.0
2021-06-25 04:00:00+00:00,35.77,36.36,35.77,36.36,36.36,3629.0
2021-06-28 04:00:00+00:00,36.41,36.41,35.1,35.1,35.1,3208.0
2021-06-29 04:00:00+00:00,35.38,35.38,35.15,35.3,35.3,2163.0
2021-06-30 04:00:00+00:00,35.16,35.34,34.83,35.09,35.09,3706.0
