Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29 04:00:00+00:00,10.23,10.23,10.23,10.23,10.23,200.0
2020-08-10 04:00:00+00:00,10.44,10.46,10.44,10.46,10.46,281.0
2020-08-11 04:00:00+00:00,11.06,11.06,10.65,10.65,10.65,307.0
2020-08-13 04:00:00+00:00,10.83,10.83,10.81,10.81,10.81,430.0
2020-08-17 04:00:00+00:00,10.75,10.75,10.75,10.75,10.75,300.0
2020-09-01 04:00:00+00:00,10.26,10.26,10.25,10.25,10.25,207.0
2020-09-03 04:00:00+00:00,10.18,10.18,10.18,10.18,10.18,100.0
2020-09-08 04:00:00+00:00,10.2,10.2,10.2,10.2,10.2,100.0
2020-09-09 04:00:00+00:00,10.42,10.44,10.32,10.44,10.44,465.0
2020-09-11 04:00:00+00:00,10.32,10.32,10.32,10.32,10.32,100.0
2020-09-14 04:00:00+00:00,10.28,10.3,10.28,10.28,10.28,304.0
2020-09-18 04:00:00+00:00,10.26,10.26,10.07,10.07,10.07,463.0
2020-09-21 04:00:00+00:00,9.892,9.892,9.766,9.766,9.766,309.0
2020-09-22 04:00:00+00:00,9.942,9.942,9.942,9.942,9.942,104.0
2020-09-25 04:00:00+00:00,9.875,9.875,9.757,9.757,9.757,231.0
2020-09-29 04:00:00+00:00,9.824,9.824,9.824,9.824,9.824,200.0
2020-10-02 04:00:00+00:00,9.959,10.15,9.959,10.15,10.15,325.0
2020-10-07 04:00:00+00:00,11.17,11.17,11.17,11.17,11.17,100.0
2020-10-08 04:00:00+00:00,11.6,11.71,11.49,11.71,11.71,1072.0
2020-10-13 04:00:00+00:00,11.44,11.52,11.44,11.52,11.52,417.0
2020-10-29 04:00:00+00:00,10.86,10.86,10.85,10.85,10.85,200.0
2020-11-03 05:00:00+00:00,10.99,10.99,10.99,10.99,10.99,140.0
2020-11-10 05:00:00+00:00,11.61,11.61,11.61,11.61,11.61,256.0
2020-11-17 05:00:00+00:00,11.94,12.15,11.83,12.01,12.01,1763.0
2020-11-18 05:00:00+00:00,11.7,11.7,11.7,11.7,11.7,198.0
2020-11-19 05:00:00+00:00,11.56,11.6,11.56,11.6,11.6,200.0
2020-11-24 05:00:00+00:00,12.3,12.3,12.15,12.3,12.3,800.0
2020-11-25 05:00:00+00:00,12.71,12.71,12.45,12.45,12.45,330.0
2020-11-30 05:00:00+00:00,12.28,12.28,12.28,12.28,12.28,434.0
2020-12-01 05:00:00+00:00,12.19,12.19,12.05,12.11,12.11,982.0
2020-12-07 05:00:00+00:00,12.32,12.4,12.32,12.4,12.4,230.0
2020-12-08 05:00:00+00:00,12.5,12.5,12.5,12.5,12.5,235.0
2020-12-09 05:00:00+00:00,12.96,12.96,12.51,12.51,12.51,497.0
2020-12-11 05:00:00+00:00,12.8,12.92,12.8,12.92,12.92,552.0
2020-12-14 05:00:00+00:00,12.7,12.75,12.69,12.75,12.75,673.0
2020-12-15 05:00:00+00:00,12.7,12.7,12.7,12.7,12.7,326.0
2020-12-16 05:00:00+00:00,12.7,12.74,12.7,12.74,12.74,677.0
2020-12-18 05:00:00+00:00,12.77,12.77,12.75,12.75,12.75,1300.0
2020-12-21 05:00:00+00:00,13.09,13.09,13.09,13.09,13.09,516.0
2020-12-22 05:00:00+00:00,13.01,13.01,12.95,12.98,12.98,1512.0
2020-12-23 05:00:00+00:00,13.21,13.21,13.21,13.21,13.21,182.0
2020-12-28 05:00:00+00:00,13.69,13.69,13.69,13.69,13.69,181.0
2021-01-04 05:00:00+00:00,13.25,13.25,12.86,13.02,13.02,2780.0
2021-01-05 05:00:00+00:00,13.21,13.21,13.21,13.21,13.21,197.0
2021-01-06 05:00:00+00:00,14.29,14.29,14.16,14.16,14.16,262.0
2021-01-07 05:00:00+00:00,14.25,14.56,14.25,14.56,14.56,501.0
2021-01-08 05:00:00+00:00,14.18,14.7,14.18,14.7,14.7,827.0
2021-01-12 05:00:00+00:00,14.45,14.45,14.45,14.45,14.45,120.0
2021-01-14 05:00:00+00:00,14.24,14.24,14.24,14.24,14.24,600.0
2021-01-15 05:00:00+00:00,14.58,14.58,14.58,14.58,14.58,219.0
2021-01-19 05:00:00+00:00,14.75,14.76,14.75,14.75,14.75,469.0
2021-01-20 05:00:00+00:00,14.54,14.54,14.54,14.54,14.54,258.0
2021-01-22 05:00:00+00:00,14.15,14.97,14.15,14.97,14.97,320.0
2021-01-28 05:00:00+00:00,14.26,14.26,14.26,14.26,14.26,220.0
2021-01-29 05:00:00+00:00,13.49,13.83,13.49,13.83,13.83,993.0
