Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20 04:00:00+00:00,20.54,20.7,20.54,20.67,20.67,944.0
2020-08-21 04:00:00+00:00,20.67,20.74,20.67,20.71,20.71,1400.0
2020-08-25 04:00:00+00:00,20.79,20.89,20.79,20.89,20.89,401.0
2020-08-26 04:00:00+00:00,20.97,21.14,20.97,21.03,21.03,1785.0
2020-08-27 04:00:00+00:00,21.04,21.04,20.94,20.98,20.98,2201.0
2020-08-28 04:00:00+00:00,20.96,21.01,20.96,21.0,21.0,4600.0
2020-08-31 04:00:00+00:00,21.03,21.08,21.0,21.0,21.0,3236.0
2020-09-02 04:00:00+00:00,20.95,20.95,20.95,20.95,20.95,100.0
2020-09-03 04:00:00+00:00,20.95,20.95,20.9,20.9,20.9,700.0
2020-09-08 04:00:00+00:00,20.72,20.72,20.71,20.71,20.71,200.0
2020-09-10 04:00:00+00:00,20.69,20.69,20.69,20.69,20.69,200.0
2020-09-16 04:00:00+00:00,20.56,20.56,20.54,20.54,20.54,500.0
2020-09-17 04:00:00+00:00,20.44,20.44,20.44,20.44,20.44,200.0
2020-09-18 04:00:00+00:00,20.44,20.52,20.44,20.44,20.44,500.0
2020-09-24 04:00:00+00:00,20.28,20.28,20.28,20.28,20.28,170.0
2020-09-25 04:00:00+00:00,20.28,20.28,20.28,20.28,20.28,121.0
2020-09-28 04:00:00+00:00,20.59,20.59,20.59,20.59,20.59,100.0
2020-09-29 04:00:00+00:00,20.48,20.5,20.48,20.48,20.48,2300.0
2020-09-30 04:00:00+00:00,20.63,20.64,20.63,20.64,20.64,200.0
2020-10-01 04:00:00+00:00,20.56,20.69,20.56,20.65,20.65,715.0
2020-10-02 04:00:00+00:00,20.6,20.6,20.51,20.51,20.51,400.0
2020-10-05 04:00:00+00:00,20.63,20.63,20.52,20.52,20.52,1410.0
2020-10-06 04:00:00+00:00,20.52,20.52,20.41,20.41,20.41,200.0
2020-10-07 04:00:00+00:00,20.63,20.65,20.63,20.64,20.64,2515.0
2020-10-08 04:00:00+00:00,20.63,20.63,20.63,20.63,20.63,756.0
2020-10-09 04:00:00+00:00,20.65,20.65,20.65,20.65,20.65,100.0
2020-10-12 04:00:00+00:00,20.68,20.76,20.67,20.67,20.67,2219.0
2020-10-13 04:00:00+00:00,20.69,20.69,20.69,20.69,20.69,1100.0
2020-10-15 04:00:00+00:00,20.69,20.69,20.69,20.69,20.69,100.0
2020-10-16 04:00:00+00:00,20.68,20.7,20.65,20.67,20.67,1300.0
2020-10-20 04:00:00+00:00,20.67,20.67,20.63,20.63,20.63,300.0
2020-10-21 04:00:00+00:00,20.67,20.67,20.67,20.67,20.67,100.0
2020-10-22 04:00:00+00:00,20.67,20.67,20.67,20.67,20.67,155.0
2020-10-23 04:00:00+00:00,20.67,20.67,20.63,20.67,20.67,400.0
