Date,Open,High,Low,Close,Adj Close,Volume
2020-08-03 04:00:00+00:00,27.31,27.31,27.31,27.31,27.31,300.0
2020-08-12 04:00:00+00:00,26.61,26.61,26.57,26.57,26.57,3300.0
2020-08-13 04:00:00+00:00,27.02,27.02,27.02,27.02,27.02,300.0
2020-08-27 04:00:00+00:00,26.23,26.23,26.23,26.23,26.23,300.0
2020-09-03 04:00:00+00:00,26.16,26.16,26.15,26.15,26.15,618.0
2020-09-04 04:00:00+00:00,25.6,25.62,25.51,25.51,25.51,1548.0
2020-09-08 04:00:00+00:00,24.07,24.07,24.07,24.07,24.07,300.0
2020-09-09 04:00:00+00:00,24.24,24.24,24.24,24.24,24.24,300.0
2020-09-16 04:00:00+00:00,24.79,24.79,24.79,24.79,24.79,345.0
2020-10-05 04:00:00+00:00,25.98,25.98,25.87,25.98,25.98,1089.0
2020-10-06 04:00:00+00:00,26.64,26.64,26.64,26.64,26.64,333.0
2020-10-07 04:00:00+00:00,26.55,26.55,26.55,26.55,26.55,441.0
2020-10-08 04:00:00+00:00,26.98,26.98,26.98,26.98,26.98,300.0
2020-10-09 04:00:00+00:00,27.49,27.53,27.49,27.53,27.53,1026.0
2020-10-20 04:00:00+00:00,27.44,27.44,27.44,27.44,27.44,300.0
2020-10-22 04:00:00+00:00,26.8,26.8,26.8,26.8,26.8,300.0
2020-11-20 05:00:00+00:00,31.3,31.3,30.99,30.99,30.99,1467.0
2020-11-24 05:00:00+00:00,31.42,31.69,31.42,31.62,31.62,2727.0
2020-12-01 05:00:00+00:00,32.54,32.55,32.54,32.55,32.55,1542.0
2020-12-02 05:00:00+00:00,32.85,32.85,32.85,32.85,32.85,600.0
2020-12-03 05:00:00+00:00,33.27,33.27,33.24,33.25,33.25,4011.0
2020-12-04 05:00:00+00:00,33.49,33.49,33.49,33.49,33.49,462.0
2020-12-14 05:00:00+00:00,33.57,33.57,33.57,33.57,33.57,342.0
2020-12-16 05:00:00+00:00,33.95,33.95,33.95,33.95,33.95,330.0
2020-12-17 05:00:00+00:00,34.2,34.2,34.2,34.2,34.2,594.0
2020-12-24 05:00:00+00:00,33.73,33.73,33.73,33.73,33.73,501.0
2020-12-28 05:00:00+00:00,34.04,34.04,34.04,34.04,34.04,750.0
2020-12-29 05:00:00+00:00,33.45,33.45,33.45,33.45,33.45,351.0
2020-12-30 05:00:00+00:00,34.34,34.34,34.34,34.34,34.34,720.0
2021-01-04 05:00:00+00:00,34.34,34.34,34.34,34.34,34.34,342.0
2021-01-07 05:00:00+00:00,36.54,36.54,36.54,36.54,36.54,657.0
2021-01-11 05:00:00+00:00,37.07,37.8,37.07,37.67,37.67,26454.0
2021-01-12 05:00:00+00:00,38.06,38.06,37.98,37.98,37.98,1908.0
2021-01-14 05:00:00+00:00,38.57,39.04,38.57,39.04,39.04,1230.0
2021-01-15 05:00:00+00:00,37.76,37.76,37.76,37.76,37.76,459.0
2021-01-19 05:00:00+00:00,39.16,39.23,39.16,39.23,39.23,630.0
2021-01-20 05:00:00+00:00,39.53,39.53,39.53,39.53,39.53,390.0
2021-01-22 05:00:00+00:00,39.47,39.47,39.47,39.47,39.47,846.0
2021-01-25 05:00:00+00:00,39.29,39.29,39.29,39.29,39.29,780.0
2021-01-29 05:00:00+00:00,36.54,36.54,36.54,36.54,36.54,807.0
2021-02-02 05:00:00+00:00,37.83,37.94,37.83,37.94,37.94,912.0
2021-02-03 05:00:00+00:00,38.22,38.22,37.31,37.31,37.31,1359.0
2021-02-04 05:00:00+00:00,37.52,37.64,37.5,37.64,37.64,900.0
2021-02-05 05:00:00+00:00,37.78,37.78,37.75,37.75,37.75,876.0
2021-02-08 05:00:00+00:00,38.09,38.85,38.09,38.85,38.85,1266.0
2021-02-10 05:00:00+00:00,38.93,38.93,38.88,38.89,38.89,1563.0
2021-02-11 05:00:00+00:00,39.75,40.1,39.75,40.1,40.1,1047.0
2021-02-12 05:00:00+00:00,40.98,41.72,40.98,41.72,41.72,3054.0
2021-02-16 05:00:00+00:00,42.76,42.76,42.22,42.22,42.22,1233.0
2021-02-17 05:00:00+00:00,41.02,41.22,40.55,41.07,41.07,5835.0
2021-02-18 05:00:00+00:00,40.72,40.72,39.91,40.23,40.23,3081.0
2021-02-19 05:00:00+00:00,40.99,41.54,40.99,41.4,41.4,3264.0
2021-02-22 05:00:00+00:00,41.14,41.14,39.59,39.59,39.59,3621.0
2021-02-23 05:00:00+00:00,37.94,39.34,37.94,38.85,38.85,2004.0
2021-02-24 05:00:00+00:00,39.68,41.02,39.68,41.02,41.02,1509.0
2021-02-25 05:00:00+00:00,40.65,40.65,38.48,38.48,38.48,660.0
2021-02-26 05:00:00+00:00,39.05,39.05,38.12,38.12,38.12,1632.0
2021-03-01 05:00:00+00:00,39.72,39.8,39.72,39.8,39.8,1545.0
2021-03-02 05:00:00+00:00,40.16,40.17,39.5,39.5,39.5,2997.0
2021-03-03 05:00:00+00:00,38.86,39.24,37.89,38.12,38.12,2802.0
2021-03-04 05:00:00+00:00,36.99,37.08,35.93,36.03,36.03,4713.0
2021-03-05 05:00:00+00:00,35.6,35.6,34.75,34.75,34.75,2307.0
2021-03-08 05:00:00+00:00,36.75,36.75,35.57,35.57,35.57,2187.0
2021-03-09 05:00:00+00:00,36.48,37.65,36.38,37.3,37.3,7743.0
2021-03-10 05:00:00+00:00,37.74,37.74,37.51,37.51,37.51,1146.0
2021-03-11 05:00:00+00:00,37.77,38.39,37.77,38.39,38.39,711.0
2021-03-12 05:00:00+00:00,37.52,37.7,37.51,37.7,37.7,1905.0
2021-03-15 04:00:00+00:00,38.67,38.67,38.52,38.52,38.52,600.0
2021-03-16 04:00:00+00:00,39.5,39.91,39.5,39.91,39.91,1245.0
2021-03-17 04:00:00+00:00,39.2,39.98,38.99,39.98,39.98,1200.0
2021-03-18 04:00:00+00:00,39.29,39.29,38.51,38.51,38.51,1734.0
2021-03-22 04:00:00+00:00,39.33,39.67,39.33,39.5,39.5,2256.0
2021-03-23 04:00:00+00:00,39.09,39.09,37.67,37.74,37.74,2337.0
2021-03-24 04:00:00+00:00,38.42,38.52,37.57,37.57,37.57,1599.0
2021-03-25 04:00:00+00:00,36.6,37.13,36.27,36.94,36.94,1848.0
2021-03-26 04:00:00+00:00,38.23,38.84,38.23,38.84,38.84,2112.0
2021-03-29 04:00:00+00:00,38.29,38.29,38.29,38.29,38.29,360.0
2021-03-31 04:00:00+00:00,39.35,39.56,39.35,39.56,39.56,1902.0
2021-04-01 04:00:00+00:00,40.9,41.27,40.9,41.27,41.27,600.0
2021-04-05 04:00:00+00:00,42.14,42.58,41.73,42.45,42.45,10446.0
2021-04-06 04:00:00+00:00,42.33,42.44,41.62,42.01,42.01,4386.0
2021-04-07 04:00:00+00:00,41.65,41.65,41.65,41.65,41.65,417.0
2021-04-08 04:00:00+00:00,41.83,41.98,41.83,41.98,41.98,903.0
2021-04-09 04:00:00+00:00,41.67,41.74,41.58,41.58,41.58,1590.0
2021-04-13 04:00:00+00:00,40.78,40.8,40.76,40.8,40.8,1545.0
2021-04-14 04:00:00+00:00,40.79,40.79,40.79,40.79,40.79,657.0
2021-04-15 04:00:00+00:00,41.31,41.31,41.31,41.31,41.31,447.0
2021-04-16 04:00:00+00:00,41.42,41.42,41.36,41.36,41.36,1200.0
2021-04-19 04:00:00+00:00,39.83,39.83,39.83,39.83,39.83,909.0
2021-04-20 04:00:00+00:00,40.21,40.21,39.36,39.36,39.36,3663.0
2021-04-21 04:00:00+00:00,40.4,40.4,40.4,40.4,40.4,942.0
2021-04-22 04:00:00+00:00,40.38,40.38,40.38,40.38,40.38,1380.0
2021-04-23 04:00:00+00:00,40.81,41.02,40.81,41.02,41.02,1800.0
2021-04-26 04:00:00+00:00,41.86,41.99,41.86,41.93,41.93,1209.0
2021-04-27 04:00:00+00:00,41.75,41.75,41.75,41.75,41.75,456.0
2021-04-28 04:00:00+00:00,41.04,41.04,41.04,41.04,41.04,543.0
2021-04-29 04:00:00+00:00,40.69,40.99,40.69,40.98,40.98,1818.0
2021-05-04 04:00:00+00:00,38.02,38.02,37.87,37.99,37.99,900.0
2021-05-05 04:00:00+00:00,38.56,38.56,38.56,38.56,38.56,606.0
2021-05-06 04:00:00+00:00,38.43,38.43,38.43,38.43,38.43,318.0
2021-05-07 04:00:00+00:00,39.2,39.2,39.2,39.2,39.2,609.0
2021-05-10 04:00:00+00:00,38.03,38.03,37.49,37.52,37.52,1554.0
2021-05-11 04:00:00+00:00,36.61,37.53,36.41,37.36,37.36,4506.0
2021-05-12 04:00:00+00:00,36.75,36.75,36.15,36.15,36.15,603.0
2021-05-13 04:00:00+00:00,36.71,36.71,36.11,36.57,36.57,1500.0
2021-05-17 04:00:00+00:00,36.95,37.03,36.72,37.03,37.03,3177.0
2021-05-18 04:00:00+00:00,37.58,37.58,37.05,37.05,37.05,1869.0
2021-05-19 04:00:00+00:00,36.69,37.67,36.69,37.67,37.67,1080.0
2021-05-20 04:00:00+00:00,38.34,38.98,38.34,38.98,38.98,1038.0
2021-05-21 04:00:00+00:00,38.99,38.99,38.85,38.85,38.85,900.0
2021-05-24 04:00:00+00:00,39.55,39.65,39.53,39.53,39.53,2550.0
2021-05-25 04:00:00+00:00,40.07,40.07,40.07,40.07,40.07,657.0
2021-05-27 04:00:00+00:00,40.47,40.62,40.47,40.62,40.62,960.0
2021-06-01 04:00:00+00:00,41.34,41.36,41.34,41.36,41.36,600.0
2021-06-03 04:00:00+00:00,40.45,40.45,40.16,40.43,40.43,1869.0
2021-06-04 04:00:00+00:00,41.03,41.08,41.02,41.08,41.08,1200.0
2021-06-07 04:00:00+00:00,40.88,40.88,40.77,40.77,40.77,990.0
2021-06-09 04:00:00+00:00,40.66,40.66,40.66,40.66,40.66,315.0
2021-06-14 04:00:00+00:00,41.42,41.43,41.42,41.43,41.43,603.0
