Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29 04:00:00+00:00,13.89,13.9,13.89,13.9,13.9,458.0
2020-08-05 04:00:00+00:00,13.83,13.84,13.83,13.84,13.84,400.0
2020-08-24 04:00:00+00:00,13.93,13.93,13.93,13.93,13.93,1000.0
2020-09-03 04:00:00+00:00,13.9,13.9,13.9,13.9,13.9,1100.0
2020-09-04 04:00:00+00:00,13.99,13.99,13.99,13.99,13.99,700.0
2020-09-10 04:00:00+00:00,14.05,14.05,14.04,14.04,14.04,300.0
2020-09-23 04:00:00+00:00,13.94,13.94,13.94,13.94,13.94,300.0
2020-10-01 04:00:00+00:00,13.94,13.95,13.94,13.95,13.95,704.0
2020-10-02 04:00:00+00:00,13.96,13.96,13.96,13.96,13.96,100.0
2020-10-12 04:00:00+00:00,14.12,14.12,14.12,14.12,14.12,1300.0
2020-11-09 05:00:00+00:00,14.43,14.43,14.43,14.43,14.43,400.0
2020-11-11 05:00:00+00:00,14.49,14.49,14.49,14.49,14.49,1800.0
2020-11-12 05:00:00+00:00,14.34,14.35,14.34,14.35,14.35,600.0
2020-11-16 05:00:00+00:00,14.32,14.32,14.32,14.32,14.32,100.0
2020-11-17 05:00:00+00:00,14.27,14.27,14.27,14.27,14.27,100.0
2020-12-01 05:00:00+00:00,14.28,14.28,14.28,14.28,14.28,200.0
2020-12-02 05:00:00+00:00,14.41,14.41,14.41,14.41,14.41,400.0
2020-12-04 05:00:00+00:00,14.46,14.46,14.43,14.43,14.43,200.0
2020-12-07 05:00:00+00:00,14.36,14.36,14.36,14.36,14.36,100.0
2020-12-09 05:00:00+00:00,14.35,14.37,14.33,14.33,14.33,700.0
2020-12-11 05:00:00+00:00,14.24,14.24,14.22,14.22,14.22,200.0
2020-12-28 05:00:00+00:00,14.33,14.33,14.33,14.33,14.33,100.0
2020-12-29 05:00:00+00:00,14.32,14.32,14.31,14.31,14.31,200.0
2020-12-31 05:00:00+00:00,14.25,14.25,14.25,14.25,14.25,400.0
2021-01-06 05:00:00+00:00,14.49,14.49,14.49,14.49,14.49,104.0
2021-01-13 05:00:00+00:00,14.67,14.67,14.67,14.67,14.67,400.0
2021-01-27 05:00:00+00:00,14.38,14.38,14.38,14.38,14.38,400.0
2021-02-22 05:00:00+00:00,15.07,15.09,15.03,15.09,15.09,400.0
2021-02-23 05:00:00+00:00,15.12,15.12,15.06,15.06,15.06,478.0
2021-02-24 05:00:00+00:00,15.2,15.2,15.1,15.11,15.11,6422.0
2021-02-25 05:00:00+00:00,15.27,15.52,15.25,15.52,15.52,8000.0
2021-03-01 05:00:00+00:00,15.29,15.31,15.26,15.31,15.31,8068.0
2021-03-03 05:00:00+00:00,15.37,15.37,15.37,15.37,15.37,1300.0
2021-03-04 05:00:00+00:00,15.35,15.52,15.35,15.52,15.52,300.0
2021-03-08 05:00:00+00:00,15.65,15.69,15.64,15.64,15.64,3010.0
2021-03-10 05:00:00+00:00,15.52,15.52,15.52,15.52,15.52,118.0
2021-03-12 05:00:00+00:00,15.72,15.72,15.72,15.72,15.72,100.0
2021-03-16 04:00:00+00:00,15.62,15.62,15.62,15.62,15.62,100.0
2021-03-17 04:00:00+00:00,15.78,15.78,15.75,15.76,15.76,700.0
2021-03-18 04:00:00+00:00,15.96,15.96,15.96,15.96,15.96,1000.0
2021-03-19 04:00:00+00:00,15.97,15.98,15.94,15.94,15.94,2500.0
2021-03-25 04:00:00+00:00,15.62,15.62,15.62,15.62,15.62,100.0
2021-03-30 04:00:00+00:00,15.91,15.91,15.91,15.91,15.91,115.0
2021-04-05 04:00:00+00:00,15.91,15.91,15.91,15.91,15.91,100.0
2021-04-13 04:00:00+00:00,15.72,15.72,15.72,15.72,15.72,100.0
2021-04-15 04:00:00+00:00,15.53,15.53,15.44,15.44,15.44,1505.0
2021-04-21 04:00:00+00:00,15.47,15.48,15.47,15.48,15.48,900.0
2021-04-29 04:00:00+00:00,15.7,15.7,15.7,15.7,15.7,360.0
2021-05-05 04:00:00+00:00,15.48,15.48,15.48,15.48,15.48,389.0
2021-05-12 04:00:00+00:00,15.66,15.7,15.66,15.7,15.7,1500.0
2021-05-13 04:00:00+00:00,15.64,15.64,15.64,15.64,15.64,720.0
2021-05-14 04:00:00+00:00,15.57,15.57,15.57,15.57,15.57,500.0
2021-05-17 04:00:00+00:00,15.56,15.56,15.56,15.56,15.56,200.0
