Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,39.69,39.72,39.69,39.72,39.72,460.0
2020-07-28 04:00:00+00:00,39.82,39.82,39.82,39.82,39.82,273.0
2020-07-30 04:00:00+00:00,39.54,39.71,39.54,39.7,39.7,600.0
2020-07-31 04:00:00+00:00,39.74,39.74,39.41,39.41,39.41,600.0
2020-08-03 04:00:00+00:00,40.33,40.33,40.31,40.31,40.31,200.0
2020-08-04 04:00:00+00:00,40.38,40.38,40.34,40.34,40.34,800.0
2020-08-06 04:00:00+00:00,40.48,40.48,40.48,40.48,40.48,314.0
2020-08-07 04:00:00+00:00,40.52,40.52,40.52,40.52,40.52,200.0
2020-08-10 04:00:00+00:00,41.08,41.08,41.08,41.08,41.08,300.0
2020-08-13 04:00:00+00:00,41.21,41.21,41.21,41.21,41.21,652.0
2020-08-18 04:00:00+00:00,41.2,41.24,41.2,41.24,41.24,282.0
2020-08-19 04:00:00+00:00,41.17,41.17,41.17,41.17,41.17,100.0
2020-08-20 04:00:00+00:00,41.0,41.03,40.99,41.03,41.03,1254.0
2020-08-21 04:00:00+00:00,41.1,41.17,41.1,41.16,41.16,2448.0
2020-08-24 04:00:00+00:00,41.57,41.62,41.57,41.62,41.62,296.0
2020-08-25 04:00:00+00:00,41.62,41.62,41.62,41.62,41.62,463.0
2020-08-28 04:00:00+00:00,42.08,42.08,42.08,42.08,42.08,100.0
2020-08-31 04:00:00+00:00,42.11,42.11,42.11,42.11,42.11,100.0
2020-09-01 04:00:00+00:00,42.01,42.16,42.01,42.16,42.16,712.0
2020-09-02 04:00:00+00:00,42.88,42.88,42.88,42.88,42.88,106.0
2020-09-03 04:00:00+00:00,42.74,42.74,41.71,41.71,41.71,1200.0
2020-09-04 04:00:00+00:00,40.71,41.29,40.71,41.29,41.29,962.0
2020-09-08 04:00:00+00:00,40.56,40.56,40.51,40.51,40.51,400.0
2020-09-09 04:00:00+00:00,41.06,41.16,41.06,41.16,41.16,300.0
2020-09-10 04:00:00+00:00,41.02,41.02,40.51,40.51,40.51,355.0
2020-09-11 04:00:00+00:00,40.29,40.29,40.29,40.29,40.29,100.0
2020-09-15 04:00:00+00:00,41.19,41.25,41.14,41.14,41.14,1700.0
2020-09-17 04:00:00+00:00,40.63,40.63,40.58,40.58,40.58,400.0
2020-09-18 04:00:00+00:00,40.52,40.58,40.25,40.32,40.32,1000.0
2020-09-22 04:00:00+00:00,39.96,39.96,39.68,39.68,39.68,395.0
2020-09-23 04:00:00+00:00,39.37,39.37,39.37,39.37,39.37,600.0
2020-09-24 04:00:00+00:00,38.99,39.01,38.99,39.0,39.0,300.0
2020-09-25 04:00:00+00:00,39.34,39.81,39.34,39.81,39.81,268.0
2020-09-28 04:00:00+00:00,40.36,40.43,40.32,40.42,40.42,778.0
2020-10-01 04:00:00+00:00,40.62,40.62,40.51,40.51,40.51,300.0
2020-10-02 04:00:00+00:00,40.56,40.56,40.56,40.56,40.56,300.0
2020-10-05 04:00:00+00:00,40.96,41.16,40.96,41.16,41.16,200.0
2020-10-06 04:00:00+00:00,41.2,41.2,40.79,40.79,40.79,200.0
2020-10-14 04:00:00+00:00,42.28,42.28,42.28,42.28,42.28,600.0
2020-10-16 04:00:00+00:00,42.27,42.31,42.24,42.31,42.31,660.0
2020-10-19 04:00:00+00:00,42.15,42.15,42.15,42.15,42.15,282.0
2020-10-20 04:00:00+00:00,41.81,41.81,41.53,41.53,41.53,900.0
2020-10-23 04:00:00+00:00,41.52,41.52,41.52,41.52,41.52,100.0
2020-10-26 04:00:00+00:00,41.22,41.22,40.83,40.83,40.83,300.0
2020-10-28 04:00:00+00:00,39.94,39.94,39.58,39.58,39.58,217.0
2020-10-29 04:00:00+00:00,39.64,39.97,39.63,39.97,39.97,685.0
2020-10-30 04:00:00+00:00,39.54,39.54,39.51,39.51,39.51,388.0
2020-11-02 05:00:00+00:00,39.68,39.69,39.68,39.68,39.68,700.0
2020-11-03 05:00:00+00:00,40.85,40.85,40.85,40.85,40.85,100.0
2020-11-05 05:00:00+00:00,41.87,42.01,41.83,42.0,42.0,7327.0
2020-11-06 05:00:00+00:00,41.76,41.82,41.76,41.82,41.82,400.0
2020-11-09 05:00:00+00:00,43.55,43.55,42.82,42.82,42.82,500.0
2020-11-10 05:00:00+00:00,42.52,42.63,42.52,42.63,42.63,200.0
2020-11-11 05:00:00+00:00,42.68,42.68,42.68,42.68,42.68,270.0
2020-11-13 05:00:00+00:00,43.11,43.11,43.11,43.11,43.11,100.0
2020-11-16 05:00:00+00:00,43.51,43.58,43.51,43.58,43.58,360.0
2020-11-18 05:00:00+00:00,43.45,43.45,43.0,43.0,43.0,500.0
2020-11-20 05:00:00+00:00,42.91,42.91,42.85,42.85,42.85,400.0
2020-11-23 05:00:00+00:00,42.76,42.76,42.76,42.76,42.76,500.0
2020-11-24 05:00:00+00:00,43.63,43.63,43.63,43.63,43.63,100.0
2020-11-25 05:00:00+00:00,43.53,43.53,43.51,43.51,43.51,442.0
2020-11-30 05:00:00+00:00,43.37,43.37,43.37,43.37,43.37,206.0
2020-12-01 05:00:00+00:00,43.94,43.94,43.94,43.94,43.94,360.0
2020-12-02 05:00:00+00:00,43.83,43.83,43.77,43.77,43.77,200.0
2020-12-09 05:00:00+00:00,44.24,44.24,44.24,44.24,44.24,100.0
2020-12-15 05:00:00+00:00,44.16,44.17,44.16,44.17,44.17,215.0
2020-12-16 05:00:00+00:00,44.65,44.73,44.6,44.72,44.72,1911.0
2020-12-17 05:00:00+00:00,44.88,44.88,44.88,44.88,44.88,163.0
2020-12-18 05:00:00+00:00,44.66,44.85,44.66,44.85,44.85,200.0
2020-12-21 05:00:00+00:00,44.05,44.57,44.05,44.57,44.57,340.0
2020-12-22 05:00:00+00:00,44.73,44.81,44.72,44.72,44.72,800.0
2020-12-23 05:00:00+00:00,44.9,44.9,44.9,44.9,44.9,220.0
2020-12-24 05:00:00+00:00,44.78,44.78,44.78,44.78,44.78,100.0
2020-12-28 05:00:00+00:00,45.06,45.06,45.06,45.06,45.06,100.0
2020-12-29 05:00:00+00:00,45.19,45.19,45.19,45.19,45.19,173.0
2021-01-04 05:00:00+00:00,44.22,44.56,44.22,44.44,44.44,794.0
2021-01-05 05:00:00+00:00,44.64,44.65,44.64,44.65,44.65,200.0
2021-01-06 05:00:00+00:00,45.56,45.59,45.39,45.39,45.39,1500.0
2021-01-07 05:00:00+00:00,45.9,46.0,45.85,46.0,46.0,884.0
2021-01-12 05:00:00+00:00,46.03,46.03,46.03,46.03,46.03,300.0
2021-01-13 05:00:00+00:00,46.2,46.2,46.2,46.2,46.2,400.0
2021-01-14 05:00:00+00:00,46.21,46.22,46.2,46.2,46.2,662.0
2021-01-19 05:00:00+00:00,46.24,46.24,46.24,46.24,46.24,100.0
2021-01-20 05:00:00+00:00,46.6,46.6,46.59,46.59,46.59,200.0
2021-01-21 05:00:00+00:00,46.55,46.58,46.47,46.58,46.58,953.0
2021-01-22 05:00:00+00:00,46.3,46.58,46.3,46.58,46.58,3077.0
2021-01-25 05:00:00+00:00,46.56,46.71,46.47,46.71,46.71,600.0
2021-01-26 05:00:00+00:00,46.87,46.87,46.71,46.87,46.87,1238.0
2021-01-27 05:00:00+00:00,46.02,46.02,45.95,45.95,45.95,508.0
2021-01-28 05:00:00+00:00,46.51,46.56,46.51,46.56,46.56,1200.0
2021-01-29 05:00:00+00:00,45.13,45.22,45.13,45.22,45.22,431.0
2021-02-01 05:00:00+00:00,45.54,45.54,45.54,45.54,45.54,140.0
2021-02-02 05:00:00+00:00,46.13,46.13,46.13,46.13,46.13,300.0
2021-02-03 05:00:00+00:00,46.09,46.09,46.09,46.09,46.09,100.0
2021-02-04 05:00:00+00:00,46.48,46.48,46.48,46.48,46.48,346.0
2021-02-05 05:00:00+00:00,46.84,46.84,46.81,46.81,46.81,445.0
2021-02-08 05:00:00+00:00,47.14,47.14,47.14,47.14,47.14,100.0
2021-02-10 05:00:00+00:00,46.97,47.08,46.97,47.08,47.08,400.0
2021-02-11 05:00:00+00:00,47.04,47.08,46.93,47.08,47.08,495.0
2021-02-16 05:00:00+00:00,47.11,47.11,47.11,47.11,47.11,200.0
2021-02-18 05:00:00+00:00,46.89,46.89,46.89,46.89,46.89,200.0
2021-02-19 05:00:00+00:00,46.91,46.91,46.91,46.91,46.91,200.0
2021-02-23 05:00:00+00:00,46.39,46.69,46.39,46.67,46.67,1100.0
2021-02-24 05:00:00+00:00,46.87,47.04,46.87,47.04,47.04,200.0
2021-02-26 05:00:00+00:00,46.08,46.24,45.97,46.24,46.24,4700.0
2021-03-01 05:00:00+00:00,46.99,46.99,46.99,46.99,46.99,600.0
2021-03-02 05:00:00+00:00,46.89,46.89,46.89,46.89,46.89,300.0
2021-03-03 05:00:00+00:00,46.44,46.44,46.44,46.44,46.44,255.0
2021-03-04 05:00:00+00:00,46.03,46.03,45.23,45.49,45.49,660.0
2021-03-05 05:00:00+00:00,45.75,45.75,45.75,45.75,45.75,100.0
2021-03-08 05:00:00+00:00,46.99,46.99,46.99,46.99,46.99,300.0
2021-03-10 05:00:00+00:00,47.51,47.65,47.51,47.65,47.65,1172.0
2021-03-11 05:00:00+00:00,47.87,47.87,47.76,47.76,47.76,1100.0
2021-03-12 05:00:00+00:00,47.78,47.81,47.78,47.81,47.81,200.0
2021-03-15 04:00:00+00:00,48.02,48.19,48.02,48.19,48.19,335.0
2021-03-18 04:00:00+00:00,48.17,48.17,48.17,48.17,48.17,126.0
2021-03-19 04:00:00+00:00,47.73,47.8,47.73,47.8,47.8,500.0
2021-03-23 04:00:00+00:00,48.0,48.03,47.69,47.69,47.69,1400.0
2021-03-24 04:00:00+00:00,48.08,48.08,48.06,48.06,48.06,351.0
2021-03-25 04:00:00+00:00,47.59,48.04,47.59,48.04,48.04,214.0
2021-03-29 04:00:00+00:00,48.88,49.11,48.88,49.11,49.11,200.0
2021-03-30 04:00:00+00:00,48.79,48.79,48.79,48.79,48.79,200.0
2021-03-31 04:00:00+00:00,49.07,49.07,48.95,48.95,48.95,200.0
2021-04-08 04:00:00+00:00,49.77,49.86,49.77,49.84,49.84,600.0
2021-04-09 04:00:00+00:00,49.96,49.99,49.96,49.99,49.99,200.0
2021-04-12 04:00:00+00:00,50.17,50.2,50.16,50.2,50.2,483.0
2021-04-13 04:00:00+00:00,50.2,50.2,50.16,50.16,50.16,713.0
2021-04-15 04:00:00+00:00,50.32,50.52,50.32,50.52,50.52,300.0
2021-04-19 04:00:00+00:00,50.58,50.58,50.58,50.58,50.58,300.0
2021-04-21 04:00:00+00:00,50.67,50.67,50.67,50.67,50.67,115.0
2021-04-22 04:00:00+00:00,50.74,50.74,50.29,50.29,50.29,545.0
2021-04-26 04:00:00+00:00,50.86,50.86,50.86,50.86,50.86,101.0
2021-04-28 04:00:00+00:00,50.58,50.58,50.58,50.58,50.58,200.0
2021-05-03 04:00:00+00:00,50.75,50.98,50.75,50.89,50.89,900.0
2021-05-05 04:00:00+00:00,51.02,51.02,51.02,51.02,51.02,131.0
2021-05-06 04:00:00+00:00,51.26,51.26,51.26,51.26,51.26,105.0
2021-05-07 04:00:00+00:00,51.53,52.04,51.53,52.01,52.01,1200.0
2021-05-10 04:00:00+00:00,52.41,52.41,51.94,51.94,51.94,400.0
2021-05-11 04:00:00+00:00,50.99,51.26,50.99,51.26,51.26,300.0
2021-05-12 04:00:00+00:00,50.8,50.8,50.12,50.2,50.2,1798.0
2021-05-13 04:00:00+00:00,51.17,51.17,51.17,51.17,51.17,100.0
2021-05-17 04:00:00+00:00,51.46,51.46,51.37,51.37,51.37,600.0
2021-05-18 04:00:00+00:00,51.35,51.36,51.33,51.33,51.33,328.0
2021-05-24 04:00:00+00:00,51.42,51.42,51.42,51.42,51.42,363.0
2021-05-26 04:00:00+00:00,51.33,51.36,51.33,51.35,51.35,500.0
2021-06-01 04:00:00+00:00,51.43,51.43,51.43,51.43,51.43,500.0
2021-06-02 04:00:00+00:00,51.53,51.53,51.53,51.53,51.53,382.0
2021-06-08 04:00:00+00:00,51.78,51.78,51.77,51.77,51.77,200.0
2021-06-14 04:00:00+00:00,51.6,51.6,51.6,51.6,51.6,158.0
2021-06-15 04:00:00+00:00,51.61,51.61,51.61,51.61,51.61,100.0
2021-06-16 04:00:00+00:00,51.15,51.3,51.15,51.3,51.3,400.0
2021-06-22 04:00:00+00:00,50.9,50.9,50.9,50.9,50.9,194.0
2021-06-29 04:00:00+00:00,51.54,51.54,51.54,51.54,51.54,110.0
2021-07-07 04:00:00+00:00,52.21,52.21,52.21,52.21,52.21,100.0
2021-07-19 04:00:00+00:00,50.94,50.94,50.94,50.94,50.94,100.0
2021-07-20 04:00:00+00:00,51.32,51.33,51.32,51.33,51.33,200.0
2021-07-22 04:00:00+00:00,52.18,52.18,52.18,52.18,52.18,100.0
2021-07-23 04:00:00+00:00,52.55,52.55,52.55,52.55,52.55,600.0
2021-07-28 04:00:00+00:00,52.42,52.42,52.42,52.42,52.42,200.0
2021-07-30 04:00:00+00:00,52.85,52.85,52.85,52.85,52.85,600.0
2021-08-02 04:00:00+00:00,52.98,52.98,52.62,52.62,52.62,306.0
2021-08-04 04:00:00+00:00,52.94,52.94,52.84,52.84,52.84,1622.0
2021-08-11 04:00:00+00:00,53.27,53.38,53.27,53.36,53.36,400.0
2021-08-13 04:00:00+00:00,53.57,53.57,53.57,53.57,53.57,561.0
2021-08-16 04:00:00+00:00,53.53,53.53,53.53,53.53,53.53,100.0
2021-08-20 04:00:00+00:00,53.2,53.2,53.2,53.2,53.2,100.0
2021-08-27 04:00:00+00:00,53.89,53.89,53.89,53.89,53.89,201.0
2021-08-31 04:00:00+00:00,53.93,53.93,53.93,53.93,53.93,100.0
2021-09-01 04:00:00+00:00,53.91,53.91,53.91,53.91,53.91,101.0
2021-09-02 04:00:00+00:00,54.19,54.19,54.17,54.18,54.18,300.0
2021-09-08 04:00:00+00:00,53.6,53.6,53.6,53.6,53.6,205.0
2021-09-10 04:00:00+00:00,53.42,53.42,53.41,53.41,53.41,300.0
2021-09-20 04:00:00+00:00,51.52,51.52,51.52,51.52,51.52,212.0
2021-09-21 04:00:00+00:00,52.07,52.07,52.07,52.07,52.07,150.0
2021-09-22 04:00:00+00:00,52.6,52.6,52.6,52.6,52.6,100.0
2021-09-23 04:00:00+00:00,53.04,53.06,53.04,53.06,53.06,400.0
2021-10-11 04:00:00+00:00,52.62,52.62,52.57,52.57,52.57,200.0
2021-10-13 04:00:00+00:00,52.26,52.26,52.26,52.26,52.26,100.0
2021-10-15 04:00:00+00:00,53.43,53.51,53.43,53.51,53.51,375.0
2021-10-19 04:00:00+00:00,53.83,53.87,53.79,53.87,53.87,300.0
2021-10-25 04:00:00+00:00,54.38,54.38,54.38,54.38,54.38,200.0
2021-10-26 04:00:00+00:00,54.37,54.42,54.37,54.42,54.42,200.0
2021-11-01 04:00:00+00:00,54.09,54.21,54.09,54.14,54.14,2408.0
2021-11-02 04:00:00+00:00,54.64,54.64,54.64,54.64,54.64,200.0
2021-11-04 04:00:00+00:00,54.71,54.72,54.69,54.69,54.69,300.0
2021-11-05 04:00:00+00:00,54.95,54.95,54.95,54.95,54.95,600.0
2021-11-12 05:00:00+00:00,55.3,55.3,55.29,55.29,55.29,200.0
2021-11-15 05:00:00+00:00,55.24,55.24,55.24,55.24,55.24,200.0
2021-11-16 05:00:00+00:00,55.5,55.5,55.45,55.45,55.45,200.0
2021-11-17 05:00:00+00:00,55.19,55.19,55.12,55.12,55.12,218.0
2021-11-19 05:00:00+00:00,55.0,55.08,55.0,55.05,55.05,400.0
2021-11-30 05:00:00+00:00,53.8,53.8,53.8,53.8,53.8,100.0
2021-12-02 05:00:00+00:00,54.08,54.13,53.97,54.01,54.01,1100.0
2021-12-03 05:00:00+00:00,53.72,53.72,53.72,53.72,53.72,102.0
2021-12-06 05:00:00+00:00,54.52,54.52,54.52,54.52,54.52,264.0
2021-12-09 05:00:00+00:00,55.36,55.36,55.36,55.36,55.36,200.0
2021-12-13 05:00:00+00:00,55.55,55.55,55.55,55.55,55.55,125.0
2021-12-15 05:00:00+00:00,55.25,55.65,55.25,55.65,55.65,601.0
2021-12-16 05:00:00+00:00,56.0,56.0,55.79,55.79,55.79,350.0
2021-12-17 05:00:00+00:00,55.61,55.61,55.61,55.61,55.61,101.0
2021-12-27 05:00:00+00:00,56.98,56.98,56.98,56.98,56.98,400.0
2021-12-28 05:00:00+00:00,57.21,57.21,57.2,57.2,57.2,300.0
2021-12-29 05:00:00+00:00,57.49,57.49,57.41,57.41,57.41,300.0
2021-12-31 05:00:00+00:00,57.2,57.25,57.2,57.25,57.25,4600.0
2022-01-03 05:00:00+00:00,57.3,57.3,57.3,57.3,57.3,200.0
2022-01-05 05:00:00+00:00,57.57,57.57,56.88,56.88,56.88,300.0
2022-01-10 05:00:00+00:00,55.83,55.83,55.83,55.83,55.83,100.0
2022-01-11 05:00:00+00:00,56.71,56.71,56.71,56.71,56.71,100.0
2022-01-12 05:00:00+00:00,56.77,56.89,56.76,56.76,56.76,426.0
2022-01-18 05:00:00+00:00,55.51,55.51,55.29,55.29,55.29,400.0
2022-01-19 05:00:00+00:00,55.48,55.48,55.17,55.17,55.17,244.0
2022-01-20 05:00:00+00:00,55.33,55.33,54.36,54.36,54.36,500.0
2022-01-21 05:00:00+00:00,54.1,54.1,53.58,53.58,53.58,3500.0
2022-01-24 05:00:00+00:00,52.68,53.77,52.47,53.77,53.77,800.0
2022-01-25 05:00:00+00:00,53.23,53.23,52.91,53.18,53.18,766.0
2022-01-26 05:00:00+00:00,54.31,54.35,53.72,53.72,53.72,1151.0
2022-01-27 05:00:00+00:00,52.97,53.04,52.97,53.0,53.0,300.0
2022-01-28 05:00:00+00:00,53.25,53.61,53.25,53.61,53.61,200.0
2022-01-31 05:00:00+00:00,54.34,54.66,54.34,54.64,54.64,1000.0
2022-02-01 05:00:00+00:00,54.89,54.89,54.64,54.76,54.76,500.0
2022-02-02 05:00:00+00:00,55.3,55.3,55.3,55.3,55.3,100.0
2022-02-04 05:00:00+00:00,54.78,54.78,54.74,54.74,54.74,500.0
2022-02-10 05:00:00+00:00,55.17,55.17,55.0,55.0,55.0,389.0
2022-02-14 05:00:00+00:00,53.85,53.85,53.83,53.83,53.83,403.0
2022-02-15 05:00:00+00:00,54.77,54.77,54.77,54.77,54.77,198.0
2022-02-16 05:00:00+00:00,54.67,54.71,54.67,54.71,54.71,1000.0
2022-02-17 05:00:00+00:00,54.4,54.4,54.4,54.4,54.4,100.0
2022-02-18 05:00:00+00:00,53.93,53.96,53.93,53.96,53.96,300.0
2022-02-22 05:00:00+00:00,53.39,53.39,52.76,53.12,53.12,500.0
2022-02-23 05:00:00+00:00,53.02,53.02,52.86,52.86,52.86,600.0
2022-02-24 05:00:00+00:00,51.47,51.59,51.47,51.51,51.51,300.0
2022-02-25 05:00:00+00:00,53.07,53.07,53.07,53.07,53.07,146.0
2022-02-28 05:00:00+00:00,53.45,53.5,53.16,53.5,53.5,1161.0
2022-03-01 05:00:00+00:00,53.79,53.84,52.74,52.8,52.8,2300.0
2022-03-02 05:00:00+00:00,53.62,54.29,53.62,54.29,54.29,500.0
2022-03-03 05:00:00+00:00,53.93,53.93,53.93,53.93,53.93,200.0
2022-03-04 05:00:00+00:00,53.54,53.54,53.54,53.54,53.54,372.0
2022-03-08 05:00:00+00:00,52.58,53.08,52.45,52.45,52.45,819.0
2022-03-09 05:00:00+00:00,53.21,53.42,53.21,53.42,53.42,300.0
2022-03-10 05:00:00+00:00,52.83,52.83,52.83,52.83,52.83,100.0
2022-03-11 05:00:00+00:00,52.59,52.59,52.59,52.59,52.59,100.0
2022-03-14 04:00:00+00:00,52.86,52.86,52.86,52.86,52.86,200.0
2022-03-16 04:00:00+00:00,53.39,53.39,53.39,53.39,53.39,100.0
2022-03-17 04:00:00+00:00,54.02,54.49,54.02,54.48,54.48,2100.0
2022-03-18 04:00:00+00:00,54.55,55.01,54.51,55.01,55.01,460.0
2022-03-21 04:00:00+00:00,54.85,54.86,54.83,54.83,54.83,536.0
2022-03-23 04:00:00+00:00,54.93,54.93,54.75,54.75,54.75,1277.0
2022-03-28 04:00:00+00:00,55.52,55.76,55.52,55.76,55.76,400.0
2022-03-29 04:00:00+00:00,56.36,56.61,56.25,56.61,56.61,800.0
2022-03-30 04:00:00+00:00,56.29,56.34,56.29,56.34,56.34,841.0
2022-04-01 04:00:00+00:00,55.58,55.58,55.23,55.23,55.23,200.0
2022-04-04 04:00:00+00:00,55.65,55.74,55.65,55.74,55.74,800.0
2022-04-05 04:00:00+00:00,55.56,55.56,55.56,55.56,55.56,300.0
