Date,Open,High,Low,Close,Adj Close,Volume
2024-07-23 04:00:00+00:00,34.8,34.85,34.12,34.81,34.81,3532.0
2024-07-24 04:00:00+00:00,34.65,34.69,33.63,33.63,33.63,6615.0
2024-07-25 04:00:00+00:00,31.59,31.68,31.06,31.25,31.25,7788.0
2024-07-26 04:00:00+00:00,32.51,32.65,32.29,32.62,32.62,3747.0
2024-07-29 04:00:00+00:00,33.62,33.65,32.83,32.94,32.94,6554.0
2024-07-30 04:00:00+00:00,33.41,33.41,32.65,32.68,32.68,3612.0
2024-07-31 04:00:00+00:00,33.33,33.41,32.58,32.61,32.61,2025.0
2024-08-01 04:00:00+00:00,31.83,31.83,30.85,30.85,30.85,956.0
2024-08-02 04:00:00+00:00,31.8,31.8,29.87,30.11,30.11,9521.0
2024-08-05 04:00:00+00:00,22.13,24.76,22.13,23.88,23.88,11076.0
2024-08-06 04:00:00+00:00,25.12,25.48,25.04,25.22,25.22,2990.0
2024-08-07 04:00:00+00:00,23.97,24.06,23.35,23.35,23.35,1700.0
2024-08-08 04:00:00+00:00,24.37,25.98,24.37,25.82,25.82,6400.0
2024-08-09 04:00:00+00:00,25.98,26.19,25.74,25.88,25.88,1650.0
2024-08-12 04:00:00+00:00,26.51,26.86,26.09,26.58,26.58,4570.0
2024-08-13 04:00:00+00:00,26.91,27.02,26.91,27.02,27.02,1320.0
2024-08-14 04:00:00+00:00,26.92,26.92,26.92,26.92,26.92,400.0
2024-08-15 04:00:00+00:00,26.17,26.17,25.51,25.51,25.51,1522.0
2024-08-16 04:00:00+00:00,26.21,26.21,25.9,26.13,26.13,3100.0
2024-08-19 04:00:00+00:00,26.13,26.13,26.13,26.13,26.13,0.0
2024-08-20 04:00:00+00:00,25.95,25.95,25.95,25.95,25.95,450.0
2024-08-21 04:00:00+00:00,25.56,26.39,25.44,26.39,26.39,5258.0
2024-08-22 04:00:00+00:00,26.2,26.2,26.13,26.13,26.13,1400.0
2024-08-23 04:00:00+00:00,26.76,27.35,26.38,27.35,27.35,6922.0
2024-08-26 04:00:00+00:00,27.23,27.23,26.94,26.94,26.94,650.0
2024-08-27 04:00:00+00:00,25.74,26.02,25.72,25.72,25.72,4269.0
2024-08-28 04:00:00+00:00,25.2,25.33,24.8,25.3,25.3,3239.0
2024-08-29 04:00:00+00:00,25.48,25.48,25.2,25.27,25.27,2439.0
2024-08-30 04:00:00+00:00,24.44,25.3,24.36,25.05,25.05,5923.0
2024-09-03 04:00:00+00:00,25.05,25.05,25.05,25.05,25.05,0.0
