Date,Open,High,Low,Close,Adj Close,Volume
2021-01-15 05:00:00+00:00,26.06,26.06,26.06,26.06,26.06,101.0
2021-01-20 05:00:00+00:00,25.92,25.92,25.92,25.92,25.92,100.0
2021-01-21 05:00:00+00:00,26.02,26.02,26.02,26.02,26.02,100.0
2021-01-29 05:00:00+00:00,25.18,25.19,25.18,25.19,25.19,200.0
2021-02-01 05:00:00+00:00,25.47,25.47,25.47,25.47,25.47,100.0
2021-02-02 05:00:00+00:00,26.17,26.17,26.17,26.17,26.17,100.0
2021-02-08 05:00:00+00:00,26.69,26.77,26.69,26.77,26.77,1200.0
2021-02-09 05:00:00+00:00,26.83,27.07,26.83,27.04,27.04,6385.0
2021-02-10 05:00:00+00:00,26.97,26.97,26.77,26.82,26.82,5548.0
2021-02-12 05:00:00+00:00,27.03,27.03,27.03,27.03,27.03,400.0
2021-02-16 05:00:00+00:00,27.28,27.28,27.09,27.09,27.09,2700.0
2021-02-17 05:00:00+00:00,26.63,26.81,26.63,26.81,26.81,2118.0
2021-02-18 05:00:00+00:00,26.52,26.54,26.51,26.53,26.53,1807.0
2021-02-19 05:00:00+00:00,26.89,26.89,26.73,26.73,26.73,433.0
2021-02-22 05:00:00+00:00,26.43,26.43,26.43,26.43,26.43,400.0
2021-02-24 05:00:00+00:00,26.05,26.18,26.05,26.18,26.18,646.0
2021-02-25 05:00:00+00:00,25.95,25.98,25.31,25.31,25.31,1300.0
2021-03-01 05:00:00+00:00,26.26,26.26,26.26,26.26,26.26,910.0
2021-03-02 05:00:00+00:00,26.11,26.13,26.11,26.13,26.13,700.0
2021-03-03 05:00:00+00:00,25.24,25.24,25.24,25.24,25.24,175.0
2021-03-04 05:00:00+00:00,24.72,24.79,24.42,24.65,24.65,1610.0
2021-03-08 05:00:00+00:00,24.89,24.89,24.89,24.89,24.89,200.0
2021-03-09 05:00:00+00:00,25.24,25.42,25.23,25.27,25.27,3541.0
2021-03-10 05:00:00+00:00,25.37,25.39,25.32,25.33,25.33,6500.0
2021-03-11 05:00:00+00:00,25.87,25.93,25.85,25.85,25.85,1250.0
2021-03-15 04:00:00+00:00,25.66,25.81,25.66,25.78,25.78,2291.0
2021-03-16 04:00:00+00:00,26.02,26.02,26.0,26.0,26.0,424.0
2021-03-17 04:00:00+00:00,25.83,26.09,25.83,26.09,26.09,1069.0
2021-03-18 04:00:00+00:00,25.71,25.71,25.59,25.69,25.69,715.0
2021-03-19 04:00:00+00:00,25.42,25.42,25.42,25.42,25.42,650.0
2021-03-22 04:00:00+00:00,25.8,25.8,25.8,25.8,25.8,200.0
2021-03-25 04:00:00+00:00,25.02,25.02,24.74,24.77,24.77,1205.0
2021-03-29 04:00:00+00:00,25.18,25.18,25.18,25.18,25.18,208.0
2021-03-30 04:00:00+00:00,25.09,25.09,25.09,25.09,25.09,160.0
2021-03-31 04:00:00+00:00,25.73,25.73,25.7,25.7,25.7,414.0
2021-04-01 04:00:00+00:00,26.08,26.08,26.02,26.02,26.02,2083.0
2021-04-05 04:00:00+00:00,26.49,26.49,26.49,26.49,26.49,200.0
2021-04-08 04:00:00+00:00,26.78,26.81,26.78,26.81,26.81,1272.0
2021-04-09 04:00:00+00:00,26.84,26.84,26.84,26.84,26.84,100.0
2021-04-12 04:00:00+00:00,26.86,26.91,26.86,26.91,26.91,817.0
2021-04-13 04:00:00+00:00,27.11,27.11,27.1,27.1,27.1,680.0
2021-04-14 04:00:00+00:00,27.06,27.09,26.98,26.98,26.98,440.0
2021-04-15 04:00:00+00:00,27.24,27.24,27.24,27.24,27.24,252.0
2021-04-16 04:00:00+00:00,27.27,27.27,27.27,27.27,27.27,200.0
2021-04-19 04:00:00+00:00,27.225,27.225,26.95,26.95,26.95,600.0
2021-04-21 04:00:00+00:00,26.81,26.88,26.81,26.88,26.88,200.0
2021-04-22 04:00:00+00:00,26.73,26.74,26.73,26.74,26.74,1200.0
2021-04-23 04:00:00+00:00,27.04,27.16,27.04,27.16,27.16,981.0
2021-04-26 04:00:00+00:00,27.27,27.27,27.27,27.27,27.27,400.0
