Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26 05:00:00+00:00,25.55,25.55,25.55,25.55,25.55,100.0
2021-12-16 05:00:00+00:00,25.68,25.68,25.68,25.68,25.68,100.0
2021-12-21 05:00:00+00:00,25.26,25.26,25.26,25.26,25.26,100.0
2021-12-29 05:00:00+00:00,26.45,26.45,26.45,26.45,26.45,100.0
2021-12-30 05:00:00+00:00,26.44,26.44,26.44,26.44,26.44,105.0
2022-01-03 05:00:00+00:00,26.22,26.22,26.22,26.22,26.22,100.0
2022-01-07 05:00:00+00:00,24.95,24.95,24.88,24.88,24.88,200.0
2022-01-10 05:00:00+00:00,24.32,24.34,24.32,24.34,24.34,200.0
2022-01-11 05:00:00+00:00,24.89,25.18,24.89,25.18,25.18,400.0
2022-01-12 05:00:00+00:00,25.25,25.25,25.25,25.25,25.25,100.0
2022-01-13 05:00:00+00:00,24.79,24.79,24.79,24.79,24.79,100.0
2022-01-18 05:00:00+00:00,24.39,24.39,24.39,24.39,24.39,180.0
2022-01-19 05:00:00+00:00,24.18,24.18,24.12,24.12,24.12,200.0
2022-01-20 05:00:00+00:00,24.43,24.43,23.96,23.96,23.96,269.0
2022-01-21 05:00:00+00:00,23.32,23.32,23.32,23.32,23.32,100.0
2022-01-24 05:00:00+00:00,21.99,21.99,21.99,21.99,21.99,100.0
2022-02-23 05:00:00+00:00,21.87,21.87,21.87,21.87,21.87,100.0
2022-02-28 05:00:00+00:00,22.62,22.62,22.62,22.62,22.62,100.0
2022-03-02 05:00:00+00:00,22.57,22.57,22.57,22.57,22.57,100.0
2022-03-07 05:00:00+00:00,21.71,21.71,21.68,21.68,21.68,200.0
2022-03-08 05:00:00+00:00,21.45,21.45,21.45,21.45,21.45,100.0
2022-03-09 05:00:00+00:00,21.98,21.98,21.98,21.98,21.98,132.0
2022-03-14 04:00:00+00:00,21.04,21.04,21.04,21.04,21.04,100.0
2022-03-15 04:00:00+00:00,21.39,21.39,21.37,21.38,21.38,300.0
2022-03-16 04:00:00+00:00,21.85,21.85,21.85,21.85,21.85,100.0
2022-03-23 04:00:00+00:00,23.3,23.3,23.3,23.3,23.3,200.0
2022-03-25 04:00:00+00:00,23.28,23.28,23.28,23.28,23.28,100.0
2022-03-29 04:00:00+00:00,24.0,24.0,24.0,24.0,24.0,100.0
2022-03-30 04:00:00+00:00,24.24,24.24,24.24,24.24,24.24,100.0
2022-03-31 04:00:00+00:00,23.86,23.86,23.85,23.85,23.85,500.0
2022-04-26 04:00:00+00:00,20.83,20.83,20.83,20.83,20.83,100.0
2022-04-28 04:00:00+00:00,21.41,21.41,21.41,21.41,21.41,300.0
2022-04-29 04:00:00+00:00,20.89,20.89,20.89,20.89,20.89,200.0
2022-05-02 04:00:00+00:00,20.4,20.86,20.4,20.86,20.86,400.0
2022-05-03 04:00:00+00:00,20.78,20.87,20.78,20.87,20.87,463.0
2022-05-04 04:00:00+00:00,20.98,20.98,20.98,20.98,20.98,200.0
2022-05-06 04:00:00+00:00,20.15,20.15,20.15,20.15,20.15,100.0
2022-05-09 04:00:00+00:00,19.57,19.57,19.57,19.57,19.57,100.0
2022-05-10 04:00:00+00:00,19.89,19.89,19.89,19.89,19.89,100.0
2022-05-12 04:00:00+00:00,18.9,19.05,18.9,19.05,19.05,400.0
2022-05-17 04:00:00+00:00,19.99,19.99,19.99,19.99,19.99,100.0
2022-05-19 04:00:00+00:00,19.0,19.0,18.97,18.97,18.97,200.0
2022-05-23 04:00:00+00:00,19.25,19.25,19.25,19.25,19.25,200.0
2022-05-24 04:00:00+00:00,18.73,18.73,18.73,18.73,18.73,100.0
2022-05-25 04:00:00+00:00,19.01,19.01,19.01,19.01,19.01,199.0
2022-06-01 04:00:00+00:00,20.13,20.13,20.13,20.13,20.13,100.0
2022-06-03 04:00:00+00:00,20.16,20.16,20.16,20.16,20.16,100.0
2022-06-10 04:00:00+00:00,19.03,19.03,19.03,19.03,19.03,100.0
2022-06-22 04:00:00+00:00,18.56,18.56,18.56,18.56,18.56,100.0
2022-06-24 04:00:00+00:00,19.15,19.15,19.15,19.15,19.15,100.0
2022-06-30 04:00:00+00:00,18.31,18.31,18.31,18.31,18.31,100.0
2022-07-06 04:00:00+00:00,18.92,18.92,18.92,18.92,18.92,100.0
2022-07-07 04:00:00+00:00,18.92,18.92,18.92,18.92,18.92,0.0
2022-07-08 04:00:00+00:00,18.92,18.92,18.92,18.92,18.92,0.0
2022-07-11 04:00:00+00:00,18.92,18.92,18.92,18.92,18.92,0.0
2022-07-12 04:00:00+00:00,18.92,18.92,18.92,18.92,18.92,100.0
2022-07-13 04:00:00+00:00,18.69,18.69,18.69,18.69,18.69,100.0
2022-07-14 04:00:00+00:00,18.69,18.69,18.69,18.69,18.69,0.0
2022-07-15 04:00:00+00:00,18.69,18.69,18.69,18.69,18.69,0.0
2022-07-18 04:00:00+00:00,19.13,19.13,19.13,19.13,19.13,100.0
2022-07-19 04:00:00+00:00,19.13,19.13,19.13,19.13,19.13,0.0
2022-07-20 04:00:00+00:00,19.13,19.13,19.13,19.13,19.13,0.0
2022-07-21 04:00:00+00:00,19.13,19.13,19.13,19.13,19.13,0.0
2022-07-22 04:00:00+00:00,19.81,19.81,19.81,19.81,19.81,133.0
2022-07-25 04:00:00+00:00,19.81,19.81,19.81,19.81,19.81,0.0
2022-07-26 04:00:00+00:00,19.81,19.81,19.81,19.81,19.81,0.0
2022-07-27 04:00:00+00:00,20.16,20.16,20.16,20.16,20.16,100.0
2022-07-28 04:00:00+00:00,20.16,20.16,20.16,20.16,20.16,0.0
2022-07-29 04:00:00+00:00,20.16,20.16,20.16,20.16,20.16,0.0
2022-08-01 04:00:00+00:00,20.16,20.16,20.16,20.16,20.16,0.0
2022-08-02 04:00:00+00:00,20.16,20.16,20.16,20.16,20.16,0.0
2022-08-03 04:00:00+00:00,21.16,21.16,21.16,21.16,21.16,100.0
2022-08-04 04:00:00+00:00,21.16,21.16,21.16,21.16,21.16,0.0
2022-08-05 04:00:00+00:00,21.16,21.16,21.16,21.16,21.16,0.0
2022-08-08 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,100.0
2022-08-09 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,0.0
2022-08-10 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,0.0
2022-08-11 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,0.0
2022-08-12 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,0.0
2022-08-15 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,0.0
2022-08-16 04:00:00+00:00,21.02,21.02,21.02,21.02,21.02,0.0
2022-08-17 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,100.0
2022-08-18 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-19 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-22 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-23 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-24 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-25 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-26 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-29 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-30 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-08-31 04:00:00+00:00,21.67,21.67,21.67,21.67,21.67,0.0
2022-09-01 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,100.0
2022-09-02 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,0.0
2022-09-06 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,0.0
2022-09-07 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,0.0
2022-09-08 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,0.0
2022-09-09 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,0.0
2022-09-12 04:00:00+00:00,20.17,20.17,20.17,20.17,20.17,100.0
2022-09-13 04:00:00+00:00,20.17,20.17,20.17,20.17,20.17,0.0
2022-09-14 04:00:00+00:00,20.17,20.17,20.17,20.17,20.17,0.0
2022-09-15 04:00:00+00:00,20.17,20.17,20.17,20.17,20.17,0.0
2022-09-16 04:00:00+00:00,20.17,20.17,20.17,20.17,20.17,0.0
2022-09-19 04:00:00+00:00,20.21,20.21,20.21,20.21,20.21,0.0
2022-09-20 04:00:00+00:00,18.78,18.78,18.78,18.78,18.78,100.0
2022-09-21 04:00:00+00:00,18.78,18.78,18.78,18.78,18.78,0.0
2022-09-22 04:00:00+00:00,18.33,18.33,18.33,18.33,18.33,100.0
2022-09-23 04:00:00+00:00,17.92,17.97,17.83,17.97,17.97,300.0
2022-09-26 04:00:00+00:00,17.97,17.97,17.97,17.97,17.97,0.0
2022-09-27 04:00:00+00:00,17.82,17.82,17.82,17.82,17.82,100.0
2022-09-28 04:00:00+00:00,18.28,18.28,18.28,18.28,18.28,100.0
2022-09-29 04:00:00+00:00,18.28,18.28,18.28,18.28,18.28,0.0
2022-09-30 04:00:00+00:00,17.66,17.66,17.66,17.66,17.66,100.0
2022-10-03 04:00:00+00:00,17.91,17.91,17.91,17.91,17.91,100.0
2022-10-04 04:00:00+00:00,18.45,18.45,18.36,18.44,18.44,300.0
2022-10-05 04:00:00+00:00,18.31,18.56,18.31,18.56,18.56,300.0
2022-10-06 04:00:00+00:00,18.56,18.56,18.56,18.56,18.56,0.0
2022-10-07 04:00:00+00:00,17.78,17.78,17.78,17.78,17.78,100.0
2022-10-10 04:00:00+00:00,17.78,17.78,17.78,17.78,17.78,0.0
2022-10-11 04:00:00+00:00,17.29,17.29,17.29,17.29,17.29,104.0
2022-10-12 04:00:00+00:00,17.29,17.29,17.29,17.29,17.29,0.0
2022-10-13 04:00:00+00:00,17.29,17.29,17.29,17.29,17.29,0.0
2022-10-14 04:00:00+00:00,17.24,17.24,17.22,17.22,17.22,200.0
2022-10-17 04:00:00+00:00,17.22,17.22,17.22,17.22,17.22,0.0
2022-10-18 04:00:00+00:00,17.22,17.22,17.22,17.22,17.22,0.0
2022-10-19 04:00:00+00:00,17.84,17.84,17.84,17.84,17.84,100.0
2022-10-20 04:00:00+00:00,17.84,17.84,17.84,17.84,17.84,0.0
2022-10-21 04:00:00+00:00,17.77,17.77,17.77,17.77,17.77,100.0
2022-10-24 04:00:00+00:00,17.77,17.77,17.77,17.77,17.77,0.0
2022-10-25 04:00:00+00:00,17.77,17.77,17.77,17.77,17.77,0.0
2022-10-26 04:00:00+00:00,17.77,17.77,17.77,17.77,17.77,0.0
2022-10-27 04:00:00+00:00,18.13,18.13,18.13,18.13,18.13,123.0
2022-10-28 04:00:00+00:00,18.13,18.13,18.13,18.13,18.13,0.0
2022-10-31 04:00:00+00:00,18.13,18.13,18.13,18.13,18.13,0.0
2022-11-01 04:00:00+00:00,18.27,18.27,18.27,18.27,18.27,148.0
2022-11-02 04:00:00+00:00,18.27,18.27,18.27,18.27,18.27,0.0
2022-11-03 04:00:00+00:00,18.27,18.27,18.27,18.27,18.27,0.0
2022-11-04 04:00:00+00:00,18.27,18.27,18.27,18.27,18.27,0.0
2022-11-07 05:00:00+00:00,18.27,18.27,18.27,18.27,18.27,0.0
2022-11-08 05:00:00+00:00,18.27,18.27,18.27,18.27,18.27,0.0
2022-11-09 05:00:00+00:00,17.71,17.71,17.71,17.71,17.71,100.0
2022-11-10 05:00:00+00:00,17.71,17.71,17.71,17.71,17.71,0.0
2022-11-11 05:00:00+00:00,17.71,17.71,17.71,17.71,17.71,0.0
2022-11-14 05:00:00+00:00,17.71,17.71,17.71,17.71,17.71,0.0
2022-11-15 05:00:00+00:00,17.71,17.71,17.71,17.71,17.71,0.0
2022-11-16 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,100.0
2022-11-17 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-18 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-21 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-22 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-23 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-25 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-28 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-29 05:00:00+00:00,19.1,19.1,19.1,19.1,19.1,0.0
2022-11-30 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,150.0
2022-12-01 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-02 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-05 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-06 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-07 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-08 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-09 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-12 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-13 05:00:00+00:00,19.3,19.3,19.3,19.3,19.3,0.0
2022-12-14 05:00:00+00:00,19.22,19.22,19.22,19.22,19.22,100.0
2022-12-15 05:00:00+00:00,19.22,19.22,19.22,19.22,19.22,0.0
2022-12-16 05:00:00+00:00,19.22,19.22,19.22,19.22,19.22,0.0
2022-12-19 05:00:00+00:00,19.26,19.26,19.26,19.26,19.26,0.0
2022-12-20 05:00:00+00:00,19.26,19.26,19.26,19.26,19.26,0.0
2022-12-21 05:00:00+00:00,19.26,19.26,19.26,19.26,19.26,0.0
2022-12-22 05:00:00+00:00,19.26,19.26,19.26,19.26,19.26,0.0
2022-12-23 05:00:00+00:00,19.26,19.26,19.26,19.26,19.26,0.0
2022-12-27 05:00:00+00:00,17.67,17.67,17.67,17.67,17.67,100.0
2022-12-28 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,330.0
2022-12-29 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2022-12-30 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-03 05:00:00+00:00,17.67,17.67,17.67,17.67,17.67,100.0
2023-01-04 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-05 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-06 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-09 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-10 05:00:00+00:00,18.16,18.16,18.16,18.16,18.16,100.0
2023-01-11 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-12 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-13 05:00:00+00:00,18.72,18.72,18.72,18.72,18.72,100.0
2023-01-17 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-18 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-19 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-20 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-23 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-24 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-25 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-26 05:00:00+00:00,19.61,19.61,19.61,19.61,19.61,100.0
2023-01-27 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-01-30 05:00:00+00:00,19.43,19.43,19.43,19.43,19.43,100.0
2023-01-31 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-01 05:00:00+00:00,19.61,19.89,19.61,19.89,19.89,200.0
2023-02-02 05:00:00+00:00,20.53,20.53,20.53,20.53,20.53,100.0
2023-02-03 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-06 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-07 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-08 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-09 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-10 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-13 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-14 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-15 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-16 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-17 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-21 05:00:00+00:00,19.65,19.65,19.65,19.65,19.65,100.0
2023-02-22 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-23 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-24 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-02-27 05:00:00+00:00,19.69,19.69,19.69,19.69,19.69,100.0
2023-02-28 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-01 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-02 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-03 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-06 05:00:00+00:00,20.2,20.2,20.2,20.2,20.2,100.0
2023-03-07 05:00:00+00:00,19.79,19.79,19.79,19.79,19.79,100.0
2023-03-08 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-09 05:00:00+00:00,19.76,19.76,19.64,19.64,19.64,300.0
2023-03-10 05:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-13 04:00:00+00:00,19.57,19.57,19.57,19.57,19.57,100.0
2023-03-14 04:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-15 04:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-16 04:00:00+00:00,20.45,20.45,20.45,20.45,20.45,100.0
2023-03-17 04:00:00+00:00,17.44,17.44,17.44,17.44,17.44,0.0
2023-03-20 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-21 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-22 04:00:00+00:00,20.97,20.97,20.97,20.97,20.97,100.0
2023-03-23 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-24 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-27 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-28 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-29 04:00:00+00:00,20.94,21.0,20.94,21.0,21.0,200.0
2023-03-30 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-03-31 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-03 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-04 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-05 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-06 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-10 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-11 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-12 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-13 04:00:00+00:00,21.42,21.42,21.42,21.42,21.42,100.0
2023-04-14 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-17 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-18 04:00:00+00:00,21.39,21.39,21.39,21.39,21.39,100.0
2023-04-19 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-20 04:00:00+00:00,21.38,21.38,21.38,21.38,21.38,100.0
2023-04-21 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-24 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-25 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-26 04:00:00+00:00,20.98,20.98,20.98,20.98,20.98,100.0
2023-04-27 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-04-28 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-01 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-02 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-03 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-04 04:00:00+00:00,21.23,21.23,21.23,21.23,21.23,100.0
2023-05-05 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-08 04:00:00+00:00,21.66,21.66,21.66,21.66,21.66,129.0
2023-05-09 04:00:00+00:00,21.54,21.54,21.54,21.54,21.54,100.0
2023-05-10 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-11 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-12 04:00:00+00:00,21.57,21.57,21.57,21.57,21.57,100.0
2023-05-15 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-16 04:00:00+00:00,21.94,21.94,21.94,21.94,21.94,100.0
2023-05-17 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
2023-05-18 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,0.0
