Date,Open,High,Low,Close,Adj Close,Volume
2021-01-22 05:00:00+00:00,25.09,25.09,25.09,25.09,25.09,200.0
2021-01-25 05:00:00+00:00,25.4,25.4,25.4,25.4,25.4,151.0
2021-02-02 05:00:00+00:00,25.16,25.16,25.16,25.16,25.16,100.0
2021-02-16 05:00:00+00:00,26.9,26.9,26.9,26.9,26.9,166.0
2021-02-19 05:00:00+00:00,26.37,26.37,26.36,26.36,26.36,357.0
2021-02-24 05:00:00+00:00,24.86,24.86,24.86,24.86,24.86,100.0
2021-02-26 05:00:00+00:00,24.03,24.03,24.03,24.03,24.03,100.0
2021-03-02 05:00:00+00:00,24.2,24.2,24.2,24.2,24.2,121.0
2021-03-16 04:00:00+00:00,23.36,23.36,23.36,23.36,23.36,200.0
2021-03-25 04:00:00+00:00,22.58,22.58,22.58,22.58,22.58,200.0
2021-04-12 04:00:00+00:00,23.03,23.03,23.03,23.03,23.03,262.0
2021-04-21 04:00:00+00:00,23.87,23.87,23.87,23.87,23.87,210.0
2021-05-03 04:00:00+00:00,23.71,23.71,23.71,23.71,23.71,100.0
2021-05-26 04:00:00+00:00,24.95,24.95,24.95,24.95,24.95,170.0
2021-05-28 04:00:00+00:00,25.18,25.18,25.18,25.18,25.18,200.0
2021-06-02 04:00:00+00:00,24.86,24.86,24.86,24.86,24.86,200.0
2021-06-15 04:00:00+00:00,24.19,24.19,24.19,24.19,24.19,200.0
2021-07-02 04:00:00+00:00,23.97,23.97,23.97,23.97,23.97,100.0
2021-07-09 04:00:00+00:00,23.71,23.71,23.71,23.71,23.71,100.0
2021-08-05 04:00:00+00:00,22.86,22.86,22.86,22.86,22.86,100.0
2021-09-13 04:00:00+00:00,23.54,23.54,23.5,23.5,23.5,200.0
2021-10-11 04:00:00+00:00,22.7,22.7,22.7,22.7,22.7,100.0
2021-10-13 04:00:00+00:00,22.82,22.82,22.77,22.77,22.77,200.0
2021-11-17 05:00:00+00:00,22.62,22.63,22.62,22.63,22.63,200.0
2021-11-26 05:00:00+00:00,22.47,22.47,22.47,22.47,22.47,100.0
2021-11-29 05:00:00+00:00,22.55,22.55,22.55,22.55,22.55,100.0
2021-12-01 05:00:00+00:00,22.72,22.72,22.72,22.72,22.72,100.0
2021-12-15 05:00:00+00:00,22.93,22.93,22.93,22.93,22.93,100.0
2021-12-20 05:00:00+00:00,22.59,22.59,22.59,22.59,22.59,100.0
2021-12-27 05:00:00+00:00,22.92,22.92,22.92,22.92,22.92,889.0
2022-01-13 05:00:00+00:00,22.15,22.15,22.15,22.15,22.15,200.0
2022-01-19 05:00:00+00:00,22.29,22.29,22.29,22.29,22.29,100.0
2022-02-08 05:00:00+00:00,21.12,21.12,21.11,21.11,21.11,200.0
2022-03-14 04:00:00+00:00,19.46,19.46,19.29,19.31,19.31,500.0
2022-03-28 04:00:00+00:00,19.88,19.88,19.88,19.88,19.88,100.0
2022-04-01 04:00:00+00:00,20.66,20.66,20.66,20.66,20.66,200.0
2022-04-05 04:00:00+00:00,20.55,20.55,20.51,20.51,20.51,400.0
2022-04-20 04:00:00+00:00,18.85,18.85,18.85,18.85,18.85,200.0
2022-04-21 04:00:00+00:00,18.33,18.33,18.33,18.33,18.33,100.0
2022-04-22 04:00:00+00:00,18.28,18.28,18.28,18.28,18.28,100.0
2022-04-25 04:00:00+00:00,17.08,17.13,17.08,17.13,17.13,200.0
2022-04-27 04:00:00+00:00,17.62,17.62,17.62,17.62,17.62,100.0
2022-04-28 04:00:00+00:00,17.18,17.3,17.16,17.3,17.3,1200.0
2022-05-02 04:00:00+00:00,17.48,17.61,17.48,17.6,17.6,1300.0
2022-05-04 04:00:00+00:00,17.64,17.64,17.64,17.64,17.64,300.0
2022-05-05 04:00:00+00:00,17.36,17.36,17.36,17.36,17.36,200.0
2022-05-06 04:00:00+00:00,17.27,17.27,17.27,17.27,17.27,200.0
2022-05-09 04:00:00+00:00,16.83,16.83,16.83,16.83,16.83,100.0
2022-05-11 04:00:00+00:00,17.34,17.34,17.34,17.34,17.34,200.0
2022-05-12 04:00:00+00:00,17.27,17.38,17.27,17.38,17.38,388.0
2022-05-13 04:00:00+00:00,17.42,17.44,17.42,17.44,17.44,300.0
2022-05-16 04:00:00+00:00,17.29,17.34,17.29,17.34,17.34,289.0
2022-05-17 04:00:00+00:00,17.56,17.56,17.52,17.52,17.52,1100.0
2022-05-23 04:00:00+00:00,18.15,18.19,18.14,18.19,18.19,1372.0
2022-05-25 04:00:00+00:00,17.57,17.57,17.57,17.57,17.57,178.0
2022-05-26 04:00:00+00:00,17.44,17.45,17.44,17.45,17.45,200.0
2022-05-31 04:00:00+00:00,17.88,17.88,17.88,17.88,17.88,100.0
2022-06-01 04:00:00+00:00,17.71,17.71,17.71,17.71,17.71,200.0
2022-06-07 04:00:00+00:00,18.69,18.73,18.69,18.73,18.73,362.0
2022-06-08 04:00:00+00:00,18.69,18.69,18.67,18.67,18.67,1096.0
2022-06-14 04:00:00+00:00,18.57,18.57,18.57,18.57,18.57,200.0
