Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,9.221,9.258,9.221,9.258,9.258,700.0
2020-07-28 04:00:00+00:00,9.193,9.193,9.193,9.193,9.193,302.0
2020-07-29 04:00:00+00:00,9.071,9.071,9.071,9.071,9.071,216.0
2020-07-31 04:00:00+00:00,9.022,9.022,9.022,9.022,9.022,104.0
2020-08-03 04:00:00+00:00,9.066,9.066,9.066,9.066,9.066,470.0
2020-08-04 04:00:00+00:00,8.818,8.924,8.459,8.924,8.924,834.0
2020-08-05 04:00:00+00:00,9.706,9.714,9.706,9.714,9.714,633.0
2020-08-06 04:00:00+00:00,9.82,9.82,9.812,9.812,9.812,850.0
2020-08-07 04:00:00+00:00,9.629,9.918,9.629,9.853,9.853,2400.0
2020-08-10 04:00:00+00:00,9.943,9.983,9.861,9.861,9.861,538.0
2020-08-11 04:00:00+00:00,9.837,9.837,9.837,9.837,9.837,103.0
2020-08-12 04:00:00+00:00,9.763,9.763,9.763,9.763,9.763,1315.0
2020-08-13 04:00:00+00:00,9.78,9.78,9.665,9.665,9.665,513.0
2020-08-14 04:00:00+00:00,9.996,10.04,9.996,10.04,10.04,905.0
2020-08-17 04:00:00+00:00,10.33,10.33,10.3,10.3,10.3,309.0
2020-08-18 04:00:00+00:00,9.869,9.869,9.869,9.869,9.869,129.0
2020-08-19 04:00:00+00:00,9.886,9.91,9.535,9.808,9.808,1090.0
2020-08-20 04:00:00+00:00,9.625,9.625,9.547,9.547,9.547,219.0
2020-08-21 04:00:00+00:00,9.47,9.47,9.47,9.47,9.47,101.0
2020-08-26 04:00:00+00:00,10.13,10.34,10.11,10.2,10.2,2402.0
2020-08-27 04:00:00+00:00,10.4,10.42,10.11,10.11,10.11,8016.0
2020-08-28 04:00:00+00:00,10.38,10.39,10.31,10.37,10.37,1186.0
2020-08-31 04:00:00+00:00,10.36,10.36,10.32,10.32,10.32,410.0
2020-09-01 04:00:00+00:00,10.39,10.39,10.39,10.39,10.39,284.0
2020-09-03 04:00:00+00:00,9.82,9.82,9.796,9.796,9.796,417.0
2020-09-04 04:00:00+00:00,10.17,10.17,10.17,10.17,10.17,125.0
2020-09-08 04:00:00+00:00,9.959,10.22,9.959,10.11,10.11,353.0
2020-09-09 04:00:00+00:00,9.996,9.996,9.82,9.82,9.82,528.0
2020-09-10 04:00:00+00:00,9.752,9.752,9.752,9.752,9.752,462.0
2020-09-11 04:00:00+00:00,9.557,9.557,9.215,9.215,9.215,400.0
2020-09-14 04:00:00+00:00,9.781,9.781,9.781,9.781,9.781,105.0
2020-09-15 04:00:00+00:00,9.603,9.603,9.562,9.562,9.562,201.0
2020-09-16 04:00:00+00:00,9.677,10.4,9.653,10.4,10.4,481.0
2020-09-17 04:00:00+00:00,10.08,10.12,9.925,9.925,9.925,1366.0
2020-09-18 04:00:00+00:00,9.843,9.843,9.545,9.553,9.553,621.0
2020-09-22 04:00:00+00:00,9.338,9.338,9.338,9.338,9.338,111.0
2020-09-28 04:00:00+00:00,9.338,9.338,8.958,8.958,8.958,590.0
2020-09-29 04:00:00+00:00,8.719,8.719,8.719,8.719,8.719,111.0
2020-09-30 04:00:00+00:00,8.834,8.834,8.016,8.677,8.677,600.0
2020-10-01 04:00:00+00:00,8.818,8.818,8.748,8.748,8.748,605.0
2020-10-02 04:00:00+00:00,8.702,8.702,8.702,8.702,8.702,296.0
2020-10-05 04:00:00+00:00,8.851,9.074,8.851,9.074,9.074,430.0
2020-10-06 04:00:00+00:00,9.264,9.421,9.264,9.376,9.376,1253.0
2020-10-07 04:00:00+00:00,9.33,9.669,9.33,9.669,9.669,984.0
2020-10-09 04:00:00+00:00,9.71,9.71,9.71,9.71,9.71,140.0
2020-10-13 04:00:00+00:00,9.9,9.9,9.9,9.9,9.9,657.0
2020-10-16 04:00:00+00:00,10.06,10.16,10.06,10.15,10.15,759.0
2020-10-20 04:00:00+00:00,9.719,9.719,9.512,9.512,9.512,520.0
2020-10-26 04:00:00+00:00,9.545,9.702,9.545,9.624,9.624,7940.0
2020-10-27 04:00:00+00:00,9.706,9.752,9.648,9.661,9.661,3400.0
2020-10-28 04:00:00+00:00,9.363,9.363,8.743,8.863,8.863,3220.0
2020-10-29 04:00:00+00:00,8.909,9.462,8.909,9.264,9.264,2458.0
2020-10-30 04:00:00+00:00,9.157,9.396,9.144,9.396,9.396,3645.0
2020-11-02 05:00:00+00:00,9.735,10.04,9.735,9.991,9.991,8127.0
2020-11-03 05:00:00+00:00,9.975,9.975,9.706,9.731,9.731,1844.0
