Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28 04:00:00+00:00,16.55,16.55,16.55,16.55,16.55,1217.0
2020-07-29 04:00:00+00:00,16.57,16.57,16.57,16.57,16.57,100.0
2020-07-30 04:00:00+00:00,16.55,16.55,16.55,16.55,16.55,100.0
2020-08-03 04:00:00+00:00,16.57,16.57,16.57,16.57,16.57,267.0
2020-08-04 04:00:00+00:00,16.4,16.4,16.4,16.4,16.4,496.0
2020-08-18 04:00:00+00:00,17.23,17.24,17.23,17.24,17.24,300.0
2020-08-20 04:00:00+00:00,17.33,17.33,17.33,17.33,17.33,100.0
2020-08-25 04:00:00+00:00,17.49,17.49,17.49,17.49,17.49,466.0
2020-08-26 04:00:00+00:00,17.56,17.56,17.53,17.53,17.53,388.0
2020-08-27 04:00:00+00:00,17.57,17.57,17.45,17.55,17.55,434.0
2020-08-31 04:00:00+00:00,17.49,17.49,17.23,17.23,17.23,584.0
2020-09-01 04:00:00+00:00,17.39,17.39,17.39,17.39,17.39,539.0
2020-09-02 04:00:00+00:00,17.48,17.48,17.48,17.48,17.48,100.0
2020-09-14 04:00:00+00:00,17.22,17.22,17.22,17.22,17.22,113.0
2020-09-23 04:00:00+00:00,16.82,16.82,16.77,16.78,16.78,536.0
2020-09-28 04:00:00+00:00,17.62,17.62,17.62,17.62,17.62,762.0
2020-10-01 04:00:00+00:00,17.19,17.21,17.16,17.2,17.2,700.0
2020-10-02 04:00:00+00:00,17.27,17.27,17.27,17.27,17.27,1810.0
2020-10-05 04:00:00+00:00,17.71,17.71,17.71,17.71,17.71,120.0
2020-10-07 04:00:00+00:00,17.76,17.76,17.76,17.76,17.76,560.0
2020-10-08 04:00:00+00:00,17.75,17.76,17.75,17.76,17.76,510.0
2020-10-13 04:00:00+00:00,17.58,17.58,17.58,17.58,17.58,130.0
2020-10-16 04:00:00+00:00,17.52,17.52,17.49,17.49,17.49,200.0
2020-10-22 04:00:00+00:00,17.21,17.21,17.21,17.21,17.21,124.0
2020-10-23 04:00:00+00:00,17.44,17.52,17.43,17.52,17.52,673.0
2020-10-30 04:00:00+00:00,16.83,16.84,16.83,16.84,16.84,400.0
2020-11-02 05:00:00+00:00,17.02,17.02,17.02,17.02,17.02,338.0
2020-11-09 05:00:00+00:00,17.6,17.6,17.6,17.6,17.6,1000.0
2020-11-19 05:00:00+00:00,17.76,17.76,17.76,17.76,17.76,300.0
2020-12-01 05:00:00+00:00,18.35,18.35,18.35,18.35,18.35,116.0
2020-12-02 05:00:00+00:00,18.41,18.41,18.41,18.41,18.41,228.0
2020-12-04 05:00:00+00:00,18.44,18.44,18.41,18.41,18.41,570.0
2020-12-08 05:00:00+00:00,18.34,18.34,18.34,18.34,18.34,100.0
2020-12-16 05:00:00+00:00,18.62,18.62,18.62,18.62,18.62,238.0
2020-12-23 05:00:00+00:00,18.77,18.77,18.68,18.77,18.77,620.0
2020-12-28 05:00:00+00:00,18.77,18.77,18.76,18.76,18.76,200.0
2020-12-29 05:00:00+00:00,18.74,18.78,18.74,18.75,18.75,513.0
2020-12-30 05:00:00+00:00,18.83,18.83,18.81,18.81,18.81,200.0
2020-12-31 05:00:00+00:00,18.8,18.82,18.76,18.76,18.76,600.0
2021-01-04 05:00:00+00:00,18.66,18.66,18.66,18.66,18.66,124.0
2021-01-05 05:00:00+00:00,18.7,18.7,18.7,18.7,18.7,300.0
2021-01-06 05:00:00+00:00,18.53,18.53,18.53,18.53,18.53,560.0
2021-01-07 05:00:00+00:00,18.34,18.39,18.34,18.39,18.39,333.0
2021-01-08 05:00:00+00:00,18.56,18.77,18.56,18.77,18.77,200.0
2021-01-12 05:00:00+00:00,18.48,18.48,18.48,18.48,18.48,275.0
2021-01-15 05:00:00+00:00,18.64,18.64,18.64,18.64,18.64,222.0
2021-01-19 05:00:00+00:00,18.67,18.67,18.67,18.67,18.67,109.0
2021-01-22 05:00:00+00:00,18.78,18.78,18.78,18.78,18.78,198.0
2021-01-27 05:00:00+00:00,18.59,18.63,18.59,18.63,18.63,1050.0
2021-01-29 05:00:00+00:00,18.74,18.74,18.63,18.64,18.64,400.0
2021-02-02 05:00:00+00:00,18.98,18.98,18.94,18.94,18.94,589.0
2021-02-03 05:00:00+00:00,18.93,18.93,18.79,18.8,18.8,904.0
2021-02-05 05:00:00+00:00,18.89,18.89,18.89,18.89,18.89,239.0
2021-02-10 05:00:00+00:00,19.19,19.19,19.19,19.19,19.19,100.0
2021-02-11 05:00:00+00:00,19.2,19.21,18.96,19.03,19.03,752.0
2021-02-12 05:00:00+00:00,18.92,18.95,18.87,18.92,18.92,1129.0
2021-02-16 05:00:00+00:00,18.74,18.74,18.74,18.74,18.74,414.0
2021-02-18 05:00:00+00:00,18.75,18.87,18.75,18.87,18.87,266.0
2021-02-22 05:00:00+00:00,18.71,18.71,18.71,18.71,18.71,300.0
2021-02-23 05:00:00+00:00,18.73,18.73,18.73,18.73,18.73,200.0
2021-02-24 05:00:00+00:00,18.71,18.71,18.7,18.7,18.7,324.0
2021-02-25 05:00:00+00:00,18.58,18.59,18.58,18.59,18.59,396.0
2021-02-26 05:00:00+00:00,18.48,18.48,18.48,18.48,18.48,200.0
2021-03-01 05:00:00+00:00,18.5,18.5,18.5,18.5,18.5,195.0
2021-03-02 05:00:00+00:00,18.81,18.81,18.81,18.81,18.81,100.0
2021-03-05 05:00:00+00:00,19.19,19.19,19.19,19.19,19.19,100.0
2021-03-09 05:00:00+00:00,19.73,19.75,19.73,19.75,19.75,640.0
2021-03-15 04:00:00+00:00,19.43,19.43,19.43,19.43,19.43,116.0
2021-03-17 04:00:00+00:00,19.56,19.56,19.56,19.56,19.56,120.0
2021-03-24 04:00:00+00:00,19.62,19.62,19.62,19.62,19.62,300.0
2021-03-26 04:00:00+00:00,19.57,19.57,19.57,19.57,19.57,100.0
2021-03-29 04:00:00+00:00,19.57,19.57,19.53,19.53,19.53,577.0
2021-03-30 04:00:00+00:00,19.65,19.65,19.58,19.58,19.58,600.0
2021-03-31 04:00:00+00:00,19.68,19.79,19.59,19.79,19.79,5822.0
2021-04-01 04:00:00+00:00,19.78,19.82,19.78,19.82,19.82,426.0
2021-04-05 04:00:00+00:00,19.82,19.82,19.82,19.82,19.82,220.0
2021-04-06 04:00:00+00:00,19.87,19.87,19.81,19.81,19.81,649.0
2021-04-07 04:00:00+00:00,19.97,19.97,19.87,19.94,19.94,553.0
2021-04-08 04:00:00+00:00,19.96,20.0,19.96,19.97,19.97,899.0
2021-04-13 04:00:00+00:00,19.93,19.93,19.93,19.93,19.93,246.0
2021-04-15 04:00:00+00:00,19.81,19.84,19.8,19.84,19.84,571.0
2021-04-21 04:00:00+00:00,19.93,19.93,19.93,19.93,19.93,200.0
2021-04-22 04:00:00+00:00,19.92,19.95,19.92,19.94,19.94,720.0
2021-04-23 04:00:00+00:00,20.06,20.09,20.06,20.09,20.09,374.0
2021-04-27 04:00:00+00:00,19.92,19.92,19.92,19.92,19.92,233.0
2021-04-28 04:00:00+00:00,19.83,19.83,19.83,19.83,19.83,340.0
2021-04-30 04:00:00+00:00,19.79,19.86,19.69,19.69,19.69,5426.0
2021-05-03 04:00:00+00:00,19.94,20.07,19.94,20.06,20.06,538.0
2021-05-04 04:00:00+00:00,20.02,20.06,20.02,20.05,20.05,593.0
2021-05-05 04:00:00+00:00,20.07,20.08,20.07,20.08,20.08,281.0
2021-05-10 04:00:00+00:00,20.17,20.17,20.16,20.16,20.16,200.0
2021-05-11 04:00:00+00:00,20.0,20.05,19.7,19.7,19.7,800.0
2021-05-12 04:00:00+00:00,19.57,19.57,19.49,19.49,19.49,1277.0
2021-05-13 04:00:00+00:00,19.54,19.54,19.54,19.54,19.54,273.0
2021-05-17 04:00:00+00:00,19.68,19.75,19.68,19.75,19.75,332.0
2021-05-18 04:00:00+00:00,19.77,19.77,19.76,19.76,19.76,200.0
2021-05-19 04:00:00+00:00,19.78,19.78,19.78,19.78,19.78,200.0
2021-05-20 04:00:00+00:00,19.75,20.02,19.75,19.97,19.97,300.0
2021-05-21 04:00:00+00:00,19.85,19.85,19.76,19.77,19.77,1200.0
2021-05-24 04:00:00+00:00,19.79,19.79,19.79,19.79,19.79,500.0
2021-05-25 04:00:00+00:00,19.71,19.73,19.71,19.73,19.73,200.0
2021-05-27 04:00:00+00:00,19.65,19.65,19.65,19.65,19.65,100.0
2021-06-01 04:00:00+00:00,19.73,19.73,19.7,19.7,19.7,348.0
2021-06-03 04:00:00+00:00,19.93,19.93,19.93,19.93,19.93,100.0
2021-06-04 04:00:00+00:00,19.84,19.84,19.82,19.82,19.82,300.0
