Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28 04:00:00+00:00,51.19,51.29,51.08,51.29,51.29,400.0
2020-07-30 04:00:00+00:00,51.49,51.49,51.49,51.49,51.49,145.0
2020-07-31 04:00:00+00:00,51.35,51.5,51.35,51.5,51.5,200.0
2020-08-04 04:00:00+00:00,51.69,51.69,51.69,51.69,51.69,100.0
2020-08-06 04:00:00+00:00,51.68,51.68,51.68,51.68,51.68,482.0
2020-08-07 04:00:00+00:00,51.21,51.21,51.21,51.21,51.21,100.0
2020-08-11 04:00:00+00:00,50.26,50.26,50.26,50.26,50.26,190.0
2020-08-14 04:00:00+00:00,49.31,49.31,49.31,49.31,49.31,121.0
2020-08-21 04:00:00+00:00,50.16,50.16,50.16,50.16,50.16,100.0
2020-08-25 04:00:00+00:00,49.77,49.77,49.77,49.77,49.77,100.0
2020-08-26 04:00:00+00:00,49.5,49.5,49.37,49.37,49.37,300.0
2020-08-27 04:00:00+00:00,49.12,49.12,48.8,48.8,48.8,200.0
2020-08-28 04:00:00+00:00,48.83,48.83,48.71,48.71,48.71,1699.0
2020-09-01 04:00:00+00:00,49.54,49.54,49.54,49.54,49.54,1500.0
2020-09-03 04:00:00+00:00,50.17,50.17,50.17,50.17,50.17,300.0
2020-09-04 04:00:00+00:00,49.4,49.4,49.4,49.4,49.4,100.0
2020-09-08 04:00:00+00:00,49.68,49.68,49.68,49.68,49.68,100.0
2020-09-11 04:00:00+00:00,49.71,49.71,49.71,49.71,49.71,112.0
2020-09-17 04:00:00+00:00,49.77,49.77,49.67,49.67,49.67,400.0
2020-09-18 04:00:00+00:00,49.45,49.45,49.45,49.45,49.45,100.0
2020-09-22 04:00:00+00:00,49.6,49.71,49.6,49.69,49.69,400.0
2020-09-23 04:00:00+00:00,49.58,49.58,49.58,49.58,49.58,100.0
2020-09-25 04:00:00+00:00,49.95,49.96,49.95,49.96,49.96,372.0
2020-10-01 04:00:00+00:00,49.51,49.51,49.51,49.51,49.51,100.0
2020-10-05 04:00:00+00:00,48.63,48.63,48.63,48.63,48.63,100.0
2020-10-08 04:00:00+00:00,48.52,48.52,48.52,48.52,48.52,102.0
2020-10-09 04:00:00+00:00,48.52,48.52,48.22,48.22,48.22,300.0
2020-10-12 04:00:00+00:00,48.53,48.55,48.38,48.55,48.55,500.0
2020-10-13 04:00:00+00:00,48.81,48.81,48.81,48.81,48.81,281.0
2020-10-15 04:00:00+00:00,49.12,49.12,49.12,49.12,49.12,201.0
2020-10-21 04:00:00+00:00,48.21,48.21,48.21,48.21,48.21,100.0
2020-10-28 04:00:00+00:00,48.69,48.69,48.69,48.69,48.69,100.0
2020-11-09 05:00:00+00:00,47.05,47.05,47.05,47.05,47.05,100.0
2020-11-11 05:00:00+00:00,47.3,47.3,47.3,47.3,47.3,100.0
2020-11-12 05:00:00+00:00,47.72,47.98,47.72,47.98,47.98,5000.0
2020-11-13 05:00:00+00:00,47.96,48.02,47.9,47.91,47.91,6400.0
2020-11-16 05:00:00+00:00,47.87,47.9,47.78,47.82,47.82,11500.0
2020-11-17 05:00:00+00:00,48.1,48.17,48.08,48.15,48.15,3455.0
2020-11-18 05:00:00+00:00,48.32,48.32,48.06,48.25,48.25,1310.0
2020-11-19 05:00:00+00:00,48.5,48.65,48.46,48.46,48.46,2300.0
2020-11-20 05:00:00+00:00,48.62,48.9,48.62,48.86,48.86,4754.0
2020-11-23 05:00:00+00:00,48.73,48.74,48.6,48.62,48.62,2200.0
2020-11-24 05:00:00+00:00,48.46,48.46,48.2,48.25,48.25,2100.0
2020-11-25 05:00:00+00:00,48.25,48.34,48.09,48.09,48.09,6300.0
2020-11-27 05:00:00+00:00,48.38,48.55,48.38,48.55,48.55,4201.0
2020-11-30 05:00:00+00:00,48.5,48.53,48.44,48.5,48.5,3200.0
2020-12-01 05:00:00+00:00,48.1,48.11,47.59,47.61,47.61,4401.0
2020-12-02 05:00:00+00:00,47.63,47.63,47.23,47.43,47.43,2700.0
2020-12-03 05:00:00+00:00,47.69,47.75,47.56,47.75,47.75,800.0
2020-12-04 05:00:00+00:00,47.11,47.21,47.11,47.16,47.16,1735.0
2020-12-07 05:00:00+00:00,47.46,47.59,47.44,47.54,47.54,2705.0
2020-12-08 05:00:00+00:00,47.85,47.86,47.71,47.79,47.79,1140.0
2020-12-09 05:00:00+00:00,47.53,47.58,47.44,47.58,47.58,950.0
2020-12-10 05:00:00+00:00,47.86,48.0,47.84,48.0,48.0,300.0
2020-12-11 05:00:00+00:00,48.34,48.34,48.11,48.11,48.11,1820.0
2020-12-15 05:00:00+00:00,47.74,47.74,47.74,47.74,47.74,500.0
2020-12-17 05:00:00+00:00,48.0,48.0,48.0,48.0,48.0,100.0
2020-12-22 05:00:00+00:00,47.76,47.86,47.76,47.86,47.86,200.0
2020-12-23 05:00:00+00:00,47.54,47.58,47.42,47.57,47.57,3911.0
2020-12-24 05:00:00+00:00,47.66,47.68,47.66,47.68,47.68,701.0
2020-12-28 05:00:00+00:00,47.51,47.66,47.51,47.66,47.66,503.0
2020-12-29 05:00:00+00:00,47.71,47.71,47.71,47.71,47.71,100.0
2020-12-30 05:00:00+00:00,47.71,47.72,47.71,47.72,47.72,200.0
2020-12-31 05:00:00+00:00,47.93,47.93,47.93,47.93,47.93,122.0
2021-01-04 05:00:00+00:00,47.77,47.85,47.77,47.85,47.85,200.0
2021-01-05 05:00:00+00:00,47.5,47.5,47.35,47.37,47.37,400.0
2021-01-06 05:00:00+00:00,46.76,46.76,46.39,46.54,46.54,11800.0
2021-01-07 05:00:00+00:00,46.17,46.21,46.14,46.21,46.21,300.0
2021-01-08 05:00:00+00:00,46.04,46.11,45.89,46.0,46.0,22400.0
2021-01-11 05:00:00+00:00,45.84,45.95,45.84,45.95,45.95,700.0
2021-01-12 05:00:00+00:00,45.89,45.98,45.63,45.93,45.93,4200.0
2021-01-13 05:00:00+00:00,46.35,46.45,46.35,46.41,46.41,950.0
2021-01-14 05:00:00+00:00,46.26,46.35,45.98,45.98,45.98,10601.0
2021-01-15 05:00:00+00:00,46.18,46.32,46.18,46.32,46.32,673.0
2021-01-19 05:00:00+00:00,46.12,46.3,46.1,46.29,46.29,1100.0
2021-01-20 05:00:00+00:00,46.22,46.27,46.2,46.27,46.27,1964.0
2021-01-21 05:00:00+00:00,46.0,46.0,46.0,46.0,46.0,132.0
2021-01-22 05:00:00+00:00,46.09,46.17,46.09,46.17,46.17,836.0
2021-01-25 05:00:00+00:00,46.52,46.58,46.52,46.58,46.58,200.0
2021-01-26 05:00:00+00:00,46.53,46.65,46.52,46.63,46.63,2000.0
2021-01-27 05:00:00+00:00,46.83,46.95,46.73,46.76,46.76,2256.0
2021-01-28 05:00:00+00:00,46.64,46.65,46.33,46.52,46.52,2614.0
2021-01-29 05:00:00+00:00,46.06,46.32,46.03,46.25,46.25,3100.0
2021-02-01 05:00:00+00:00,46.16,46.34,46.16,46.27,46.27,1600.0
2021-02-02 05:00:00+00:00,45.89,45.98,45.85,45.95,45.95,1688.0
2021-02-03 05:00:00+00:00,45.75,45.79,45.65,45.65,45.65,700.0
2021-02-04 05:00:00+00:00,45.48,45.55,45.41,45.51,45.51,4000.0
2021-02-05 05:00:00+00:00,45.39,45.51,45.12,45.14,45.14,4204.0
2021-02-08 05:00:00+00:00,45.42,45.42,45.38,45.38,45.38,200.0
2021-02-09 05:00:00+00:00,45.49,45.55,45.44,45.44,45.44,10300.0
2021-02-10 05:00:00+00:00,45.46,45.54,45.46,45.54,45.54,1300.0
2021-02-11 05:00:00+00:00,45.57,45.57,45.34,45.39,45.39,2740.0
2021-02-12 05:00:00+00:00,44.95,44.97,44.83,44.84,44.84,2308.0
2021-02-16 05:00:00+00:00,44.28,44.38,44.15,44.15,44.15,8453.0
2021-02-17 05:00:00+00:00,44.46,44.56,44.24,44.33,44.33,6919.0
2021-02-18 05:00:00+00:00,44.09,44.35,44.05,44.25,44.25,5300.0
2021-02-19 05:00:00+00:00,44.01,44.02,43.69,43.73,43.73,3200.0
2021-02-22 05:00:00+00:00,43.77,43.81,43.31,43.33,43.33,1800.0
2021-02-23 05:00:00+00:00,43.21,43.39,43.21,43.23,43.23,1800.0
2021-02-24 05:00:00+00:00,42.86,43.09,42.86,42.99,42.99,500.0
2021-02-25 05:00:00+00:00,42.71,42.71,41.63,42.32,42.32,10850.0
2021-02-26 05:00:00+00:00,42.92,43.32,42.65,43.32,43.32,13600.0
2021-03-01 05:00:00+00:00,43.11,43.11,42.88,42.91,42.91,2500.0
2021-03-02 05:00:00+00:00,42.92,43.05,42.88,42.95,42.95,1100.0
2021-03-03 05:00:00+00:00,42.54,42.54,42.48,42.48,42.48,500.0
2021-03-04 05:00:00+00:00,42.69,42.72,42.22,42.38,42.38,5901.0
2021-03-05 05:00:00+00:00,42.21,42.54,42.21,42.44,42.44,12148.0
2021-03-08 05:00:00+00:00,42.38,42.4,42.15,42.22,42.22,19025.0
2021-03-09 05:00:00+00:00,42.66,42.68,42.62,42.62,42.62,500.0
2021-03-10 05:00:00+00:00,42.67,42.68,42.55,42.63,42.63,4100.0
