Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28 04:00:00+00:00,20.01,20.06,20.01,20.01,20.01,2093.0
2020-07-29 04:00:00+00:00,20.01,20.03,20.01,20.03,20.03,3458.0
2020-07-31 04:00:00+00:00,20.05,20.05,20.05,20.05,20.05,213.0
2020-08-03 04:00:00+00:00,20.06,20.06,20.06,20.06,20.06,819.0
2020-08-04 04:00:00+00:00,20.06,20.09,20.05,20.09,20.09,1489.0
2020-08-05 04:00:00+00:00,20.1,20.1,20.1,20.1,20.1,200.0
2020-08-06 04:00:00+00:00,20.01,20.01,19.94,20.01,20.01,51891.0
2020-08-07 04:00:00+00:00,20.02,20.07,20.02,20.07,20.07,410.0
2020-08-11 04:00:00+00:00,20.11,20.11,20.08,20.08,20.08,2450.0
2020-08-14 04:00:00+00:00,20.2,20.21,20.2,20.21,20.21,1300.0
2020-08-17 04:00:00+00:00,20.21,20.21,20.21,20.21,20.21,200.0
2020-08-18 04:00:00+00:00,20.17,20.22,20.17,20.18,20.18,1000.0
2020-08-19 04:00:00+00:00,20.09,20.09,20.09,20.09,20.09,1236.0
2020-08-20 04:00:00+00:00,20.07,20.1,20.07,20.1,20.1,2108.0
2020-08-21 04:00:00+00:00,20.24,20.3,20.24,20.3,20.3,200.0
2020-08-24 04:00:00+00:00,20.24,20.24,20.22,20.22,20.22,770.0
2020-08-25 04:00:00+00:00,20.24,20.25,20.24,20.25,20.25,1100.0
2020-08-26 04:00:00+00:00,20.19,20.32,20.19,20.32,20.32,699.0
2020-08-27 04:00:00+00:00,20.42,20.42,20.32,20.35,20.35,681.0
2020-08-28 04:00:00+00:00,20.16,20.21,20.12,20.21,20.21,5394.0
2020-08-31 04:00:00+00:00,20.08,20.1,20.07,20.07,20.07,3665.0
2020-09-01 04:00:00+00:00,20.1,20.1,20.05,20.08,20.08,1926.0
2020-09-02 04:00:00+00:00,20.04,20.04,19.94,19.94,19.94,3292.0
2020-09-03 04:00:00+00:00,20.01,20.01,19.96,19.96,19.96,2044.0
2020-09-04 04:00:00+00:00,19.79,19.79,19.79,19.79,19.79,178.0
2020-09-08 04:00:00+00:00,19.71,19.71,19.71,19.71,19.71,923.0
2020-09-09 04:00:00+00:00,19.7,19.7,19.69,19.69,19.69,999.0
2020-09-10 04:00:00+00:00,19.78,19.8,19.78,19.8,19.8,225.0
2020-09-14 04:00:00+00:00,19.81,19.82,19.81,19.82,19.82,438.0
2020-09-15 04:00:00+00:00,19.84,19.84,19.79,19.79,19.79,1300.0
2020-09-16 04:00:00+00:00,19.82,19.82,19.79,19.79,19.79,1437.0
2020-09-17 04:00:00+00:00,19.77,19.77,19.77,19.77,19.77,122.0
2020-09-21 04:00:00+00:00,19.66,19.66,19.66,19.66,19.66,3099.0
2020-09-22 04:00:00+00:00,19.74,19.74,19.74,19.74,19.74,200.0
2020-09-23 04:00:00+00:00,19.75,19.75,19.68,19.68,19.68,1460.0
2020-09-24 04:00:00+00:00,19.57,19.69,19.57,19.66,19.66,854.0
2020-09-25 04:00:00+00:00,19.66,19.69,19.66,19.69,19.69,816.0
2020-09-28 04:00:00+00:00,19.72,19.73,19.72,19.73,19.73,4872.0
2020-09-29 04:00:00+00:00,19.73,19.75,19.73,19.75,19.75,3637.0
2020-09-30 04:00:00+00:00,19.77,19.77,19.73,19.73,19.73,276.0
2020-10-01 04:00:00+00:00,19.85,19.87,19.82,19.82,19.82,1147.0
2020-10-02 04:00:00+00:00,19.76,19.78,19.73,19.78,19.78,1343.0
2020-10-05 04:00:00+00:00,19.79,19.79,19.79,19.79,19.79,700.0
2020-10-08 04:00:00+00:00,19.85,19.85,19.85,19.85,19.85,270.0
2020-10-12 04:00:00+00:00,19.89,19.9,19.88,19.9,19.9,300.0
2020-10-13 04:00:00+00:00,19.92,19.99,19.92,19.99,19.99,1342.0
2020-10-16 04:00:00+00:00,19.88,19.88,19.88,19.88,19.88,173.0
2020-10-19 04:00:00+00:00,19.82,19.82,19.82,19.82,19.82,705.0
2020-10-20 04:00:00+00:00,19.88,19.89,19.88,19.89,19.89,600.0
2020-10-21 04:00:00+00:00,19.86,19.86,19.86,19.86,19.86,115.0
2020-10-26 04:00:00+00:00,19.87,19.87,19.83,19.83,19.83,708.0
2020-10-27 04:00:00+00:00,19.79,19.8,19.79,19.79,19.79,1170.0
2020-10-28 04:00:00+00:00,19.76,19.83,19.76,19.78,19.78,2005.0
2020-10-29 04:00:00+00:00,19.84,19.84,19.84,19.84,19.84,148.0
2020-10-30 04:00:00+00:00,19.8,19.83,19.8,19.83,19.83,3236.0
2020-11-02 05:00:00+00:00,19.87,19.87,19.87,19.87,19.87,242.0
2020-11-03 05:00:00+00:00,19.83,19.83,19.8,19.8,19.8,1816.0
2020-11-04 05:00:00+00:00,19.84,19.85,19.83,19.83,19.83,594.0
2020-11-09 05:00:00+00:00,19.94,19.94,19.93,19.93,19.93,900.0
2020-11-10 05:00:00+00:00,19.98,19.98,19.98,19.98,19.98,200.0
2020-11-11 05:00:00+00:00,19.98,19.98,19.98,19.98,19.98,100.0
2020-11-12 05:00:00+00:00,19.98,20.0,19.98,20.0,20.0,900.0
2020-11-16 05:00:00+00:00,20.04,20.26,20.04,20.26,20.26,1800.0
2020-11-18 05:00:00+00:00,20.25,20.27,20.25,20.27,20.27,700.0
2020-11-19 05:00:00+00:00,20.27,20.27,20.27,20.27,20.27,132.0
2020-11-23 05:00:00+00:00,20.27,20.27,20.27,20.27,20.27,421.0
2020-11-25 05:00:00+00:00,20.1,20.21,20.1,20.21,20.21,700.0
2020-11-27 05:00:00+00:00,20.2,20.25,20.2,20.23,20.23,2941.0
2020-11-30 05:00:00+00:00,20.19,20.19,20.11,20.16,20.16,1005.0
2020-12-02 05:00:00+00:00,20.06,20.13,20.06,20.13,20.13,413.0
2020-12-03 05:00:00+00:00,20.19,20.19,20.15,20.16,20.16,859.0
