Date,Open,High,Low,Close,Adj Close,Volume
2024-10-24 04:00:00+00:00,25.39,25.39,25.39,25.39,25.39,106.0
2024-10-25 04:00:00+00:00,25.39,25.39,25.39,25.39,25.39,0.0
2024-10-28 04:00:00+00:00,25.77,25.77,25.77,25.77,25.77,169.0
2024-10-29 04:00:00+00:00,25.47,25.47,25.47,25.47,25.47,283.0
2024-10-30 04:00:00+00:00,25.72,25.72,25.56,25.56,25.56,495.0
2024-10-31 04:00:00+00:00,25.5,25.5,25.5,25.5,25.5,151.0
2024-11-01 04:00:00+00:00,25.16,25.16,25.16,25.16,25.16,266.0
2024-11-04 05:00:00+00:00,25.16,25.16,25.16,25.16,25.16,0.0
2024-11-05 05:00:00+00:00,25.46,25.59,25.46,25.59,25.59,460.0
2024-11-06 05:00:00+00:00,25.59,25.59,25.59,25.59,25.59,0.0
2024-11-07 05:00:00+00:00,27.41,27.41,27.34,27.34,27.34,563.0
2024-11-08 05:00:00+00:00,27.34,27.34,27.34,27.34,27.34,0.0
2024-11-11 05:00:00+00:00,27.87,27.87,27.87,27.87,27.87,470.0
2024-11-12 05:00:00+00:00,27.75,27.75,27.63,27.63,27.63,251.0
2024-11-13 05:00:00+00:00,27.63,27.63,27.63,27.63,27.63,0.0
2024-11-14 05:00:00+00:00,27.63,27.63,27.63,27.63,27.63,0.0
2024-11-15 05:00:00+00:00,26.57,26.57,26.57,26.57,26.57,368.0
2024-11-18 05:00:00+00:00,26.57,26.57,26.57,26.57,26.57,0.0
2024-11-19 05:00:00+00:00,26.3,26.3,26.3,26.3,26.3,155.0
2024-11-20 05:00:00+00:00,26.3,26.3,26.3,26.3,26.3,0.0
2024-11-21 05:00:00+00:00,26.3,26.3,26.3,26.3,26.3,0.0
2024-11-22 05:00:00+00:00,27.39,27.39,27.39,27.39,27.39,227.0
2024-11-25 05:00:00+00:00,28.1,28.28,28.1,28.18,28.18,833.0
2024-11-26 05:00:00+00:00,28.18,28.18,28.18,28.18,28.18,0.0
2024-11-27 05:00:00+00:00,28.16,28.16,27.89,27.89,27.89,373.0
2024-11-29 05:00:00+00:00,27.89,27.89,27.89,27.89,27.89,0.0
2024-12-02 05:00:00+00:00,27.71,27.89,27.71,27.89,27.89,472.0
2024-12-03 05:00:00+00:00,27.89,27.89,27.89,27.89,27.89,0.0
2024-12-04 05:00:00+00:00,27.89,27.89,27.89,27.89,27.89,0.0
2024-12-05 05:00:00+00:00,27.78,27.81,27.66,27.66,27.66,837.0
2024-12-06 05:00:00+00:00,27.63,27.65,27.58,27.58,27.58,851.0
2024-12-09 05:00:00+00:00,27.52,27.64,27.26,27.26,27.26,898.0
2024-12-10 05:00:00+00:00,27.53,27.53,27.53,27.53,27.53,527.0
2024-12-11 05:00:00+00:00,27.51,27.51,27.51,27.51,27.51,368.0
2024-12-12 05:00:00+00:00,27.34,27.34,27.34,27.34,27.34,580.0
2024-12-13 05:00:00+00:00,27.02,27.02,26.97,26.98,26.98,723.0
2024-12-16 05:00:00+00:00,27.19,27.19,27.19,27.19,27.19,606.0
