Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,19.81,19.81,19.81,19.81,19.81,100.0
2020-08-18 04:00:00+00:00,20.38,20.38,20.38,20.38,20.38,200.0
2020-08-25 04:00:00+00:00,20.37,20.37,20.37,20.37,20.37,206.0
2020-08-27 04:00:00+00:00,20.57,20.57,20.57,20.57,20.57,100.0
2020-09-01 04:00:00+00:00,20.35,20.35,20.31,20.31,20.31,200.0
2020-09-08 04:00:00+00:00,20.53,20.53,20.53,20.53,20.53,100.0
2020-09-14 04:00:00+00:00,20.53,20.53,20.53,20.53,20.53,129.0
2020-09-30 04:00:00+00:00,20.5,20.5,20.5,20.5,20.5,232.0
2020-10-01 04:00:00+00:00,20.17,20.23,20.15,20.18,20.18,2180.0
2020-10-02 04:00:00+00:00,20.03,20.17,20.03,20.17,20.17,400.0
2020-10-07 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,100.0
2020-10-08 04:00:00+00:00,20.49,20.49,20.49,20.49,20.49,153.0
2020-10-09 04:00:00+00:00,20.52,20.52,20.46,20.46,20.46,200.0
2020-10-13 04:00:00+00:00,20.25,20.25,20.25,20.25,20.25,100.0
2020-10-16 04:00:00+00:00,20.13,20.29,20.07,20.27,20.27,700.0
2020-10-20 04:00:00+00:00,20.56,20.56,20.56,20.56,20.56,100.0
2020-10-23 04:00:00+00:00,20.53,20.53,20.53,20.53,20.53,494.0
2020-10-26 04:00:00+00:00,20.53,20.53,20.53,20.53,20.53,300.0
2020-10-30 04:00:00+00:00,20.21,20.21,20.21,20.21,20.21,200.0
2020-11-02 05:00:00+00:00,20.77,20.77,20.77,20.77,20.77,100.0
2020-11-03 05:00:00+00:00,20.98,20.98,20.98,20.98,20.98,100.0
2020-11-04 05:00:00+00:00,20.9,20.9,20.9,20.9,20.9,100.0
2020-11-09 05:00:00+00:00,20.77,20.77,20.77,20.77,20.77,200.0
2020-11-12 05:00:00+00:00,20.64,20.64,20.64,20.64,20.64,100.0
2020-11-13 05:00:00+00:00,20.59,20.59,20.59,20.59,20.59,100.0
2020-12-08 05:00:00+00:00,21.03,21.03,21.03,21.03,21.03,167.0
2020-12-09 05:00:00+00:00,21.06,21.06,21.06,21.06,21.06,104.0
2021-01-05 05:00:00+00:00,21.18,21.18,21.18,21.18,21.18,100.0
2021-01-13 05:00:00+00:00,20.71,20.71,20.71,20.71,20.71,100.0
2021-01-14 05:00:00+00:00,20.76,20.76,20.76,20.76,20.76,100.0
2021-01-21 05:00:00+00:00,20.94,20.94,20.94,20.94,20.94,100.0
2021-01-29 05:00:00+00:00,20.52,20.7,20.52,20.7,20.7,636.0
2021-02-05 05:00:00+00:00,20.74,20.74,20.74,20.74,20.74,100.0
2021-02-11 05:00:00+00:00,20.66,20.71,20.66,20.71,20.71,408.0
2021-02-12 05:00:00+00:00,20.55,20.55,20.55,20.55,20.55,1100.0
2021-02-19 05:00:00+00:00,20.68,20.68,20.68,20.68,20.68,100.0
2021-02-22 05:00:00+00:00,20.73,20.73,20.73,20.73,20.73,100.0
2021-02-25 05:00:00+00:00,20.64,20.64,20.64,20.64,20.64,156.0
2021-03-12 05:00:00+00:00,21.21,21.21,21.21,21.21,21.21,100.0
2021-03-16 04:00:00+00:00,21.04,21.04,21.04,21.04,21.04,200.0
2021-03-18 04:00:00+00:00,20.89,20.89,20.89,20.89,20.89,100.0
2021-03-19 04:00:00+00:00,20.76,20.76,20.76,20.76,20.76,200.0
2021-03-24 04:00:00+00:00,21.0,21.0,20.99,20.99,20.99,500.0
2021-03-31 04:00:00+00:00,21.24,21.27,21.24,21.27,21.27,581.0
2021-04-06 04:00:00+00:00,21.45,21.45,21.33,21.33,21.33,535.0
2021-04-07 04:00:00+00:00,21.36,21.36,21.36,21.36,21.36,100.0
2021-04-08 04:00:00+00:00,21.43,21.5,21.43,21.5,21.5,300.0
2021-04-12 04:00:00+00:00,21.59,21.59,21.59,21.59,21.59,200.0
2021-04-22 04:00:00+00:00,21.57,21.57,21.56,21.56,21.56,204.0
2021-04-23 04:00:00+00:00,21.66,21.66,21.66,21.66,21.66,171.0
2021-04-26 04:00:00+00:00,21.66,21.66,21.66,21.66,21.66,100.0
2021-04-28 04:00:00+00:00,21.45,21.45,21.38,21.38,21.38,200.0
2021-05-03 04:00:00+00:00,21.48,21.48,21.48,21.48,21.48,376.0
2021-05-07 04:00:00+00:00,21.37,21.37,21.36,21.36,21.36,404.0
2021-05-11 04:00:00+00:00,21.29,21.29,21.29,21.29,21.29,316.0
2021-05-12 04:00:00+00:00,21.22,21.22,21.22,21.22,21.22,104.0
2021-05-17 04:00:00+00:00,21.16,21.16,21.16,21.16,21.16,100.0
2021-05-20 04:00:00+00:00,21.24,21.34,21.24,21.34,21.34,400.0
2021-05-25 04:00:00+00:00,21.46,21.46,21.46,21.46,21.46,100.0
2021-05-26 04:00:00+00:00,21.46,21.46,21.46,21.46,21.46,100.0
2021-06-03 04:00:00+00:00,21.42,21.42,21.42,21.42,21.42,100.0
2021-06-14 04:00:00+00:00,21.45,21.45,21.45,21.45,21.45,100.0
2021-06-15 04:00:00+00:00,21.46,21.46,21.39,21.39,21.39,300.0
2021-06-16 04:00:00+00:00,21.32,21.32,21.32,21.32,21.32,600.0
2021-06-22 04:00:00+00:00,21.38,21.41,21.38,21.41,21.41,300.0
2021-06-24 04:00:00+00:00,21.54,21.54,21.53,21.53,21.53,200.0
2021-06-28 04:00:00+00:00,21.6,21.6,21.54,21.54,21.54,200.0
2021-06-30 04:00:00+00:00,21.49,21.49,21.49,21.49,21.49,200.0
2021-07-15 04:00:00+00:00,21.66,21.66,21.57,21.57,21.57,400.0
2021-07-20 04:00:00+00:00,21.64,21.64,21.63,21.63,21.63,800.0
2021-07-21 04:00:00+00:00,21.5,21.5,21.5,21.5,21.5,123.0
2021-07-26 04:00:00+00:00,21.56,21.56,21.56,21.56,21.56,100.0
2021-07-28 04:00:00+00:00,21.39,21.51,21.39,21.51,21.51,300.0
2021-07-29 04:00:00+00:00,21.76,21.86,21.74,21.86,21.86,4600.0
2021-08-10 04:00:00+00:00,21.49,21.49,21.49,21.49,21.49,272.0
2021-08-18 04:00:00+00:00,21.89,21.89,21.89,21.89,21.89,100.0
2021-08-19 04:00:00+00:00,21.84,21.84,21.84,21.84,21.84,100.0
2021-08-27 04:00:00+00:00,21.99,21.99,21.99,21.99,21.99,100.0
2021-08-31 04:00:00+00:00,22.12,22.12,22.12,22.12,22.12,100.0
2021-09-01 04:00:00+00:00,22.39,22.43,22.39,22.43,22.43,471.0
2021-09-14 04:00:00+00:00,22.29,22.29,22.29,22.29,22.29,100.0
2021-09-20 04:00:00+00:00,22.18,22.18,22.18,22.18,22.18,100.0
2021-09-22 04:00:00+00:00,21.98,21.98,21.95,21.95,21.95,306.0
2021-09-23 04:00:00+00:00,22.07,22.07,21.95,21.95,21.95,200.0
2021-09-24 04:00:00+00:00,21.8,21.8,21.8,21.8,21.8,100.0
2021-09-27 04:00:00+00:00,21.84,21.84,21.84,21.84,21.84,100.0
2021-09-28 04:00:00+00:00,21.49,21.49,21.49,21.49,21.49,117.0
2021-10-04 04:00:00+00:00,21.53,21.53,21.53,21.53,21.53,100.0
2021-10-06 04:00:00+00:00,21.46,21.46,21.43,21.43,21.43,200.0
2021-10-08 04:00:00+00:00,21.48,21.48,21.48,21.48,21.48,103.0
2021-10-13 04:00:00+00:00,21.74,21.74,21.74,21.74,21.74,100.0
2021-10-21 04:00:00+00:00,21.69,21.69,21.69,21.69,21.69,125.0
2021-11-01 04:00:00+00:00,21.85,21.85,21.85,21.85,21.85,100.0
2021-11-05 04:00:00+00:00,21.91,21.91,21.91,21.91,21.91,113.0
2021-11-11 05:00:00+00:00,21.56,21.56,21.56,21.56,21.56,106.0
2021-11-15 05:00:00+00:00,21.5,21.5,21.5,21.5,21.5,128.0
2021-11-16 05:00:00+00:00,21.46,21.46,21.46,21.46,21.46,100.0
2021-11-23 05:00:00+00:00,21.36,21.36,21.36,21.36,21.36,100.0
2021-11-29 05:00:00+00:00,21.35,21.35,21.35,21.35,21.35,100.0
2021-12-01 05:00:00+00:00,21.41,21.41,21.41,21.41,21.41,168.0
2021-12-02 05:00:00+00:00,21.42,21.42,21.42,21.42,21.42,285.0
2021-12-13 05:00:00+00:00,21.39,21.39,21.39,21.39,21.39,36000.0
2021-12-16 05:00:00+00:00,21.66,21.66,21.66,21.66,21.66,100.0
2022-01-04 05:00:00+00:00,21.84,21.84,21.69,21.69,21.69,400.0
2022-01-05 05:00:00+00:00,21.77,21.77,21.77,21.77,21.77,700.0
2022-01-06 05:00:00+00:00,21.29,21.29,21.29,21.29,21.29,156.0
2022-01-07 05:00:00+00:00,21.46,21.46,21.46,21.46,21.46,100.0
2022-01-12 05:00:00+00:00,21.7,21.7,21.7,21.7,21.7,100.0
2022-01-19 05:00:00+00:00,21.4,21.4,21.4,21.4,21.4,100.0
2022-01-27 05:00:00+00:00,21.26,21.26,20.95,20.95,20.95,214.0
2022-01-31 05:00:00+00:00,21.22,21.22,21.22,21.22,21.22,146.0
2022-02-02 05:00:00+00:00,21.22,21.22,21.22,21.22,21.22,139.0
2022-02-03 05:00:00+00:00,21.23,21.23,21.23,21.23,21.23,335.0
2022-02-08 05:00:00+00:00,21.08,21.08,21.08,21.08,21.08,110.0
2022-02-15 05:00:00+00:00,20.87,20.87,20.87,20.87,20.87,100.0
2022-02-23 05:00:00+00:00,20.61,20.61,20.61,20.61,20.61,153.0
2022-02-24 05:00:00+00:00,20.53,20.71,20.53,20.71,20.71,361.0
2022-03-07 05:00:00+00:00,20.98,20.98,20.98,20.98,20.98,103.0
2022-03-09 05:00:00+00:00,20.97,20.97,20.93,20.93,20.93,300.0
2022-03-14 04:00:00+00:00,20.77,20.77,20.77,20.77,20.77,205.0
2022-03-18 04:00:00+00:00,21.08,21.37,21.08,21.37,21.37,2400.0
2022-03-24 04:00:00+00:00,21.41,21.41,21.41,21.41,21.41,167.0
2022-03-25 04:00:00+00:00,21.05,21.05,21.05,21.05,21.05,100.0
2022-03-28 04:00:00+00:00,21.07,21.07,21.07,21.07,21.07,100.0
2022-03-29 04:00:00+00:00,21.19,21.28,21.19,21.28,21.28,262.0
2022-04-06 04:00:00+00:00,21.04,21.04,21.04,21.04,21.04,155.0
2022-04-12 04:00:00+00:00,20.8,20.8,20.8,20.8,20.8,200.0
2022-04-19 04:00:00+00:00,20.89,20.89,20.79,20.79,20.79,1699.0
2022-04-20 04:00:00+00:00,20.91,20.91,20.91,20.91,20.91,100.0
2022-04-21 04:00:00+00:00,20.9,20.9,20.9,20.9,20.9,248.0
2022-04-27 04:00:00+00:00,20.6,20.65,20.52,20.52,20.52,500.0
2022-04-28 04:00:00+00:00,20.38,20.38,20.38,20.38,20.38,100.0
2022-04-29 04:00:00+00:00,20.66,20.77,20.66,20.77,20.77,815.0
2022-05-02 04:00:00+00:00,20.67,20.68,20.61,20.61,20.61,658.0
2022-05-04 04:00:00+00:00,20.91,20.91,20.91,20.91,20.91,200.0
2022-05-05 04:00:00+00:00,20.41,20.41,20.41,20.41,20.41,100.0
2022-05-06 04:00:00+00:00,20.26,20.26,20.26,20.26,20.26,151.0
2022-05-09 04:00:00+00:00,20.33,20.33,20.33,20.33,20.33,100.0
2022-05-13 04:00:00+00:00,20.68,20.68,20.68,20.68,20.68,100.0
2022-05-18 04:00:00+00:00,20.41,20.41,20.18,20.18,20.18,915.0
2022-05-19 04:00:00+00:00,20.29,20.29,20.29,20.29,20.29,100.0
2022-05-20 04:00:00+00:00,20.37,20.38,20.37,20.38,20.38,900.0
2022-05-23 04:00:00+00:00,20.38,20.38,20.38,20.38,20.38,312.0
2022-05-25 04:00:00+00:00,20.58,20.58,20.58,20.58,20.58,300.0
2022-05-27 04:00:00+00:00,20.74,20.75,20.74,20.75,20.75,281.0
2022-05-31 04:00:00+00:00,20.72,20.72,20.72,20.72,20.72,200.0
2022-06-01 04:00:00+00:00,21.09,21.09,21.09,21.09,21.09,100.0
2022-06-03 04:00:00+00:00,20.99,20.99,20.91,20.95,20.95,600.0
2022-06-10 04:00:00+00:00,20.63,20.7,20.63,20.7,20.7,284.0
2022-06-13 04:00:00+00:00,20.17,20.17,20.17,20.17,20.17,116.0
2022-06-15 04:00:00+00:00,19.96,20.11,19.96,20.08,20.08,597.0
