Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,16.97,16.97,16.72,16.93,16.93,12813.0
2020-07-28 04:00:00+00:00,17.1,17.89,17.1,17.66,17.66,5957.0
2020-07-29 04:00:00+00:00,18.01,18.02,17.71,17.92,17.92,3936.0
2020-07-30 04:00:00+00:00,17.84,18.35,17.51,18.34,18.34,11852.0
2020-07-31 04:00:00+00:00,18.11,18.19,17.66,18.04,18.04,4990.0
2020-08-03 04:00:00+00:00,18.0,18.32,17.88,18.07,18.07,16278.0
2020-08-04 04:00:00+00:00,18.29,18.7,18.14,18.64,18.64,9373.0
2020-08-05 04:00:00+00:00,18.65,18.93,18.52,18.69,18.69,13388.0
2020-08-06 04:00:00+00:00,18.61,18.61,17.14,17.44,17.44,14910.0
2020-08-07 04:00:00+00:00,17.8,19.02,17.68,18.94,18.94,6246.0
2020-08-10 04:00:00+00:00,19.12,19.47,18.84,18.96,18.96,15964.0
2020-08-11 04:00:00+00:00,19.25,19.48,18.86,18.95,18.95,20496.0
2020-08-12 04:00:00+00:00,19.03,19.2,18.64,18.89,18.89,15557.0
2020-08-13 04:00:00+00:00,18.68,18.84,18.53,18.62,18.62,7109.0
2020-08-14 04:00:00+00:00,18.37,18.39,17.98,18.09,18.09,6286.0
2020-08-17 04:00:00+00:00,17.88,17.93,17.6,17.76,17.76,2131.0
2020-08-18 04:00:00+00:00,18.02,18.63,18.02,18.53,18.53,11255.0
2020-08-19 04:00:00+00:00,18.76,18.92,18.71,18.88,18.88,6979.0
2020-08-20 04:00:00+00:00,18.73,19.02,18.52,18.95,18.95,4198.0
2020-08-21 04:00:00+00:00,18.88,19.35,18.87,19.35,19.35,14934.0
2020-08-24 04:00:00+00:00,19.12,19.47,18.82,19.21,19.21,15592.0
2020-08-25 04:00:00+00:00,19.29,19.56,19.25,19.43,19.43,3105.0
2020-08-26 04:00:00+00:00,19.43,19.54,18.95,19.1,19.1,5943.0
2020-08-27 04:00:00+00:00,19.39,19.39,18.88,19.26,19.26,3182.0
2020-08-28 04:00:00+00:00,19.08,19.27,19.03,19.27,19.27,5321.0
2020-08-31 04:00:00+00:00,19.2,19.23,18.96,19.21,19.21,3068.0
2020-09-01 04:00:00+00:00,19.36,19.76,19.36,19.76,19.76,2529.0
2020-09-02 04:00:00+00:00,19.72,19.99,19.72,19.93,19.93,9778.0
2020-09-03 04:00:00+00:00,19.45,19.45,19.14,19.26,19.26,4282.0
2020-09-04 04:00:00+00:00,19.59,19.59,18.7,18.84,18.84,6165.0
2020-09-08 04:00:00+00:00,18.56,18.68,18.25,18.4,18.4,5538.0
2020-09-09 04:00:00+00:00,18.75,18.83,18.47,18.83,18.83,3836.0
2020-09-10 04:00:00+00:00,19.19,19.19,18.71,18.71,18.71,5456.0
2020-09-11 04:00:00+00:00,18.82,18.94,18.52,18.61,18.61,2400.0
2020-09-14 04:00:00+00:00,18.96,19.21,18.93,19.21,19.21,4724.0
2020-09-15 04:00:00+00:00,19.09,19.09,18.66,18.69,18.69,2492.0
2020-09-16 04:00:00+00:00,18.85,19.37,18.83,19.16,19.16,7031.0
2020-09-17 04:00:00+00:00,19.18,19.24,18.79,18.81,18.81,6322.0
2020-09-18 04:00:00+00:00,18.61,19.03,18.61,19.02,19.02,3540.0
2020-09-21 04:00:00+00:00,18.61,18.61,17.6,18.0,18.0,5205.0
2020-09-22 04:00:00+00:00,18.13,18.17,17.79,18.09,18.09,3281.0
2020-09-23 04:00:00+00:00,18.16,18.16,17.23,17.23,17.23,5315.0
2020-09-24 04:00:00+00:00,17.13,17.6,16.87,17.26,17.26,11035.0
2020-09-25 04:00:00+00:00,17.58,17.77,17.37,17.68,17.68,13502.0
2020-09-28 04:00:00+00:00,17.61,18.14,17.61,18.09,18.09,9944.0
2020-09-29 04:00:00+00:00,17.81,18.17,17.59,18.06,18.06,8794.0
2020-09-30 04:00:00+00:00,18.29,18.33,17.96,18.09,18.09,10783.0
2020-10-01 04:00:00+00:00,18.45,19.13,18.36,19.13,19.13,11309.0
2020-10-02 04:00:00+00:00,19.09,19.63,19.02,19.04,19.04,9953.0
2020-10-05 04:00:00+00:00,19.17,19.66,19.17,19.44,19.44,17150.0
2020-10-06 04:00:00+00:00,19.47,20.77,19.45,20.6,20.6,32748.0
2020-10-07 04:00:00+00:00,20.84,20.85,20.48,20.58,20.58,40053.0
2020-10-08 04:00:00+00:00,20.74,20.74,19.85,19.86,19.86,10892.0
2020-10-09 04:00:00+00:00,19.93,20.06,19.65,20.06,20.06,6200.0
2020-10-12 04:00:00+00:00,20.28,20.59,20.28,20.57,20.57,2538.0
2020-10-13 04:00:00+00:00,20.33,20.67,20.22,20.6,20.6,5814.0
2020-10-14 04:00:00+00:00,20.38,20.54,20.15,20.18,20.18,2614.0
2020-10-15 04:00:00+00:00,19.78,20.28,19.78,20.23,20.23,16004.0
2020-10-16 04:00:00+00:00,20.45,20.57,20.07,20.08,20.08,7736.0
2020-10-19 04:00:00+00:00,20.38,20.38,20.03,20.13,20.13,6413.0
2020-10-20 04:00:00+00:00,20.35,20.35,19.83,19.83,19.83,3469.0
2020-10-21 04:00:00+00:00,19.86,20.17,19.84,19.97,19.97,5027.0
2020-10-22 04:00:00+00:00,19.9,19.9,19.64,19.76,19.76,5601.0
2020-10-23 04:00:00+00:00,19.74,20.17,19.74,20.16,20.16,4815.0
2020-10-26 04:00:00+00:00,19.82,20.23,19.68,20.15,20.15,11830.0
2020-10-27 04:00:00+00:00,19.96,19.96,18.98,19.03,19.03,10356.0
2020-10-28 04:00:00+00:00,18.24,18.87,18.06,18.7,18.7,7195.0
2020-10-29 04:00:00+00:00,18.98,19.38,18.76,19.13,19.13,25839.0
2020-10-30 04:00:00+00:00,19.15,19.15,18.22,18.46,18.46,10973.0
2020-11-02 05:00:00+00:00,18.85,18.85,18.25,18.48,18.48,4646.0
2020-11-03 05:00:00+00:00,18.57,19.62,18.4,19.54,19.54,8449.0
2020-11-04 05:00:00+00:00,19.02,19.89,19.02,19.86,19.86,7289.0
2020-11-05 05:00:00+00:00,20.76,21.58,20.48,21.21,21.21,9084.0
2020-11-06 05:00:00+00:00,21.21,21.21,20.53,20.61,20.61,9699.0
2020-11-09 05:00:00+00:00,22.16,22.22,21.45,21.57,21.57,12024.0
2020-11-10 05:00:00+00:00,22.25,22.8,21.66,22.52,22.52,13415.0
2020-11-11 05:00:00+00:00,21.95,22.92,21.85,22.84,22.84,21955.0
2020-11-12 05:00:00+00:00,23.02,23.12,21.86,22.04,22.04,5818.0
2020-11-13 05:00:00+00:00,22.62,22.62,22.17,22.41,22.41,5113.0
2020-11-16 05:00:00+00:00,23.12,23.46,22.73,22.99,22.99,5977.0
2020-11-17 05:00:00+00:00,22.98,24.32,22.88,23.99,23.99,8710.0
2020-11-18 05:00:00+00:00,24.03,24.41,23.5,23.54,23.54,23967.0
2020-11-19 05:00:00+00:00,23.39,23.91,23.04,23.42,23.42,10798.0
2020-11-20 05:00:00+00:00,23.53,24.41,23.43,24.36,24.36,11077.0
2020-11-23 05:00:00+00:00,24.64,24.72,24.18,24.5,24.5,10872.0
2020-11-24 05:00:00+00:00,24.37,24.85,24.13,24.46,24.46,13621.0
2020-11-25 05:00:00+00:00,24.28,25.13,23.96,24.78,24.78,12184.0
2020-11-27 05:00:00+00:00,24.78,25.06,24.43,24.7,24.7,6671.0
2020-11-30 05:00:00+00:00,24.72,24.96,24.28,24.82,24.82,9438.0
2020-12-01 05:00:00+00:00,25.26,25.32,24.59,24.63,24.63,5398.0
2020-12-02 05:00:00+00:00,24.54,24.91,24.45,24.85,24.85,6035.0
2020-12-03 05:00:00+00:00,24.6,25.21,24.58,24.9,24.9,4491.0
2020-12-04 05:00:00+00:00,25.11,25.95,25.04,25.7,25.7,4958.0
2020-12-07 05:00:00+00:00,26.1,26.5,25.28,26.28,26.28,8861.0
2020-12-08 05:00:00+00:00,26.05,26.51,25.54,26.51,26.51,7324.0
2020-12-09 05:00:00+00:00,27.15,27.16,26.28,26.56,26.56,11538.0
2020-12-10 05:00:00+00:00,26.07,26.2,25.32,25.48,25.48,16120.0
2020-12-11 05:00:00+00:00,25.28,27.01,25.28,26.84,26.84,14438.0
2020-12-14 05:00:00+00:00,27.2,27.2,25.77,25.82,25.82,5633.0
2020-12-15 05:00:00+00:00,26.28,26.75,26.22,26.75,26.75,2981.0
2020-12-16 05:00:00+00:00,26.89,26.95,26.42,26.8,26.8,4436.0
2020-12-17 05:00:00+00:00,27.28,27.36,26.95,27.34,27.34,5133.0
2020-12-18 05:00:00+00:00,27.49,27.51,26.59,26.74,26.74,14096.0
2020-12-21 05:00:00+00:00,26.43,26.82,26.08,26.58,26.58,6809.0
2020-12-22 05:00:00+00:00,26.82,27.15,26.82,26.97,26.97,7898.0
2020-12-23 05:00:00+00:00,26.95,27.16,26.78,26.95,26.95,8558.0
2020-12-24 05:00:00+00:00,27.14,27.32,26.96,27.32,27.32,1108.0
2020-12-28 05:00:00+00:00,27.77,27.92,27.32,27.37,27.37,5565.0
2020-12-29 05:00:00+00:00,26.45,26.89,26.45,26.87,26.87,4473.0
2020-12-30 05:00:00+00:00,26.2,27.63,26.2,27.53,27.53,2969.0
2020-12-31 05:00:00+00:00,27.8,27.94,27.18,27.21,27.21,7536.0
2021-01-04 05:00:00+00:00,27.52,27.93,25.95,26.43,26.43,14372.0
2021-01-05 05:00:00+00:00,26.99,27.36,26.71,27.14,27.14,6543.0
2021-01-06 05:00:00+00:00,28.4,28.74,28.03,28.45,28.45,5873.0
2021-01-07 05:00:00+00:00,28.26,29.0,28.18,28.9,28.9,5009.0
2021-01-08 05:00:00+00:00,28.72,28.81,28.07,28.45,28.45,4909.0
2021-01-11 05:00:00+00:00,28.6,28.89,28.53,28.74,28.74,2615.0
2021-01-12 05:00:00+00:00,28.84,29.79,28.56,29.79,29.79,4041.0
2021-01-13 05:00:00+00:00,30.26,30.26,29.15,29.23,29.23,7264.0
2021-01-14 05:00:00+00:00,29.45,29.86,29.35,29.55,29.55,4732.0
2021-01-15 05:00:00+00:00,29.46,29.46,27.89,28.24,28.24,43251.0
2021-01-19 05:00:00+00:00,28.57,29.49,28.57,29.38,29.38,10731.0
2021-01-20 05:00:00+00:00,29.56,29.62,29.11,29.3,29.3,4763.0
2021-01-21 05:00:00+00:00,29.66,30.5,29.54,30.41,30.41,4595.0
2021-01-22 05:00:00+00:00,30.6,30.92,29.76,30.64,30.64,10659.0
2021-01-25 05:00:00+00:00,30.76,30.76,29.39,30.14,30.14,7233.0
2021-01-26 05:00:00+00:00,30.35,30.52,29.96,30.29,30.29,17523.0
2021-01-27 05:00:00+00:00,29.43,30.61,29.41,29.41,29.41,11416.0
2021-01-28 05:00:00+00:00,29.66,29.66,28.91,29.35,29.35,2619.0
2021-01-29 05:00:00+00:00,29.1,29.93,28.78,29.11,29.11,7240.0
2021-02-01 05:00:00+00:00,28.83,29.85,28.53,29.69,29.69,15743.0
2021-02-02 05:00:00+00:00,29.73,31.59,29.73,31.5,31.5,13425.0
2021-02-03 05:00:00+00:00,31.61,31.66,31.17,31.56,31.56,9993.0
2021-02-04 05:00:00+00:00,32.12,33.04,32.1,32.28,32.28,5729.0
2021-02-05 05:00:00+00:00,32.46,32.46,31.71,32.11,32.11,4551.0
2021-02-08 05:00:00+00:00,32.45,33.2,32.25,33.12,33.12,10746.0
2021-02-09 05:00:00+00:00,33.05,33.05,32.24,32.29,32.29,4684.0
2021-02-10 05:00:00+00:00,32.17,32.17,31.46,31.67,31.67,7108.0
2021-02-11 05:00:00+00:00,32.14,32.14,30.77,31.23,31.23,4695.0
2021-02-12 05:00:00+00:00,31.25,31.65,31.25,31.52,31.52,9293.0
2021-02-16 05:00:00+00:00,32.12,32.12,30.79,30.97,30.97,7622.0
2021-02-17 05:00:00+00:00,30.82,30.82,30.41,30.79,30.79,4465.0
2021-02-18 05:00:00+00:00,30.55,31.23,30.34,30.91,30.91,4691.0
2021-02-19 05:00:00+00:00,31.46,32.01,31.46,31.66,31.66,7735.0
2021-02-22 05:00:00+00:00,31.65,32.36,31.65,32.1,32.1,6004.0
2021-02-23 05:00:00+00:00,31.4,32.18,30.98,32.02,32.02,5402.0
2021-02-24 05:00:00+00:00,32.69,33.51,32.13,33.3,33.3,7004.0
2021-02-25 05:00:00+00:00,33.24,33.24,30.9,31.33,31.33,9470.0
2021-02-26 05:00:00+00:00,31.66,32.29,31.51,31.52,31.52,3855.0
2021-03-01 05:00:00+00:00,32.32,33.05,32.09,32.87,32.87,7966.0
2021-03-02 05:00:00+00:00,32.65,32.65,31.83,31.83,31.83,2527.0
2021-03-03 05:00:00+00:00,31.47,32.22,31.47,31.66,31.66,3984.0
2021-03-04 05:00:00+00:00,31.6,31.81,30.62,31.06,31.06,9269.0
2021-03-05 05:00:00+00:00,31.05,31.93,29.85,31.91,31.91,10320.0
2021-03-08 05:00:00+00:00,31.85,33.3,31.85,32.68,32.68,4058.0
2021-03-09 05:00:00+00:00,33.01,33.89,32.65,32.85,32.85,16297.0
2021-03-10 05:00:00+00:00,32.39,33.57,32.39,33.03,33.03,22399.0
2021-03-11 05:00:00+00:00,33.2,37.05,32.95,36.97,36.97,18801.0
2021-03-12 05:00:00+00:00,37.15,39.22,37.15,39.18,39.18,35728.0
2021-03-15 04:00:00+00:00,40.26,41.06,39.42,39.44,39.44,26599.0
2021-03-16 04:00:00+00:00,40.12,40.15,38.49,39.36,39.36,14810.0
2021-03-17 04:00:00+00:00,38.74,38.75,38.14,38.5,38.5,12701.0
2021-03-18 04:00:00+00:00,38.26,38.46,36.72,36.94,36.94,8534.0
2021-03-19 04:00:00+00:00,36.49,37.33,35.91,36.42,36.42,15946.0
2021-03-22 04:00:00+00:00,36.42,36.59,35.67,36.26,36.26,8930.0
2021-03-23 04:00:00+00:00,35.83,36.32,34.6,34.81,34.81,16286.0
2021-03-24 04:00:00+00:00,35.38,35.9,34.55,34.71,34.71,32638.0
2021-03-25 04:00:00+00:00,34.37,36.17,34.0,35.9,35.9,9162.0
2021-03-26 04:00:00+00:00,35.66,35.74,34.97,35.71,35.71,5846.0
2021-03-29 04:00:00+00:00,35.4,35.4,33.91,33.91,33.91,10714.0
2021-03-30 04:00:00+00:00,34.43,35.39,34.37,35.31,35.31,5529.0
2021-03-31 04:00:00+00:00,35.95,36.1,35.48,35.78,35.78,8139.0
2021-04-01 04:00:00+00:00,36.18,37.24,36.18,36.44,36.44,14493.0
2021-04-05 04:00:00+00:00,36.61,36.61,35.78,36.41,36.41,4088.0
2021-04-06 04:00:00+00:00,36.41,37.2,36.41,36.78,36.78,7339.0
2021-04-07 04:00:00+00:00,36.53,36.9,36.12,36.43,36.43,11609.0
2021-04-08 04:00:00+00:00,36.73,37.2,36.27,37.02,37.02,20027.0
2021-04-09 04:00:00+00:00,37.14,37.14,36.4,37.07,37.07,5360.0
2021-04-12 04:00:00+00:00,36.51,37.79,36.39,37.68,37.68,8130.0
2021-04-13 04:00:00+00:00,37.64,37.64,36.33,36.48,36.48,4868.0
2021-04-14 04:00:00+00:00,36.52,36.75,36.18,36.21,36.21,50947.0
2021-04-15 04:00:00+00:00,36.21,36.82,36.01,36.7,36.7,16071.0
2021-04-16 04:00:00+00:00,37.35,37.42,36.97,37.08,37.08,5446.0
2021-04-19 04:00:00+00:00,36.61,36.77,36.12,36.67,36.67,18932.0
2021-04-20 04:00:00+00:00,36.9,37.51,35.97,36.27,36.27,53584.0
2021-04-21 04:00:00+00:00,35.67,36.28,35.41,35.53,35.53,12665.0
2021-04-22 04:00:00+00:00,35.34,35.34,34.51,34.53,34.53,21669.0
