Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,36.93,36.93,35.62,36.21,36.21,33708.0
2020-07-28 04:00:00+00:00,36.05,37.06,35.73,36.7,36.7,15168.0
2020-07-29 04:00:00+00:00,36.54,37.26,36.33,37.17,37.17,16596.0
2020-07-30 04:00:00+00:00,35.83,37.24,35.83,36.57,36.57,31680.0
2020-07-31 04:00:00+00:00,36.77,37.51,36.75,37.1,37.1,24831.0
2020-08-03 04:00:00+00:00,37.76,37.93,37.47,37.63,37.63,45297.0
2020-08-04 04:00:00+00:00,37.7,37.7,37.36,37.39,37.39,6467.0
2020-08-05 04:00:00+00:00,37.21,37.34,36.05,36.35,36.35,101576.0
2020-08-06 04:00:00+00:00,36.38,36.84,36.22,36.62,36.62,12020.0
2020-08-07 04:00:00+00:00,36.49,36.52,36.06,36.25,36.25,9731.0
2020-08-10 04:00:00+00:00,36.33,36.35,35.95,36.2,36.2,5498.0
2020-08-11 04:00:00+00:00,36.18,36.51,35.89,35.89,35.89,3346.0
2020-08-12 04:00:00+00:00,36.44,36.44,36.15,36.15,36.15,11342.0
2020-08-13 04:00:00+00:00,36.26,36.4,36.13,36.22,36.22,5039.0
2020-08-14 04:00:00+00:00,36.3,36.37,36.11,36.14,36.14,14133.0
2020-08-17 04:00:00+00:00,36.31,36.31,35.9,35.93,35.93,25404.0
2020-08-18 04:00:00+00:00,36.12,36.39,35.87,36.27,36.27,14472.0
2020-08-19 04:00:00+00:00,36.14,36.14,34.76,34.79,34.79,3247.0
2020-08-20 04:00:00+00:00,34.66,34.66,33.67,34.02,34.02,2616.0
2020-08-21 04:00:00+00:00,34.26,34.34,33.71,34.22,34.22,6730.0
2020-08-24 04:00:00+00:00,34.25,34.45,33.99,34.12,34.12,5090.0
2020-08-25 04:00:00+00:00,34.1,34.58,34.1,34.49,34.49,5132.0
2020-08-26 04:00:00+00:00,34.33,34.83,34.26,34.62,34.62,1792.0
2020-08-27 04:00:00+00:00,34.35,34.4,33.94,34.01,34.01,1967.0
2020-08-28 04:00:00+00:00,34.21,34.21,34.01,34.05,34.05,3580.0
2020-08-31 04:00:00+00:00,34.03,34.65,33.93,34.37,34.37,5627.0
2020-09-01 04:00:00+00:00,34.71,34.94,34.39,34.42,34.42,16207.0
2020-09-02 04:00:00+00:00,34.72,35.25,34.29,35.22,35.22,16341.0
2020-09-03 04:00:00+00:00,35.22,35.22,33.77,33.78,33.78,29031.0
2020-09-04 04:00:00+00:00,33.6,33.66,32.63,33.06,33.06,4659.0
2020-09-08 04:00:00+00:00,32.26,32.52,31.9,31.9,31.9,7148.0
2020-09-09 04:00:00+00:00,32.23,33.12,32.01,33.03,33.03,13825.0
2020-09-10 04:00:00+00:00,33.04,33.04,32.15,32.3,32.3,10651.0
2020-09-11 04:00:00+00:00,32.48,32.48,32.24,32.28,32.28,3725.0
2020-09-14 04:00:00+00:00,32.85,33.12,32.68,32.74,32.74,9421.0
2020-09-15 04:00:00+00:00,33.16,33.31,32.95,33.18,33.18,18916.0
2020-09-16 04:00:00+00:00,33.71,34.21,33.64,33.94,33.94,13432.0
2020-09-17 04:00:00+00:00,33.69,34.9,33.35,34.47,34.47,8644.0
2020-09-18 04:00:00+00:00,34.48,34.48,33.89,34.33,34.33,32791.0
2020-09-21 04:00:00+00:00,33.64,34.61,33.57,34.48,34.48,40148.0
2020-09-22 04:00:00+00:00,34.23,34.52,34.23,34.44,34.44,5538.0
