Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,22.0,22.0,22.0,22.0,22.0,100.0
2020-07-28 04:00:00+00:00,22.32,22.35,22.32,22.35,22.35,200.0
2020-07-31 04:00:00+00:00,22.94,22.94,21.87,21.87,21.87,700.0
2020-08-03 04:00:00+00:00,22.21,22.22,22.2,22.2,22.2,4604.0
2020-08-04 04:00:00+00:00,22.2,22.2,21.8,21.8,21.8,1082.0
2020-08-05 04:00:00+00:00,21.56,21.56,21.56,21.56,21.56,300.0
2020-08-06 04:00:00+00:00,22.11,22.11,22.11,22.11,22.11,6300.0
2020-08-07 04:00:00+00:00,22.12,22.31,22.12,22.31,22.31,400.0
2020-08-12 04:00:00+00:00,23.45,23.45,23.45,23.45,23.45,100.0
2020-08-18 04:00:00+00:00,23.72,23.72,23.3,23.3,23.3,596.0
2020-08-24 04:00:00+00:00,24.3,24.3,24.3,24.3,24.3,266.0
2020-08-25 04:00:00+00:00,24.37,24.37,24.37,24.37,24.37,132.0
2020-08-26 04:00:00+00:00,24.46,24.46,24.46,24.46,24.46,211.0
2020-08-27 04:00:00+00:00,24.39,24.39,24.39,24.39,24.39,132.0
2020-08-28 04:00:00+00:00,24.43,24.57,24.43,24.57,24.57,200.0
2020-09-09 04:00:00+00:00,24.1,24.1,24.1,24.1,24.1,100.0
2020-09-16 04:00:00+00:00,23.54,23.54,23.54,23.54,23.54,100.0
2020-09-17 04:00:00+00:00,23.14,23.14,23.14,23.14,23.14,130.0
2020-09-21 04:00:00+00:00,23.11,23.11,23.11,23.11,23.11,200.0
2020-09-22 04:00:00+00:00,23.41,23.41,23.41,23.41,23.41,100.0
2020-09-30 04:00:00+00:00,23.21,23.21,23.21,23.21,23.21,100.0
2020-10-19 04:00:00+00:00,24.94,24.94,24.94,24.94,24.94,100.0
2020-10-21 04:00:00+00:00,23.91,23.91,23.91,23.91,23.91,100.0
2020-10-26 04:00:00+00:00,31.97,31.97,31.83,31.83,31.83,2696.0
2020-10-27 04:00:00+00:00,31.97,31.97,31.96,31.96,31.96,600.0
2020-10-28 04:00:00+00:00,31.97,32.0,31.97,32.0,32.0,900.0
2020-10-29 04:00:00+00:00,32.11,32.11,32.11,32.11,32.11,500.0
2020-10-30 04:00:00+00:00,32.26,32.26,32.26,32.26,32.26,500.0
2020-11-03 05:00:00+00:00,32.28,32.28,32.28,32.28,32.28,700.0
2020-11-09 05:00:00+00:00,32.77,32.77,32.77,32.77,32.77,100.0
2020-11-13 05:00:00+00:00,32.29,32.32,32.29,32.29,32.29,700.0
2020-11-16 05:00:00+00:00,32.41,32.41,32.41,32.41,32.41,100.0
