Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,1.066,1.066,1.052,1.052,1.052,3090.0
2020-07-28 04:00:00+00:00,1.052,1.057,1.038,1.047,1.047,24141.0
2020-07-29 04:00:00+00:00,1.047,1.071,1.038,1.066,1.066,4480.0
2020-07-30 04:00:00+00:00,1.138,1.138,1.138,1.138,1.138,100.0
2020-07-31 04:00:00+00:00,1.066,1.119,1.066,1.119,1.119,2783.0
2020-08-03 04:00:00+00:00,1.119,1.133,1.119,1.133,1.133,236.0
2020-08-04 04:00:00+00:00,1.152,1.152,1.152,1.152,1.152,115.0
2020-08-05 04:00:00+00:00,1.31,1.31,1.258,1.258,1.258,794.0
2020-08-06 04:00:00+00:00,1.176,1.176,1.176,1.176,1.176,100.0
2020-08-07 04:00:00+00:00,1.234,1.234,1.234,1.234,1.234,267.0
2020-08-11 04:00:00+00:00,1.334,1.358,1.334,1.358,1.358,700.0
2020-08-12 04:00:00+00:00,1.401,1.43,1.387,1.387,1.387,710.0
2020-08-13 04:00:00+00:00,1.415,1.444,1.406,1.415,1.415,1011.0
2020-08-14 04:00:00+00:00,1.415,1.444,1.415,1.444,1.444,3500.0
2020-08-17 04:00:00+00:00,1.511,1.511,1.501,1.501,1.501,200.0
2020-08-18 04:00:00+00:00,1.693,1.693,1.549,1.559,1.559,400.0
2020-08-19 04:00:00+00:00,1.597,1.607,1.482,1.521,1.521,2468.0
2020-08-20 04:00:00+00:00,1.415,1.415,1.391,1.415,1.415,1260.0
2020-08-21 04:00:00+00:00,1.32,1.32,1.272,1.272,1.272,373.0
2020-08-24 04:00:00+00:00,1.296,1.325,1.296,1.325,1.325,202.0
2020-08-25 04:00:00+00:00,1.372,1.372,1.372,1.372,1.372,100.0
2020-08-26 04:00:00+00:00,1.391,1.406,1.391,1.391,1.391,1200.0
2020-08-27 04:00:00+00:00,1.396,1.396,1.396,1.396,1.396,100.0
2020-08-28 04:00:00+00:00,1.449,1.449,1.434,1.434,1.434,400.0
2020-08-31 04:00:00+00:00,1.372,1.372,1.325,1.325,1.325,500.0
2020-09-01 04:00:00+00:00,1.31,1.31,1.31,1.31,1.31,200.0
2020-09-03 04:00:00+00:00,1.205,1.205,1.205,1.205,1.205,113.0
2020-09-04 04:00:00+00:00,1.195,1.2,1.195,1.2,1.2,1521.0
2020-09-08 04:00:00+00:00,1.167,1.167,1.143,1.143,1.143,1040.0
2020-09-09 04:00:00+00:00,1.186,1.186,1.186,1.186,1.186,161.0
2020-09-11 04:00:00+00:00,1.152,1.152,1.152,1.152,1.152,560.0
2020-09-14 04:00:00+00:00,1.162,1.162,1.152,1.162,1.162,1125.0
2020-09-16 04:00:00+00:00,1.215,1.234,1.215,1.234,1.234,200.0
2020-09-17 04:00:00+00:00,1.305,1.305,1.305,1.305,1.305,3118.0
2020-09-18 04:00:00+00:00,1.301,1.301,1.301,1.301,1.301,101.0
2020-09-21 04:00:00+00:00,1.21,1.21,1.191,1.191,1.191,700.0
2020-09-22 04:00:00+00:00,1.157,1.172,1.157,1.172,1.172,1000.0
2020-09-23 04:00:00+00:00,1.157,1.157,1.143,1.143,1.143,593.0
2020-09-24 04:00:00+00:00,1.124,1.124,1.124,1.124,1.124,194.0
2020-09-25 04:00:00+00:00,1.181,1.181,1.181,1.181,1.181,449.0
2020-09-28 04:00:00+00:00,1.2,1.219,1.2,1.219,1.219,610.0
2020-09-29 04:00:00+00:00,1.224,1.224,1.21,1.215,1.215,411.0
2020-09-30 04:00:00+00:00,1.238,1.248,1.238,1.248,1.248,612.0
2020-10-01 04:00:00+00:00,1.215,1.215,1.215,1.215,1.215,1208.0
2020-10-05 04:00:00+00:00,1.253,1.253,1.253,1.253,1.253,600.0
2020-10-07 04:00:00+00:00,1.353,1.358,1.353,1.353,1.353,534.0
2020-10-08 04:00:00+00:00,1.434,1.434,1.434,1.434,1.434,100.0
2020-10-09 04:00:00+00:00,1.434,1.434,1.401,1.401,1.401,1087.0
2020-10-12 04:00:00+00:00,1.387,1.401,1.368,1.368,1.368,1400.0
2020-10-13 04:00:00+00:00,1.329,1.329,1.267,1.277,1.277,1202.0
2020-10-14 04:00:00+00:00,1.291,1.305,1.291,1.305,1.305,500.0
2020-10-15 04:00:00+00:00,1.253,1.253,1.253,1.253,1.253,200.0
2020-10-16 04:00:00+00:00,1.291,1.291,1.291,1.291,1.291,100.0
2020-10-19 04:00:00+00:00,1.281,1.281,1.267,1.267,1.267,7400.0
2020-10-21 04:00:00+00:00,1.243,1.243,1.243,1.243,1.243,355.0
2020-10-26 04:00:00+00:00,1.415,1.415,1.325,1.344,1.344,2196.0
2020-10-27 04:00:00+00:00,1.281,1.344,1.281,1.344,1.344,500.0
2020-10-29 04:00:00+00:00,1.186,1.186,1.186,1.186,1.186,352.0
2020-10-30 04:00:00+00:00,1.219,1.229,1.219,1.229,1.229,200.0
2020-11-03 05:00:00+00:00,1.353,1.353,1.353,1.353,1.353,100.0
2020-11-06 05:00:00+00:00,1.301,1.305,1.262,1.305,1.305,1770.0
2020-11-09 05:00:00+00:00,1.348,1.401,1.348,1.387,1.387,2755.0
2020-11-10 05:00:00+00:00,1.434,1.588,1.425,1.458,1.458,10819.0
2020-11-11 05:00:00+00:00,1.434,1.449,1.434,1.449,1.449,722.0
2020-11-12 05:00:00+00:00,1.43,1.449,1.425,1.434,1.434,646.0
2020-11-13 05:00:00+00:00,1.382,1.439,1.382,1.439,1.439,1900.0
2020-11-16 05:00:00+00:00,1.444,1.473,1.415,1.42,1.42,972.0
2020-11-17 05:00:00+00:00,1.401,1.406,1.391,1.406,1.406,1645.0
2020-11-18 05:00:00+00:00,1.454,1.712,1.454,1.611,1.611,3496.0
2020-11-19 05:00:00+00:00,1.645,1.645,1.535,1.64,1.64,4224.0
2020-11-20 05:00:00+00:00,1.654,1.741,1.654,1.702,1.702,910.0
2020-11-23 05:00:00+00:00,1.812,1.855,1.803,1.822,1.822,1126.0
2020-11-24 05:00:00+00:00,1.884,1.884,1.822,1.822,1.822,675.0
2020-11-25 05:00:00+00:00,1.764,1.97,1.764,1.97,1.97,2400.0
2020-11-30 05:00:00+00:00,1.803,1.803,1.803,1.803,1.803,359.0
2020-12-01 05:00:00+00:00,1.817,1.817,1.736,1.803,1.803,1242.0
2020-12-02 05:00:00+00:00,1.865,1.903,1.86,1.884,1.884,3131.0
2020-12-03 05:00:00+00:00,1.908,1.908,1.908,1.908,1.908,388.0
2020-12-04 05:00:00+00:00,1.894,1.913,1.884,1.913,1.913,4856.0
2020-12-07 05:00:00+00:00,1.874,1.879,1.855,1.879,1.879,709.0
2020-12-08 05:00:00+00:00,1.894,1.903,1.894,1.898,1.898,1310.0
2020-12-09 05:00:00+00:00,1.917,1.917,1.855,1.884,1.884,2754.0
2020-12-10 05:00:00+00:00,1.927,2.08,1.927,2.08,2.08,1915.0
2020-12-11 05:00:00+00:00,2.066,2.066,2.066,2.066,2.066,200.0
2020-12-14 05:00:00+00:00,1.989,2.013,1.951,1.951,1.951,2256.0
2020-12-15 05:00:00+00:00,1.999,2.004,1.98,1.98,1.98,1739.0
2020-12-16 05:00:00+00:00,1.965,2.056,1.898,2.023,2.023,7661.0
2020-12-17 05:00:00+00:00,1.965,1.975,1.941,1.941,1.941,703.0
2020-12-18 05:00:00+00:00,1.898,1.898,1.86,1.86,1.86,300.0
2020-12-21 05:00:00+00:00,1.784,1.784,1.784,1.784,1.784,266.0
2020-12-23 05:00:00+00:00,1.827,1.827,1.784,1.784,1.784,430.0
2020-12-24 05:00:00+00:00,1.736,1.745,1.736,1.741,1.741,794.0
2020-12-28 05:00:00+00:00,1.707,1.712,1.669,1.669,1.669,400.0
2020-12-29 05:00:00+00:00,1.645,1.654,1.645,1.654,1.654,700.0
2020-12-30 05:00:00+00:00,1.674,1.674,1.659,1.659,1.659,1400.0
2021-01-04 05:00:00+00:00,1.702,1.922,1.702,1.86,1.86,1913.0
2021-01-05 05:00:00+00:00,1.903,1.999,1.798,1.798,1.798,2524.0
2021-01-06 05:00:00+00:00,1.745,1.851,1.745,1.817,1.817,1560.0
2021-01-07 05:00:00+00:00,1.937,1.956,1.937,1.956,1.956,351.0
2021-01-08 05:00:00+00:00,1.922,1.922,1.807,1.836,1.836,1403.0
2021-01-11 05:00:00+00:00,1.884,1.884,1.884,1.884,1.884,328.0
2021-01-12 05:00:00+00:00,1.913,1.913,1.913,1.913,1.913,282.0
2021-01-13 05:00:00+00:00,1.941,1.951,1.903,1.932,1.932,1200.0
2021-01-14 05:00:00+00:00,1.96,1.96,1.927,1.927,1.927,900.0
2021-01-15 05:00:00+00:00,1.817,1.865,1.817,1.865,1.865,1106.0
2021-01-19 05:00:00+00:00,1.865,1.865,1.769,1.788,1.788,426.0
2021-01-21 05:00:00+00:00,1.817,1.817,1.769,1.793,1.793,5864.0
2021-01-22 05:00:00+00:00,1.76,1.788,1.76,1.764,1.764,765.0
2021-01-25 05:00:00+00:00,1.793,1.793,1.721,1.788,1.788,2617.0
2021-01-26 05:00:00+00:00,1.798,1.798,1.731,1.741,1.741,1818.0
2021-01-27 05:00:00+00:00,1.769,1.779,1.721,1.721,1.721,700.0
2021-01-28 05:00:00+00:00,1.779,1.779,1.75,1.75,1.75,300.0
2021-01-29 05:00:00+00:00,1.779,1.779,1.741,1.741,1.741,800.0
2021-02-02 05:00:00+00:00,1.874,1.874,1.874,1.874,1.874,441.0
2021-02-03 05:00:00+00:00,1.884,1.922,1.884,1.922,1.922,1400.0
2021-02-04 05:00:00+00:00,1.965,1.975,1.96,1.96,1.96,1242.0
2021-02-05 05:00:00+00:00,1.97,1.97,1.946,1.946,1.946,2000.0
2021-02-08 05:00:00+00:00,2.047,2.267,2.047,2.243,2.243,2293.0
2021-02-09 05:00:00+00:00,2.319,2.969,2.319,2.616,2.616,10264.0
2021-02-10 05:00:00+00:00,2.726,2.726,2.51,2.616,2.616,2372.0
