Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,22.22,22.61,21.22,21.32,21.32,45462.0
2020-07-28 04:00:00+00:00,21.25,21.82,21.2,21.46,21.46,46332.0
2020-07-29 04:00:00+00:00,21.54,21.57,20.22,20.44,20.44,68229.0
2020-07-30 04:00:00+00:00,20.01,20.61,19.62,20.27,20.27,46905.0
2020-07-31 04:00:00+00:00,19.96,20.03,19.08,19.5,19.5,65141.0
2020-08-03 04:00:00+00:00,18.93,19.7,18.16,19.41,19.41,101497.0
2020-08-04 04:00:00+00:00,18.26,19.15,17.71,19.09,19.09,268588.0
2020-08-05 04:00:00+00:00,19.14,21.16,19.11,20.74,20.74,138383.0
2020-08-06 04:00:00+00:00,20.69,21.59,20.61,20.86,20.86,149146.0
2020-08-07 04:00:00+00:00,20.51,20.92,20.19,20.72,20.72,75328.0
2020-08-10 04:00:00+00:00,21.09,22.51,21.09,22.32,22.32,72661.0
2020-08-11 04:00:00+00:00,23.64,24.09,22.91,23.06,23.06,115143.0
2020-08-12 04:00:00+00:00,23.54,23.54,21.73,22.14,22.14,84843.0
2020-08-13 04:00:00+00:00,21.64,22.83,21.53,21.79,21.79,15298.0
2020-08-14 04:00:00+00:00,21.51,22.7,21.51,22.28,22.28,71498.0
2020-08-17 04:00:00+00:00,22.14,22.21,20.83,20.86,20.86,100708.0
2020-08-18 04:00:00+00:00,20.45,20.87,20.19,20.2,20.2,49764.0
2020-08-19 04:00:00+00:00,20.07,20.94,19.9,20.66,20.66,39913.0
2020-08-20 04:00:00+00:00,19.97,20.63,19.8,20.48,20.48,38868.0
2020-08-21 04:00:00+00:00,20.29,20.49,19.6,19.66,19.66,51035.0
2020-08-24 04:00:00+00:00,19.84,21.36,19.43,21.35,21.35,124213.0
2020-08-25 04:00:00+00:00,21.5,21.68,20.37,20.98,20.98,127483.0
2020-08-26 04:00:00+00:00,20.67,20.68,20.11,20.31,20.31,23270.0
2020-08-27 04:00:00+00:00,20.5,21.26,20.5,20.96,20.96,133063.0
2020-08-28 04:00:00+00:00,21.06,21.41,20.84,21.26,21.26,45149.0
