Date,Open,High,Low,Close,Adj Close,Volume
2024-10-17 04:00:00+00:00,30.06,30.06,30.06,30.06,30.06,232.0
2024-10-18 04:00:00+00:00,30.1,30.11,30.1,30.11,30.11,200.0
2024-10-21 04:00:00+00:00,30.11,30.11,30.11,30.11,30.11,0.0
2024-10-22 04:00:00+00:00,29.92,29.92,29.92,29.92,29.92,107.0
2024-10-23 04:00:00+00:00,29.92,29.92,29.92,29.92,29.92,0.0
2024-10-24 04:00:00+00:00,29.93,29.94,29.93,29.94,29.94,200.0
2024-10-25 04:00:00+00:00,29.94,29.94,29.94,29.94,29.94,0.0
2024-10-28 04:00:00+00:00,29.85,29.85,29.85,29.85,29.85,100.0
2024-10-29 04:00:00+00:00,29.85,29.85,29.85,29.85,29.85,0.0
2024-10-30 04:00:00+00:00,29.85,29.85,29.85,29.85,29.85,0.0
2024-10-31 04:00:00+00:00,29.85,29.85,29.85,29.85,29.85,0.0
2024-11-01 04:00:00+00:00,29.96,29.96,29.96,29.96,29.96,0.0
2024-11-04 05:00:00+00:00,29.96,29.96,29.96,29.96,29.96,0.0
2024-11-05 05:00:00+00:00,29.87,29.87,29.87,29.87,29.87,100.0
2024-11-06 05:00:00+00:00,29.56,29.65,29.56,29.64,29.64,12300.0
2024-11-07 05:00:00+00:00,29.73,29.76,29.73,29.76,29.76,470.0
2024-11-08 05:00:00+00:00,29.85,29.85,29.82,29.82,29.82,300.0
2024-11-11 05:00:00+00:00,29.76,29.76,29.76,29.76,29.76,300.0
2024-11-12 05:00:00+00:00,29.76,29.76,29.76,29.76,29.76,0.0
2024-11-13 05:00:00+00:00,29.72,29.73,29.6,29.6,29.6,2793.0
2024-11-14 05:00:00+00:00,29.67,29.67,28.38,28.38,28.38,310.0
2024-11-15 05:00:00+00:00,29.59,29.65,29.59,29.65,29.65,330.0
2024-11-18 05:00:00+00:00,29.66,29.66,29.66,29.66,29.66,100.0
2024-11-19 05:00:00+00:00,29.71,29.73,29.71,29.72,29.72,3935.0
2024-11-20 05:00:00+00:00,29.72,29.72,29.72,29.72,29.72,0.0
2024-11-21 05:00:00+00:00,29.71,29.74,29.63,29.63,29.63,2789.0
2024-11-22 05:00:00+00:00,29.69,29.69,29.69,29.69,29.69,100.0
2024-11-25 05:00:00+00:00,29.84,29.91,29.84,29.91,29.91,934.0
2024-11-26 05:00:00+00:00,29.86,29.86,29.86,29.86,29.86,2005.0
2024-11-27 05:00:00+00:00,30.0,30.0,29.99,30.0,30.0,301.0
2024-11-29 05:00:00+00:00,30.05,30.05,30.04,30.04,30.04,321.0
2024-12-02 05:00:00+00:00,30.15,30.15,30.15,30.15,30.15,0.0
2024-12-03 05:00:00+00:00,30.15,30.15,30.15,30.15,30.15,0.0
2024-12-04 05:00:00+00:00,30.15,30.15,30.15,30.15,30.15,0.0
