Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,44.93,45.31,44.89,45.26,45.26,3751.0
2020-07-28 04:00:00+00:00,45.07,45.19,44.82,44.82,44.82,3919.0
2020-07-29 04:00:00+00:00,45.1,45.49,45.1,45.37,45.37,2594.0
2020-07-30 04:00:00+00:00,45.11,45.54,44.77,45.48,45.48,96023.0
2020-07-31 04:00:00+00:00,45.89,46.07,45.38,46.07,46.07,81472.0
2020-08-03 04:00:00+00:00,46.6,46.72,46.47,46.61,46.61,25166.0
2020-08-04 04:00:00+00:00,46.53,46.7,46.52,46.7,46.7,4370.0
2020-08-05 04:00:00+00:00,46.99,47.06,46.97,46.97,46.97,1993.0
2020-08-06 04:00:00+00:00,47.09,47.5,47.03,47.5,47.5,6488.0
2020-08-07 04:00:00+00:00,47.4,47.56,46.94,47.23,47.23,5520.0
2020-08-10 04:00:00+00:00,47.32,47.32,46.8,47.14,47.14,3061.0
2020-08-11 04:00:00+00:00,47.07,47.33,46.62,46.62,46.62,94214.0
2020-08-12 04:00:00+00:00,47.16,47.6,47.16,47.56,47.56,5618.0
2020-08-13 04:00:00+00:00,47.59,47.85,47.53,47.6,47.6,5691.0
2020-08-14 04:00:00+00:00,47.51,47.6,47.38,47.41,47.41,5048.0
2020-08-17 04:00:00+00:00,47.81,47.88,47.79,47.83,47.83,2070.0
2020-08-18 04:00:00+00:00,47.86,48.15,47.75,48.12,48.12,6160.0
2020-08-19 04:00:00+00:00,48.07,48.31,47.91,47.94,47.94,7889.0
2020-08-20 04:00:00+00:00,47.74,48.41,47.74,48.36,48.36,28250.0
2020-08-21 04:00:00+00:00,48.37,48.66,48.35,48.6,48.6,11348.0
2020-08-24 04:00:00+00:00,49.11,49.2,48.73,48.96,48.96,30825.0
2020-08-25 04:00:00+00:00,48.99,49.33,48.98,49.32,49.32,5884.0
2020-08-26 04:00:00+00:00,49.6,50.24,49.6,50.23,50.23,6886.0
2020-08-27 04:00:00+00:00,50.35,50.47,49.94,50.23,50.23,10525.0
2020-08-28 04:00:00+00:00,50.38,50.53,50.31,50.48,50.48,10142.0
2020-08-31 04:00:00+00:00,50.53,50.78,50.53,50.6,50.6,10570.0
2020-09-01 04:00:00+00:00,50.65,51.13,50.65,51.12,51.12,7986.0
2020-09-02 04:00:00+00:00,51.63,51.98,51.18,51.92,51.92,18184.0
2020-09-03 04:00:00+00:00,51.32,51.32,49.18,49.59,49.59,29036.0
2020-09-04 04:00:00+00:00,49.48,49.68,47.46,48.95,48.95,25074.0
2020-09-08 04:00:00+00:00,47.64,48.25,47.24,47.25,47.25,35084.0
2020-09-09 04:00:00+00:00,48.17,48.88,48.01,48.59,48.59,25367.0
2020-09-10 04:00:00+00:00,48.89,49.03,47.41,47.67,47.67,12716.0
2020-09-11 04:00:00+00:00,47.76,47.95,46.96,47.5,47.5,17876.0
2020-09-14 04:00:00+00:00,48.04,48.37,47.96,48.13,48.13,10614.0
2020-09-15 04:00:00+00:00,48.57,48.74,48.4,48.52,48.52,3971.0
2020-09-16 04:00:00+00:00,48.68,48.68,48.04,48.04,48.04,5987.0
2020-09-17 04:00:00+00:00,47.32,47.65,46.99,47.46,47.46,10901.0
2020-09-18 04:00:00+00:00,47.64,47.64,46.38,46.83,46.83,48646.0
2020-09-21 04:00:00+00:00,45.92,46.45,45.64,46.45,46.45,10647.0
2020-09-22 04:00:00+00:00,46.83,47.44,46.62,47.38,47.38,10151.0
2020-09-23 04:00:00+00:00,47.31,47.39,46.03,46.09,46.09,21456.0
2020-09-24 04:00:00+00:00,45.79,46.79,45.79,46.31,46.31,43079.0
2020-09-25 04:00:00+00:00,46.3,47.21,46.12,47.21,47.21,9774.0
2020-09-28 04:00:00+00:00,47.71,48.02,47.71,47.96,47.96,4886.0
2020-09-29 04:00:00+00:00,47.99,48.08,47.75,47.87,47.87,6172.0
2020-09-30 04:00:00+00:00,48.35,48.64,47.92,48.23,48.23,14732.0
2020-10-01 04:00:00+00:00,48.74,48.74,48.36,48.59,48.59,28275.0
2020-10-02 04:00:00+00:00,47.64,48.29,47.64,47.84,47.84,29093.0
2020-10-05 04:00:00+00:00,48.14,48.72,48.14,48.72,48.72,18536.0
2020-10-06 04:00:00+00:00,48.6,48.9,47.82,47.94,47.94,13183.0
2020-10-07 04:00:00+00:00,48.4,48.85,48.4,48.79,48.79,19590.0
2020-10-08 04:00:00+00:00,48.96,49.07,48.93,49.03,49.03,1843.0
2020-10-09 04:00:00+00:00,49.38,49.68,49.36,49.64,49.64,7960.0
2020-10-12 04:00:00+00:00,50.31,51.05,50.24,50.83,50.83,4174.0
2020-10-13 04:00:00+00:00,50.83,50.98,50.46,50.69,50.69,15873.0
2020-10-14 04:00:00+00:00,50.73,50.88,50.16,50.31,50.31,8155.0
2020-10-15 04:00:00+00:00,49.53,50.16,49.53,50.05,50.05,27911.0
2020-10-16 04:00:00+00:00,50.26,50.58,49.98,49.98,49.98,76342.0
2020-10-19 04:00:00+00:00,50.2,50.31,49.0,49.08,49.08,32039.0
2020-10-20 04:00:00+00:00,49.3,49.82,49.13,49.37,49.37,37756.0
2020-10-21 04:00:00+00:00,49.43,49.71,49.2,49.3,49.3,11074.0
2020-10-22 04:00:00+00:00,49.36,49.41,48.8,49.23,49.23,10942.0
2020-10-23 04:00:00+00:00,49.32,49.46,49.07,49.46,49.46,9912.0
2020-10-26 04:00:00+00:00,49.02,49.26,48.06,48.58,48.58,11599.0
2020-10-27 04:00:00+00:00,48.71,48.87,48.56,48.75,48.75,10138.0
2020-10-28 04:00:00+00:00,47.79,47.84,46.86,46.86,46.86,37236.0
2020-10-29 04:00:00+00:00,47.19,48.0,46.88,47.71,47.71,35727.0
2020-10-30 04:00:00+00:00,47.29,47.43,46.24,46.76,46.76,47264.0
2020-11-02 05:00:00+00:00,47.26,47.46,46.61,46.98,46.98,48422.0
2020-11-03 05:00:00+00:00,47.43,48.12,47.34,47.88,47.88,28541.0
2020-11-04 05:00:00+00:00,49.03,50.01,48.85,49.52,49.52,29616.0
2020-11-05 05:00:00+00:00,50.56,50.89,50.43,50.68,50.68,11465.0
2020-11-06 05:00:00+00:00,50.56,50.89,50.07,50.79,50.79,22948.0
2020-11-09 05:00:00+00:00,51.91,52.04,50.55,50.55,50.55,20188.0
2020-11-10 05:00:00+00:00,50.04,50.21,49.53,49.89,49.89,21243.0
2020-11-11 05:00:00+00:00,50.3,50.73,50.26,50.63,50.63,32198.0
2020-11-12 05:00:00+00:00,50.63,50.76,50.04,50.19,50.19,22806.0
2020-11-13 05:00:00+00:00,50.61,50.8,50.41,50.8,50.8,2699.0
2020-11-16 05:00:00+00:00,50.97,51.22,50.82,51.13,51.13,13778.0
2020-11-17 05:00:00+00:00,50.92,51.15,50.74,50.97,50.97,6794.0
2020-11-18 05:00:00+00:00,50.92,51.01,50.4,50.4,50.4,7882.0
2020-11-19 05:00:00+00:00,50.27,50.7,50.27,50.7,50.7,1581.0
2020-11-20 05:00:00+00:00,50.56,50.61,50.29,50.29,50.29,6599.0
2020-11-23 05:00:00+00:00,50.54,50.66,49.95,50.31,50.31,76059.0
2020-11-24 05:00:00+00:00,50.53,50.98,50.41,50.93,50.93,5199.0
2020-11-25 05:00:00+00:00,51.07,51.1,50.86,51.02,51.02,5003.0
2020-11-27 05:00:00+00:00,51.34,51.38,51.16,51.18,51.18,2904.0
2020-11-30 05:00:00+00:00,51.23,51.29,50.71,51.29,51.29,10731.0
2020-12-01 05:00:00+00:00,51.65,52.11,51.58,51.88,51.88,48428.0
2020-12-02 05:00:00+00:00,51.68,51.87,51.44,51.81,51.81,20956.0
2020-12-03 05:00:00+00:00,51.92,52.02,51.64,51.74,51.74,31397.0
2020-12-04 05:00:00+00:00,51.83,52.05,51.8,52.04,52.04,10375.0
2020-12-07 05:00:00+00:00,52.19,52.21,51.94,52.11,52.11,21218.0
2020-12-08 05:00:00+00:00,52.04,52.3,51.86,52.23,52.23,38396.0
2020-12-09 05:00:00+00:00,52.26,52.27,51.37,51.57,51.57,12681.0
2020-12-10 05:00:00+00:00,51.29,51.68,51.17,51.61,51.61,13069.0
2020-12-11 05:00:00+00:00,51.36,51.54,51.06,51.5,51.5,11891.0
2020-12-14 05:00:00+00:00,52.02,52.11,51.52,51.52,51.52,14915.0
2020-12-15 05:00:00+00:00,51.95,52.18,51.75,52.18,52.18,8642.0
2020-12-16 05:00:00+00:00,52.21,52.56,52.21,52.47,52.47,8877.0
2020-12-17 05:00:00+00:00,52.75,52.82,52.58,52.74,52.74,8011.0
2020-12-18 05:00:00+00:00,52.71,52.71,52.26,52.62,52.62,35407.0
2020-12-21 05:00:00+00:00,52.04,52.52,51.58,52.47,52.47,19780.0
2020-12-22 05:00:00+00:00,52.56,52.68,52.35,52.61,52.61,6847.0
2020-12-23 05:00:00+00:00,52.68,52.71,52.45,52.45,52.45,12457.0
2020-12-24 05:00:00+00:00,52.68,52.72,52.46,52.62,52.62,2194.0
2020-12-28 05:00:00+00:00,53.03,53.35,52.93,53.28,53.28,4624.0
2020-12-29 05:00:00+00:00,53.51,53.56,53.12,53.21,53.21,4749.0
2020-12-30 05:00:00+00:00,53.37,53.37,53.1,53.12,53.12,4421.0
2020-12-31 05:00:00+00:00,53.11,53.32,52.96,53.32,53.32,4290.0
2021-01-04 05:00:00+00:00,53.46,53.46,51.92,52.47,52.47,17730.0
2021-01-05 05:00:00+00:00,52.56,52.89,52.45,52.86,52.86,10687.0
2021-01-06 05:00:00+00:00,52.12,52.98,52.12,52.36,52.36,16758.0
2021-01-07 05:00:00+00:00,52.78,53.6,52.78,53.52,53.52,30005.0
2021-01-08 05:00:00+00:00,53.86,54.07,53.44,54.06,54.06,7016.0
2021-01-11 05:00:00+00:00,53.46,53.78,53.31,53.35,53.35,5580.0
2021-01-12 05:00:00+00:00,53.41,53.48,52.83,53.18,53.18,8694.0
2021-01-13 05:00:00+00:00,53.22,53.55,53.19,53.46,53.46,9127.0
2021-01-14 05:00:00+00:00,53.5,53.52,52.9,52.94,52.94,9129.0
2021-01-15 05:00:00+00:00,53.01,53.05,52.56,52.67,52.67,10435.0
2021-01-19 05:00:00+00:00,53.11,53.33,52.88,53.3,53.3,5580.0
2021-01-20 05:00:00+00:00,53.8,54.61,53.8,54.55,54.55,1635.0
2021-01-21 05:00:00+00:00,54.72,54.9,54.61,54.84,54.84,7227.0
2021-01-22 05:00:00+00:00,54.65,54.97,54.65,54.88,54.88,5006.0
2021-01-25 05:00:00+00:00,55.32,55.37,54.27,55.22,55.22,7689.0
2021-01-26 05:00:00+00:00,55.4,55.42,55.27,55.29,55.29,5146.0
2021-01-27 05:00:00+00:00,54.92,54.92,53.43,53.85,53.85,12275.0
