Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,55.38,57.07,55.38,56.88,56.88,17286.0
2020-07-28 04:00:00+00:00,57.31,57.31,56.045,56.085,56.085,14102.0
2020-07-29 04:00:00+00:00,56.835,57.32,56.525,56.595,56.595,27300.0
2020-07-30 04:00:00+00:00,56.205,59.26,56.205,59.0,59.0,27248.0
2020-07-31 04:00:00+00:00,58.62,59.5,56.665,58.17,58.17,8161.0
2020-08-03 04:00:00+00:00,59.01,61.33,58.835,60.59,60.59,15852.0
2020-08-04 04:00:00+00:00,60.63,60.795,59.43,59.94,59.94,20122.0
2020-08-05 04:00:00+00:00,60.635,61.85,60.14,61.77,61.77,35976.0
2020-08-06 04:00:00+00:00,58.49,58.49,55.005,55.9,55.9,55798.0
2020-08-07 04:00:00+00:00,55.46,56.13,53.695,54.04,54.04,44283.0
2020-08-10 04:00:00+00:00,53.45,53.52,50.195,51.32,51.32,59780.0
2020-08-11 04:00:00+00:00,46.68,50.14,46.5,48.3,48.3,121804.0
2020-08-12 04:00:00+00:00,48.57,49.74,48.15,48.73,48.73,33795.0
2020-08-13 04:00:00+00:00,48.35,48.815,47.155,47.66,47.66,46327.0
2020-08-14 04:00:00+00:00,47.635,47.635,46.01,47.055,47.055,19073.0
2020-08-17 04:00:00+00:00,47.555,49.465,47.23,49.0,49.0,51347.0
2020-08-18 04:00:00+00:00,49.05,49.11,47.93,48.39,48.39,14036.0
2020-08-19 04:00:00+00:00,48.6,48.68,47.88,48.16,48.16,6334.0
2020-08-20 04:00:00+00:00,48.0,48.29,47.915,48.175,48.175,6321.0
2020-08-21 04:00:00+00:00,47.49,48.025,47.11,48.025,48.025,9154.0
2020-08-24 04:00:00+00:00,48.125,48.125,46.11,46.48,46.48,19166.0
2020-08-25 04:00:00+00:00,46.805,47.84,46.775,47.645,47.645,5756.0
2020-08-26 04:00:00+00:00,47.21,47.69,46.53,46.555,46.555,26498.0
2020-08-27 04:00:00+00:00,46.52,46.61,45.87,46.03,46.03,18437.0
2020-08-28 04:00:00+00:00,46.34,46.545,45.525,45.645,45.645,13652.0
2020-08-31 04:00:00+00:00,47.085,48.36,46.73,47.95,47.95,11804.0
2020-09-01 04:00:00+00:00,48.82,48.83,47.57,48.56,48.56,18169.0
2020-09-02 04:00:00+00:00,49.205,53.84,49.07,53.395,53.395,45877.0
2020-09-03 04:00:00+00:00,52.355,52.355,50.83,52.15,52.15,74634.0
2020-09-04 04:00:00+00:00,51.92,51.92,48.76,49.92,49.92,38620.0
2020-09-08 04:00:00+00:00,49.48,51.59,48.885,50.975,50.975,28660.0
2020-09-09 04:00:00+00:00,52.025,52.64,51.335,52.1,52.1,22348.0
2020-09-10 04:00:00+00:00,52.785,54.15,51.78,51.78,51.78,20200.0
2020-09-11 04:00:00+00:00,51.825,52.45,50.6,51.055,51.055,28521.0
2020-09-14 04:00:00+00:00,51.65,54.52,51.65,52.99,52.99,28006.0
2020-09-15 04:00:00+00:00,53.285,53.65,52.38,52.885,52.885,22576.0
2020-09-16 04:00:00+00:00,54.14,54.8,53.38,53.385,53.385,8368.0
2020-09-17 04:00:00+00:00,52.63,54.97,52.07,54.8,54.8,11087.0
2020-09-18 04:00:00+00:00,55.61,56.29,54.88,55.91,55.91,12417.0
2020-09-21 04:00:00+00:00,54.76,55.26,53.85,55.26,55.26,25709.0
2020-09-22 04:00:00+00:00,54.77,55.47,53.26,55.35,55.35,15382.0
2020-09-23 04:00:00+00:00,55.545,56.1,54.22,54.275,54.275,11105.0
2020-09-24 04:00:00+00:00,53.45,54.145,52.855,53.745,53.745,10775.0
2020-09-25 04:00:00+00:00,53.615,55.32,53.51,55.15,55.15,17964.0
2020-09-28 04:00:00+00:00,55.54,56.5,55.3,56.28,56.28,10181.0
2020-09-29 04:00:00+00:00,56.47,56.92,56.12,56.385,56.385,17437.0
2020-09-30 04:00:00+00:00,56.525,57.37,56.195,56.615,56.615,25308.0
2020-10-01 04:00:00+00:00,56.87,56.87,56.005,56.24,56.24,39388.0
2020-10-02 04:00:00+00:00,55.47,56.525,55.01,56.39,56.39,18975.0
2020-10-05 04:00:00+00:00,56.74,57.46,56.46,56.865,56.865,29494.0
2020-10-06 04:00:00+00:00,56.5,57.515,55.965,56.1,56.1,13475.0
2020-10-07 04:00:00+00:00,56.54,57.23,56.39,56.99,56.99,23356.0
2020-10-08 04:00:00+00:00,57.12,57.8,56.98,57.56,57.56,22363.0
2020-10-09 04:00:00+00:00,57.64,58.52,57.0,58.09,58.09,28176.0
2020-10-12 04:00:00+00:00,58.77,59.76,58.31,58.84,58.84,29693.0
2020-10-13 04:00:00+00:00,58.75,60.4,58.74,59.92,59.92,18667.0
2020-10-14 04:00:00+00:00,60.18,60.205,58.75,58.81,58.81,21070.0
2020-10-15 04:00:00+00:00,57.6,59.96,57.6,59.765,59.765,18893.0
2020-10-16 04:00:00+00:00,60.49,61.475,60.14,60.44,60.44,18261.0
2020-10-19 04:00:00+00:00,60.58,68.55,60.58,67.75,67.75,54424.0
2020-10-20 04:00:00+00:00,68.295,71.69,68.08,71.5,71.5,59670.0
2020-10-21 04:00:00+00:00,72.23,73.62,70.55,71.21,71.21,44324.0
