Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12 05:00:00+00:00,92.5,104.5,78.4,97.6,97.6,7234.0
2021-03-15 04:00:00+00:00,106.8,117.0,104.1,111.0,111.0,3462.0
2021-03-16 04:00:00+00:00,110.5,110.7,102.6,109.7,109.7,344.0
2021-03-17 04:00:00+00:00,106.9,108.0,105.4,108.0,108.0,67.0
2021-03-18 04:00:00+00:00,108.5,108.8,105.1,106.6,106.6,54.0
2021-03-19 04:00:00+00:00,105.0,108.25,105.0,108.25,108.25,194.0
2021-03-22 04:00:00+00:00,110.0,110.25,108.6,109.0,109.0,90.0
2021-03-23 04:00:00+00:00,104.0,104.0,102.45,102.5,102.5,170.0
2021-03-24 04:00:00+00:00,95.35,95.7,95.35,95.7,95.7,22.0
2021-03-25 04:00:00+00:00,92.0,92.0,90.6,90.6,90.6,20.0
2021-03-26 04:00:00+00:00,92.5,92.5,90.2,90.2,90.2,30.0
2021-03-29 04:00:00+00:00,96.3,98.2,96.3,98.0,98.0,273.0
2021-03-30 04:00:00+00:00,96.7,97.3,96.5,96.55,96.55,40.0
2021-03-31 04:00:00+00:00,95.15,95.15,94.75,94.75,94.75,190.0
2021-04-01 04:00:00+00:00,95.55,95.55,92.3,92.6,92.6,40.0
2021-04-07 04:00:00+00:00,97.15,97.15,94.5,94.5,94.5,83.0
2021-04-12 04:00:00+00:00,91.3,91.3,91.3,91.3,91.3,20.0
2021-04-20 04:00:00+00:00,81.8,82.0,81.8,82.0,82.0,20.0
2021-04-21 04:00:00+00:00,77.8,77.8,77.8,77.8,77.8,10.0
2021-04-23 04:00:00+00:00,76.8,76.8,76.8,76.8,76.8,12.0
2021-04-26 04:00:00+00:00,82.3,82.3,82.3,82.3,82.3,10.0
2021-04-28 04:00:00+00:00,85.0,85.0,85.0,85.0,85.0,10.0
2021-04-30 04:00:00+00:00,86.0,86.0,86.0,86.0,86.0,10.0
2021-05-03 04:00:00+00:00,86.4,86.4,82.9,83.2,83.2,35.0
2021-05-04 04:00:00+00:00,78.6,78.6,78.6,78.6,78.6,10.0
2021-05-06 04:00:00+00:00,78.4,78.4,78.4,78.4,78.4,20.0
2021-05-10 04:00:00+00:00,80.7,80.7,78.2,78.2,78.2,92.0
2021-05-11 04:00:00+00:00,74.3,76.7,73.0,74.3,74.3,120.0
2021-05-12 04:00:00+00:00,72.8,72.8,72.8,72.8,72.8,20.0
2021-05-13 04:00:00+00:00,73.75,73.75,73.7,73.7,73.7,22.0
2021-05-17 04:00:00+00:00,74.2,74.2,74.2,74.2,74.2,10.0
2021-05-26 04:00:00+00:00,66.8,67.15,66.8,67.15,67.15,22.0
2021-05-27 04:00:00+00:00,67.8,69.5,67.8,69.5,69.5,30.0
2021-06-03 04:00:00+00:00,63.6,65.1,63.6,65.0,65.0,80.0
2021-06-04 04:00:00+00:00,65.0,65.0,65.0,65.0,65.0,20.0
2021-06-07 04:00:00+00:00,67.7,70.6,67.7,70.5,70.5,132.0
2021-06-09 04:00:00+00:00,75.8,75.8,75.8,75.8,75.8,10.0
2021-06-10 04:00:00+00:00,77.1,77.1,77.1,77.1,77.1,10.0
2021-06-14 04:00:00+00:00,79.8,79.8,79.8,79.8,79.8,10.0
2021-06-15 04:00:00+00:00,77.65,77.65,77.65,77.65,77.65,10.0
2021-06-16 04:00:00+00:00,74.4,74.4,74.4,74.4,74.4,10.0
2021-06-17 04:00:00+00:00,72.0,72.0,72.0,72.0,72.0,20.0
2021-06-25 04:00:00+00:00,72.2,72.2,70.7,70.7,70.7,30.0
2021-06-28 04:00:00+00:00,71.7,72.0,71.7,72.0,72.0,20.0
2021-06-29 04:00:00+00:00,70.2,70.2,70.2,70.2,70.2,50.0
2021-07-08 04:00:00+00:00,70.1,71.4,70.1,71.4,71.4,67.0
2021-07-09 04:00:00+00:00,72.7,72.7,72.5,72.5,72.5,50.0
2021-07-12 04:00:00+00:00,71.8,72.3,71.6,72.3,72.3,86.0
2021-07-13 04:00:00+00:00,73.8,74.9,73.6,74.9,74.9,73.0
2021-07-14 04:00:00+00:00,74.3,74.3,74.0,74.0,74.0,30.0
2021-07-15 04:00:00+00:00,70.6,70.6,70.0,70.0,70.0,40.0
2021-07-16 04:00:00+00:00,69.4,69.4,69.3,69.3,69.3,60.0
