Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31 04:00:00+00:00,14.68,14.68,14.5,14.53,14.53,1400.0
2022-04-01 04:00:00+00:00,14.41,14.53,14.08,14.53,14.53,4045.0
2022-04-04 04:00:00+00:00,14.74,15.22,14.74,15.22,15.22,1350.0
2022-04-05 04:00:00+00:00,14.93,14.93,14.16,14.16,14.16,3884.0
2022-04-06 04:00:00+00:00,13.5,13.73,13.16,13.73,13.73,1975.0
2022-04-07 04:00:00+00:00,13.7,14.06,13.45,14.06,14.06,1572.0
2022-04-08 04:00:00+00:00,14.22,14.4,14.22,14.4,14.4,361.0
2022-04-11 04:00:00+00:00,13.8,13.83,13.37,13.37,13.37,1672.0
2022-04-12 04:00:00+00:00,13.57,13.85,13.22,13.33,13.33,1731.0
2022-04-13 04:00:00+00:00,13.18,13.94,13.16,13.94,13.94,2941.0
2022-04-14 04:00:00+00:00,14.23,14.33,13.85,13.85,13.85,4634.0
2022-04-18 04:00:00+00:00,13.79,14.02,13.69,14.01,14.01,1770.0
2022-04-19 04:00:00+00:00,14.29,14.73,14.29,14.63,14.63,621.0
2022-04-20 04:00:00+00:00,14.78,14.84,14.59,14.59,14.59,1605.0
2022-04-21 04:00:00+00:00,15.21,15.21,13.75,13.75,13.75,1700.0
2022-04-22 04:00:00+00:00,13.425,13.425,12.105,12.13,12.13,3030.0
2022-04-25 04:00:00+00:00,11.89,12.28,11.43,12.28,12.28,5611.0
2022-04-26 04:00:00+00:00,11.93,11.93,11.08,11.11,11.11,4156.0
2022-04-27 04:00:00+00:00,11.38,11.38,11.0,11.0,11.0,473.0
2022-04-28 04:00:00+00:00,11.37,11.89,11.37,11.89,11.89,2109.0
2022-04-29 04:00:00+00:00,11.39,11.55,10.5,10.5,10.5,3559.0
2022-05-02 04:00:00+00:00,10.48,10.73,10.01,10.73,10.73,7636.0
2022-05-03 04:00:00+00:00,11.0,11.1,11.0,11.1,11.1,216.0
2022-05-04 04:00:00+00:00,11.45,12.37,11.44,12.37,12.37,6057.0
2022-05-05 04:00:00+00:00,11.93,11.93,9.965,10.32,10.32,15002.0
2022-05-06 04:00:00+00:00,10.05,10.275,9.52,10.275,10.275,11387.0
2022-05-09 04:00:00+00:00,9.82,9.93,9.42,9.42,9.42,50593.0
2022-05-10 04:00:00+00:00,9.865,9.91,9.435,9.8,9.8,12519.0
2022-05-11 04:00:00+00:00,10.16,10.16,9.77,9.81,9.81,28473.0
2022-05-12 04:00:00+00:00,9.61,10.06,9.495,10.06,10.06,19477.0
2022-05-13 04:00:00+00:00,10.56,10.65,10.31,10.63,10.63,6726.0
2022-05-16 04:00:00+00:00,10.93,11.04,10.84,11.04,11.04,3360.0
2022-05-17 04:00:00+00:00,11.32,11.51,11.18,11.33,11.33,3455.0
2022-05-18 04:00:00+00:00,11.13,11.13,9.75,9.85,9.85,4038.0
2022-05-19 04:00:00+00:00,10.01,10.41,9.92,10.41,10.41,38477.0
2022-05-20 04:00:00+00:00,10.59,10.7,9.58,10.3,10.3,76643.0
2022-05-23 04:00:00+00:00,10.5,10.64,10.22,10.48,10.48,60781.0
2022-05-24 04:00:00+00:00,10.14,10.42,10.05,10.39,10.39,2755.0
2022-05-25 04:00:00+00:00,10.37,10.76,10.3,10.64,10.64,13643.0
2022-05-26 04:00:00+00:00,10.75,10.85,10.75,10.77,10.77,11845.0
2022-05-27 04:00:00+00:00,11.02,11.17,11.02,11.17,11.17,4673.0
2022-05-31 04:00:00+00:00,11.05,11.41,11.04,11.36,11.36,2438.0
2022-06-01 04:00:00+00:00,11.14,11.52,10.99,11.39,11.39,3100.0
2022-06-02 04:00:00+00:00,11.82,11.83,11.58,11.68,11.68,1899.0
2022-06-03 04:00:00+00:00,11.34,11.52,11.34,11.49,11.49,1532.0
2022-06-06 04:00:00+00:00,11.75,11.8,11.57,11.76,11.76,1741.0
2022-06-07 04:00:00+00:00,11.69,12.01,11.69,12.01,12.01,2669.0
