Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,36.0,37.87,35.6,37.87,37.87,7238.0
2020-07-28 04:00:00+00:00,37.31,40.44,37.31,40.4,40.4,3585.0
2020-07-29 04:00:00+00:00,41.04,42.57,41.04,42.5,42.5,18858.0
2020-07-30 04:00:00+00:00,41.85,43.69,41.31,42.72,42.72,6623.0
2020-07-31 04:00:00+00:00,42.63,43.66,41.62,42.58,42.58,11806.0
2020-08-03 04:00:00+00:00,41.34,43.31,41.34,43.165,43.165,5117.0
2020-08-04 04:00:00+00:00,42.645,43.31,42.13,43.15,43.15,3826.0
2020-08-05 04:00:00+00:00,43.385,46.0,43.385,45.17,45.17,3458.0
2020-08-06 04:00:00+00:00,46.0,46.16,44.68,44.73,44.73,3987.0
2020-08-07 04:00:00+00:00,45.02,45.67,44.0,45.55,45.55,9554.0
2020-08-10 04:00:00+00:00,45.05,46.0,45.05,45.22,45.22,2826.0
2020-08-11 04:00:00+00:00,44.5,45.525,44.28,44.37,44.37,8089.0
2020-08-12 04:00:00+00:00,44.58,45.76,41.63,41.97,41.97,5977.0
2020-08-13 04:00:00+00:00,43.02,43.815,42.405,43.06,43.06,7713.0
2020-08-14 04:00:00+00:00,40.74,41.07,38.99,40.975,40.975,8841.0
2020-08-17 04:00:00+00:00,42.16,43.375,42.0,42.75,42.75,11086.0
2020-08-18 04:00:00+00:00,42.91,44.86,42.91,44.86,44.86,14880.0
2020-08-19 04:00:00+00:00,44.32,45.24,44.32,44.555,44.555,7217.0
2020-08-20 04:00:00+00:00,43.5,44.99,43.125,44.23,44.23,4819.0
2020-08-21 04:00:00+00:00,43.0,44.175,42.755,43.92,43.92,4976.0
2020-08-24 04:00:00+00:00,43.5,44.875,43.5,44.875,44.875,6662.0
2020-08-25 04:00:00+00:00,44.95,48.3,44.775,44.88,44.88,19478.0
2020-08-26 04:00:00+00:00,44.96,45.185,44.18,44.93,44.93,6100.0
2020-08-27 04:00:00+00:00,44.01,44.205,40.88,43.45,43.45,10742.0
2020-08-28 04:00:00+00:00,44.225,44.225,43.75,43.75,43.75,2256.0
2020-08-31 04:00:00+00:00,43.68,45.07,43.59,44.54,44.54,4610.0
2020-09-01 04:00:00+00:00,43.97,44.89,43.59,44.875,44.875,2355.0
2020-09-02 04:00:00+00:00,44.19,44.43,40.66,41.54,41.54,3931.0
2020-09-03 04:00:00+00:00,41.06,41.325,39.9,41.325,41.325,8010.0
2020-09-04 04:00:00+00:00,39.965,41.785,39.74,41.635,41.635,5747.0
2020-09-08 04:00:00+00:00,41.08,44.9,41.08,43.51,43.51,6467.0
2020-09-09 04:00:00+00:00,44.23,45.065,43.72,43.87,43.87,13631.0
2020-09-10 04:00:00+00:00,43.43,45.37,36.855,38.49,38.49,33169.0
2020-09-11 04:00:00+00:00,39.1,41.86,38.36,39.135,39.135,13761.0
2020-09-14 04:00:00+00:00,40.17,44.69,40.17,43.55,43.55,21138.0
2020-09-15 04:00:00+00:00,44.22,44.765,43.125,43.485,43.485,10375.0
2020-09-16 04:00:00+00:00,43.93,47.795,43.575,47.27,47.27,48499.0
2020-09-17 04:00:00+00:00,45.59,47.97,45.0,46.485,46.485,15630.0
2020-09-18 04:00:00+00:00,47.555,49.22,47.53,48.93,48.93,27937.0
2020-09-21 04:00:00+00:00,48.57,49.69,47.76,48.41,48.41,31332.0
2020-09-22 04:00:00+00:00,49.39,53.035,48.45,51.845,51.845,69736.0
2020-09-23 04:00:00+00:00,51.3,51.3,47.895,48.12,48.12,13684.0
2020-09-24 04:00:00+00:00,47.0,48.43,44.54,45.0,45.0,9901.0
2020-09-25 04:00:00+00:00,45.37,45.815,45.155,45.155,45.155,7021.0
2020-09-28 04:00:00+00:00,44.54,45.0,43.295,44.62,44.62,3719.0
2020-09-29 04:00:00+00:00,44.265,47.4,44.265,46.525,46.525,12593.0
2020-09-30 04:00:00+00:00,46.98,48.83,46.79,47.59,47.59,11153.0
2020-10-01 04:00:00+00:00,48.11,49.37,47.63,48.42,48.42,13677.0
2020-10-02 04:00:00+00:00,48.34,50.12,47.86,48.43,48.43,7594.0
2020-10-05 04:00:00+00:00,49.56,51.15,49.14,49.84,49.84,12047.0
2020-10-06 04:00:00+00:00,50.93,52.97,50.93,52.35,52.35,10705.0
2020-10-07 04:00:00+00:00,46.26,52.98,46.03,52.15,52.15,39801.0
2020-10-08 04:00:00+00:00,52.43,55.77,50.9,51.93,51.93,208510.0
2020-10-09 04:00:00+00:00,53.0,57.79,53.0,56.92,56.92,61780.0
2020-10-12 04:00:00+00:00,58.205,61.24,56.33,58.13,58.13,63039.0
2020-10-13 04:00:00+00:00,57.16,60.0,57.16,59.155,59.155,10153.0
