Date,Open,High,Low,Close,Adj Close,Volume
2024-02-29 05:00:00+00:00,23.2,23.23,23.17,23.19,23.19,2277.0
2024-03-01 05:00:00+00:00,23.02,23.17,23.0,23.15,23.15,6405.0
2024-03-04 05:00:00+00:00,23.23,23.26,23.15,23.19,23.19,3263.0
2024-03-05 05:00:00+00:00,23.21,23.28,23.21,23.24,23.24,6219.0
2024-03-06 05:00:00+00:00,23.32,23.37,23.2,23.28,23.28,25258.0
2024-03-07 05:00:00+00:00,23.39,23.42,23.35,23.38,23.38,22123.0
2024-03-08 05:00:00+00:00,23.39,23.45,23.39,23.39,23.39,21975.0
2024-03-11 04:00:00+00:00,23.36,23.36,23.35,23.35,23.35,571.0
2024-03-12 04:00:00+00:00,23.31,23.38,23.31,23.37,23.37,10100.0
2024-03-13 04:00:00+00:00,23.42,23.42,23.38,23.38,23.38,3940.0
2024-03-14 04:00:00+00:00,23.38,23.38,23.26,23.28,23.28,2989.0
2024-03-15 04:00:00+00:00,23.27,23.27,23.26,23.26,23.26,600.0
2024-03-18 04:00:00+00:00,23.28,23.31,23.27,23.27,23.27,11725.0
2024-03-19 04:00:00+00:00,23.28,23.3,23.27,23.28,23.28,14214.0
2024-03-20 04:00:00+00:00,23.32,23.33,23.26,23.32,23.32,11661.0
2024-03-21 04:00:00+00:00,23.37,23.37,23.34,23.34,23.34,19976.0
2024-03-22 04:00:00+00:00,23.32,23.33,23.3,23.33,23.33,3498.0
2024-03-25 04:00:00+00:00,23.34,23.34,23.28,23.3,23.3,1881.0
2024-03-26 04:00:00+00:00,23.28,23.28,23.21,23.21,23.21,4370.0
2024-03-27 04:00:00+00:00,23.24,23.24,23.22,23.23,23.23,8597.0
2024-03-28 04:00:00+00:00,23.2,23.32,23.11,23.11,23.11,26236.0
2024-04-01 04:00:00+00:00,23.04,23.05,22.97,22.97,22.97,44863.0
2024-04-02 04:00:00+00:00,22.74,22.77,22.55,22.63,22.63,18416.0
2024-04-03 04:00:00+00:00,22.56,22.76,22.48,22.65,22.65,6479.0
2024-04-04 04:00:00+00:00,22.74,22.87,22.72,22.72,22.72,1581.0
2024-04-05 04:00:00+00:00,22.72,22.72,22.72,22.72,22.72,0.0
