Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,19.22,19.41,19.22,19.41,19.41,3772.0
2020-07-28 04:00:00+00:00,19.43,19.46,19.43,19.46,19.46,1100.0
2020-07-29 04:00:00+00:00,19.48,19.52,19.48,19.52,19.52,10212.0
2020-07-30 04:00:00+00:00,19.54,19.55,19.54,19.55,19.55,4300.0
2020-07-31 04:00:00+00:00,19.59,19.63,19.58,19.58,19.58,1332.0
2020-08-03 04:00:00+00:00,19.64,19.64,19.58,19.58,19.58,1423.0
2020-08-04 04:00:00+00:00,19.6,19.66,19.6,19.66,19.66,500.0
2020-08-05 04:00:00+00:00,19.62,19.62,19.57,19.57,19.57,354.0
2020-08-06 04:00:00+00:00,19.5,19.59,19.5,19.59,19.59,6795.0
2020-08-07 04:00:00+00:00,19.52,19.54,19.5,19.53,19.53,1088.0
2020-08-11 04:00:00+00:00,19.52,19.52,19.52,19.52,19.52,165.0
2020-08-12 04:00:00+00:00,19.56,19.63,19.56,19.63,19.63,800.0
2020-08-13 04:00:00+00:00,19.67,19.67,19.66,19.66,19.66,1912.0
2020-08-14 04:00:00+00:00,19.65,19.66,19.62,19.62,19.62,1607.0
2020-08-18 04:00:00+00:00,19.7,19.79,19.68,19.79,19.79,1972.0
2020-08-19 04:00:00+00:00,19.76,19.85,19.76,19.85,19.85,1137.0
2020-08-20 04:00:00+00:00,19.87,19.88,19.83,19.88,19.88,800.0
2020-08-21 04:00:00+00:00,19.88,19.89,19.88,19.89,19.89,300.0
2020-08-24 04:00:00+00:00,19.9,19.91,19.87,19.88,19.88,5759.0
2020-08-25 04:00:00+00:00,19.89,19.89,19.89,19.89,19.89,1100.0
2020-08-26 04:00:00+00:00,19.91,19.93,19.89,19.89,19.89,18192.0
2020-08-27 04:00:00+00:00,19.93,19.95,19.93,19.93,19.93,4766.0
2020-08-28 04:00:00+00:00,19.95,19.95,19.9,19.9,19.9,41416.0
2020-08-31 04:00:00+00:00,19.9,19.91,19.89,19.91,19.91,1540.0
