Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31 04:00:00+00:00,1.89,1.89,1.89,1.89,1.89,100.0
2020-08-11 04:00:00+00:00,2.049,2.087,2.049,2.065,2.065,882.0
2020-08-12 04:00:00+00:00,2.065,2.065,2.065,2.065,2.065,100.0
2020-08-20 04:00:00+00:00,1.984,1.984,1.984,1.984,1.984,100.0
2020-08-24 04:00:00+00:00,1.892,1.892,1.892,1.892,1.892,100.0
2020-08-27 04:00:00+00:00,1.884,1.884,1.884,1.884,1.884,123.0
2020-09-08 04:00:00+00:00,1.822,1.822,1.815,1.822,1.822,300.0
2020-09-09 04:00:00+00:00,1.845,1.845,1.845,1.845,1.845,100.0
2020-09-18 04:00:00+00:00,1.822,1.822,1.822,1.822,1.822,100.0
2020-10-05 04:00:00+00:00,1.749,1.749,1.703,1.726,1.726,500.0
2020-10-07 04:00:00+00:00,1.822,1.822,1.822,1.822,1.822,100.0
2020-10-20 04:00:00+00:00,1.93,2.038,1.838,1.838,1.838,1043.0
2020-10-22 04:00:00+00:00,1.838,1.892,1.838,1.892,1.892,200.0
2020-10-23 04:00:00+00:00,2.022,2.022,1.968,1.968,1.968,499.0
2020-10-26 04:00:00+00:00,1.83,1.83,1.815,1.815,1.815,200.0
2020-11-06 05:00:00+00:00,1.999,1.999,1.991,1.991,1.991,200.0
2020-11-19 05:00:00+00:00,2.201,2.209,2.201,2.209,2.209,200.0
2020-11-25 05:00:00+00:00,2.228,2.228,2.228,2.228,2.228,100.0
2020-12-10 05:00:00+00:00,2.38,2.38,2.38,2.38,2.38,200.0
2020-12-16 05:00:00+00:00,2.341,2.341,2.341,2.341,2.341,100.0
2020-12-21 05:00:00+00:00,2.333,2.333,2.333,2.333,2.333,100.0
2020-12-23 05:00:00+00:00,2.357,2.404,2.357,2.372,2.372,500.0
2020-12-29 05:00:00+00:00,2.497,2.497,2.497,2.497,2.497,200.0
2021-01-08 05:00:00+00:00,2.583,2.583,2.552,2.552,2.552,406.0
2021-01-11 05:00:00+00:00,2.544,2.552,2.544,2.544,2.544,493.0
2021-01-15 05:00:00+00:00,2.466,2.466,2.435,2.466,2.466,500.0
2021-01-21 05:00:00+00:00,2.49,2.49,2.49,2.49,2.49,100.0
2021-01-22 05:00:00+00:00,2.478,2.478,2.478,2.478,2.478,100.0
2021-01-25 05:00:00+00:00,2.552,2.763,2.552,2.763,2.763,537.0
2021-01-26 05:00:00+00:00,2.841,2.841,2.841,2.841,2.841,325.0
2021-01-28 05:00:00+00:00,2.778,2.778,2.778,2.778,2.778,211.0
2021-02-01 05:00:00+00:00,2.973,3.219,2.973,3.114,3.114,825.0
2021-02-02 05:00:00+00:00,2.989,2.989,2.973,2.973,2.973,400.0
2021-02-04 05:00:00+00:00,3.356,3.567,3.356,3.481,3.481,1000.0
2021-02-08 05:00:00+00:00,3.161,3.161,3.137,3.137,3.137,300.0
2021-02-09 05:00:00+00:00,3.551,3.551,3.543,3.543,3.543,350.0
2021-02-10 05:00:00+00:00,3.254,3.293,3.254,3.293,3.293,200.0
2021-02-11 05:00:00+00:00,3.339,3.74,3.339,3.48,3.48,1638.0
2021-02-12 05:00:00+00:00,3.48,3.48,3.347,3.347,3.347,500.0
2021-02-16 05:00:00+00:00,3.201,3.26,3.201,3.26,3.26,831.0
2021-02-17 05:00:00+00:00,3.181,3.205,3.173,3.205,3.205,9301.0
2021-02-18 05:00:00+00:00,3.291,3.894,3.276,3.748,3.748,3030.0
2021-02-19 05:00:00+00:00,3.709,3.709,3.654,3.654,3.654,210.0
2021-02-22 05:00:00+00:00,3.551,4.11,3.551,3.984,3.984,2878.0
2021-02-23 05:00:00+00:00,3.685,3.85,3.512,3.654,3.654,6125.0
2021-02-24 05:00:00+00:00,3.961,4.189,3.929,4.024,4.024,1765.0
2021-02-25 05:00:00+00:00,3.973,3.973,3.599,3.599,3.599,958.0
2021-02-26 05:00:00+00:00,3.654,3.74,3.654,3.732,3.732,600.0
2021-03-01 05:00:00+00:00,3.89,4.0,3.866,3.969,3.969,1708.0
2021-03-02 05:00:00+00:00,3.953,3.992,3.902,3.902,3.902,1800.0
2021-03-03 05:00:00+00:00,3.791,3.791,3.76,3.78,3.78,300.0
2021-03-04 05:00:00+00:00,3.654,3.894,3.476,3.5,3.5,1507.0
2021-03-05 05:00:00+00:00,3.425,3.543,3.417,3.543,3.543,700.0
2021-03-08 05:00:00+00:00,3.591,3.654,3.591,3.599,3.599,494.0
2021-03-09 05:00:00+00:00,3.701,3.701,3.63,3.63,3.63,750.0
2021-03-10 05:00:00+00:00,3.551,3.551,3.473,3.473,3.473,204.0
2021-03-11 05:00:00+00:00,3.461,3.512,3.461,3.512,3.512,2344.0
2021-03-12 05:00:00+00:00,3.488,3.488,3.441,3.473,3.473,470.0
2021-03-16 04:00:00+00:00,3.567,3.567,3.402,3.402,3.402,1000.0
2021-03-17 04:00:00+00:00,3.41,3.41,3.41,3.41,3.41,101.0
2021-03-18 04:00:00+00:00,3.433,3.433,3.433,3.433,3.433,224.0
2021-03-19 04:00:00+00:00,3.331,3.417,3.331,3.417,3.417,300.0
2021-03-22 04:00:00+00:00,3.394,3.394,3.394,3.394,3.394,375.0
2021-03-24 04:00:00+00:00,3.354,3.354,3.228,3.228,3.228,200.0
2021-03-26 04:00:00+00:00,3.173,3.173,3.173,3.173,3.173,107.0
2021-03-29 04:00:00+00:00,3.268,3.268,3.228,3.228,3.228,200.0
2021-03-30 04:00:00+00:00,3.173,3.173,3.173,3.173,3.173,100.0
2021-03-31 04:00:00+00:00,3.291,3.291,3.276,3.276,3.276,458.0
2021-04-01 04:00:00+00:00,3.417,3.536,3.417,3.536,3.536,500.0
2021-04-07 04:00:00+00:00,3.473,3.693,3.473,3.583,3.583,600.0
2021-04-08 04:00:00+00:00,3.528,3.575,3.528,3.575,3.575,200.0
2021-04-09 04:00:00+00:00,3.457,3.504,3.457,3.504,3.504,200.0
2021-04-12 04:00:00+00:00,3.528,3.599,3.528,3.587,3.587,800.0
2021-04-16 04:00:00+00:00,3.488,3.543,3.488,3.488,3.488,523.0
2021-04-19 04:00:00+00:00,3.41,3.41,3.347,3.406,3.406,300.0
2021-04-21 04:00:00+00:00,3.252,3.339,3.252,3.339,3.339,200.0
2021-04-22 04:00:00+00:00,3.323,3.323,3.323,3.323,3.323,100.0
2021-04-26 04:00:00+00:00,3.362,3.362,3.362,3.362,3.362,100.0
2021-04-28 04:00:00+00:00,3.299,3.299,3.299,3.299,3.299,100.0
2021-05-03 04:00:00+00:00,3.284,3.284,3.284,3.284,3.284,100.0
2021-05-04 04:00:00+00:00,3.378,3.626,3.307,3.504,3.504,3500.0
2021-05-05 04:00:00+00:00,3.417,3.417,3.417,3.417,3.417,400.0
2021-05-06 04:00:00+00:00,3.512,3.992,3.512,3.638,3.638,3073.0
2021-05-07 04:00:00+00:00,3.504,3.504,3.504,3.504,3.504,102.0
2021-05-10 04:00:00+00:00,3.567,3.567,3.567,3.567,3.567,300.0
2021-05-11 04:00:00+00:00,3.465,3.465,3.465,3.465,3.465,100.0
2021-05-12 04:00:00+00:00,3.433,3.433,3.417,3.417,3.417,300.0
2021-05-13 04:00:00+00:00,3.567,3.575,3.563,3.563,3.563,600.0
2021-05-14 04:00:00+00:00,3.71,3.809,3.559,3.631,3.631,1300.0
2021-05-17 04:00:00+00:00,3.631,3.631,3.631,3.631,3.631,300.0
2021-05-18 04:00:00+00:00,3.615,3.615,3.615,3.615,3.615,100.0
2021-05-19 04:00:00+00:00,3.686,4.401,3.686,4.163,4.163,6785.0
2021-05-20 04:00:00+00:00,4.433,4.719,4.433,4.592,4.592,1403.0
2021-05-21 04:00:00+00:00,4.624,4.624,4.441,4.493,4.493,500.0
2021-05-25 04:00:00+00:00,4.695,4.842,4.457,4.457,4.457,1530.0
2021-05-26 04:00:00+00:00,4.497,4.497,4.497,4.497,4.497,100.0
2021-05-27 04:00:00+00:00,4.632,4.679,4.509,4.509,4.509,501.0
2021-05-28 04:00:00+00:00,4.608,4.83,4.544,4.663,4.663,2002.0
2021-06-01 04:00:00+00:00,4.671,4.842,4.671,4.842,4.842,201.0
2021-06-02 04:00:00+00:00,4.87,4.91,4.854,4.862,4.862,700.0
2021-06-03 04:00:00+00:00,4.695,4.862,4.671,4.862,4.862,1980.0
2021-06-04 04:00:00+00:00,4.894,5.156,4.743,4.798,4.798,971.0
2021-06-07 04:00:00+00:00,4.695,4.969,4.695,4.965,4.965,6810.0
2021-06-08 04:00:00+00:00,4.791,4.878,4.791,4.878,4.878,2011.0
2021-06-09 04:00:00+00:00,4.862,4.862,4.691,4.691,4.691,580.0
2021-06-10 04:00:00+00:00,4.711,4.894,4.695,4.862,4.862,2017.0
2021-06-11 04:00:00+00:00,4.802,4.826,4.767,4.767,4.767,1002.0
2021-06-14 04:00:00+00:00,4.735,4.751,4.735,4.751,4.751,301.0
2021-06-15 04:00:00+00:00,4.552,4.552,4.544,4.544,4.544,200.0
2021-06-16 04:00:00+00:00,4.433,4.489,4.433,4.489,4.489,586.0
2021-06-17 04:00:00+00:00,4.385,4.385,4.294,4.294,4.294,1331.0
2021-06-18 04:00:00+00:00,4.306,4.306,4.044,4.044,4.044,715.0
2021-06-21 04:00:00+00:00,3.948,3.948,3.948,3.948,3.948,155.0
2021-06-22 04:00:00+00:00,3.905,3.96,3.905,3.96,3.96,793.0
2021-06-23 04:00:00+00:00,4.02,4.02,4.004,4.004,4.004,600.0
2021-06-24 04:00:00+00:00,4.099,4.195,4.099,4.195,4.195,300.0
2021-06-25 04:00:00+00:00,4.219,4.219,4.183,4.183,4.183,250.0
2021-06-29 04:00:00+00:00,4.099,4.099,4.004,4.004,4.004,500.0
2021-07-01 04:00:00+00:00,3.976,3.996,3.976,3.996,3.996,500.0
2021-07-06 04:00:00+00:00,3.813,3.813,3.813,3.813,3.813,100.0
2021-07-07 04:00:00+00:00,3.778,3.778,3.778,3.778,3.778,404.0
2021-07-08 04:00:00+00:00,3.75,3.925,3.75,3.925,3.925,674.0
2021-07-12 04:00:00+00:00,3.964,3.964,3.964,3.964,3.964,100.0
2021-07-13 04:00:00+00:00,3.98,3.98,3.909,3.909,3.909,201.0
2021-07-14 04:00:00+00:00,4.099,4.099,4.099,4.099,4.099,350.0
2021-07-16 04:00:00+00:00,3.67,3.67,3.591,3.591,3.591,305.0
2021-07-19 04:00:00+00:00,3.583,3.583,3.583,3.583,3.583,155.0
2021-07-21 04:00:00+00:00,3.758,3.758,3.71,3.71,3.71,200.0
2021-07-22 04:00:00+00:00,3.797,3.797,3.797,3.797,3.797,100.0
2021-07-23 04:00:00+00:00,3.837,3.837,3.702,3.702,3.702,200.0
2021-07-29 04:00:00+00:00,3.71,3.71,3.71,3.71,3.71,100.0
2021-08-02 04:00:00+00:00,3.631,3.631,3.631,3.631,3.631,100.0
2021-08-04 04:00:00+00:00,3.583,3.662,3.583,3.662,3.662,300.0
2021-08-05 04:00:00+00:00,3.797,3.797,3.797,3.797,3.797,100.0
2021-08-09 04:00:00+00:00,3.837,3.837,3.829,3.829,3.829,200.0
2021-08-10 04:00:00+00:00,3.758,3.758,3.758,3.758,3.758,100.0
2021-08-11 04:00:00+00:00,3.758,3.758,3.654,3.67,3.67,1100.0
2021-08-16 04:00:00+00:00,3.454,3.454,3.454,3.454,3.454,100.0
2021-08-17 04:00:00+00:00,3.414,3.414,3.39,3.39,3.39,200.0
2021-08-23 04:00:00+00:00,3.454,3.454,3.454,3.454,3.454,100.0
2021-08-24 04:00:00+00:00,3.51,3.51,3.47,3.47,3.47,400.0
2021-08-27 04:00:00+00:00,3.49,3.534,3.49,3.518,3.518,1021.0
2021-08-30 04:00:00+00:00,3.614,3.614,3.614,3.614,3.614,323.0
2021-08-31 04:00:00+00:00,3.622,3.622,3.606,3.606,3.606,371.0
2021-09-01 04:00:00+00:00,3.47,3.558,3.47,3.558,3.558,600.0
2021-09-03 04:00:00+00:00,3.55,3.55,3.55,3.55,3.55,100.0
2021-09-07 04:00:00+00:00,3.574,3.574,3.574,3.574,3.574,228.0
2021-09-08 04:00:00+00:00,3.598,3.598,3.462,3.47,3.47,300.0
2021-09-09 04:00:00+00:00,3.386,3.386,3.386,3.386,3.386,100.0
2021-09-13 04:00:00+00:00,3.334,3.334,3.334,3.334,3.334,100.0
2021-09-14 04:00:00+00:00,3.27,3.27,3.262,3.262,3.262,200.0
2021-09-15 04:00:00+00:00,3.258,3.29,3.258,3.29,3.29,200.0
2021-09-16 04:00:00+00:00,3.302,3.302,3.238,3.238,3.238,202.0
2021-09-17 04:00:00+00:00,3.23,3.23,3.23,3.23,3.23,206.0
2021-09-20 04:00:00+00:00,3.133,3.138,3.129,3.129,3.129,3511.0
2021-09-23 04:00:00+00:00,3.19,3.19,3.15,3.15,3.15,236.0
2021-09-24 04:00:00+00:00,3.294,3.294,3.294,3.294,3.294,240.0
2021-09-29 04:00:00+00:00,2.989,2.997,2.989,2.997,2.997,271.0
2021-10-04 04:00:00+00:00,3.142,3.142,3.142,3.142,3.142,100.0
2021-10-07 04:00:00+00:00,3.182,3.182,3.133,3.133,3.133,800.0
2021-10-11 04:00:00+00:00,3.214,3.222,3.214,3.222,3.222,255.0
2021-10-13 04:00:00+00:00,3.278,3.278,3.278,3.278,3.278,103.0
2021-10-18 04:00:00+00:00,3.222,3.222,3.222,3.222,3.222,501.0
2021-10-20 04:00:00+00:00,3.222,3.39,3.222,3.39,3.39,200.0
2021-10-22 04:00:00+00:00,3.302,3.302,3.302,3.302,3.302,100.0
2021-10-25 04:00:00+00:00,3.302,3.318,3.302,3.318,3.318,200.0
2021-10-26 04:00:00+00:00,3.374,3.374,3.374,3.374,3.374,100.0
2021-11-02 04:00:00+00:00,3.47,3.518,3.47,3.518,3.518,317.0
2021-11-03 04:00:00+00:00,3.751,3.751,3.751,3.751,3.751,100.0
2021-11-04 04:00:00+00:00,3.835,3.919,3.791,3.919,3.919,1298.0
2021-11-05 04:00:00+00:00,3.887,3.887,3.887,3.887,3.887,100.0
2021-11-08 05:00:00+00:00,3.783,3.783,3.526,3.526,3.526,1330.0
