Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29 04:00:00+00:00,19.28,19.42,19.28,19.33,19.33,5550.0
2021-03-30 04:00:00+00:00,19.34,19.37,19.34,19.35,19.35,7463.0
2021-03-31 04:00:00+00:00,19.34,19.6,19.25,19.39,19.39,20444.0
2021-04-01 04:00:00+00:00,19.44,19.52,19.44,19.52,19.52,681.0
2021-04-05 04:00:00+00:00,19.49,19.52,19.49,19.52,19.52,894.0
2021-04-06 04:00:00+00:00,19.57,19.61,19.53,19.61,19.61,1533.0
2021-04-07 04:00:00+00:00,19.58,19.64,19.58,19.62,19.62,5208.0
2021-04-08 04:00:00+00:00,19.62,19.69,19.61,19.69,19.69,567.0
2021-04-09 04:00:00+00:00,19.73,20.07,19.73,20.03,20.03,1804.0
2021-04-12 04:00:00+00:00,19.88,19.94,19.79,19.94,19.94,729.0
2021-04-13 04:00:00+00:00,19.86,19.86,19.86,19.86,19.86,228.0
2021-04-14 04:00:00+00:00,20.0,20.02,20.0,20.0,20.0,1600.0
2021-04-15 04:00:00+00:00,19.89,19.89,19.87,19.88,19.88,1065.0
2021-04-16 04:00:00+00:00,19.96,19.96,19.86,19.86,19.86,616.0
2021-04-19 04:00:00+00:00,19.88,19.88,19.77,19.88,19.88,2863.0
2021-04-20 04:00:00+00:00,19.81,19.86,19.81,19.86,19.86,593.0
2021-04-21 04:00:00+00:00,19.77,19.85,19.77,19.85,19.85,5119.0
2021-04-22 04:00:00+00:00,19.89,19.96,19.86,19.96,19.96,1164.0
2021-04-23 04:00:00+00:00,19.96,19.96,19.96,19.96,19.96,459.0
2021-04-26 04:00:00+00:00,19.99,19.99,19.99,19.99,19.99,510.0
2021-04-27 04:00:00+00:00,19.94,19.95,19.85,19.87,19.87,4014.0
2021-04-28 04:00:00+00:00,19.79,19.79,19.79,19.79,19.79,200.0
2021-04-29 04:00:00+00:00,19.88,19.88,19.83,19.87,19.87,1005.0
2021-04-30 04:00:00+00:00,19.97,19.97,19.87,19.87,19.87,2206.0
2021-05-03 04:00:00+00:00,19.84,19.94,19.84,19.9,19.9,800.0
2021-05-04 04:00:00+00:00,19.85,19.93,19.83,19.88,19.88,3557.0
2021-05-05 04:00:00+00:00,19.84,19.99,19.84,19.99,19.99,1314.0
2021-05-06 04:00:00+00:00,19.93,19.93,19.84,19.86,19.86,1203.0
2021-05-07 04:00:00+00:00,19.89,19.89,19.85,19.88,19.88,2476.0
2021-05-10 04:00:00+00:00,19.86,19.93,19.78,19.93,19.93,1200.0
2021-05-11 04:00:00+00:00,19.74,19.87,19.71,19.83,19.83,2614.0
2021-05-12 04:00:00+00:00,19.74,19.78,19.6,19.6,19.6,878.0
2021-05-13 04:00:00+00:00,19.67,19.7,19.67,19.7,19.7,883.0
2021-05-14 04:00:00+00:00,19.81,19.82,19.81,19.82,19.82,600.0
2021-05-17 04:00:00+00:00,19.82,20.0,19.82,20.0,20.0,551.0
2021-05-18 04:00:00+00:00,19.96,19.96,19.93,19.93,19.93,1000.0
2021-05-19 04:00:00+00:00,20.0,20.06,19.98,19.99,19.99,1148.0
2021-05-20 04:00:00+00:00,19.9,20.02,19.89,20.02,20.02,1489.0
2021-05-21 04:00:00+00:00,20.06,20.06,20.06,20.06,20.06,300.0
2021-05-24 04:00:00+00:00,20.13,20.13,20.08,20.08,20.08,400.0
2021-05-25 04:00:00+00:00,20.12,20.27,20.12,20.27,20.27,978.0
2021-05-26 04:00:00+00:00,20.19,20.19,20.19,20.19,20.19,100.0
2021-05-27 04:00:00+00:00,20.19,20.31,20.19,20.28,20.28,400.0
2021-05-28 04:00:00+00:00,20.47,20.49,20.47,20.48,20.48,410.0
