Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,10.14,10.55,10.14,10.47,10.47,17608.0
2020-07-28 04:00:00+00:00,10.58,10.65,10.42,10.43,10.43,51038.0
2020-07-29 04:00:00+00:00,10.54,10.8,10.54,10.72,10.72,31913.0
2020-07-30 04:00:00+00:00,10.56,10.81,10.53,10.7,10.7,29601.0
2020-07-31 04:00:00+00:00,10.6,10.71,10.34,10.5,10.5,17380.0
2020-08-03 04:00:00+00:00,10.52,10.71,10.51,10.65,10.65,35611.0
2020-08-04 04:00:00+00:00,10.71,10.88,10.64,10.81,10.81,23525.0
2020-08-05 04:00:00+00:00,10.97,10.97,10.26,10.32,10.32,19993.0
2020-08-06 04:00:00+00:00,10.28,10.51,10.28,10.46,10.46,30266.0
2020-08-07 04:00:00+00:00,10.46,10.64,10.38,10.64,10.64,31122.0
2020-08-10 04:00:00+00:00,10.72,10.88,10.27,10.44,10.44,51087.0
2020-08-11 04:00:00+00:00,10.83,11.57,10.75,11.04,11.04,63014.0
2020-08-12 04:00:00+00:00,11.31,11.31,10.7,10.92,10.92,76884.0
2020-08-13 04:00:00+00:00,10.85,11.07,10.82,10.98,10.98,17173.0
2020-08-14 04:00:00+00:00,10.92,11.18,10.92,11.0,11.0,7673.0
2020-08-17 04:00:00+00:00,10.88,11.28,10.87,11.17,11.17,36700.0
2020-08-18 04:00:00+00:00,11.08,11.09,10.84,10.87,10.87,13203.0
2020-08-19 04:00:00+00:00,10.87,11.26,10.87,11.15,11.15,12187.0
2020-08-20 04:00:00+00:00,11.0,11.05,10.84,10.88,10.88,17866.0
2020-08-21 04:00:00+00:00,10.87,11.09,10.76,11.08,11.08,31255.0
2020-08-24 04:00:00+00:00,11.14,11.37,11.12,11.36,11.36,17983.0
2020-08-25 04:00:00+00:00,11.35,11.35,11.13,11.27,11.27,5925.0
2020-08-26 04:00:00+00:00,11.15,11.45,11.15,11.37,11.37,44103.0
2020-08-27 04:00:00+00:00,11.51,11.54,11.38,11.42,11.42,14236.0
2020-08-28 04:00:00+00:00,11.42,11.55,11.38,11.49,11.49,75075.0
2020-08-31 04:00:00+00:00,11.46,11.53,11.18,11.2,11.2,15117.0
2020-09-01 04:00:00+00:00,10.96,11.23,10.96,11.0,11.0,23806.0
2020-09-02 04:00:00+00:00,11.08,11.16,10.97,11.07,11.07,21282.0
2020-09-03 04:00:00+00:00,11.29,11.34,10.97,11.02,11.02,16155.0
2020-09-04 04:00:00+00:00,11.05,11.15,10.87,11.0,11.0,14957.0
2020-09-08 04:00:00+00:00,10.87,10.98,10.72,10.81,10.81,9406.0
2020-09-09 04:00:00+00:00,10.76,11.18,10.7,11.13,11.13,50045.0
2020-09-10 04:00:00+00:00,11.17,11.31,10.79,10.79,10.79,24270.0
2020-09-11 04:00:00+00:00,10.65,10.68,10.45,10.61,10.61,22220.0
2020-09-14 04:00:00+00:00,10.66,11.13,10.66,11.09,11.09,40022.0
2020-09-15 04:00:00+00:00,11.11,11.26,11.01,11.06,11.06,28916.0
2020-09-16 04:00:00+00:00,11.13,11.38,11.12,11.31,11.31,36806.0
2020-09-17 04:00:00+00:00,11.32,11.39,11.24,11.33,11.33,33223.0
2020-09-18 04:00:00+00:00,11.34,11.43,11.21,11.32,11.32,16937.0
2020-09-21 04:00:00+00:00,11.0,11.0,10.53,10.64,10.64,25564.0
2020-09-22 04:00:00+00:00,10.65,10.68,10.49,10.55,10.55,22424.0
2020-09-23 04:00:00+00:00,10.55,10.61,10.34,10.35,10.35,25844.0
2020-09-24 04:00:00+00:00,10.46,10.92,10.45,10.65,10.65,103857.0
2020-09-25 04:00:00+00:00,10.54,10.68,10.51,10.56,10.56,16501.0
2020-09-28 04:00:00+00:00,10.76,10.8,10.71,10.72,10.72,21924.0
2020-09-29 04:00:00+00:00,10.67,10.78,10.51,10.6,10.6,9891.0
2020-09-30 04:00:00+00:00,10.69,10.78,10.5,10.59,10.59,56502.0
2020-10-01 04:00:00+00:00,10.62,10.65,10.18,10.31,10.31,80399.0
2020-10-02 04:00:00+00:00,10.21,10.53,10.12,10.32,10.32,60766.0
2020-10-05 04:00:00+00:00,10.5,10.61,10.46,10.59,10.59,43683.0
2020-10-06 04:00:00+00:00,10.69,10.86,10.55,10.64,10.64,55821.0
2020-10-07 04:00:00+00:00,10.75,10.98,10.75,10.9,10.9,52601.0
2020-10-08 04:00:00+00:00,11.0,11.09,10.92,11.09,11.09,45059.0
2020-10-09 04:00:00+00:00,11.13,11.25,10.85,10.86,10.86,31970.0
2020-10-12 04:00:00+00:00,10.82,10.92,10.71,10.87,10.87,47159.0
2020-10-13 04:00:00+00:00,10.82,10.87,10.51,10.56,10.56,62539.0
2020-10-14 04:00:00+00:00,10.54,10.67,10.42,10.42,10.42,23896.0
2020-10-15 04:00:00+00:00,10.93,11.0,10.59,10.63,10.63,76038.0
2020-10-16 04:00:00+00:00,10.73,10.91,10.67,10.87,10.87,54442.0
2020-10-19 04:00:00+00:00,10.84,10.96,10.58,10.64,10.64,61145.0
2020-10-20 04:00:00+00:00,10.6,10.95,10.58,10.92,10.92,206739.0
2020-10-21 04:00:00+00:00,10.89,11.22,10.85,11.19,11.19,175714.0
2020-10-22 04:00:00+00:00,11.33,11.72,11.33,11.7,11.7,109075.0
2020-10-23 04:00:00+00:00,11.84,12.07,11.79,11.94,11.94,75964.0
2020-10-26 04:00:00+00:00,11.7,11.7,11.43,11.46,11.46,40803.0
2020-10-27 04:00:00+00:00,11.39,11.39,11.15,11.15,11.15,39301.0
2020-10-28 04:00:00+00:00,10.85,11.18,10.77,10.78,10.78,43375.0
2020-10-29 04:00:00+00:00,10.65,10.94,10.58,10.86,10.86,57168.0
2020-10-30 04:00:00+00:00,10.85,10.9,10.73,10.82,10.82,44563.0
2020-11-02 05:00:00+00:00,10.95,11.08,10.74,11.02,11.02,77000.0
2020-11-03 05:00:00+00:00,11.14,11.41,11.12,11.36,11.36,138740.0
2020-11-04 05:00:00+00:00,11.06,11.38,10.97,11.14,11.14,60865.0
2020-11-05 05:00:00+00:00,11.21,11.73,11.12,11.71,11.71,50666.0
2020-11-06 05:00:00+00:00,11.76,11.99,11.65,11.84,11.84,66423.0
2020-11-09 05:00:00+00:00,12.22,13.03,12.15,12.29,12.29,58160.0
2020-11-10 05:00:00+00:00,12.67,12.84,12.53,12.67,12.67,78820.0
2020-11-11 05:00:00+00:00,12.65,12.65,12.44,12.55,12.55,48507.0
2020-11-12 05:00:00+00:00,12.56,12.61,12.19,12.48,12.48,51389.0
2020-11-13 05:00:00+00:00,12.61,12.81,12.61,12.78,12.78,51701.0
2020-11-16 05:00:00+00:00,13.14,13.18,12.89,13.08,13.08,85387.0
2020-11-17 05:00:00+00:00,13.03,13.46,12.99,13.35,13.35,100605.0
2020-11-18 05:00:00+00:00,13.38,13.4,12.97,12.98,12.98,50892.0
2020-11-19 05:00:00+00:00,12.98,13.0,12.54,12.59,12.59,58253.0
2020-11-20 05:00:00+00:00,12.53,13.09,12.53,12.94,12.94,40534.0
2020-11-23 05:00:00+00:00,13.07,13.14,12.98,13.02,13.02,34458.0
2020-11-24 05:00:00+00:00,13.25,13.38,13.18,13.22,13.22,46108.0
2020-11-25 05:00:00+00:00,13.16,13.22,12.97,13.19,13.19,36071.0
2020-11-27 05:00:00+00:00,13.2,13.26,12.99,13.12,13.12,22631.0
2020-11-30 05:00:00+00:00,13.12,13.28,12.91,12.94,12.94,20237.0
2020-12-01 05:00:00+00:00,13.05,13.17,12.98,13.02,13.02,28360.0
2020-12-02 05:00:00+00:00,13.03,13.14,12.86,13.13,13.13,30690.0
2020-12-03 05:00:00+00:00,13.09,13.28,12.82,12.88,12.88,24687.0
2020-12-04 05:00:00+00:00,12.99,13.28,12.88,13.25,13.25,40555.0
2020-12-07 05:00:00+00:00,13.13,13.33,13.04,13.28,13.28,18778.0
2020-12-08 05:00:00+00:00,13.25,13.34,13.15,13.21,13.21,21206.0
2020-12-09 05:00:00+00:00,13.32,13.41,13.1,13.16,13.16,31358.0
2020-12-10 05:00:00+00:00,13.02,13.25,13.0,13.23,13.23,18982.0
2020-12-11 05:00:00+00:00,13.12,13.26,13.02,13.02,13.02,33719.0
2020-12-14 05:00:00+00:00,13.16,13.16,12.84,12.84,12.84,25539.0
2020-12-15 05:00:00+00:00,12.85,12.97,12.66,12.93,12.93,52631.0
2020-12-16 05:00:00+00:00,13.02,13.07,12.63,12.63,12.63,39732.0
2020-12-17 05:00:00+00:00,12.69,12.71,12.44,12.54,12.54,60970.0
2020-12-18 05:00:00+00:00,12.55,12.56,12.07,12.07,12.07,52743.0
2020-12-21 05:00:00+00:00,11.93,12.13,11.79,12.12,12.12,63534.0
2020-12-22 05:00:00+00:00,12.07,12.09,11.82,11.85,11.85,47911.0
2020-12-23 05:00:00+00:00,11.9,12.18,11.9,12.16,12.16,54142.0
2020-12-24 05:00:00+00:00,12.21,12.21,12.0,12.06,12.06,22055.0
2020-12-28 05:00:00+00:00,12.2,12.48,12.19,12.46,12.46,24790.0
2020-12-29 05:00:00+00:00,12.52,12.52,12.25,12.37,12.37,14340.0
2020-12-30 05:00:00+00:00,12.48,12.54,12.42,12.43,12.43,14425.0
2020-12-31 05:00:00+00:00,12.44,12.64,12.43,12.6,12.6,24159.0
2021-01-04 05:00:00+00:00,12.65,12.74,12.43,12.61,12.61,36424.0
2021-01-05 05:00:00+00:00,12.72,12.85,12.65,12.78,12.78,26364.0
2021-01-06 05:00:00+00:00,13.13,14.02,13.13,13.94,13.94,123197.0
2021-01-07 05:00:00+00:00,13.92,14.56,13.7,14.12,14.12,122724.0
2021-01-08 05:00:00+00:00,14.1,14.11,13.73,13.94,13.94,38549.0
2021-01-11 05:00:00+00:00,13.76,14.1,13.76,13.97,13.97,25166.0
2021-01-12 05:00:00+00:00,14.13,14.13,13.84,13.85,13.85,15617.0
2021-01-13 05:00:00+00:00,13.78,13.8,13.39,13.4,13.4,26852.0
2021-01-14 05:00:00+00:00,13.54,13.56,13.1,13.38,13.38,43131.0
2021-01-15 05:00:00+00:00,13.31,13.49,13.18,13.45,13.45,40907.0
2021-01-19 05:00:00+00:00,13.53,14.05,13.36,14.05,14.05,36603.0
2021-01-20 05:00:00+00:00,14.11,14.19,13.65,13.75,13.75,41120.0
2021-01-21 05:00:00+00:00,13.75,14.77,13.72,14.18,14.18,89606.0
2021-01-22 05:00:00+00:00,14.14,14.2,13.89,14.18,14.18,23649.0
2021-01-25 05:00:00+00:00,14.19,14.51,14.13,14.43,14.43,54259.0
2021-01-26 05:00:00+00:00,14.5,14.58,14.36,14.53,14.53,45517.0
2021-01-27 05:00:00+00:00,14.31,14.63,14.0,14.04,14.04,49340.0
2021-01-28 05:00:00+00:00,14.15,14.51,14.04,14.26,14.26,39876.0
2021-01-29 05:00:00+00:00,14.21,14.59,14.13,14.49,14.49,126129.0
2021-02-01 05:00:00+00:00,14.62,15.09,14.41,14.95,14.95,78508.0
2021-02-02 05:00:00+00:00,15.08,15.15,14.7,14.87,14.87,53854.0
2021-02-03 05:00:00+00:00,14.87,14.89,14.66,14.74,14.74,66431.0
2021-02-04 05:00:00+00:00,14.74,15.4,14.74,15.36,15.36,115195.0
2021-02-05 05:00:00+00:00,15.55,15.69,15.4,15.57,15.57,101577.0
2021-02-08 05:00:00+00:00,15.68,15.85,15.46,15.8,15.8,64526.0
2021-02-09 05:00:00+00:00,15.71,15.89,15.55,15.82,15.82,31464.0
2021-02-10 05:00:00+00:00,15.93,15.93,15.46,15.75,15.75,34779.0
2021-02-11 05:00:00+00:00,15.77,15.86,15.53,15.78,15.78,21075.0
2021-02-12 05:00:00+00:00,15.75,16.1,15.75,15.96,15.96,41762.0
2021-02-16 05:00:00+00:00,16.0,16.08,15.76,15.89,15.89,34174.0
2021-02-17 05:00:00+00:00,15.88,16.32,15.88,16.25,16.25,61905.0
2021-02-18 05:00:00+00:00,16.29,16.36,16.03,16.14,16.14,36883.0
2021-02-19 05:00:00+00:00,16.23,16.31,16.13,16.28,16.28,29903.0
2021-02-22 05:00:00+00:00,16.31,16.74,16.31,16.65,16.65,56203.0
2021-02-23 05:00:00+00:00,16.69,17.08,16.54,17.07,17.07,50137.0
2021-02-24 05:00:00+00:00,17.13,17.27,16.95,17.19,17.19,47954.0
2021-02-25 05:00:00+00:00,17.18,17.36,16.47,16.51,16.51,54596.0
2021-02-26 05:00:00+00:00,16.47,16.9,16.33,16.45,16.45,95055.0
2021-03-01 05:00:00+00:00,16.34,16.36,15.18,16.31,16.31,87069.0
2021-03-02 05:00:00+00:00,16.07,16.24,15.71,16.01,16.01,89578.0
2021-03-03 05:00:00+00:00,16.03,16.46,16.03,16.26,16.26,78448.0
2021-03-04 05:00:00+00:00,16.31,16.55,16.16,16.31,16.31,112872.0
2021-03-05 05:00:00+00:00,16.5,17.17,16.35,17.11,17.11,97084.0
2021-03-08 05:00:00+00:00,17.21,17.6,16.92,17.32,17.32,93546.0
2021-03-09 05:00:00+00:00,17.45,17.56,16.87,17.11,17.11,136568.0
2021-03-10 05:00:00+00:00,17.17,17.84,17.17,17.61,17.61,69707.0
2021-03-11 05:00:00+00:00,17.61,18.02,17.38,17.76,17.76,60588.0
2021-03-12 05:00:00+00:00,17.9,18.0,17.74,17.84,17.84,56630.0
2021-03-15 04:00:00+00:00,17.81,17.94,17.64,17.81,17.81,89500.0
2021-03-16 04:00:00+00:00,17.7,17.94,17.57,17.87,17.87,84022.0
2021-03-17 04:00:00+00:00,17.89,17.94,17.72,17.94,17.94,99565.0
2021-03-18 04:00:00+00:00,17.96,18.82,17.88,18.48,18.48,91633.0
2021-03-19 04:00:00+00:00,18.45,18.76,18.05,18.66,18.66,106920.0
2021-03-22 04:00:00+00:00,18.61,18.68,18.4,18.55,18.55,69828.0
2021-03-23 04:00:00+00:00,18.36,18.48,17.87,17.91,17.91,45990.0
2021-03-24 04:00:00+00:00,18.1,18.24,17.03,17.06,17.06,73376.0
2021-03-25 04:00:00+00:00,17.01,17.48,16.92,17.38,17.38,59996.0
2021-03-26 04:00:00+00:00,17.51,17.58,16.44,16.9,16.9,108458.0
2021-03-29 04:00:00+00:00,16.85,17.12,16.58,16.88,16.88,216281.0
2021-03-30 04:00:00+00:00,17.34,17.91,17.16,17.86,17.86,68744.0
2021-03-31 04:00:00+00:00,17.71,17.72,17.07,17.07,17.07,50233.0
2021-04-01 04:00:00+00:00,17.23,17.67,17.16,17.66,17.66,60964.0
2021-04-05 04:00:00+00:00,17.71,17.94,17.63,17.94,17.94,33421.0
2021-04-06 04:00:00+00:00,17.93,18.3,17.93,18.3,18.3,51406.0
