Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28 04:00:00+00:00,110.57,110.57,110.57,110.57,110.57,200.0
2020-07-31 04:00:00+00:00,110.38,110.38,110.38,110.38,110.38,100.0
2020-08-03 04:00:00+00:00,112.07,112.58,112.07,112.58,112.58,300.0
2020-08-04 04:00:00+00:00,112.31,112.31,112.31,112.31,112.31,200.0
2020-08-05 04:00:00+00:00,113.73,113.76,113.73,113.76,113.76,1900.0
2020-08-06 04:00:00+00:00,113.82,113.82,113.74,113.74,113.74,300.0
2020-08-07 04:00:00+00:00,115.03,115.07,115.03,115.07,115.07,326.0
2020-08-10 04:00:00+00:00,115.98,116.05,115.98,116.05,116.05,200.0
2020-08-11 04:00:00+00:00,116.78,116.78,116.78,116.78,116.78,100.0
2020-08-21 04:00:00+00:00,115.74,115.74,115.74,115.74,115.74,100.0
2020-08-31 04:00:00+00:00,118.9,118.9,118.9,118.9,118.9,100.0
2020-09-04 04:00:00+00:00,117.26,117.26,117.26,117.26,117.26,126.0
2020-09-08 04:00:00+00:00,114.15,114.15,114.15,114.15,114.15,100.0
2020-09-09 04:00:00+00:00,115.48,116.12,115.48,116.05,116.05,345.0
2020-09-10 04:00:00+00:00,114.15,114.15,114.1,114.1,114.1,200.0
2020-09-16 04:00:00+00:00,116.63,116.63,116.63,116.63,116.63,100.0
2020-09-25 04:00:00+00:00,112.35,112.35,112.35,112.35,112.35,200.0
2020-09-30 04:00:00+00:00,114.68,114.68,114.68,114.68,114.68,300.0
2020-10-01 04:00:00+00:00,114.86,114.86,114.86,114.86,114.86,100.0
2020-10-12 04:00:00+00:00,121.72,122.01,121.72,122.01,122.01,390.0
2020-10-13 04:00:00+00:00,120.89,121.33,120.89,121.33,121.33,1040.0
2020-10-14 04:00:00+00:00,121.32,121.32,120.32,120.32,120.32,1925.0
2020-10-15 04:00:00+00:00,119.7,120.88,119.7,120.61,120.61,2098.0
2020-10-16 04:00:00+00:00,121.13,121.34,120.87,120.87,120.87,1303.0
2020-10-19 04:00:00+00:00,120.84,120.84,120.42,120.42,120.42,779.0
2020-10-20 04:00:00+00:00,120.08,120.42,119.44,119.81,119.81,2680.0
2020-10-21 04:00:00+00:00,119.68,119.68,119.42,119.42,119.42,617.0
2020-10-22 04:00:00+00:00,118.92,120.37,118.92,120.37,120.37,618.0
2020-10-23 04:00:00+00:00,120.2,120.21,120.2,120.21,120.21,700.0
2020-10-26 04:00:00+00:00,117.36,117.38,117.36,117.38,117.38,383.0
2020-10-27 04:00:00+00:00,117.94,117.94,117.94,117.94,117.94,279.0
2020-10-28 04:00:00+00:00,114.23,114.23,114.23,114.23,114.23,141.0
2020-11-02 05:00:00+00:00,115.14,115.37,115.12,115.37,115.37,1000.0
2020-11-03 05:00:00+00:00,117.89,118.17,117.74,118.17,118.17,570.0
2020-11-04 05:00:00+00:00,119.4,120.18,119.4,119.75,119.75,1497.0
2020-11-05 05:00:00+00:00,121.6,121.97,121.6,121.72,121.72,900.0
