Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,25.32,25.49,24.41,25.44,25.44,25946.0
2020-07-28 04:00:00+00:00,25.74,26.28,25.58,25.6,25.6,14570.0
2020-07-29 04:00:00+00:00,25.61,25.92,25.39,25.84,25.84,15560.0
2020-07-30 04:00:00+00:00,25.72,25.79,25.54,25.6,25.6,7468.0
2020-07-31 04:00:00+00:00,25.8,25.93,25.3,25.88,25.88,9813.0
2020-08-03 04:00:00+00:00,25.79,25.98,25.26,25.76,25.76,17969.0
2020-08-04 04:00:00+00:00,25.72,26.11,25.46,25.95,25.95,16209.0
2020-08-05 04:00:00+00:00,25.97,25.97,25.29,25.41,25.41,15773.0
2020-08-06 04:00:00+00:00,25.45,25.46,24.96,25.24,25.24,9060.0
2020-08-07 04:00:00+00:00,25.45,25.84,25.21,25.76,25.76,7866.0
2020-08-10 04:00:00+00:00,26.01,26.01,25.45,25.51,25.51,6960.0
2020-08-11 04:00:00+00:00,25.79,25.99,25.68,25.74,25.74,9363.0
2020-08-12 04:00:00+00:00,25.9,26.47,25.9,26.41,26.41,14568.0
2020-08-13 04:00:00+00:00,26.53,26.63,26.42,26.44,26.44,4381.0
2020-08-14 04:00:00+00:00,26.57,26.78,26.24,26.43,26.43,5437.0
2020-08-17 04:00:00+00:00,26.58,26.97,26.49,26.74,26.74,4255.0
2020-08-18 04:00:00+00:00,26.54,26.6,26.31,26.31,26.31,2712.0
2020-08-19 04:00:00+00:00,26.18,26.44,26.15,26.17,26.17,4061.0
2020-08-20 04:00:00+00:00,26.17,26.32,26.02,26.09,26.09,8674.0
2020-08-21 04:00:00+00:00,26.24,26.27,25.85,26.11,26.11,22923.0
2020-08-24 04:00:00+00:00,26.24,26.56,26.22,26.48,26.48,13122.0
2020-08-25 04:00:00+00:00,26.77,26.87,26.67,26.73,26.73,5275.0
2020-08-26 04:00:00+00:00,26.49,26.69,26.42,26.69,26.69,3387.0
2020-08-27 04:00:00+00:00,26.96,26.96,26.56,26.58,26.58,3224.0
2020-08-28 04:00:00+00:00,26.54,26.54,26.13,26.27,26.27,2073.0
2020-08-31 04:00:00+00:00,26.0,26.29,25.93,26.2,26.2,18630.0
2020-09-01 04:00:00+00:00,25.78,25.83,25.57,25.66,25.66,10028.0
2020-09-02 04:00:00+00:00,26.02,26.12,25.9,26.05,26.05,4827.0
2020-09-03 04:00:00+00:00,26.27,26.3,25.69,25.89,25.89,3668.0
2020-09-04 04:00:00+00:00,25.84,26.19,25.69,26.07,26.07,6502.0
2020-09-08 04:00:00+00:00,25.41,25.63,25.3,25.48,25.48,6925.0
2020-09-09 04:00:00+00:00,25.67,25.79,25.41,25.54,25.54,5240.0
2020-09-10 04:00:00+00:00,25.38,25.39,25.07,25.07,25.07,4156.0
2020-09-11 04:00:00+00:00,24.93,25.0,24.78,24.93,24.93,2114.0
2020-09-14 04:00:00+00:00,25.09,25.36,25.07,25.34,25.34,5796.0
2020-09-15 04:00:00+00:00,25.28,25.29,25.03,25.07,25.07,1446.0
2020-09-16 04:00:00+00:00,25.29,25.34,25.03,25.05,25.05,4402.0
2020-09-17 04:00:00+00:00,24.84,24.93,24.65,24.83,24.83,8662.0
2020-09-18 04:00:00+00:00,25.03,25.03,24.55,24.69,24.69,11613.0
2020-09-21 04:00:00+00:00,24.41,24.51,23.95,24.31,24.31,16196.0
2020-09-22 04:00:00+00:00,24.26,24.59,24.07,24.26,24.26,19851.0
2020-09-23 04:00:00+00:00,23.81,24.13,23.81,23.87,23.87,1559.0
2020-09-24 04:00:00+00:00,23.86,24.84,23.86,24.74,24.74,9332.0
2020-09-25 04:00:00+00:00,24.75,24.94,24.54,24.92,24.92,7133.0
2020-09-28 04:00:00+00:00,25.21,25.21,24.8,24.93,24.93,3423.0
2020-09-29 04:00:00+00:00,24.95,25.07,24.87,25.07,25.07,1077.0
2020-09-30 04:00:00+00:00,25.21,25.38,25.0,25.26,25.26,6097.0
2020-10-01 04:00:00+00:00,25.3,25.46,25.06,25.46,25.46,9215.0
2020-10-02 04:00:00+00:00,25.42,25.77,25.4,25.7,25.7,9334.0
2020-10-05 04:00:00+00:00,25.74,25.79,25.57,25.69,25.69,8002.0
2020-10-06 04:00:00+00:00,25.57,25.84,25.5,25.65,25.65,5641.0
2020-10-07 04:00:00+00:00,25.58,25.84,25.55,25.81,25.81,6917.0
2020-10-08 04:00:00+00:00,25.91,26.15,25.85,25.93,25.93,14211.0
2020-10-09 04:00:00+00:00,25.96,26.34,25.96,26.25,26.25,7283.0
2020-10-12 04:00:00+00:00,26.28,26.52,26.28,26.36,26.36,10454.0
2020-10-13 04:00:00+00:00,26.29,26.29,25.76,25.86,25.86,5975.0
2020-10-14 04:00:00+00:00,25.77,25.86,25.38,25.43,25.43,6714.0
2020-10-15 04:00:00+00:00,25.29,25.59,25.26,25.59,25.59,19271.0
2020-10-16 04:00:00+00:00,25.59,25.7,25.35,25.39,25.39,7491.0
2020-10-19 04:00:00+00:00,25.23,25.63,25.23,25.51,25.51,9145.0
2020-10-20 04:00:00+00:00,25.61,25.69,25.27,25.57,25.57,8812.0
