Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17 04:00:00+00:00,26.82,26.82,26.82,26.82,26.82,100.0
2020-08-18 04:00:00+00:00,26.83,26.83,26.83,26.83,26.83,100.0
2020-08-24 04:00:00+00:00,26.87,26.87,26.87,26.87,26.87,100.0
2020-10-15 04:00:00+00:00,26.79,26.79,26.79,26.79,26.79,100.0
2020-10-16 04:00:00+00:00,26.84,26.84,26.84,26.84,26.84,100.0
2021-02-03 05:00:00+00:00,27.42,27.42,27.42,27.42,27.42,237.0
2021-04-19 04:00:00+00:00,27.7,27.7,27.7,27.7,27.7,100.0
2021-04-20 04:00:00+00:00,27.7,27.7,27.7,27.7,27.7,200.0
2021-04-21 04:00:00+00:00,27.69,27.69,27.69,27.69,27.69,100.0
2021-04-26 04:00:00+00:00,27.7,27.7,27.54,27.54,27.54,600.0
2021-04-28 04:00:00+00:00,27.67,27.67,27.67,27.67,27.67,890.0
2021-04-30 04:00:00+00:00,27.62,27.62,27.62,27.62,27.62,100.0
2021-05-03 04:00:00+00:00,27.67,27.675,27.66,27.66,27.66,2572.0
2021-05-04 04:00:00+00:00,27.54,27.54,27.52,27.54,27.54,1002.0
2021-05-05 04:00:00+00:00,27.62,27.62,27.62,27.62,27.62,400.0
2021-05-06 04:00:00+00:00,27.61,27.64,27.6,27.64,27.64,1800.0
2021-05-11 04:00:00+00:00,27.555,27.555,27.555,27.555,27.555,400.0
2021-05-13 04:00:00+00:00,27.45,27.46,27.45,27.46,27.46,800.0
2021-05-14 04:00:00+00:00,27.6,27.61,27.6,27.61,27.61,600.0
2021-05-17 04:00:00+00:00,27.58,27.58,27.58,27.58,27.58,200.0
2021-05-25 04:00:00+00:00,27.69,27.69,27.69,27.69,27.69,100.0
2021-05-27 04:00:00+00:00,27.75,27.75,27.75,27.75,27.75,290.0
2021-05-28 04:00:00+00:00,27.76,27.76,27.76,27.76,27.76,200.0
2021-07-08 04:00:00+00:00,27.95,27.95,27.95,27.95,27.95,100.0
2021-07-20 04:00:00+00:00,28.04,28.04,28.04,28.04,28.04,100.0
2021-08-02 04:00:00+00:00,28.2,28.2,28.2,28.2,28.2,300.0
2021-08-10 04:00:00+00:00,28.26,28.26,28.26,28.26,28.26,100.0
2021-08-11 04:00:00+00:00,28.27,28.27,28.27,28.27,28.27,100.0
2021-08-26 04:00:00+00:00,28.25,28.34,28.25,28.34,28.34,800.0
2021-08-27 04:00:00+00:00,28.39,28.41,28.39,28.41,28.41,1000.0
2021-09-02 04:00:00+00:00,28.32,28.32,28.32,28.32,28.32,1590.0
2021-09-09 04:00:00+00:00,28.42,28.42,28.42,28.42,28.42,300.0
2021-09-20 04:00:00+00:00,27.97,27.97,27.97,27.97,27.97,200.0
2021-09-21 04:00:00+00:00,28.16,28.16,28.16,28.16,28.16,311.0
2021-11-04 04:00:00+00:00,28.67,28.67,28.67,28.67,28.67,100.0
2021-11-22 05:00:00+00:00,28.63,28.63,28.63,28.63,28.63,997.0
2021-11-23 05:00:00+00:00,28.56,28.56,28.56,28.56,28.56,180.0
2021-12-01 05:00:00+00:00,28.37,28.37,28.37,28.37,28.37,100.0
2021-12-06 05:00:00+00:00,28.5,28.5,28.5,28.5,28.5,400.0
2021-12-07 05:00:00+00:00,28.66,28.66,28.66,28.66,28.66,500.0
2021-12-10 05:00:00+00:00,28.6,28.6,28.6,28.6,28.6,400.0
2021-12-13 05:00:00+00:00,28.6,28.6,28.6,28.6,28.6,400.0
2021-12-14 05:00:00+00:00,28.47,28.47,28.47,28.47,28.47,400.0
2021-12-16 05:00:00+00:00,28.63,28.63,28.63,28.63,28.63,200.0
2021-12-20 05:00:00+00:00,28.45,28.45,28.45,28.45,28.45,100.0
2021-12-21 05:00:00+00:00,28.53,28.53,28.53,28.53,28.53,100.0
2021-12-22 05:00:00+00:00,28.58,28.6,28.58,28.6,28.6,300.0
2021-12-30 05:00:00+00:00,28.86,28.86,28.86,28.86,28.86,300.0
2021-12-31 05:00:00+00:00,28.85,28.85,28.85,28.85,28.85,200.0
2022-01-14 05:00:00+00:00,28.62,28.62,28.62,28.62,28.62,100.0
2022-01-24 05:00:00+00:00,28.19,28.24,28.19,28.24,28.24,200.0
2022-02-16 05:00:00+00:00,28.36,28.36,28.36,28.36,28.36,100.0
2022-02-23 05:00:00+00:00,28.07,28.07,28.07,28.07,28.07,100.0
2022-03-22 04:00:00+00:00,28.77,28.77,28.77,28.77,28.77,320.0
2022-04-05 04:00:00+00:00,29.04,29.04,29.04,29.04,29.04,186.0
2022-04-20 04:00:00+00:00,29.0,29.0,29.0,29.0,29.0,197.0
2022-04-29 04:00:00+00:00,27.52,27.54,27.23,27.23,27.23,800.0
2022-05-02 04:00:00+00:00,26.99,27.02,26.91,26.91,26.91,1252.0
2022-05-03 04:00:00+00:00,27.08,27.18,27.08,27.15,27.15,1914.0
2022-05-04 04:00:00+00:00,27.12,27.46,27.12,27.46,27.46,1333.0
2022-05-05 04:00:00+00:00,27.25,27.25,27.07,27.07,27.07,784.0
2022-05-06 04:00:00+00:00,26.91,27.09,26.89,26.89,26.89,2150.0
2022-05-09 04:00:00+00:00,26.78,26.82,26.73,26.73,26.73,973.0
2022-05-10 04:00:00+00:00,26.67,26.78,26.67,26.73,26.73,900.0
2022-05-11 04:00:00+00:00,26.6,26.6,26.54,26.54,26.54,1127.0
2022-05-12 04:00:00+00:00,26.45,26.53,26.36,26.36,26.36,1475.0
2022-05-13 04:00:00+00:00,26.69,26.83,26.69,26.8,26.8,1704.0
2022-05-16 04:00:00+00:00,26.71,26.86,26.71,26.77,26.77,2291.0
2022-05-17 04:00:00+00:00,26.89,26.95,26.89,26.95,26.95,1407.0
2022-05-18 04:00:00+00:00,26.78,26.78,26.58,26.58,26.58,2800.0
2022-05-19 04:00:00+00:00,26.53,26.53,26.45,26.45,26.45,200.0
2022-05-20 04:00:00+00:00,26.545,26.545,26.27,26.48,26.48,1900.0
2022-05-23 04:00:00+00:00,26.65,26.65,26.65,26.65,26.65,470.0
2022-05-24 04:00:00+00:00,26.54,26.54,26.54,26.54,26.54,400.0
2022-05-25 04:00:00+00:00,26.68,26.68,26.58,26.58,26.58,200.0
2022-05-26 04:00:00+00:00,26.93,26.93,26.85,26.85,26.85,1391.0
2022-05-27 04:00:00+00:00,27.08,27.12,27.08,27.12,27.12,500.0
2022-06-10 04:00:00+00:00,26.48,26.48,26.48,26.48,26.48,100.0
2022-06-13 04:00:00+00:00,25.97,25.97,25.97,25.97,25.97,200.0
2022-06-14 04:00:00+00:00,25.86,25.92,25.86,25.92,25.92,623.0
2022-06-15 04:00:00+00:00,26.18,26.18,26.18,26.18,26.18,500.0
2022-06-16 04:00:00+00:00,25.66,25.66,25.66,25.66,25.66,200.0
2022-06-17 04:00:00+00:00,25.73,25.76,25.68,25.75,25.75,550.0
2022-06-21 04:00:00+00:00,25.97,26.01,25.97,26.0,26.0,1038.0
2022-06-27 04:00:00+00:00,26.43,26.43,26.41,26.41,26.41,500.0
2022-06-28 04:00:00+00:00,26.15,26.15,26.15,26.15,26.15,100.0
2022-07-01 04:00:00+00:00,26.03,26.22,26.03,26.22,26.22,1200.0
2022-07-05 04:00:00+00:00,26.05,26.05,26.05,26.05,26.05,100.0
2022-07-08 04:00:00+00:00,26.44,26.45,26.44,26.45,26.45,326.0
2022-07-11 04:00:00+00:00,26.31,26.35,26.31,26.35,26.35,600.0
2022-07-12 04:00:00+00:00,26.35,26.35,26.35,26.35,26.35,0.0
2022-07-13 04:00:00+00:00,26.35,26.35,26.35,26.35,26.35,0.0
2022-07-14 04:00:00+00:00,26.35,26.35,26.35,26.35,26.35,0.0
2022-07-15 04:00:00+00:00,26.25,26.29,26.25,26.29,26.29,500.0
2022-07-18 04:00:00+00:00,26.29,26.29,26.29,26.29,26.29,0.0
2022-07-19 04:00:00+00:00,26.45,26.45,26.45,26.45,26.45,300.0
2022-07-20 04:00:00+00:00,26.45,26.45,26.45,26.45,26.45,0.0
2022-07-21 04:00:00+00:00,26.45,26.45,26.45,26.45,26.45,0.0
2022-07-22 04:00:00+00:00,26.45,26.45,26.45,26.45,26.45,0.0
2022-07-25 04:00:00+00:00,26.45,26.45,26.45,26.45,26.45,0.0
2022-07-26 04:00:00+00:00,26.57,26.57,26.57,26.57,26.57,200.0
2022-07-27 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,100.0
2022-07-28 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,0.0
2022-07-29 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,0.0
2022-08-01 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,0.0
2022-08-02 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,0.0
2022-08-03 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,0.0
2022-08-04 04:00:00+00:00,26.68,26.68,26.68,26.68,26.68,0.0
2022-08-05 04:00:00+00:00,27.1,27.1,27.1,27.1,27.1,400.0
2022-08-08 04:00:00+00:00,27.1,27.1,27.1,27.1,27.1,0.0
2022-08-09 04:00:00+00:00,27.07,27.07,27.07,27.07,27.07,100.0
2022-08-10 04:00:00+00:00,27.31,27.31,27.31,27.31,27.31,150.0
2022-08-11 04:00:00+00:00,27.31,27.31,27.31,27.31,27.31,0.0
2022-08-12 04:00:00+00:00,27.45,27.46,27.45,27.46,27.46,1000.0
2022-08-15 04:00:00+00:00,27.46,27.46,27.46,27.46,27.46,0.0
2022-08-16 04:00:00+00:00,27.46,27.46,27.46,27.46,27.46,0.0
2022-08-17 04:00:00+00:00,27.46,27.46,27.46,27.46,27.46,0.0
2022-08-18 04:00:00+00:00,27.46,27.46,27.46,27.46,27.46,0.0
2022-08-19 04:00:00+00:00,27.38,27.38,27.38,27.38,27.38,100.0
2022-08-22 04:00:00+00:00,27.38,27.38,27.38,27.38,27.38,0.0
2022-08-23 04:00:00+00:00,27.11,27.11,27.11,27.11,27.11,100.0
2022-08-24 04:00:00+00:00,27.11,27.11,27.11,27.11,27.11,0.0
2022-08-25 04:00:00+00:00,27.11,27.11,27.11,27.11,27.11,0.0
2022-08-26 04:00:00+00:00,26.95,27.01,26.95,27.01,27.01,270.0
2022-08-29 04:00:00+00:00,27.01,27.01,27.01,27.01,27.01,0.0
2022-08-30 04:00:00+00:00,26.7,26.7,26.7,26.7,26.7,100.0
2022-08-31 04:00:00+00:00,26.7,26.7,26.7,26.7,26.7,0.0
2022-09-01 04:00:00+00:00,26.5,26.59,26.5,26.59,26.59,500.0
2022-09-02 04:00:00+00:00,26.59,26.59,26.59,26.59,26.59,0.0
2022-09-06 04:00:00+00:00,26.59,26.59,26.59,26.59,26.59,0.0
2022-09-07 04:00:00+00:00,26.6,26.6,26.6,26.6,26.6,100.0
2022-09-08 04:00:00+00:00,26.6,26.6,26.6,26.6,26.6,0.0
2022-09-09 04:00:00+00:00,26.6,26.6,26.6,26.6,26.6,0.0
2022-09-12 04:00:00+00:00,27.07,27.07,27.07,27.07,27.07,200.0
