Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28 04:00:00+00:00,11.02,11.02,11.02,11.02,11.02,500.0
2020-08-03 04:00:00+00:00,11.23,11.24,11.23,11.24,11.24,6500.0
2020-08-24 04:00:00+00:00,12.12,12.12,12.12,12.12,12.12,520.0
2020-08-31 04:00:00+00:00,12.13,12.13,12.13,12.13,12.13,1000.0
2020-09-01 04:00:00+00:00,12.24,12.24,12.22,12.22,12.22,4000.0
2020-09-02 04:00:00+00:00,12.6,12.6,12.6,12.6,12.6,1055.0
2020-09-03 04:00:00+00:00,11.6,11.6,11.52,11.52,11.52,3110.0
2020-09-04 04:00:00+00:00,10.94,11.05,10.94,11.05,11.05,5145.0
2020-09-14 04:00:00+00:00,11.18,11.3,11.15,11.3,11.3,2285.0
2020-09-28 04:00:00+00:00,10.68,10.68,10.68,10.68,10.68,2500.0
2020-10-02 04:00:00+00:00,10.8,11.46,10.8,11.46,11.46,4610.0
2020-10-05 04:00:00+00:00,12.0,12.0,12.0,12.0,12.0,500.0
2020-10-06 04:00:00+00:00,12.78,12.78,12.78,12.78,12.78,600.0
2020-10-08 04:00:00+00:00,12.93,12.93,12.93,12.93,12.93,510.0
2020-10-13 04:00:00+00:00,13.16,13.16,13.15,13.15,13.15,1500.0
2020-10-16 04:00:00+00:00,13.45,13.45,13.45,13.45,13.45,985.0
2020-10-20 04:00:00+00:00,13.1,13.1,13.1,13.1,13.1,2500.0
2020-10-23 04:00:00+00:00,13.32,13.32,13.32,13.32,13.32,2630.0
2020-10-26 04:00:00+00:00,12.28,12.28,12.27,12.27,12.27,10375.0
2020-10-30 04:00:00+00:00,11.12,11.12,11.12,11.12,11.12,535.0
2020-11-03 05:00:00+00:00,12.77,12.77,12.77,12.77,12.77,600.0
2020-11-04 05:00:00+00:00,13.2,13.2,12.98,12.98,12.98,9620.0
2020-11-05 05:00:00+00:00,13.85,13.85,13.85,13.85,13.85,720.0
2020-11-09 05:00:00+00:00,15.65,15.65,15.65,15.65,15.65,600.0
2020-11-10 05:00:00+00:00,15.09,15.09,15.02,15.03,15.03,4765.0
2020-11-12 05:00:00+00:00,14.54,14.54,14.54,14.54,14.54,1140.0
2020-11-18 05:00:00+00:00,16.61,16.64,15.91,15.91,15.91,1700.0
2020-11-20 05:00:00+00:00,16.21,16.21,16.21,16.21,16.21,635.0
2020-11-24 05:00:00+00:00,17.69,17.69,17.67,17.67,17.67,5190.0
2020-11-30 05:00:00+00:00,16.92,16.92,16.62,16.62,16.62,3450.0
2020-12-03 05:00:00+00:00,17.12,17.12,17.12,17.12,17.12,1115.0
2020-12-04 05:00:00+00:00,17.99,17.99,17.99,17.99,17.99,535.0
2020-12-07 05:00:00+00:00,18.26,18.26,18.26,18.26,18.26,1975.0
2020-12-29 05:00:00+00:00,19.51,19.51,19.51,19.51,19.51,645.0
2020-12-30 05:00:00+00:00,20.0,20.12,20.0,20.0,20.0,3520.0
2020-12-31 05:00:00+00:00,19.59,20.15,19.59,20.15,20.15,4420.0
2021-01-04 05:00:00+00:00,18.81,18.81,18.81,18.81,18.81,725.0
2021-01-05 05:00:00+00:00,19.48,19.79,19.34,19.79,19.79,2120.0
2021-01-06 05:00:00+00:00,21.25,21.9,21.25,21.9,21.9,2625.0
2021-01-08 05:00:00+00:00,23.06,23.31,22.53,22.53,22.53,3125.0
2021-01-22 05:00:00+00:00,23.81,23.81,23.81,23.81,23.81,590.0
2021-01-25 05:00:00+00:00,23.39,23.62,23.14,23.62,23.62,5240.0
