Date,Open,High,Low,Close,Adj Close,Volume
2020-08-11 04:00:00+00:00,69.42,69.44,69.4,69.43,69.43,1900.0
2020-08-12 04:00:00+00:00,69.13,69.13,69.13,69.13,69.13,200.0
2020-08-25 04:00:00+00:00,68.92,68.92,68.9,68.9,68.9,2000.0
2020-09-04 04:00:00+00:00,69.27,69.35,69.26,69.31,69.31,2047.0
2020-09-09 04:00:00+00:00,69.22,69.22,69.22,69.22,69.22,100.0
2020-09-14 04:00:00+00:00,69.58,69.58,69.58,69.58,69.58,134.0
2020-09-18 04:00:00+00:00,69.43,69.43,69.27,69.27,69.27,300.0
2020-09-24 04:00:00+00:00,69.52,69.55,69.52,69.55,69.55,754.0
2020-09-28 04:00:00+00:00,69.61,69.61,69.61,69.61,69.61,150.0
2020-09-30 04:00:00+00:00,69.47,69.51,69.42,69.42,69.42,2700.0
2020-10-01 04:00:00+00:00,69.31,69.31,69.31,69.31,69.31,100.0
2020-10-02 04:00:00+00:00,69.31,69.31,69.29,69.29,69.29,715.0
2020-10-08 04:00:00+00:00,68.52,68.57,68.52,68.57,68.57,364.0
2020-10-13 04:00:00+00:00,68.8,68.94,68.8,68.94,68.94,2260.0
2020-10-20 04:00:00+00:00,68.32,68.32,68.32,68.32,68.32,406.0
2020-10-26 04:00:00+00:00,68.16,68.16,68.16,68.16,68.16,466.0
2020-10-28 04:00:00+00:00,68.68,68.68,68.68,68.68,68.68,400.0
2020-11-09 05:00:00+00:00,66.67,66.67,66.67,66.67,66.67,272.0
2020-11-11 05:00:00+00:00,66.62,66.62,66.61,66.61,66.61,255.0
2020-11-13 05:00:00+00:00,67.39,67.39,67.35,67.35,67.35,900.0
2020-11-17 05:00:00+00:00,67.66,67.66,67.63,67.63,67.63,448.0
2020-11-20 05:00:00+00:00,67.98,67.98,67.98,67.98,67.98,100.0
2020-12-01 05:00:00+00:00,67.41,67.41,67.41,67.41,67.41,183.0
2020-12-03 05:00:00+00:00,67.14,67.14,67.14,67.14,67.14,400.0
2020-12-11 05:00:00+00:00,67.55,67.55,67.55,67.55,67.55,100.0
2020-12-16 05:00:00+00:00,67.14,67.14,67.14,67.14,67.14,200.0
2020-12-23 05:00:00+00:00,67.05,67.09,67.05,67.09,67.09,268.0
2021-01-06 05:00:00+00:00,66.15,66.29,66.15,66.29,66.29,639.0
2021-01-13 05:00:00+00:00,65.58,65.58,65.58,65.58,65.58,251.0
2021-01-15 05:00:00+00:00,65.82,65.82,65.75,65.75,65.75,238.0
2021-01-20 05:00:00+00:00,65.76,65.8,65.76,65.8,65.8,796.0
2021-01-27 05:00:00+00:00,66.49,66.51,66.49,66.51,66.51,200.0
2021-01-29 05:00:00+00:00,65.86,65.86,65.86,65.86,65.86,299.0
2021-02-01 05:00:00+00:00,66.05,66.05,65.97,66.03,66.03,1157.0
2021-02-02 05:00:00+00:00,65.71,65.71,65.7,65.7,65.7,299.0
2021-02-04 05:00:00+00:00,65.24,65.24,65.24,65.24,65.24,505.0
2021-02-08 05:00:00+00:00,65.26,65.26,65.26,65.26,65.26,100.0
2021-02-10 05:00:00+00:00,65.46,65.46,65.45,65.45,65.45,336.0
2021-02-17 05:00:00+00:00,64.18,64.18,64.18,64.18,64.18,407.0
2021-02-22 05:00:00+00:00,63.48,63.48,63.48,63.48,63.48,100.0
2021-02-25 05:00:00+00:00,61.3,62.24,61.3,62.24,62.24,890.0
2021-03-01 05:00:00+00:00,62.46,62.46,62.46,62.46,62.46,105.0
2021-03-03 05:00:00+00:00,62.03,62.03,62.03,62.03,62.03,100.0
2021-03-05 05:00:00+00:00,61.36,61.36,61.1,61.1,61.1,279.0
2021-03-09 05:00:00+00:00,61.48,61.48,61.48,61.48,61.48,140.0
2021-03-10 05:00:00+00:00,61.72,61.72,61.72,61.72,61.72,436.0
