Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,33.88,33.88,33.88,33.88,33.88,101.0
2020-08-05 04:00:00+00:00,34.43,34.43,34.43,34.43,34.43,162.0
2020-08-07 04:00:00+00:00,34.42,34.42,34.42,34.42,34.42,200.0
2020-08-10 04:00:00+00:00,35.09,35.09,35.09,35.09,35.09,100.0
2020-08-11 04:00:00+00:00,35.37,35.37,35.37,35.37,35.37,135.0
2020-08-12 04:00:00+00:00,35.28,35.28,35.28,35.28,35.28,200.0
2020-08-21 04:00:00+00:00,34.71,34.71,34.71,34.71,34.71,100.0
2020-08-24 04:00:00+00:00,35.16,35.16,35.16,35.16,35.16,200.0
2020-08-28 04:00:00+00:00,35.35,35.35,35.35,35.35,35.35,100.0
2020-08-31 04:00:00+00:00,35.44,35.44,35.44,35.44,35.44,112.0
2020-09-01 04:00:00+00:00,35.3,35.3,35.3,35.3,35.3,200.0
2020-09-08 04:00:00+00:00,34.48,34.48,34.48,34.48,34.48,200.0
2020-09-09 04:00:00+00:00,34.59,34.59,34.59,34.59,34.59,100.0
2020-09-17 04:00:00+00:00,34.73,34.74,34.73,34.74,34.74,400.0
2020-09-18 04:00:00+00:00,34.86,34.86,34.86,34.86,34.86,208.0
2020-09-22 04:00:00+00:00,33.91,33.91,33.91,33.91,33.91,100.0
2020-10-02 04:00:00+00:00,34.38,34.79,34.38,34.78,34.78,500.0
2020-10-05 04:00:00+00:00,35.18,35.18,35.17,35.17,35.17,208.0
2020-10-06 04:00:00+00:00,35.32,35.43,35.32,35.39,35.39,1047.0
2020-10-07 04:00:00+00:00,35.38,35.38,35.38,35.38,35.38,200.0
2020-10-08 04:00:00+00:00,35.71,35.71,35.71,35.71,35.71,234.0
2020-11-05 05:00:00+00:00,36.02,36.02,36.02,36.02,36.02,100.0
2020-11-06 05:00:00+00:00,35.96,35.97,35.96,35.97,35.97,200.0
2020-11-10 05:00:00+00:00,36.53,36.53,36.53,36.53,36.53,100.0
2020-11-11 05:00:00+00:00,36.7,36.7,36.7,36.7,36.7,100.0
2020-11-12 05:00:00+00:00,36.56,36.56,36.56,36.56,36.56,100.0
2020-11-13 05:00:00+00:00,36.78,36.99,36.78,36.99,36.99,200.0
2020-11-17 05:00:00+00:00,37.63,37.63,37.63,37.63,37.63,100.0
2020-11-20 05:00:00+00:00,37.11,37.11,37.11,37.11,37.11,100.0
2020-11-24 05:00:00+00:00,38.29,38.29,38.29,38.29,38.29,100.0
