Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,15.21,15.21,15.18,15.18,15.18,42.0
2020-07-28 04:00:00+00:00,15.32,15.32,14.93,14.93,14.93,88.0
2020-07-29 04:00:00+00:00,15.15,15.15,15.15,15.15,15.15,58.0
2020-07-30 04:00:00+00:00,15.62,16.69,15.62,15.87,15.87,703.0
2020-07-31 04:00:00+00:00,14.88,14.96,14.77,14.77,14.77,292.0
2020-08-03 04:00:00+00:00,14.82,15.65,14.82,15.65,15.65,254.0
2020-08-04 04:00:00+00:00,16.06,16.06,15.95,15.95,15.95,70.0
2020-08-05 04:00:00+00:00,16.47,16.64,16.31,16.44,16.44,215.0
2020-08-06 04:00:00+00:00,16.36,16.36,15.89,15.89,15.89,65.0
2020-08-07 04:00:00+00:00,15.7,15.98,15.43,15.7,15.7,450.0
2020-08-10 04:00:00+00:00,16.47,17.02,16.47,16.77,16.77,1016.0
2020-08-11 04:00:00+00:00,17.35,17.35,15.02,15.35,15.35,1178.0
2020-08-12 04:00:00+00:00,15.65,15.65,15.07,15.13,15.13,944.0
2020-08-13 04:00:00+00:00,15.1,15.76,15.1,15.29,15.29,106.0
2020-08-17 04:00:00+00:00,14.66,14.99,14.58,14.91,14.91,318.0
2020-08-18 04:00:00+00:00,14.47,14.47,14.36,14.36,14.36,370.0
2020-08-19 04:00:00+00:00,14.6,14.8,14.38,14.71,14.71,342.0
2020-08-20 04:00:00+00:00,14.8,15.4,14.8,15.4,15.4,653.0
2020-08-21 04:00:00+00:00,15.26,15.67,15.07,15.24,15.24,1272.0
2020-08-24 04:00:00+00:00,14.49,14.99,14.25,14.74,14.74,328.0
2020-08-25 04:00:00+00:00,15.21,15.56,15.02,15.18,15.18,224.0
2020-08-26 04:00:00+00:00,14.82,14.91,14.6,14.8,14.8,111.0
2020-08-27 04:00:00+00:00,14.6,14.77,14.41,14.41,14.41,132.0
2020-08-28 04:00:00+00:00,14.06,14.44,14.06,14.44,14.44,155.0
2020-08-31 04:00:00+00:00,14.22,14.22,13.78,13.84,13.84,339.0
2020-09-01 04:00:00+00:00,13.53,13.7,13.48,13.67,13.67,177.0
2020-09-02 04:00:00+00:00,13.4,13.73,13.01,13.29,13.29,948.0
2020-09-03 04:00:00+00:00,13.04,13.07,12.24,12.98,12.98,351.0
2020-09-04 04:00:00+00:00,12.93,13.31,12.63,13.09,13.09,314.0
2020-09-08 04:00:00+00:00,12.79,12.79,12.55,12.6,12.6,101.0
2020-09-09 04:00:00+00:00,13.18,13.18,13.15,13.15,13.15,22.0
2020-09-10 04:00:00+00:00,13.12,13.75,13.12,13.53,13.53,373.0
2020-09-11 04:00:00+00:00,13.37,13.37,12.9,12.98,12.98,700.0
2020-09-14 04:00:00+00:00,13.07,13.95,12.9,13.81,13.81,1063.0
2020-09-15 04:00:00+00:00,13.89,13.89,13.53,13.62,13.62,179.0
2020-09-16 04:00:00+00:00,13.37,13.81,13.26,13.48,13.48,559.0
2020-09-17 04:00:00+00:00,13.48,13.92,13.4,13.78,13.78,476.0
2020-09-18 04:00:00+00:00,13.73,13.84,13.15,13.73,13.73,1035.0
2020-09-21 04:00:00+00:00,12.63,12.9,12.57,12.76,12.76,420.0
2020-09-22 04:00:00+00:00,12.87,13.23,12.87,13.15,13.15,300.0
2020-09-23 04:00:00+00:00,12.96,13.04,12.6,12.63,12.63,696.0
2020-09-24 04:00:00+00:00,12.63,12.96,12.41,12.9,12.9,899.0
2020-09-25 04:00:00+00:00,12.87,12.96,12.38,12.49,12.49,355.0
2020-09-28 04:00:00+00:00,12.68,13.4,12.68,13.23,13.23,277.0
2020-09-29 04:00:00+00:00,13.4,14.14,13.37,13.92,13.92,2681.0
2020-09-30 04:00:00+00:00,14.22,14.69,13.18,13.31,13.31,4102.0
2020-10-01 04:00:00+00:00,13.62,13.78,13.2,13.78,13.78,935.0
2020-10-02 04:00:00+00:00,13.31,13.97,13.31,13.84,13.84,1195.0
2020-10-05 04:00:00+00:00,14.22,14.88,14.06,14.36,14.36,584.0
2020-10-06 04:00:00+00:00,14.71,14.71,13.59,13.62,13.62,329.0
2020-10-07 04:00:00+00:00,13.4,13.42,12.52,12.55,12.55,1085.0
2020-10-08 04:00:00+00:00,13.29,13.29,12.57,12.87,12.87,1001.0
2020-10-09 04:00:00+00:00,13.07,13.89,13.07,13.89,13.89,463.0
2020-10-12 04:00:00+00:00,14.16,14.16,13.01,13.34,13.34,362.0
2020-10-13 04:00:00+00:00,12.96,13.12,12.96,13.07,13.07,306.0
2020-10-14 04:00:00+00:00,12.85,13.18,12.35,13.15,13.15,966.0
2020-10-15 04:00:00+00:00,12.63,12.96,12.63,12.85,12.85,740.0
2020-10-16 04:00:00+00:00,12.57,12.68,12.41,12.44,12.44,2602.0
2020-10-19 04:00:00+00:00,12.46,13.01,12.46,12.9,12.9,1019.0
2020-10-20 04:00:00+00:00,13.18,13.18,13.01,13.18,13.18,337.0
2020-10-21 04:00:00+00:00,13.18,13.18,12.74,12.74,12.74,344.0
2020-10-22 04:00:00+00:00,13.01,13.01,12.57,12.57,12.57,90.0
2020-10-23 04:00:00+00:00,12.68,12.68,12.52,12.66,12.66,170.0
2020-10-26 04:00:00+00:00,12.46,13.12,12.08,12.96,12.96,635.0
2020-10-27 04:00:00+00:00,13.12,13.12,12.35,12.49,12.49,226.0
2020-10-28 04:00:00+00:00,12.35,12.46,12.13,12.35,12.35,578.0
2020-10-29 04:00:00+00:00,12.41,12.44,11.97,12.19,12.19,613.0
2020-10-30 04:00:00+00:00,11.91,12.08,11.64,11.83,11.83,487.0
2020-11-02 05:00:00+00:00,11.91,12.38,11.86,12.0,12.0,499.0
2020-11-03 05:00:00+00:00,12.02,12.57,12.02,12.35,12.35,269.0
2020-11-04 05:00:00+00:00,12.05,12.11,11.69,11.8,11.8,1333.0
2020-11-05 05:00:00+00:00,11.91,12.74,11.8,12.35,12.35,225.0
2020-11-06 05:00:00+00:00,12.3,12.85,12.3,12.74,12.74,178.0
2020-11-09 05:00:00+00:00,13.18,13.2,12.9,13.01,13.01,782.0
2020-11-10 05:00:00+00:00,12.74,13.67,12.63,13.59,13.59,934.0
2020-11-11 05:00:00+00:00,13.34,13.34,12.79,13.2,13.2,726.0
2020-11-12 05:00:00+00:00,12.85,13.01,12.49,12.63,12.63,609.0
2020-11-13 05:00:00+00:00,12.74,12.93,12.66,12.66,12.66,907.0
2020-11-16 05:00:00+00:00,12.85,12.9,12.49,12.68,12.68,1446.0
2020-11-17 05:00:00+00:00,12.68,13.01,12.52,13.01,13.01,995.0
2020-11-18 05:00:00+00:00,12.96,13.07,12.57,12.6,12.6,908.0
2020-11-19 05:00:00+00:00,12.52,12.74,12.49,12.57,12.57,498.0
2020-11-20 05:00:00+00:00,12.41,13.4,12.41,13.23,13.23,1257.0
2020-11-23 05:00:00+00:00,13.18,13.84,12.96,13.51,13.51,1426.0
2020-11-24 05:00:00+00:00,14.0,16.2,14.0,15.84,15.84,3778.0
2020-11-25 05:00:00+00:00,15.54,16.64,15.26,16.64,16.64,1897.0
2020-11-27 05:00:00+00:00,17.02,18.34,16.91,17.84,17.84,7548.0
2020-11-30 05:00:00+00:00,18.09,19.13,17.84,18.45,18.45,1525.0
2020-12-01 05:00:00+00:00,18.61,18.89,17.9,18.56,18.56,1944.0
2020-12-02 05:00:00+00:00,17.9,19.33,17.9,19.24,19.24,1532.0
2020-12-03 05:00:00+00:00,18.78,19.76,18.78,19.16,19.16,1664.0
2020-12-04 05:00:00+00:00,20.89,21.19,18.31,19.05,19.05,2835.0
2020-12-07 05:00:00+00:00,19.27,19.38,18.58,19.22,19.22,5596.0
2020-12-08 05:00:00+00:00,19.22,19.33,18.91,19.33,19.33,1457.0
2020-12-09 05:00:00+00:00,20.29,22.18,20.09,21.25,21.25,6594.0
2020-12-10 05:00:00+00:00,21.08,21.11,19.98,20.31,20.31,762.0
2020-12-11 05:00:00+00:00,20.48,21.14,19.0,20.07,20.07,1482.0
2020-12-14 05:00:00+00:00,19.87,21.19,19.55,19.96,19.96,1826.0
2020-12-15 05:00:00+00:00,20.2,20.67,18.94,19.46,19.46,2456.0
2020-12-16 05:00:00+00:00,19.05,19.24,18.56,18.83,18.83,2134.0
2020-12-17 05:00:00+00:00,19.08,19.44,19.05,19.05,19.05,1071.0
2020-12-18 05:00:00+00:00,19.11,19.11,17.13,17.46,17.46,1025.0
2020-12-21 05:00:00+00:00,16.99,18.47,16.91,18.42,18.42,1747.0
2020-12-22 05:00:00+00:00,19.27,19.27,17.29,18.26,18.26,5911.0
2020-12-23 05:00:00+00:00,18.94,19.11,17.98,18.12,18.12,391.0
2020-12-24 05:00:00+00:00,18.17,20.7,18.01,20.26,20.26,1540.0
2020-12-28 05:00:00+00:00,20.59,20.59,18.69,19.13,19.13,2339.0
2020-12-29 05:00:00+00:00,18.56,19.16,18.12,18.97,18.97,833.0
2020-12-30 05:00:00+00:00,18.39,19.0,18.34,18.61,18.61,440.0
2020-12-31 05:00:00+00:00,18.83,18.83,16.69,17.9,17.9,3672.0
2021-01-04 05:00:00+00:00,17.13,17.24,16.44,16.8,16.8,904.0
2021-01-05 05:00:00+00:00,16.64,17.18,16.64,16.96,16.96,516.0
2021-01-06 05:00:00+00:00,16.94,18.17,16.94,17.46,17.46,1773.0
2021-01-07 05:00:00+00:00,17.95,18.12,17.62,18.01,18.01,885.0
2021-01-08 05:00:00+00:00,17.9,18.36,17.54,18.36,18.36,440.0
2021-01-11 05:00:00+00:00,18.23,18.34,17.79,17.79,17.79,207.0
2021-01-12 05:00:00+00:00,18.01,18.89,18.01,18.86,18.86,493.0
2021-01-13 05:00:00+00:00,19.11,19.76,18.75,19.05,19.05,1104.0
2021-01-14 05:00:00+00:00,19.49,19.55,18.72,18.72,18.72,538.0
2021-01-15 05:00:00+00:00,18.5,19.13,18.23,19.11,19.11,411.0
2021-01-19 05:00:00+00:00,19.27,19.93,18.94,19.6,19.6,680.0
2021-01-20 05:00:00+00:00,19.41,19.55,19.0,19.52,19.52,472.0
