Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,90.26,90.34,90.23,90.34,90.34,618.0
2020-07-28 04:00:00+00:00,90.17,90.54,90.17,90.54,90.54,347.0
2020-07-29 04:00:00+00:00,90.44,91.49,90.44,91.49,91.49,1118.0
2020-07-30 04:00:00+00:00,90.55,90.55,90.55,90.55,90.55,185.0
2020-07-31 04:00:00+00:00,89.47,90.09,89.47,90.09,90.09,1107.0
2020-08-03 04:00:00+00:00,90.96,90.96,90.96,90.96,90.96,140.0
2020-08-04 04:00:00+00:00,90.82,90.82,90.82,90.82,90.82,100.0
2020-08-07 04:00:00+00:00,92.11,92.22,92.11,92.19,92.19,376.0
2020-08-10 04:00:00+00:00,93.95,93.95,93.95,93.95,93.95,169.0
2020-08-11 04:00:00+00:00,94.58,94.58,93.65,93.65,93.65,301.0
2020-08-12 04:00:00+00:00,93.99,93.99,93.83,93.83,93.83,377.0
2020-08-13 04:00:00+00:00,93.62,93.62,93.62,93.62,93.62,166.0
2020-08-14 04:00:00+00:00,93.69,93.69,93.69,93.69,93.69,250.0
2020-08-17 04:00:00+00:00,93.46,93.61,93.46,93.6,93.6,680.0
2020-08-18 04:00:00+00:00,93.45,93.45,93.45,93.45,93.45,293.0
2020-08-19 04:00:00+00:00,92.86,92.86,92.59,92.59,92.59,280.0
2020-08-20 04:00:00+00:00,92.03,92.03,92.03,92.03,92.03,311.0
2020-08-21 04:00:00+00:00,91.7,91.7,91.67,91.67,91.67,527.0
2020-08-24 04:00:00+00:00,91.96,93.17,91.96,93.14,93.14,500.0
2020-08-25 04:00:00+00:00,93.21,93.21,93.21,93.21,93.21,149.0
2020-08-26 04:00:00+00:00,92.84,92.96,92.84,92.87,92.87,500.0
2020-08-27 04:00:00+00:00,93.54,93.54,93.43,93.43,93.43,216.0
2020-08-28 04:00:00+00:00,93.61,93.97,93.61,93.97,93.97,701.0
2020-08-31 04:00:00+00:00,93.54,93.54,93.42,93.42,93.42,262.0
2020-09-01 04:00:00+00:00,93.05,93.05,93.05,93.05,93.05,110.0
2020-09-02 04:00:00+00:00,94.61,94.61,94.61,94.61,94.61,100.0
2020-09-03 04:00:00+00:00,95.38,95.38,93.11,93.6,93.6,496.0
2020-09-04 04:00:00+00:00,94.31,94.35,92.68,93.75,93.75,587.0
2020-09-08 04:00:00+00:00,91.93,92.15,91.9,91.9,91.9,635.0
2020-09-09 04:00:00+00:00,92.98,92.98,92.98,92.98,92.98,210.0
2020-09-10 04:00:00+00:00,92.71,92.71,91.51,91.75,91.75,1113.0
2020-09-11 04:00:00+00:00,91.69,91.92,91.62,91.92,91.92,635.0
2020-09-15 04:00:00+00:00,93.92,93.92,93.92,93.92,93.92,161.0
2020-09-16 04:00:00+00:00,94.94,95.08,94.4,94.4,94.4,403.0
2020-09-17 04:00:00+00:00,94.09,94.09,94.09,94.09,94.09,113.0
2020-09-18 04:00:00+00:00,93.81,93.81,92.79,92.79,92.79,200.0
2020-09-21 04:00:00+00:00,90.45,90.45,89.54,89.83,89.83,1903.0
2020-09-22 04:00:00+00:00,90.08,90.76,89.96,90.76,90.76,5353.0
2020-09-23 04:00:00+00:00,89.7,89.7,88.42,88.42,88.42,758.0
2020-09-24 04:00:00+00:00,88.27,89.66,87.87,88.72,88.72,20865.0
2020-09-25 04:00:00+00:00,88.67,89.89,88.25,89.89,89.89,1226.0
2020-09-28 04:00:00+00:00,91.87,92.18,91.74,91.74,91.74,2973.0
2020-09-29 04:00:00+00:00,91.7,91.7,90.75,91.32,91.32,4756.0
2020-09-30 04:00:00+00:00,91.94,92.38,91.29,91.75,91.75,1756.0
2020-10-01 04:00:00+00:00,92.18,92.18,91.22,91.95,91.95,1525.0
2020-10-02 04:00:00+00:00,92.69,93.31,92.64,93.31,93.31,2357.0
2020-10-05 04:00:00+00:00,94.08,94.75,93.99,94.65,94.65,1268.0
2020-10-06 04:00:00+00:00,94.75,96.0,94.08,94.08,94.08,1635.0
2020-10-07 04:00:00+00:00,95.19,95.19,95.19,95.19,95.19,124.0
2020-10-08 04:00:00+00:00,96.71,96.87,95.96,96.87,96.87,492.0
2020-10-09 04:00:00+00:00,96.9,96.9,96.9,96.9,96.9,249.0
2020-10-12 04:00:00+00:00,96.76,97.34,96.76,97.34,97.34,303.0
2020-10-13 04:00:00+00:00,96.78,96.78,95.96,96.14,96.14,602.0
2020-10-14 04:00:00+00:00,96.24,96.24,96.22,96.22,96.22,634.0
2020-10-15 04:00:00+00:00,96.44,96.6,96.44,96.54,96.54,615.0
2020-10-16 04:00:00+00:00,96.72,96.99,96.41,96.41,96.41,553.0
2020-10-19 04:00:00+00:00,96.62,96.62,95.37,95.37,95.37,652.0
2020-10-20 04:00:00+00:00,96.24,96.24,96.05,96.05,96.05,563.0
2020-10-21 04:00:00+00:00,95.84,95.91,95.76,95.91,95.91,500.0
2020-10-22 04:00:00+00:00,95.89,96.78,95.89,96.78,96.78,1268.0
2020-10-23 04:00:00+00:00,97.51,97.56,96.87,97.46,97.46,1367.0
2020-10-26 04:00:00+00:00,95.78,95.79,94.72,95.17,95.17,786.0
2020-10-27 04:00:00+00:00,94.82,94.82,94.82,94.82,94.82,280.0
2020-10-28 04:00:00+00:00,92.8,92.81,91.21,91.21,91.21,2201.0
2020-10-29 04:00:00+00:00,91.09,92.93,90.54,92.45,92.45,3706.0
2020-10-30 04:00:00+00:00,92.21,92.23,91.35,91.85,91.85,2550.0
2020-11-02 05:00:00+00:00,94.06,94.38,93.62,94.35,94.35,4456.0
2020-11-03 05:00:00+00:00,96.43,96.69,96.22,96.69,96.69,1276.0
2020-11-04 05:00:00+00:00,96.61,97.07,95.58,95.58,95.58,1124.0
2020-11-05 05:00:00+00:00,97.07,98.29,97.07,97.91,97.91,4325.0
2020-11-06 05:00:00+00:00,97.91,98.11,97.35,97.35,97.35,1042.0
2020-11-09 05:00:00+00:00,103.05,103.05,102.39,102.64,102.64,3353.0
2020-11-10 05:00:00+00:00,101.61,102.91,101.61,102.91,102.91,2957.0
2020-11-11 05:00:00+00:00,102.27,102.37,101.77,101.83,101.83,1958.0
2020-11-12 05:00:00+00:00,101.69,101.69,99.71,100.34,100.34,2373.0
2020-11-13 05:00:00+00:00,102.18,102.92,102.18,102.83,102.83,1618.0
2020-11-16 05:00:00+00:00,104.07,105.24,104.07,105.19,105.19,6356.0
2020-11-17 05:00:00+00:00,104.68,105.33,104.65,104.85,104.85,1032.0
2020-11-18 05:00:00+00:00,105.1,105.51,104.33,104.33,104.33,3898.0
2020-11-19 05:00:00+00:00,103.37,103.72,102.79,103.63,103.63,3059.0
2020-11-20 05:00:00+00:00,103.63,103.9,103.09,103.09,103.09,1381.0
2020-11-23 05:00:00+00:00,104.62,104.95,104.62,104.95,104.95,555.0
2020-11-24 05:00:00+00:00,106.91,107.54,106.91,107.23,107.23,3822.0
2020-11-25 05:00:00+00:00,106.63,106.63,106.06,106.53,106.53,4466.0
2020-11-27 05:00:00+00:00,106.62,106.66,106.11,106.13,106.13,1737.0
2020-11-30 05:00:00+00:00,104.65,105.24,104.52,104.91,104.91,1970.0
2020-12-01 05:00:00+00:00,105.96,106.23,105.79,106.05,106.05,1098.0
2020-12-02 05:00:00+00:00,105.46,106.01,105.46,106.01,106.01,1526.0
2020-12-03 05:00:00+00:00,106.79,107.12,106.39,106.39,106.39,1282.0
2020-12-04 05:00:00+00:00,107.65,107.89,107.65,107.79,107.79,828.0
