Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,19.5,19.88,18.0,18.3,18.3,570.0
2020-07-28 04:00:00+00:00,17.48,17.63,16.58,16.65,16.65,1263.0
2020-07-29 04:00:00+00:00,16.13,16.27,15.83,15.98,15.98,1613.0
2020-07-30 04:00:00+00:00,15.37,16.5,15.37,16.43,16.43,433.0
2020-07-31 04:00:00+00:00,17.55,18.15,16.13,16.8,16.8,383.0
2020-08-03 04:00:00+00:00,16.73,17.63,16.73,17.63,17.63,152.0
2020-08-04 04:00:00+00:00,17.25,17.25,16.95,17.1,17.1,59.0
2020-08-06 04:00:00+00:00,16.43,16.58,16.13,16.13,16.13,305.0
2020-08-07 04:00:00+00:00,16.27,16.58,16.27,16.27,16.27,153.0
2020-08-10 04:00:00+00:00,17.1,17.33,16.95,17.33,17.33,173.0
2020-08-11 04:00:00+00:00,16.8,17.7,16.8,17.7,17.7,53.0
2020-08-12 04:00:00+00:00,17.03,17.4,16.43,16.8,16.8,781.0
2020-08-13 04:00:00+00:00,16.65,16.8,16.58,16.8,16.8,66.0
2020-08-14 04:00:00+00:00,16.35,16.35,16.2,16.2,16.2,46.0
2020-08-17 04:00:00+00:00,16.5,16.5,16.35,16.35,16.35,40.0
2020-08-18 04:00:00+00:00,17.1,17.4,17.1,17.18,17.18,53.0
2020-08-19 04:00:00+00:00,17.03,17.03,16.73,16.73,16.73,41.0
2020-08-20 04:00:00+00:00,16.73,16.8,16.58,16.73,16.73,422.0
2020-08-21 04:00:00+00:00,16.05,16.13,15.98,15.98,15.98,93.0
2020-08-24 04:00:00+00:00,15.9,15.9,14.55,14.91,14.91,409.0
2020-08-25 04:00:00+00:00,14.88,15.08,14.87,15.08,15.08,128.0
2020-08-27 04:00:00+00:00,14.85,14.85,14.85,14.85,14.85,13.0
2020-08-28 04:00:00+00:00,14.25,14.25,14.25,14.25,14.25,13.0
2020-08-31 04:00:00+00:00,13.69,13.94,13.69,13.94,13.94,13.0
2020-09-01 04:00:00+00:00,13.58,13.89,13.05,13.09,13.09,167.0
2020-09-02 04:00:00+00:00,12.92,12.98,12.9,12.91,12.91,553.0
2020-09-03 04:00:00+00:00,13.8,13.8,13.61,13.67,13.67,394.0
2020-09-04 04:00:00+00:00,13.28,13.31,12.95,13.05,13.05,146.0
2020-09-10 04:00:00+00:00,13.8,13.8,13.8,13.8,13.8,26.0
2020-09-11 04:00:00+00:00,13.5,13.63,13.5,13.63,13.63,73.0
2020-09-14 04:00:00+00:00,13.65,13.65,13.59,13.59,13.59,26.0
2020-09-15 04:00:00+00:00,12.74,12.74,11.47,12.41,12.41,138.0
2020-09-16 04:00:00+00:00,12.37,13.05,12.21,12.71,12.71,133.0
2020-09-17 04:00:00+00:00,12.77,13.34,12.75,13.2,13.2,47.0
2020-09-18 04:00:00+00:00,13.13,13.24,12.74,12.83,12.83,200.0
2020-09-21 04:00:00+00:00,12.45,12.62,12.45,12.45,12.45,133.0
2020-09-22 04:00:00+00:00,12.26,12.26,12.26,12.26,12.26,13.0
2020-09-23 04:00:00+00:00,12.0,12.0,11.44,11.44,11.44,106.0
2020-09-25 04:00:00+00:00,11.85,12.23,11.85,12.07,12.07,26.0
2020-09-28 04:00:00+00:00,12.13,12.13,12.13,12.13,12.13,6.0
2020-10-01 04:00:00+00:00,11.08,11.08,11.08,11.08,11.08,6.0
2020-10-05 04:00:00+00:00,11.36,11.43,11.36,11.43,11.43,40.0
2020-10-06 04:00:00+00:00,9.3,9.3,8.685,8.729,8.729,1318.0
2020-10-07 04:00:00+00:00,8.897,9.0,8.702,8.706,8.706,160.0
2020-10-08 04:00:00+00:00,8.844,8.88,8.844,8.865,8.865,27.0
2020-10-09 04:00:00+00:00,9.036,9.093,8.931,8.999,8.999,46.0
2020-10-12 04:00:00+00:00,8.871,8.871,8.577,8.577,8.577,36.0
2020-10-13 04:00:00+00:00,8.85,8.852,8.552,8.552,8.552,53.0
2020-10-14 04:00:00+00:00,8.408,8.484,8.408,8.438,8.438,120.0
2020-10-15 04:00:00+00:00,8.025,8.025,8.025,8.025,8.025,6.0
2020-10-16 04:00:00+00:00,8.337,8.393,8.232,8.232,8.232,260.0
2020-10-19 04:00:00+00:00,8.25,8.252,8.25,8.252,8.252,106.0
2020-10-20 04:00:00+00:00,7.758,7.758,7.752,7.752,7.752,13.0
2020-10-21 04:00:00+00:00,7.661,7.661,7.341,7.341,7.341,353.0
2020-10-22 04:00:00+00:00,7.365,7.365,7.125,7.125,7.125,360.0
2020-10-23 04:00:00+00:00,7.37,7.37,7.37,7.37,7.37,49.0
2020-10-26 04:00:00+00:00,7.446,7.446,7.446,7.446,7.446,6.0
2020-10-27 04:00:00+00:00,7.574,7.65,7.481,7.578,7.578,246.0
2020-10-28 04:00:00+00:00,17.18,20.55,12.37,18.9,18.9,119841.0
2020-10-29 04:00:00+00:00,15.37,22.2,14.55,20.7,20.7,12266.0
2020-10-30 04:00:00+00:00,23.25,23.4,18.75,19.35,19.35,2929.0
2020-11-02 05:00:00+00:00,18.0,18.0,17.03,17.03,17.03,859.0
2020-11-03 05:00:00+00:00,16.13,20.55,16.13,18.75,18.75,3173.0
2020-11-04 05:00:00+00:00,19.35,21.0,18.23,19.27,19.27,6229.0
2020-11-05 05:00:00+00:00,18.45,18.75,17.85,17.85,17.85,93.0
2020-11-06 05:00:00+00:00,17.25,17.25,15.45,15.45,15.45,411.0
2020-11-09 05:00:00+00:00,15.75,17.55,15.45,16.65,16.65,280.0
2020-11-10 05:00:00+00:00,16.27,16.27,16.27,16.27,16.27,20.0
2020-11-11 05:00:00+00:00,14.85,15.83,14.85,15.83,15.83,1036.0
2020-11-12 05:00:00+00:00,15.83,16.35,15.15,15.98,15.98,1262.0
2020-11-13 05:00:00+00:00,14.71,16.91,13.71,15.65,15.65,10353.0
2020-11-16 05:00:00+00:00,15.48,15.9,15.48,15.82,15.82,3760.0
2020-11-17 05:00:00+00:00,16.73,21.5,16.73,20.88,20.88,6881.0
2020-11-18 05:00:00+00:00,20.49,20.49,18.08,18.1,18.1,3104.0
2020-11-19 05:00:00+00:00,17.83,18.78,17.83,18.0,18.0,6853.0
2020-11-20 05:00:00+00:00,18.13,18.97,18.13,18.26,18.26,2223.0
2020-11-23 05:00:00+00:00,17.59,17.65,17.36,17.5,17.5,2298.0
2020-11-24 05:00:00+00:00,17.06,17.06,16.61,16.61,16.61,794.0
