Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,43.09,44.37,43.09,44.28,44.28,12162.0
2020-07-28 04:00:00+00:00,44.205,44.205,42.83,42.91,42.91,76196.0
2020-07-29 04:00:00+00:00,42.95,44.815,42.95,44.745,44.745,25684.0
2020-07-30 04:00:00+00:00,44.44,44.62,43.63,44.49,44.49,14523.0
2020-07-31 04:00:00+00:00,44.11,44.855,43.72,44.835,44.835,14097.0
2020-08-03 04:00:00+00:00,44.44,45.37,44.44,44.91,44.91,9233.0
2020-08-04 04:00:00+00:00,44.7,45.025,44.18,44.23,44.23,40127.0
2020-08-05 04:00:00+00:00,44.64,44.705,43.89,44.13,44.13,29695.0
2020-08-06 04:00:00+00:00,44.245,44.75,44.175,44.65,44.65,17169.0
2020-08-07 04:00:00+00:00,44.55,44.79,43.82,44.41,44.41,26912.0
2020-08-10 04:00:00+00:00,44.41,44.41,43.8,43.89,43.89,26982.0
2020-08-11 04:00:00+00:00,44.215,44.215,42.99,43.12,43.12,84073.0
2020-08-12 04:00:00+00:00,43.39,44.2,43.31,43.63,43.63,36921.0
2020-08-13 04:00:00+00:00,44.04,44.63,43.945,44.36,44.36,8526.0
2020-08-14 04:00:00+00:00,44.35,44.94,44.26,44.92,44.92,8573.0
2020-08-17 04:00:00+00:00,45.19,45.49,44.525,45.405,45.405,24733.0
2020-08-18 04:00:00+00:00,45.645,46.29,45.585,45.84,45.84,7534.0
2020-08-19 04:00:00+00:00,45.98,46.285,45.48,45.545,45.545,16718.0
2020-08-20 04:00:00+00:00,45.02,46.08,45.02,45.98,45.98,10725.0
2020-08-21 04:00:00+00:00,45.98,46.035,45.01,45.22,45.22,11000.0
2020-08-24 04:00:00+00:00,45.595,46.08,45.43,45.92,45.92,9273.0
2020-08-25 04:00:00+00:00,46.3,46.3,45.52,45.74,45.74,9144.0
2020-08-26 04:00:00+00:00,46.435,46.79,46.2,46.28,46.28,24881.0
2020-08-27 04:00:00+00:00,46.33,46.45,45.8,46.35,46.35,6239.0
2020-08-28 04:00:00+00:00,46.795,47.34,46.68,47.33,47.33,6383.0
2020-08-31 04:00:00+00:00,46.905,47.915,46.815,47.68,47.68,26949.0
2020-09-01 04:00:00+00:00,47.72,49.13,47.675,49.085,49.085,16461.0
2020-09-02 04:00:00+00:00,49.31,49.82,48.45,49.68,49.68,14521.0
2020-09-03 04:00:00+00:00,48.87,49.59,48.135,49.49,49.49,40004.0
2020-09-04 04:00:00+00:00,49.525,49.7,47.22,48.25,48.25,31506.0
2020-09-08 04:00:00+00:00,46.79,48.205,46.58,47.73,47.73,57124.0
2020-09-09 04:00:00+00:00,49.055,49.055,47.38,48.36,48.36,47272.0
2020-09-10 04:00:00+00:00,53.54,54.28,51.14,51.4,51.4,36488.0
2020-09-11 04:00:00+00:00,51.95,51.95,49.14,50.16,50.16,40491.0
2020-09-14 04:00:00+00:00,49.6,50.55,49.29,49.365,49.365,17022.0
2020-09-15 04:00:00+00:00,49.44,49.68,48.5,48.83,48.83,29159.0
2020-09-16 04:00:00+00:00,49.04,50.18,48.56,49.8,49.8,19262.0
2020-09-17 04:00:00+00:00,48.75,48.81,47.48,47.64,47.64,15000.0
2020-09-18 04:00:00+00:00,47.71,47.71,46.475,46.86,46.86,36168.0
2020-09-21 04:00:00+00:00,46.19,46.92,45.68,46.92,46.92,25363.0
2020-09-22 04:00:00+00:00,47.205,48.12,46.92,48.09,48.09,10992.0
2020-09-23 04:00:00+00:00,48.43,48.96,47.43,47.505,47.505,17292.0
2020-09-24 04:00:00+00:00,47.04,47.2,45.93,46.54,46.54,11976.0
2020-09-25 04:00:00+00:00,46.43,47.04,46.325,46.95,46.95,5308.0
2020-09-28 04:00:00+00:00,47.59,47.69,47.0,47.52,47.52,14298.0
