Date,Open,High,Low,Close,Adj Close,Volume
2021-04-22 04:00:00+00:00,10.1,10.1,10.1,10.1,10.1,100.0
2021-04-23 04:00:00+00:00,10.0,10.0,10.0,10.0,10.0,600.0
2021-04-30 04:00:00+00:00,10.17,10.17,10.17,10.17,10.17,100.0
2021-05-03 04:00:00+00:00,10.25,10.25,10.25,10.25,10.25,100.0
2021-05-04 04:00:00+00:00,10.15,10.15,10.06,10.06,10.06,400.0
2021-05-06 04:00:00+00:00,9.99,10.03,9.99,10.03,10.03,500.0
2021-05-11 04:00:00+00:00,10.045,10.045,10.045,10.045,10.045,200.0
2021-05-12 04:00:00+00:00,10.05,10.05,10.05,10.05,10.05,200.0
2021-05-13 04:00:00+00:00,10.07,10.07,10.04,10.04,10.04,760.0
2021-05-18 04:00:00+00:00,10.0,10.0,9.97,9.97,9.97,7600.0
2021-05-19 04:00:00+00:00,9.98,9.985,9.98,9.985,9.985,2100.0
2021-05-21 04:00:00+00:00,9.98,9.98,9.98,9.98,9.98,100.0
2021-05-24 04:00:00+00:00,9.91,9.91,9.9,9.9,9.9,900.0
2021-05-26 04:00:00+00:00,9.95,9.95,9.95,9.95,9.95,700.0
2021-06-01 04:00:00+00:00,9.95,9.95,9.94,9.94,9.94,200.0
2021-06-07 04:00:00+00:00,10.09,10.09,10.09,10.09,10.09,100.0
2021-06-09 04:00:00+00:00,10.49,10.49,9.9,9.955,9.955,17584.0
2021-06-10 04:00:00+00:00,9.975,9.99,9.95,9.95,9.95,12006.0
2021-06-11 04:00:00+00:00,10.04,10.05,9.97,10.0,10.0,17114.0
2021-06-14 04:00:00+00:00,9.99,9.99,9.95,9.95,9.95,54333.0
2021-06-16 04:00:00+00:00,9.95,9.96,9.95,9.95,9.95,3728.0
2021-06-17 04:00:00+00:00,9.95,9.955,9.95,9.95,9.95,11510.0
2021-06-18 04:00:00+00:00,9.95,9.955,9.95,9.95,9.95,13378.0
2021-06-21 04:00:00+00:00,9.93,9.93,9.93,9.93,9.93,15900.0
2021-06-22 04:00:00+00:00,9.95,9.955,9.93,9.95,9.95,20427.0
2021-06-23 04:00:00+00:00,9.94,9.94,9.94,9.94,9.94,743.0
2021-06-24 04:00:00+00:00,9.95,9.95,9.94,9.94,9.94,410.0
2021-06-25 04:00:00+00:00,9.95,9.95,9.95,9.95,9.95,3800.0
2021-06-28 04:00:00+00:00,9.95,9.95,9.94,9.945,9.945,12856.0
2021-06-29 04:00:00+00:00,9.95,9.97,9.95,9.96,9.96,3903.0
2021-06-30 04:00:00+00:00,9.96,9.99,9.96,9.96,9.96,1910.0
