Date,Open,High,Low,Close,Adj Close,Volume
2021-06-02 04:00:00+00:00,14.23,16.52,12.72,12.81,12.81,33331.0
2021-06-03 04:00:00+00:00,13.35,14.29,13.16,14.01,14.01,20273.0
2021-06-04 04:00:00+00:00,14.06,15.4,13.92,14.88,14.88,37648.0
2021-06-07 04:00:00+00:00,15.13,16.32,15.13,16.28,16.28,43788.0
2021-06-08 04:00:00+00:00,15.7,16.24,15.52,15.57,15.57,11648.0
2021-06-09 04:00:00+00:00,16.26,16.4,14.95,14.97,14.97,21536.0
2021-06-10 04:00:00+00:00,14.93,15.27,14.89,15.14,15.14,9821.0
2021-06-11 04:00:00+00:00,15.33,15.61,15.21,15.55,15.55,23494.0
2021-06-14 04:00:00+00:00,16.04,17.66,16.04,17.31,17.31,32030.0
2021-06-15 04:00:00+00:00,17.8,18.84,17.69,18.82,18.82,41696.0
2021-06-16 04:00:00+00:00,19.04,19.86,17.98,17.99,17.99,60011.0
2021-06-17 04:00:00+00:00,19.21,19.21,17.52,18.22,18.22,21667.0
2021-06-18 04:00:00+00:00,18.58,18.58,17.13,17.74,17.74,23591.0
2021-06-21 04:00:00+00:00,18.22,18.61,17.97,18.54,18.54,26912.0
2021-06-22 04:00:00+00:00,18.83,18.83,17.37,18.29,18.29,16789.0
2021-06-23 04:00:00+00:00,18.49,18.72,18.49,18.71,18.71,16605.0
2021-06-24 04:00:00+00:00,18.65,19.07,18.65,18.86,18.86,27136.0
2021-06-25 04:00:00+00:00,19.4,19.53,18.86,18.97,18.97,30392.0
2021-06-28 04:00:00+00:00,18.9,19.24,18.25,18.26,18.26,25367.0
2021-06-29 04:00:00+00:00,18.7,18.76,17.93,17.97,17.97,13092.0
2021-06-30 04:00:00+00:00,18.38,18.58,17.89,18.09,18.09,16237.0
2021-07-01 04:00:00+00:00,18.55,18.88,18.47,18.86,18.86,10299.0
2021-07-02 04:00:00+00:00,18.78,18.83,18.44,18.59,18.59,17036.0
2021-07-06 04:00:00+00:00,19.22,19.22,18.19,18.19,18.19,7039.0
2021-07-07 04:00:00+00:00,17.74,18.16,17.56,17.77,17.77,4138.0
2021-07-08 04:00:00+00:00,17.07,17.85,17.07,17.73,17.73,3819.0
2021-07-09 04:00:00+00:00,17.87,18.0,17.85,17.99,17.99,5270.0
2021-07-12 04:00:00+00:00,18.04,18.24,17.95,18.13,18.13,7630.0
2021-07-13 04:00:00+00:00,18.1,18.23,17.88,17.98,17.98,3383.0
2021-07-14 04:00:00+00:00,17.95,18.2,17.61,17.74,17.74,6315.0
2021-07-15 04:00:00+00:00,17.42,18.11,16.42,16.7,16.7,20902.0
2021-07-16 04:00:00+00:00,16.89,16.89,16.19,16.2,16.2,3467.0
2021-07-19 04:00:00+00:00,15.23,15.39,14.9,15.16,15.16,5540.0
2021-07-20 04:00:00+00:00,15.5,15.78,15.5,15.66,15.66,8603.0
2021-07-21 04:00:00+00:00,16.28,16.34,16.19,16.19,16.19,1906.0
2021-07-22 04:00:00+00:00,16.12,16.38,16.12,16.24,16.24,1716.0
2021-07-23 04:00:00+00:00,16.22,16.44,16.2,16.33,16.33,2486.0
2021-07-26 04:00:00+00:00,16.71,17.28,16.57,17.18,17.18,2369.0
2021-07-27 04:00:00+00:00,17.29,17.29,16.19,16.27,16.27,6045.0
2021-07-28 04:00:00+00:00,16.22,17.04,16.21,16.78,16.78,12276.0
2021-07-29 04:00:00+00:00,17.35,18.57,17.35,17.67,17.67,19293.0
2021-07-30 04:00:00+00:00,18.06,18.06,17.12,17.36,17.36,16443.0
2021-08-02 04:00:00+00:00,18.08,18.2,16.86,16.86,16.86,14166.0
2021-08-03 04:00:00+00:00,16.33,17.04,16.25,17.0,17.0,7126.0
2021-08-04 04:00:00+00:00,16.72,16.78,16.07,16.08,16.08,7831.0
2021-08-05 04:00:00+00:00,16.06,16.26,15.58,15.61,15.61,29164.0
2021-08-06 04:00:00+00:00,15.89,15.89,15.46,15.5,15.5,3561.0
2021-08-09 04:00:00+00:00,15.17,15.28,15.17,15.24,15.24,5544.0
2021-08-10 04:00:00+00:00,15.37,15.83,15.14,15.57,15.57,33172.0
2021-08-11 04:00:00+00:00,15.39,15.54,15.2,15.21,15.21,8367.0
2021-08-12 04:00:00+00:00,15.0,15.0,14.52,14.9,14.9,19493.0
2021-08-13 04:00:00+00:00,14.87,15.54,14.77,14.9,14.9,10072.0
2021-08-16 04:00:00+00:00,15.18,15.18,14.56,14.56,14.56,11147.0
2021-08-17 04:00:00+00:00,14.52,15.07,13.99,14.41,14.41,17234.0
2021-08-18 04:00:00+00:00,14.73,14.73,14.03,14.44,14.44,7446.0
2021-08-19 04:00:00+00:00,14.23,14.62,13.86,14.55,14.55,6131.0
2021-08-20 04:00:00+00:00,14.19,14.48,14.08,14.47,14.47,3166.0
2021-08-23 04:00:00+00:00,15.22,15.29,14.99,14.99,14.99,6975.0
2021-08-24 04:00:00+00:00,15.08,15.2,15.08,15.2,15.2,5079.0
2021-08-25 04:00:00+00:00,15.21,15.21,15.15,15.15,15.15,874.0
2021-08-26 04:00:00+00:00,15.2,15.2,15.07,15.15,15.15,696.0
2021-08-27 04:00:00+00:00,15.18,15.82,15.18,15.82,15.82,18506.0
2021-08-30 04:00:00+00:00,15.83,15.93,15.81,15.89,15.89,30282.0
2021-08-31 04:00:00+00:00,15.63,15.89,15.59,15.79,15.79,10654.0
2021-09-01 04:00:00+00:00,15.89,15.89,15.26,15.32,15.32,12074.0
2021-09-02 04:00:00+00:00,15.5,15.65,15.37,15.46,15.46,26389.0
2021-09-03 04:00:00+00:00,15.77,15.77,15.38,15.4,15.4,3405.0
2021-09-07 04:00:00+00:00,15.45,17.17,15.45,15.99,15.99,76048.0
2021-09-08 04:00:00+00:00,16.54,16.87,15.61,15.98,15.98,46309.0
2021-09-09 04:00:00+00:00,16.02,16.89,16.02,16.68,16.68,47956.0
2021-09-10 04:00:00+00:00,16.89,16.92,16.72,16.89,16.89,35233.0
2021-09-13 04:00:00+00:00,17.04,17.31,16.69,16.78,16.78,44326.0
2021-09-14 04:00:00+00:00,17.0,17.48,16.71,16.89,16.89,67293.0
2021-09-15 04:00:00+00:00,17.61,17.88,17.48,17.53,17.53,36649.0
2021-09-16 04:00:00+00:00,17.64,18.41,17.64,18.01,18.01,36168.0
2021-09-17 04:00:00+00:00,18.07,18.15,16.83,16.83,16.83,96036.0
2021-09-20 04:00:00+00:00,15.99,16.75,15.96,15.96,15.96,11809.0
2021-09-21 04:00:00+00:00,16.34,16.34,15.98,16.26,16.26,19878.0
2021-09-22 04:00:00+00:00,17.01,17.53,16.85,16.85,16.85,9190.0
2021-09-23 04:00:00+00:00,17.1,17.74,17.01,17.3,17.3,10464.0
2021-09-24 04:00:00+00:00,18.12,18.64,17.94,17.94,17.94,14912.0
2021-09-27 04:00:00+00:00,18.46,19.44,18.46,19.13,19.13,44817.0
2021-09-28 04:00:00+00:00,19.1,20.57,19.1,20.07,20.07,36229.0
2021-09-29 04:00:00+00:00,19.96,20.38,19.49,19.49,19.49,18218.0
2021-09-30 04:00:00+00:00,19.43,19.96,19.26,19.57,19.57,23257.0
2021-10-01 04:00:00+00:00,19.83,20.52,19.71,20.33,20.33,22193.0
2021-10-04 04:00:00+00:00,20.88,21.01,20.14,20.29,20.29,15435.0
2021-10-05 04:00:00+00:00,19.96,20.63,19.86,19.92,19.92,17386.0
2021-10-06 04:00:00+00:00,19.51,19.87,19.32,19.41,19.41,5892.0
2021-10-07 04:00:00+00:00,19.38,19.76,19.25,19.73,19.73,8310.0
2021-10-08 04:00:00+00:00,19.87,20.11,19.69,19.99,19.99,15378.0
2021-10-11 04:00:00+00:00,20.13,20.76,20.13,20.19,20.19,13624.0
2021-10-12 04:00:00+00:00,21.72,24.42,21.72,23.39,23.39,49739.0
2021-10-13 04:00:00+00:00,22.95,24.03,22.9,23.88,23.88,16889.0
2021-10-14 04:00:00+00:00,24.34,25.63,24.28,25.6,25.6,14520.0
2021-10-15 04:00:00+00:00,26.27,27.32,26.27,26.55,26.55,17530.0
2021-10-18 04:00:00+00:00,26.65,26.83,25.95,26.05,26.05,19222.0
2021-10-19 04:00:00+00:00,26.09,28.38,26.09,27.85,27.85,20898.0
2021-10-20 04:00:00+00:00,27.24,27.95,27.24,27.51,27.51,18859.0
2021-10-21 04:00:00+00:00,27.44,27.66,26.59,26.92,26.92,23269.0
2021-10-22 04:00:00+00:00,27.25,28.42,27.25,28.42,28.42,8427.0
2021-10-25 04:00:00+00:00,29.0,29.1,28.03,28.76,28.76,15591.0
2021-10-26 04:00:00+00:00,28.19,28.49,28.19,28.41,28.41,10670.0
2021-10-27 04:00:00+00:00,28.35,28.35,26.79,27.11,27.11,6174.0
2021-10-28 04:00:00+00:00,27.4,29.08,27.26,28.92,28.92,10811.0
2021-10-29 04:00:00+00:00,28.71,29.49,28.68,28.86,28.86,61624.0
2021-11-01 04:00:00+00:00,29.23,29.85,29.2,29.52,29.52,36791.0
2021-11-02 04:00:00+00:00,28.93,29.84,27.13,28.14,28.14,41757.0
2021-11-03 04:00:00+00:00,28.88,33.09,28.77,32.65,32.65,65698.0
2021-11-04 04:00:00+00:00,33.33,34.45,30.69,31.52,31.52,18025.0
2021-11-05 04:00:00+00:00,32.27,33.2,32.11,32.24,32.24,6893.0
2021-11-08 05:00:00+00:00,32.82,32.89,31.86,31.88,31.88,8233.0
