Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,9.34,9.34,9.02,9.185,9.185,26033.0
2020-07-28 04:00:00+00:00,9.055,9.21,8.75,8.75,8.75,9928.0
2020-07-29 04:00:00+00:00,8.67,9.0,8.61,8.855,8.855,8727.0
2020-07-30 04:00:00+00:00,8.9,9.095,8.9,8.915,8.915,13653.0
2020-07-31 04:00:00+00:00,8.98,9.04,8.76,8.78,8.78,8969.0
2020-08-03 04:00:00+00:00,8.79,9.02,8.79,8.935,8.935,5845.0
2020-08-04 04:00:00+00:00,8.905,9.03,8.745,9.0,9.0,9950.0
2020-08-05 04:00:00+00:00,9.085,9.09,8.835,9.0,9.0,14675.0
2020-08-06 04:00:00+00:00,9.13,9.13,8.86,8.98,8.98,9098.0
2020-08-07 04:00:00+00:00,9.04,9.175,9.02,9.14,9.14,56275.0
2020-08-10 04:00:00+00:00,8.885,9.54,8.885,9.46,9.46,5477.0
2020-08-11 04:00:00+00:00,9.48,9.48,9.255,9.315,9.315,11019.0
2020-08-12 04:00:00+00:00,9.49,9.51,9.13,9.31,9.31,12963.0
2020-08-13 04:00:00+00:00,9.3,9.5,9.015,9.17,9.17,13399.0
2020-08-14 04:00:00+00:00,9.14,9.16,9.06,9.1,9.1,1616.0
2020-08-17 04:00:00+00:00,9.23,9.26,8.99,9.11,9.11,21495.0
2020-08-18 04:00:00+00:00,9.065,9.16,8.655,9.145,9.145,56606.0
2020-08-19 04:00:00+00:00,9.14,10.245,9.14,10.095,10.095,127246.0
2020-08-20 04:00:00+00:00,10.2,11.415,10.16,11.23,11.23,194824.0
2020-08-21 04:00:00+00:00,11.345,11.79,11.04,11.6,11.6,85469.0
2020-08-24 04:00:00+00:00,11.775,11.78,11.07,11.1,11.1,24037.0
2020-08-25 04:00:00+00:00,11.37,12.77,11.26,12.665,12.665,14365.0
2020-08-26 04:00:00+00:00,12.835,13.545,11.64,11.83,11.83,70927.0
