Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,22.23,22.56,22.19,22.54,22.54,56688.0
2020-07-28 04:00:00+00:00,22.21,22.47,22.09,22.09,22.09,14814.0
2020-07-29 04:00:00+00:00,22.34,22.6,22.08,22.47,22.47,22570.0
2020-07-30 04:00:00+00:00,21.92,22.04,21.59,21.99,21.99,25195.0
2020-07-31 04:00:00+00:00,21.96,21.97,21.38,21.8,21.8,95153.0
2020-08-03 04:00:00+00:00,21.88,22.27,21.67,22.25,22.25,98155.0
2020-08-04 04:00:00+00:00,21.96,22.66,21.9,22.63,22.63,69913.0
2020-08-05 04:00:00+00:00,23.09,23.67,23.09,23.36,23.36,57508.0
2020-08-06 04:00:00+00:00,23.41,23.41,23.25,23.37,23.37,49561.0
2020-08-07 04:00:00+00:00,23.14,23.2,22.57,23.18,23.18,22297.0
2020-08-10 04:00:00+00:00,23.52,24.33,23.52,24.14,24.14,53832.0
2020-08-11 04:00:00+00:00,24.06,24.21,23.54,23.57,23.57,30660.0
2020-08-12 04:00:00+00:00,24.07,24.07,23.5,23.56,23.56,25918.0
2020-08-13 04:00:00+00:00,23.36,23.6,23.23,23.48,23.48,12817.0
2020-08-14 04:00:00+00:00,23.3,23.71,23.22,23.6,23.6,22810.0
2020-08-17 04:00:00+00:00,24.12,24.14,23.81,23.98,23.98,25733.0
2020-08-18 04:00:00+00:00,24.12,24.25,23.82,23.86,23.86,14639.0
2020-08-19 04:00:00+00:00,23.83,23.97,23.52,23.54,23.54,23645.0
2020-08-20 04:00:00+00:00,23.25,23.76,23.23,23.61,23.61,9644.0
2020-08-21 04:00:00+00:00,23.25,23.26,22.88,22.98,22.98,59970.0
2020-08-24 04:00:00+00:00,23.21,23.43,23.13,23.43,23.43,43478.0
2020-08-25 04:00:00+00:00,23.51,23.59,22.98,23.34,23.34,31413.0
2020-08-26 04:00:00+00:00,23.33,23.62,23.33,23.45,23.45,45926.0
2020-08-27 04:00:00+00:00,23.62,23.62,23.09,23.39,23.39,18910.0
2020-08-28 04:00:00+00:00,23.66,23.92,23.59,23.87,23.87,33555.0
2020-08-31 04:00:00+00:00,24.0,24.0,23.62,23.62,23.62,23505.0
2020-09-01 04:00:00+00:00,23.64,23.87,23.63,23.86,23.86,22991.0
2020-09-02 04:00:00+00:00,23.62,23.94,23.37,23.92,23.92,112268.0
2020-09-03 04:00:00+00:00,23.72,24.09,23.21,23.41,23.41,45553.0
2020-09-04 04:00:00+00:00,23.83,23.83,23.06,23.64,23.64,26075.0
2020-09-08 04:00:00+00:00,23.2,23.48,22.85,22.98,22.98,42424.0
2020-09-09 04:00:00+00:00,23.16,23.28,22.87,23.17,23.17,9886.0
2020-09-10 04:00:00+00:00,23.3,23.35,22.77,22.8,22.8,21155.0
2020-09-11 04:00:00+00:00,22.82,23.16,22.75,22.84,22.84,11006.0
2020-09-14 04:00:00+00:00,23.15,23.62,23.07,23.58,23.58,26711.0
2020-09-15 04:00:00+00:00,23.88,23.89,23.45,23.67,23.67,112570.0
2020-09-16 04:00:00+00:00,23.64,24.19,23.64,23.94,23.94,24426.0
2020-09-17 04:00:00+00:00,23.45,24.47,23.31,24.3,24.3,38247.0
2020-09-18 04:00:00+00:00,24.43,25.05,24.36,24.41,24.41,152383.0
2020-09-21 04:00:00+00:00,23.7,23.71,22.44,22.66,22.66,52841.0
2020-09-22 04:00:00+00:00,22.67,22.79,22.31,22.53,22.53,14874.0
2020-09-23 04:00:00+00:00,22.45,22.76,21.73,21.75,21.75,53338.0
2020-09-24 04:00:00+00:00,21.7,22.36,21.37,21.93,21.93,49477.0
2020-09-25 04:00:00+00:00,21.66,22.08,21.6,22.0,22.0,7020.0
2020-09-28 04:00:00+00:00,22.49,22.97,22.38,22.71,22.71,44238.0
2020-09-29 04:00:00+00:00,22.71,22.71,22.08,22.29,22.29,19677.0
2020-09-30 04:00:00+00:00,22.45,22.67,22.06,22.2,22.2,32575.0
2020-10-01 04:00:00+00:00,22.33,22.53,22.06,22.43,22.43,42083.0
2020-10-02 04:00:00+00:00,22.11,23.01,22.11,22.93,22.93,42961.0
2020-10-05 04:00:00+00:00,23.41,23.65,23.38,23.51,23.51,14987.0
2020-10-06 04:00:00+00:00,23.72,23.84,22.9,22.93,22.93,39016.0
2020-10-07 04:00:00+00:00,23.35,23.77,23.35,23.67,23.67,34439.0
2020-10-08 04:00:00+00:00,24.07,24.14,23.9,24.1,24.1,8103.0
2020-10-09 04:00:00+00:00,24.52,24.56,23.86,24.23,24.23,41121.0
2020-10-12 04:00:00+00:00,24.09,24.34,24.09,24.13,24.13,6539.0
2020-10-13 04:00:00+00:00,23.81,23.9,23.59,23.8,23.8,14469.0
2020-10-14 04:00:00+00:00,23.96,24.21,23.96,24.11,24.11,65622.0
