Date,Open,High,Low,Close,Adj Close,Volume
2022-10-13 04:00:00+00:00,19.08,19.46,19.08,19.44,19.44,3101.0
2022-10-14 04:00:00+00:00,18.96,19.01,18.96,19.01,19.01,302.0
2022-10-17 04:00:00+00:00,19.01,19.01,19.01,19.01,19.01,0.0
2022-10-18 04:00:00+00:00,19.51,19.6,19.51,19.6,19.6,343.0
2022-10-19 04:00:00+00:00,19.32,19.42,19.32,19.42,19.42,200.0
2022-10-20 04:00:00+00:00,19.42,19.42,19.42,19.42,19.42,0.0
2022-10-21 04:00:00+00:00,19.18,19.18,19.18,19.18,19.18,130.0
2022-10-24 04:00:00+00:00,19.8,19.8,19.8,19.8,19.8,121.0
2022-10-25 04:00:00+00:00,20.24,20.24,20.24,20.24,20.24,371.0
2022-10-26 04:00:00+00:00,20.37,20.43,20.29,20.29,20.29,400.0
2022-10-27 04:00:00+00:00,20.29,20.29,20.29,20.29,20.29,0.0
2022-10-28 04:00:00+00:00,20.29,20.29,20.29,20.29,20.29,0.0
2022-10-31 04:00:00+00:00,20.29,20.29,20.29,20.29,20.29,0.0
2022-11-01 04:00:00+00:00,20.29,20.29,20.29,20.29,20.29,0.0
2022-11-02 04:00:00+00:00,20.8,20.8,20.8,20.8,20.8,103.0
2022-11-03 04:00:00+00:00,20.45,20.45,20.45,20.45,20.45,106.0
2022-11-04 04:00:00+00:00,20.45,20.45,20.45,20.45,20.45,0.0
2022-11-07 05:00:00+00:00,20.45,20.45,20.45,20.45,20.45,0.0
2022-11-08 05:00:00+00:00,21.12,21.12,20.98,20.99,20.99,728.0
2022-11-09 05:00:00+00:00,20.99,20.99,20.99,20.99,20.99,0.0
2022-11-10 05:00:00+00:00,21.32,21.32,21.32,21.32,21.32,132.0
2022-11-11 05:00:00+00:00,21.32,21.32,21.32,21.32,21.32,0.0
2022-11-14 05:00:00+00:00,21.57,21.57,21.57,21.57,21.57,326.0
2022-11-15 05:00:00+00:00,21.8,21.8,21.8,21.8,21.8,261.0
2022-11-16 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,234.0
2022-11-17 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-11-18 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-11-21 05:00:00+00:00,21.43,21.43,21.4,21.4,21.4,249.0
2022-11-22 05:00:00+00:00,21.58,21.58,21.58,21.58,21.58,196.0
2022-11-23 05:00:00+00:00,21.91,21.91,21.91,21.91,21.91,148.0
2022-11-25 05:00:00+00:00,21.91,21.91,21.91,21.91,21.91,0.0
2022-11-28 05:00:00+00:00,21.8,21.81,21.6,21.6,21.6,547.0
2022-11-29 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-11-30 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-12-01 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-12-02 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-12-05 05:00:00+00:00,21.6,21.6,21.6,21.6,21.6,0.0
2022-12-06 05:00:00+00:00,21.53,21.53,21.53,21.53,21.53,100.0
2022-12-07 05:00:00+00:00,21.53,21.53,21.53,21.53,21.53,0.0
2022-12-08 05:00:00+00:00,21.53,21.53,21.53,21.53,21.53,0.0
2022-12-09 05:00:00+00:00,21.93,21.93,21.93,21.93,21.93,101.0
2022-12-12 05:00:00+00:00,21.93,21.93,21.93,21.93,21.93,0.0
2022-12-13 05:00:00+00:00,21.93,21.93,21.93,21.93,21.93,0.0
2022-12-14 05:00:00+00:00,21.93,21.93,21.93,21.93,21.93,0.0
2022-12-15 05:00:00+00:00,21.34,21.34,21.34,21.34,21.34,100.0
2022-12-16 05:00:00+00:00,21.34,21.34,21.34,21.34,21.34,0.0
2022-12-19 05:00:00+00:00,21.34,21.34,21.34,21.34,21.34,0.0
2022-12-20 05:00:00+00:00,21.34,21.34,21.34,21.34,21.34,0.0
2022-12-21 05:00:00+00:00,21.11,21.22,21.11,21.19,21.19,346.0
2022-12-22 05:00:00+00:00,21.23,21.23,21.23,21.23,21.23,0.0
2022-12-23 05:00:00+00:00,21.23,21.23,21.23,21.23,21.23,0.0
2022-12-27 05:00:00+00:00,21.23,21.23,21.23,21.23,21.23,0.0
2022-12-28 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,100.0
2022-12-29 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2022-12-30 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-03 05:00:00+00:00,20.58,20.58,20.58,20.58,20.58,100.0
2023-01-04 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-05 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-06 05:00:00+00:00,21.46,21.46,21.46,21.46,21.46,100.0
2023-01-09 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-10 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-11 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-12 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-13 05:00:00+00:00,22.02,22.02,22.02,22.02,22.02,500.0
2023-01-17 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-18 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-19 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-20 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-23 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-24 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-25 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-26 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-27 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-30 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-01-31 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-01 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-02 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-03 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-06 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-07 05:00:00+00:00,23.2,23.2,23.2,23.2,23.2,100.0
2023-02-08 05:00:00+00:00,23.46,23.46,23.46,23.46,23.46,100.0
2023-02-09 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-10 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-13 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-14 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-15 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-16 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-17 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-21 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-22 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-23 05:00:00+00:00,23.05,23.05,23.05,23.05,23.05,100.0
2023-02-24 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-27 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-02-28 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-01 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-02 05:00:00+00:00,22.54,22.54,22.54,22.54,22.54,202.0
2023-03-03 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-06 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-07 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-08 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-09 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-10 05:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-13 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-14 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-15 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-16 04:00:00+00:00,22.18,22.18,22.18,22.18,22.18,100.0
2023-03-17 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-20 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-21 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-22 04:00:00+00:00,22.62,22.62,22.62,22.62,22.62,100.0
2023-03-23 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-24 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-27 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-28 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-29 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-30 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
2023-03-31 04:00:00+00:00,20.54,20.54,20.54,20.54,20.54,0.0
