Date,Open,High,Low,Close,Adj Close,Volume
2021-06-22 04:00:00+00:00,21.93,22.3,20.65,21.12,21.12,2988221.0
2021-06-23 04:00:00+00:00,19.91,21.14,18.75,20.63,20.63,759236.0
2021-06-24 04:00:00+00:00,20.6,20.84,20.45,20.66,20.66,211018.0
2021-06-25 04:00:00+00:00,20.69,20.69,19.42,19.42,19.42,133025.0
2021-06-28 04:00:00+00:00,19.29,19.32,16.73,17.54,17.54,444386.0
2021-06-29 04:00:00+00:00,17.25,17.26,15.12,15.88,15.88,709970.0
2021-06-30 04:00:00+00:00,15.83,20.41,15.74,19.99,19.99,399950.0
2021-07-01 04:00:00+00:00,18.68,18.81,17.39,18.28,18.28,114675.0
2021-07-02 04:00:00+00:00,18.16,19.23,17.71,18.68,18.68,57405.0
2021-07-06 04:00:00+00:00,14.94,17.42,14.65,17.42,17.42,1224108.0
2021-07-07 04:00:00+00:00,16.47,16.96,15.75,16.67,16.67,248403.0
2021-07-08 04:00:00+00:00,16.06,16.17,14.67,14.84,14.84,270939.0
2021-07-09 04:00:00+00:00,15.11,15.73,14.9,15.63,15.63,90892.0
2021-07-12 04:00:00+00:00,15.43,15.77,15.18,15.49,15.49,40692.0
2021-07-13 04:00:00+00:00,15.57,17.5,15.56,17.25,17.25,147324.0
2021-07-14 04:00:00+00:00,17.28,17.66,17.03,17.21,17.21,108112.0
2021-07-15 04:00:00+00:00,17.27,17.35,16.54,16.87,16.87,22070.0
2021-07-16 04:00:00+00:00,16.53,17.01,16.53,16.88,16.88,110343.0
2021-07-19 04:00:00+00:00,16.28,16.57,15.91,16.04,16.04,138431.0
2021-07-20 04:00:00+00:00,16.03,16.23,15.19,16.1,16.1,61924.0
2021-07-21 04:00:00+00:00,16.12,16.44,15.91,16.25,16.25,20648.0
2021-07-22 04:00:00+00:00,15.73,15.79,14.89,14.95,14.95,56434.0
2021-07-23 04:00:00+00:00,14.41,14.41,10.64,10.72,10.72,297959.0
2021-07-26 04:00:00+00:00,9.689,10.46,9.321,9.837,9.837,918684.0
2021-07-27 04:00:00+00:00,9.399,9.498,7.831,8.573,8.573,363844.0
2021-07-28 04:00:00+00:00,9.625,10.08,9.144,9.704,9.704,691761.0
2021-07-29 04:00:00+00:00,10.55,10.6,9.581,10.23,10.23,509141.0
2021-07-30 04:00:00+00:00,9.365,9.763,9.286,9.335,9.335,325874.0
2021-08-02 04:00:00+00:00,10.02,11.62,10.02,11.48,11.48,38055.0
2021-08-03 04:00:00+00:00,11.7,12.89,11.08,11.47,11.47,59559.0
2021-08-04 04:00:00+00:00,11.43,12.97,11.4,12.31,12.31,45236.0
2021-08-05 04:00:00+00:00,12.12,12.15,11.59,11.73,11.73,36549.0
2021-08-06 04:00:00+00:00,11.99,12.55,11.94,12.23,12.23,7801.0
2021-08-09 04:00:00+00:00,12.34,13.39,12.14,13.01,13.01,190573.0
2021-08-10 04:00:00+00:00,13.64,14.12,13.64,13.83,13.83,94483.0
2021-08-11 04:00:00+00:00,13.96,14.22,13.48,13.88,13.88,144891.0
2021-08-12 04:00:00+00:00,13.67,13.67,11.97,12.31,12.31,136798.0
2021-08-13 04:00:00+00:00,12.36,12.36,10.69,10.83,10.83,163511.0
2021-08-16 04:00:00+00:00,10.6,10.61,10.2,10.31,10.31,144787.0
2021-08-17 04:00:00+00:00,10.31,10.67,10.11,10.36,10.36,49560.0
2021-08-18 04:00:00+00:00,10.48,11.06,10.42,10.77,10.77,68601.0
2021-08-19 04:00:00+00:00,10.58,10.93,10.46,10.84,10.84,128338.0
2021-08-20 04:00:00+00:00,11.09,12.77,11.09,12.39,12.39,153321.0
2021-08-23 04:00:00+00:00,12.94,13.09,12.29,12.67,12.67,58635.0
2021-08-24 04:00:00+00:00,13.24,14.84,13.23,14.4,14.4,88911.0
2021-08-25 04:00:00+00:00,14.23,14.76,13.41,13.58,13.58,38064.0
2021-08-26 04:00:00+00:00,13.86,14.48,13.85,14.05,14.05,27089.0
2021-08-27 04:00:00+00:00,14.09,14.61,14.09,14.46,14.46,28623.0
2021-08-30 04:00:00+00:00,14.62,16.0,14.12,15.51,15.51,65535.0
2021-08-31 04:00:00+00:00,16.05,16.08,15.24,15.8,15.8,44880.0
2021-09-01 04:00:00+00:00,15.71,17.64,15.71,17.64,17.64,36574.0
2021-09-02 04:00:00+00:00,17.75,18.01,16.92,17.91,17.91,134395.0
2021-09-03 04:00:00+00:00,17.51,18.05,16.47,18.04,18.04,131054.0
2021-09-07 04:00:00+00:00,18.37,18.93,17.51,17.95,17.95,78852.0
2021-09-08 04:00:00+00:00,17.76,17.76,16.15,17.28,17.28,43618.0
2021-09-09 04:00:00+00:00,16.65,17.69,16.59,17.62,17.62,16102.0
2021-09-10 04:00:00+00:00,17.91,18.41,16.76,16.85,16.85,38372.0
2021-09-13 04:00:00+00:00,16.86,16.86,15.53,15.75,15.75,33564.0
2021-09-14 04:00:00+00:00,15.84,16.0,14.82,15.2,15.2,31815.0
2021-09-15 04:00:00+00:00,15.16,15.95,14.28,15.84,15.84,48364.0
2021-09-16 04:00:00+00:00,15.83,17.37,15.74,16.37,16.37,54547.0
2021-09-17 04:00:00+00:00,16.63,16.67,15.42,15.78,15.78,89308.0
2021-09-20 04:00:00+00:00,14.92,15.95,14.37,14.53,14.53,100380.0
2021-09-21 04:00:00+00:00,14.93,15.4,14.93,15.19,15.19,58856.0
2021-09-22 04:00:00+00:00,15.4,16.61,15.4,16.09,16.09,121755.0
2021-09-23 04:00:00+00:00,16.11,16.71,15.96,16.48,16.48,30050.0
2021-09-24 04:00:00+00:00,16.5,16.63,15.8,15.82,15.82,48257.0
2021-09-27 04:00:00+00:00,15.7,16.01,15.05,15.73,15.73,44750.0
