Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28 05:00:00+00:00,3.879,4.164,3.761,3.811,3.811,224381.0
2021-01-29 05:00:00+00:00,4.068,4.106,3.894,3.983,3.983,62303.0
2021-02-01 05:00:00+00:00,4.106,4.539,4.089,4.485,4.485,41144.0
2021-02-02 05:00:00+00:00,4.686,4.782,4.592,4.673,4.673,40309.0
2021-02-03 05:00:00+00:00,4.832,4.944,4.79,4.805,4.805,12603.0
2021-02-04 05:00:00+00:00,4.963,4.981,4.703,4.729,4.729,11100.0
2021-02-05 05:00:00+00:00,4.882,4.913,4.749,4.905,4.905,4684.0
2021-02-08 05:00:00+00:00,5.062,5.084,5.037,5.037,5.037,4106.0
2021-02-09 05:00:00+00:00,5.047,5.286,5.047,5.251,5.251,4480.0
2021-02-10 05:00:00+00:00,5.471,5.831,5.438,5.761,5.761,32186.0
2021-02-11 05:00:00+00:00,6.035,6.182,6.002,6.114,6.114,26312.0
2021-02-12 05:00:00+00:00,6.171,6.804,6.171,6.621,6.621,16567.0
2021-02-16 05:00:00+00:00,6.996,7.183,6.727,6.872,6.872,8564.0
2021-02-17 05:00:00+00:00,6.993,7.292,6.953,7.185,7.185,8879.0
2021-02-18 05:00:00+00:00,6.986,7.079,6.598,6.645,6.645,11628.0
2021-02-19 05:00:00+00:00,7.256,7.274,7.019,7.208,7.208,16792.0
2021-02-22 05:00:00+00:00,7.428,7.43,6.906,6.921,6.921,8360.0
2021-02-23 05:00:00+00:00,6.711,6.711,6.217,6.572,6.572,18299.0
2021-02-24 05:00:00+00:00,6.711,6.817,6.597,6.611,6.611,9350.0
2021-02-25 05:00:00+00:00,6.691,6.709,6.381,6.416,6.416,3859.0
2021-02-26 05:00:00+00:00,6.436,6.621,6.366,6.563,6.563,6675.0
2021-03-01 05:00:00+00:00,6.784,6.86,6.664,6.693,6.693,2948.0
2021-03-02 05:00:00+00:00,6.769,6.827,6.727,6.775,6.775,5694.0
2021-03-03 05:00:00+00:00,6.853,7.085,6.709,6.94,6.94,6531.0
2021-03-04 05:00:00+00:00,6.804,6.81,6.608,6.684,6.684,7537.0
2021-03-05 05:00:00+00:00,6.751,6.751,6.283,6.37,6.37,11279.0
2021-03-08 05:00:00+00:00,6.446,6.548,6.28,6.28,6.28,3414.0
2021-03-09 05:00:00+00:00,6.393,6.663,6.393,6.522,6.522,5680.0
2021-03-10 05:00:00+00:00,6.737,7.056,6.714,6.742,6.742,19242.0
2021-03-11 05:00:00+00:00,7.026,7.831,6.979,7.695,7.695,32906.0
2021-03-12 05:00:00+00:00,7.964,8.391,7.606,8.321,8.321,23526.0
2021-03-15 04:00:00+00:00,8.338,8.756,8.27,8.335,8.335,11313.0
2021-03-16 04:00:00+00:00,8.431,8.699,8.157,8.315,8.315,11814.0
2021-03-17 04:00:00+00:00,8.376,9.014,8.338,8.819,8.819,11750.0
2021-03-18 04:00:00+00:00,9.286,9.452,8.802,8.833,8.833,7427.0
2021-03-19 04:00:00+00:00,9.15,9.488,8.961,9.458,9.458,19956.0
2021-03-22 04:00:00+00:00,8.885,8.989,8.071,8.847,8.847,34091.0
2021-03-23 04:00:00+00:00,8.845,8.845,7.516,7.612,7.612,46694.0
2021-03-24 04:00:00+00:00,7.993,8.222,7.801,7.841,7.841,9865.0
2021-03-25 04:00:00+00:00,7.861,8.845,7.622,8.832,8.832,12622.0
2021-03-26 04:00:00+00:00,9.07,9.13,8.268,8.62,8.62,16609.0
2021-03-29 04:00:00+00:00,8.671,8.671,7.993,8.05,8.05,8381.0
2021-03-30 04:00:00+00:00,8.252,8.365,8.149,8.162,8.162,4858.0
2021-03-31 04:00:00+00:00,8.192,8.205,8.01,8.053,8.053,10443.0
2021-04-01 04:00:00+00:00,8.146,8.762,8.126,8.762,8.762,13110.0
2021-04-05 04:00:00+00:00,8.832,9.067,8.427,8.739,8.739,15063.0
2021-04-06 04:00:00+00:00,9.06,9.239,8.557,8.616,8.616,10853.0
2021-04-07 04:00:00+00:00,8.868,9.11,8.696,9.047,9.047,14413.0
2021-04-08 04:00:00+00:00,8.948,10.22,8.848,10.1,10.1,82050.0
2021-04-09 04:00:00+00:00,10.11,10.36,9.491,10.3,10.3,41128.0
2021-04-12 04:00:00+00:00,10.21,10.21,9.392,9.909,9.909,27132.0
2021-04-13 04:00:00+00:00,10.11,10.11,9.392,9.395,9.395,20234.0
2021-04-14 04:00:00+00:00,9.495,10.11,9.319,9.379,9.379,33582.0
2021-04-15 04:00:00+00:00,9.693,10.02,9.514,9.677,9.677,10857.0
2021-04-16 04:00:00+00:00,9.856,10.73,9.829,10.53,10.53,22829.0
2021-04-20 04:00:00+00:00,10.32,10.32,9.389,9.518,9.518,18529.0
2021-04-21 04:00:00+00:00,9.548,10.09,9.485,9.836,9.836,17206.0
2021-04-22 04:00:00+00:00,9.935,10.47,9.935,10.12,10.12,14458.0
2021-04-23 04:00:00+00:00,10.35,10.84,10.18,10.75,10.75,16939.0
2021-04-26 04:00:00+00:00,10.98,11.31,10.7,11.26,11.26,34634.0
2021-04-27 04:00:00+00:00,11.47,11.85,10.84,10.92,10.92,55968.0
2021-04-28 04:00:00+00:00,11.2,11.4,10.9,11.32,11.32,17123.0
2021-04-29 04:00:00+00:00,11.61,11.87,11.27,11.87,11.87,31902.0
2021-04-30 04:00:00+00:00,11.71,12.66,11.48,12.4,12.4,22897.0
